Player,Nation,Pos,Secondary_Pos,Born
Claudio Beauvue,GPE,FW,,1988
Bebé,pt POR,FW,MF,1990
Bebé,pt POR,MF,,1990
Ihlas Bebou,tg TOG,FW,MF,1994
Uffe Bech,dk DEN,FW,,1993
Andreas Beck,de GER,DF,MF,1987
Jan Bednarek,pl POL,DF,,1996
Andrea Beghetto,it ITA,DF,MF,1994
Valon Behrami,ch SUI,MF,,1985
Hanno Behrens,de GER,MF,,1990
Ishak Belfodil,dz ALG,FW,,1992
Stefan Bell,de GER,DF,,1991
Karim Bellarabi,de GER,FW,MF,1990
Héctor Bellerín,es ESP,DF,,1995
Andrea Belotti,it ITA,FW,,1993
Fran Beltrán,es ESP,MF,,1999
Hatem Ben Arfa,fr FRA,MF,FW,1987
Wissam Ben Yedder,fr FRA,FW,,1990
Marco Benassi,it ITA,MF,,1994
Medhi Benatia,ma MAR,DF,,1987
Lars Bender,de GER,DF,MF,1989
Sven Bender,de GER,DF,,1989
László Bénes,sk SVK,MF,,1997
Nicolas Benezet,fr FRA,MF,FW,1991
Ismaël Bennacer,dz ALG,MF,,1997
Joe Bennett,eng ENG,DF,,1990
Ryan Bennett,eng ENG,DF,,1990
Yassine Benrahou,fr FRA,MF,DF,1999
Ramy Bensebaini,dz ALG,DF,,1995
Nabil Bentaleb,dz ALG,MF,,1994
Rodrigo Bentancur,uy URU,MF,,1997
Christian Benteke,be BEL,FW,,1990
Karim Benzema,fr FRA,FW,,1987
Yassine Benzia,dz ALG,MF,,1994
Domenico Berardi,it ITA,FW,MF,1994
Yuri Berchiche,es ESP,DF,FW,1990
Álex Berenguer,es ESP,MF,FW,1995
Bartosz Bereszyński,pl POL,DF,,1992
Jóhann Berg Guðmundsson,is ISL,MF,FW,1990
Markel Bergara,es ESP,MF,,1986
Robert Berić,si SVN,FW,,1991
Valon Berisha,xk KVX,MF,,1993
Bernard,br BRA,FW,MF,1992
Federico Bernardeschi,it ITA,FW,MF,1994
Bernardo,br BRA,DF,,1995
Juan Bernat,es ESP,DF,MF,1993
Antoine Bernede,fr FRA,MF,,1999
Ryan Bertrand,eng ENG,DF,,1989
Daniel Bessa,it ITA,MF,,1993
Louis Beyer,de GER,DF,,2000
Jonathan Biabiany,fr FRA,FW,MF,1988
Giulian Biancone,fr FRA,DF,,2000
Ermin Bičakčić,ba BIH,DF,,1990
Pedro Bigas,es ESP,DF,,1990
Lucas Biglia,ar ARG,MF,,1986
Philip Billing,dk DEN,MF,,1996
Cristiano Biraghi,it ITA,DF,,1992
Davide Biraschi,it ITA,DF,,1994
Valter Birsa,si SVN,MF,FW,1986
Valter Birsa,si SVN,MF,FW,1986
Yves Bissouma,ml MLI,MF,,1996
Leonardo Bittencourt,de GER,MF,,1993
Alejandro Blanco,es ESP,FW,MF,1998
Ludovic Blas,fr FRA,MF,FW,1997
Pablo de Blasis,ar ARG,FW,,1988
Pablo de Blasis,ar ARG,DF,MF,1988
Alexis Blin,fr FRA,MF,,1996
Danny Blum,de GER,FW,,1991
Emmanuel Boateng,gh GHA,FW,,1996
Jérôme Boateng,de GER,DF,,1988
Kevin-Prince Boateng,gh GHA,FW,,1987
Kevin-Prince Boateng,gh GHA,FW,,1987
Antonin Bobichon,fr FRA,MF,,1995
Yann Bodiger,fr FRA,MF,,1995
Mathieu Bodmer,fr FRA,MF,FW,1982
Adam Bodzek,de GER,MF,DF,1985
Jean-Paul Boëtius,nl NED,MF,FW,1994
Sacha Boey,fr FRA,DF,MF,2000
Jeremie Boga,ci CIV,FW,MF,1997
Willy Boly,ci CIV,DF,,1991
Léo Bonatini,br BRA,FW,,1994
Giacomo Bonaventura,it ITA,MF,,1989
Daniele Bonera,it ITA,DF,,1981
Gaëtan Bong,cm CMR,DF,,1988
Kevin Bonifazi,it ITA,DF,,1996
Leonardo Bonucci,it ITA,DF,,1987
Fabio Borini,it ITA,FW,MF,1991
Robin Bormuth,de GER,DF,,1995
Olivier Boscagli,fr FRA,DF,MF,1997
Gabriel Boschilia,br BRA,FW,MF,1996
John Bostock,tt TRI,MF,,1992
Denis Bouanga,ga GAB,FW,MF,1994
Ryad Boudebouz,dz ALG,MF,,1990
Ryad Boudebouz,dz ALG,MF,FW,1990
Sofiane Boufal,ma MAR,MF,FW,1993
Nassim Boujellab,ma MAR,MF,,1999
Arnold Bouka Moutou,cg CGO,DF,FW,1988
Mehdi Bourabia,ma MAR,MF,,1991
Benjamin Bourigeaud,fr FRA,MF,FW,1994
Bilal Boutobba,fr FRA,MF,,1998
Umut Bozok,tr TUR,FW,,1996
Filip Bradarić,hr CRO,MF,,1992
Robbie Brady,ie IRL,MF,FW,1992
Martin Braithwaite,dk DEN,FW,,1991
Julian Brandt,de GER,MF,FW,1996
Darko Brašanac,rs SRB,MF,,1992
Pedro Brazão,pt POR,FW,DF,2002
Josip Brekalo,hr CRO,FW,MF,1998
Gleison Bremer,br BRA,DF,,1997
Joshua Brenet,nl NED,DF,MF,1994
Rajko Brežančić,rs SRB,DF,,1989
Anthony Briançon,fr FRA,DF,,1994
Jimmy Briand,fr FRA,FW,,1985
Nicolò Brighenti,it ITA,DF,,1989
Matteo Brighi,it ITA,MF,,1981
Enrico Brignola,it ITA,FW,,1999
