Player,Nation,Pos,Secondary_Pos,Born
Cristian Ansaldi,ar ARG,DF,,1986.0
Luca Antei,it ITA,DF,,1992.0
Luca Antonelli,it ITA,DF,,1987.0
José Antonio Reyes,es ESP,MF,FW,1983.0
Michail Antonio,eng ENG,MF,FW,1990.0
Ikechi Anya,sco SCO,FW,MF,1988.0
Siniša Anđelković,si SVN,DF,,1986.0
Dennis Aogo,de GER,MF,DF,1987.0
Houssem Aouar,fr FRA,FW,,1998.0
Carlos Apna Embaló,gw GNB,FW,MF,1994.0
Alberto Aquilani,it ITA,MF,,1984.0
Alberto Aquilani,it ITA,MF,FW,1984.0
Mauro Arambarri,uy URU,MF,,1995.0
Mattia Aramu,it ITA,FW,,1995.0
Charles Aránguiz,cl CHI,MF,,1989.0
Sergio Araujo,ar ARG,FW,,1992.0
Álvaro Arbeloa,es ESP,DF,,1983.0
Anaitz Arbilla,es ESP,DF,,1987.0
Scott Arfield,ca CAN,MF,,1988.0
Fernando Aristeguieta,ve VEN,FW,,1992.0
Sylvain Armand,fr FRA,DF,,1980.0
Pablo Armero,co COL,DF,,1986.0
Marko Arnautović,at AUT,MF,FW,1989.0
Maximilian Arnold,de GER,MF,,1994.0
Alejandro Arribas,es ESP,DF,,1989.0
Harry Arter,ie IRL,MF,,1989.0
Aythami Artiles,es ESP,DF,,1986.0
Kwadwo Asamoah,gh GHA,DF,MF,1988.0
Marco Asensio,es ESP,FW,MF,1996.0
Joel Asoro,se SWE,FW,,1999.0
Iago Aspas,es ESP,FW,MF,1987.0
Benoît Assou-Ekotto,cm CMR,DF,,1984.0
Davide Astori,it ITA,DF,,1987.0
Barış Atik,de GER,MF,,1995.0
Omer Atzili,il ISR,MF,,1993.0
Pierre-Emerick Aubameyang,ga GAB,FW,,1989.0
Jean-Kévin Augustin,fr FRA,FW,,1997.0
Serge Aurier,ci CIV,DF,,1992.0
Charlie Austin,eng ENG,FW,,1989.0
Donis Avdijaj,xk KVX,MF,,1996.0
Danilo Avelar,br BRA,DF,,1989.0
Daniel Ayala,es ESP,DF,,1990.0
