,Player,Nation,Born
90,Waldemar Anton,de GER,1996.0
91,Luca Antonelli,it ITA,1987.0
92,Michail Antonio,eng ENG,1990.0
93,Mirko Antonucci,it ITA,1999.0
94,Vitorino Antunes,pt POR,1987.0
95,Dennis Aogo,de GER,1987.0
96,Houssem Aouar,fr FRA,1998.0
97,Alberto Aquilani,it ITA,1984.0
98,Mauro Arambarri,uy URU,1995.0
99,Guilherme Arana,br BRA,1997.0
100,Charles Aránguiz,cl CHI,1989.0
101,Luiz Araújo,br BRA,1996.0
102,Sergio Araujo,ar ARG,1992.0
103,Anaitz Arbilla,es ESP,1987.0
104,Scott Arfield,ca CAN,1988.0
105,Samuel Armenteros,se SWE,1990.0
106,Yoël Armougom,fr FRA,1998.0
107,José Arnaiz,es ESP,1995.0
108,Marko Arnautović,at AUT,1989.0
109,Maximilian Arnold,de GER,1994.0
110,Jann-Fiete Arp,de GER,2000.0
111,Alejandro Arribas,es ESP,1989.0
112,Sergio Arribas,es ESP,1995.0
113,Harry Arter,ie IRL,1989.0
114,Aythami Artiles,es ESP,1986.0
115,Kwadwo Asamoah,gh GHA,1988.0
116,Takuma Asano,jp JPN,1994.0
117,Santiago Ascacíbar,ar ARG,1997.0
118,Marco Asensio,es ESP,1996.0
119,Iago Aspas,es ESP,1987.0
120,Benoît Assou-Ekotto,cm CMR,1984.0
121,Simon Asta,de GER,2001.0
122,Davide Astori,it ITA,1987.0
123,Christian Atsu,gh GHA,1992.0
124,Pierre-Emerick Aubameyang,ga GAB,1989.0
126,Jean-Kévin Augustin,fr FRA,1997.0
127,Ludwig Augustinsson,se SWE,1994.0
128,Yann Aurel Bisseck,de GER,2000.0
129,Serge Aurier,ci CIV,1992.0
130,Charlie Austin,eng ENG,1989.0
131,Danilo Avelar,br BRA,1989.0
132,Felipe Avenatti,uy URU,1993.0
133,Durel Avounou,cg CGO,1997.0
134,Chidozie Awaziem,ng NGA,1997.0
135,André Ayew,gh GHA,1989.0
137,Jordan Ayew,gh GHA,1991.0
138,Karim Azamoum,fr FRA,1990.0
139,César Azpilicueta,es ESP,1989.0
140,Ludovic Baal,gf GUF,1986.0
141,Khouma Babacar,sn SEN,1993.0
143,Carlos Bacca,co COL,1986.0
144,Milan Badelj,hr CRO,1989.0
145,Holger Badstuber,de GER,1989.0
146,Dylan Bahamboula,cg CGO,1995.0
147,Farès Bahlouli,fr FRA,1995.0
148,Stéphane Bahoken,cm CMR,1992.0
149,Daniel Baier,de GER,1984.0
150,Leon Bailey,jm JAM,1997.0
151,Eric Bailly,ci CIV,1994.0
152,Leighton Baines,eng ENG,1984.0
153,Riad Bajić,ba BIH,1994.0
154,Marvin Bakalorz,de GER,1989.0
155,Cédric Bakambu,cd COD,1991.0
156,Tiemoué Bakayoko,fr FRA,1994.0
157,Zakaria Bakkali,be BEL,1996.0
158,Ridle Baku,de GER,1998.0
159,Keita Baldé,sn SEN,1995.0
160,Sam Baldock,eng ENG,1989.0
161,Gareth Bale,wal WAL,1989.0
162,Mikel Balenziaga,es ESP,1988.0
163,Andrija Balić,hr CRO,1997.0
164,Iván Balliu,al ALB,1992.0
165,Fodé Ballo-Touré,sn SEN,1997.0
166,Florent Balmont,fr FRA,1980.0
167,Leon Balogun,ng NGA,1988.0
168,Mario Balotelli,it ITA,1990.0
169,Abdoulaye Bamba,ci CIV,1990.0
170,Jonathan Bamba,fr FRA,1996.0
171,Yacine Bammou,ma MAR,1991.0
172,Éver Banega,ar ARG,1988.0
173,Mattia Bani,it ITA,1993.0
174,Beni Baningime,cd COD,1998.0
175,Léo Baptistão,br BRA,1992.0
176,Sekou Baradji,fr FRA,1984.0
177,Antonín Barák,cz CZE,1994.0
178,Andrea Barberis,it ITA,1993.0
179,Enis Bardhi,mk MKD,1995.0
180,Phil Bardsley,sco SCO,1985.0
181,Nicolò Barella,it ITA,1997.0
182,Philipp Bargfrede,de GER,1989.0
