,Player,Nation,Born
1429,Marcelo,br BRA,1988.0
1430,Solly March,eng ENG,1994.0
1431,Claudio Marchisio,it ITA,1986.0
1432,Gian Marco Ferrari,it ITA,1992.0
1433,Óscar de Marcos,es ESP,1989.0
1434,José María Giménez,uy URU,1995.0
1435,Mariano,do DOM,1993.0
1436,Adrian Mariappa,jm JAM,1986.0
1437,Jordan Marié,fr FRA,1991.0
1438,Adrián Marín,es ESP,1997.0
1439,João Mário,pt POR,1993.0
1441,Guillermo Maripán,cl CHI,1994.0
1442,Marlon,br BRA,1995.0
1443,Dominic Maroh,si SVN,1987.0
1444,Marquinhos,br BRA,1994.0
1445,Bruno Martella,it ITA,1992.0
1446,Roger Martí,es ESP,1991.0
1447,Anthony Martial,fr FRA,1995.0
1448,Aarón Martín,es ESP,1997.0
1449,Jonas Martin,fr FRA,1990.0
1450,Cuco Martina,cw CUW,1989.0
1451,Carlos Martínez,es ESP,1986.0
1452,Iñigo Martínez,es ESP,1991.0
1454,Javi Martínez,es ESP,1988.0
1455,Pablo Martinez,fr FRA,1989.0
1456,Roger Martínez,co COL,1994.0
1457,Bruno Martins Indi,nl NED,1992.0
1458,Jonathan Martins Pereira,fr FRA,1986.0
1459,Christopher Martins,lu LUX,1997.0
1460,Adam Marušić,me MNE,1992.0
1461,Omar Mascarell,es ESP,1993.0
1462,Javier Mascherano,ar ARG,1984.0
1463,Andrea Masiello,it ITA,1986.0
1464,Adam Masina,ma MAR,1994.0
1465,Eden Massouema,cg CGO,1997.0
1466,Arthur Masuaku,cd COD,1993.0
1467,Juan Mata,es ESP,1988.0
1468,Nemanja Matić,rs SRB,1988.0
1469,Joël Matip,cm CMR,1991.0
1470,Ryder Matos,br BRA,1993.0
1472,Alessandro Matri,it ITA,1984.0
1473,Ville Matti Steinmann,de GER,1995.0
1474,Federico Mattiello,it ITA,1995.0
1475,Blaise Matuidi,fr FRA,1987.0
1477,José Mauri,it ITA,1996.0
1478,Maurício,br BRA,1988.0
1479,Mërgim Mavraj,al ALB,1986.0
1480,Konstantinos Mavropanos,gr GRE,1997.0
1481,Alfie Mawson,eng ENG,1994.0
1482,Philipp Max,de GER,1993.0
1483,Eric Maxim Choupo-Moting,cm CMR,1989.0
1484,Alexandru Maxim,ro ROU,1990.0
1485,Florian Mayer,de GER,1998.0
1486,Borja Mayoral,es ESP,1997.0
1487,Róbert Mazáň,sk SVK,1994.0
1488,Luca Mazzitelli,it ITA,1995.0
1489,Kylian Mbappé,fr FRA,1998.0
1491,Ibrahima Mbaye,sn SEN,1994.0
1492,Chancel Mbemba,cd COD,1994.0
1493,Adama Mbengue,sn SEN,1993.0
1494,Isaac Mbenza,be BEL,1996.0
1495,Bryan Mbeumo,fr FRA,1999.0
1496,Jordi Mboula,es ESP,1999.0
1497,James McArthur,sco SCO,1987.0
1498,Gareth McAuley,nir NIR,1979.0
1499,Oliver McBurnie,sco SCO,1996.0
1500,James McCarthy,ie IRL,1990.0
1501,James McClean,ie IRL,1989.0
1502,Weston McKennie,us USA,1998.0
1503,Sam McQueen,eng ENG,1995.0
1504,Scott McTominay,sco SCO,1996.0
1505,Iuri Medeiros,pt POR,1994.0
1506,Slobodan Medojević,rs SRB,1990.0
1507,Álvaro Medrán,es ESP,1994.0
1509,Ben Mee,eng ENG,1989.0
1510,Riccardo Meggiorini,it ITA,1985.0
1511,Admir Mehmedi,ch SUI,1991.0
1513,Alexander Meier,de GER,1983.0
1514,Soualiho Meïté,fr FRA,1994.0
1516,Óscar Melendo,es ESP,1997.0
1517,Ledian Memushaj,al ALB,1986.0
1518,Pedro Mendes,pt POR,1990.0
1519,Thiago Mendes,br BRA,1992.0
1520,Brais Méndez,es ESP,1997.0
1521,Stiven Mendoza,co COL,1992.0
1522,Alexandre Mendy,gw GNB,1994.0
1523,Benjamin Mendy,fr FRA,1994.0
1524,Ferland Mendy,fr FRA,1995.0
1525,Nampalys Mendy,sn SEN,1992.0
1526,Hamza Mendyl,ma MAR,1997.0
1527,Gabriel Mercado,ar ARG,1987.0
1528,Jorge Meré,es ESP,1997.0
1529,Mikel Merino,es ESP,1996.0
1530,Sabin Merino,es ESP,1992.0
1531,Dries Mertens,be BEL,1987.0
1532,Per Mertesacker,de GER,1984.0
1533,Roque Mesa,es ESP,1989.0
1535,Lionel Messi,ar ARG,1987.0
1536,Thomas Meunier,be BEL,1991.0
1537,Mexer,mz MOZ,1988.0
1538,Max Meyer,de GER,1995.0
1539,Senna Miangue,be BEL,1997.0
1540,Michel,br BRA,1990.0
1541,Clément Michelin,fr FRA,1997.0
1542,Francesco Migliore,it ITA,1988.0
1543,Nikola Milenković,rs SRB,1997.0
1544,Danijel Milićević,ba BIH,1986.0
1545,Arkadiusz Milik,pl POL,1994.0
1546,Sergej Milinković-Savić,rs SRB,1995.0
1547,Luka Milivojević,rs SRB,1991.0
1548,James Milner,eng ENG,1986.0
1549,Santi Mina,es ESP,1995.0
1550,Yerry Mina,co COL,1994.0
1551,Tyrone Mings,eng ENG,1993.0
1552,Ignasi Miquel,es ESP,1992.0
1553,Kevin Mirallas,be BEL,1987.0
1554,Miranda,br BRA,1984.0
1555,Simone Missiroli,it ITA,1986.0
1556,Kostas Mitroglou,gr GRE,1988.0
1557,Aleksandar Mitrović,rs SRB,1994.0
1558,Maximilian Mittelstädt,de GER,1997.0
1559,Henrikh Mkhitaryan,am ARM,1989.0
1561,Luka Modrić,hr CRO,1985.0
1562,Niklas Moisander,fi FIN,1985.0
1563,Johan Mojica,co COL,1992.0
1564,Jorge Molina,es ESP,1982.0
1565,Cristian Molinaro,it ITA,1983.0
1566,Francisco Molinero,es ESP,1985.0
1567,Florent Mollet,fr FRA,1991.0
1568,Momo,es ESP,1982.0
1569,Thomas Monconduit,fr FRA,1991.0
1570,Kévin Monnet-Paquet,fr FRA,1988.0
1571,Nacho Monreal,es ESP,1986.0
1572,Jefferson Montero,ec ECU,1989.0
1573,Riccardo Montolivo,it ITA,1985.0
1574,Martín Montoya,es ESP,1991.0
1575,Walter Montoya,ar ARG,1993.0
1576,Shaquell Moore,us USA,1996.0
1577,Aaron Mooy,au AUS,1990.0
1578,Emre Mor,tr TUR,1997.0
1579,Luca Mora,it ITA,1988.0
1580,Sergio Mora,es ESP,1979.0
1581,Erik Morán,es ESP,1991.0
1582,Álvaro Morata,es ESP,1992.0
1583,Jan Morávek,cz CZE,1989.0
1584,Jérémy Morel,mg MAD,1984.0
1585,Alberto Moreno,es ESP,1992.0
1586,Gerard Moreno,es ESP,1992.0
1587,Héctor Moreno,mx MEX,1988.0
1589,Marlos Moreno,co COL,1996.0
1590,Emiliano Moretti,it ITA,1981.0
1591,Wes Morgan,jm JAM,1984.0
1592,Loren Morón,es ESP,1993.0
1593,James Morrison,sco SCO,1986.0
1594,Victor Moses,ng NGA,1990.0
1595,Pedro Mosquera,es ESP,1988.0
1596,Lebo Mothiba,za RSA,1996.0
1597,Thiago Motta,it ITA,1982.0
1598,François Moubandje,ch SUI,1990.0
1599,Steve Mounié,bj BEN,1994.0
1600,Lucas Moura,br BRA,1992.0
1602,Lys Mousset,fr FRA,1996.0
1603,João Moutinho,pt POR,1986.0
1604,Samuel Moutoussamy,cd COD,1996.0
1605,Toni Moya,es ESP,1998.0
1606,Ndombe Mubele,cd COD,1994.0
1608,Nordi Mukiele,fr FRA,1997.0
1609,Álex Mula,es ESP,1996.0
1610,Nicolai Müller,de GER,1987.0
1611,Thomas Müller,de GER,1989.0
1612,Iker Muniain,es ESP,1992.0
1613,Marc Muniesa,es ESP,1992.0
1614,Ezequiel Muñoz,ar ARG,1990.0
1615,Sulley Muntari,gh GHA,1984.0
1616,Alessandro Murgia,it ITA,1996.0
1617,Luis Muriel,co COL,1991.0
1618,Jeison Murillo,co COL,1992.0
1619,Jacob Murphy,eng ENG,1995.0
1620,Jamie Murphy,sco SCO,1989.0
1621,Glenn Murray,eng ENG,1983.0
1622,Nicola Murru,it ITA,1994.0
1623,Mateo Musacchio,ar ARG,1990.0
1624,Charly Musonda Jr.,be BEL,1996.0
1625,Shkodran Mustafi,de GER,1992.0
1626,Yoshinori Mutō,jp JPN,1992.0
1627,Fahad Al-Muwallad,sa KSA,1996.0
1628,Alfred N'Diaye,sn SEN,1990.0
1629,Kévin N'Doram,fr FRA,1996.0
1630,Abdallah N'dour,sn SEN,1993.0
1631,Clinton N'Jie,cm CMR,1993.0
1632,Georges-Kévin N'Koudou,fr FRA,1995.0
1634,Stanley N'Soki,fr FRA,1999.0
1635,Nacho,es ESP,1990.0
1636,Yuto Nagatomo,jp JPN,1986.0
1637,Ádám Nagy,hu HUN,1995.0
1638,Matías Nahuel,es ESP,1996.0
1639,Radja Nainggolan,be BEL,1988.0
1640,Préjuce Nakoulma,bf BFA,1987.0
1641,Naldo,br BRA,1982.0
1642,Naldo,br BRA,1988.0
1643,Andrea Nalini,it ITA,1990.0
1644,Nani,pt POR,1986.0
1645,Nano,es ESP,1995.0
1646,Naranjo,es ESP,1994.0
1647,Luciano Narsingh,nl NED,1990.0
1648,Nikolas Nartey,dk DEN,2000.0
1649,Juanjo Narváez,co COL,1995.0
1650,Matija Nastasić,rs SRB,1993.0
1651,Nathan,br BRA,1996.0
1652,Kyle Naughton,eng ENG,1988.0
1653,Fernando Navarro,es ESP,1982.0
1654,Marc Navarro,es ESP,1995.0
1655,Rafa Navarro,es ESP,1994.0
1656,Ximo Navarro,es ESP,1990.0
1657,Jesús Navas,es ESP,1985.0
1658,Raúl Navas,es ESP,1988.0
1659,Badou Ndiaye,sn SEN,1990.0
1660,Wilfred Ndidi,ng NGA,1996.0
1661,Merveille Ndockyt,cg CGO,1998.0
1662,Tanguy Ndombele,fr FRA,1996.0
1664,Reiss Nelson,eng ENG,1999.0
1665,Neymar,br BRA,1992.0
1666,Yeni Ngbakoto,cd COD,1992.0
1667,Santy Ngom,sn SEN,1993.0
1668,Guy Ngosso,cm CMR,1985.0
1669,Julien Ngoy,be BEL,1997.0
1670,Opa Nguette,sn SEN,1994.0
1671,Moussa Niakhate,fr FRA,1996.0
1672,Adama Niane,ml MLI,1993.0
1673,Ibrahima Niane,sn SEN,1999.0
1674,M'Baye Niang,sn SEN,1994.0
1675,Oumar Niasse,sn SEN,1990.0
1676,Florian Niederlechner,de GER,1990.0
1677,Saúl Ñíguez,es ESP,1994.0
1678,Casimir Ninga,td CHA,1993.0
1679,Benjamin Nivet,fr FRA,1977.0
1680,Eddie Nketiah,eng ENG,1999.0
1681,Jordan Nkololo,cd COD,1992.0
1682,Nicolas Nkoulou,cm CMR,1990.0
1683,Christopher Nkunku,fr FRA,1997.0
1684,Lukas Nmecha,de GER,1998.0
1685,Mark Noble,eng ENG,1987.0
1686,Vincent Nogueira,fr FRA,1988.0
1687,Nolito,es ESP,1986.0
1688,Håvard Nordtveit,no NOR,1990.0
1689,Paul-Georges Ntep,cm CMR,1992.0
1691,Unai Núñez,es ESP,1997.0
1692,Bram Nuytinck,nl NED,1990.0
1693,Simeon Nwankwo,ng NGA,1992.0
1694,Gerzino Nyamsi,fr FRA,1997.0
1695,Allan Nyom,cm CMR,1988.0
1696,Steven Nzonzi,fr FRA,1988.0
1697,Aiden O'Neill,au AUS,1998.0
1698,Michael Obafemi,ie IRL,2000.0
1699,Joel Obi,ng NGA,1991.0
1700,Johann Obiang,ga GAB,1993.0
1701,Pedro Obiang,gq EQG,1992.0
1702,Lucas Ocampos,ar ARG,1994.0
1703,Philipp Ochs,de GER,1997.0
1704,Bastian Oczipka,de GER,1989.0
1705,Álvaro Odriozola,es ESP,1995.0
1706,Ebenezer Ofori,gh GHA,1995.0
1707,Angelo Ogbonna,it ITA,1988.0
1708,Marios Oikonomou,gr GRE,1992.0
1709,Stefano Okaka,it ITA,1989.0
1710,Shinji Okazaki,jp JPN,1986.0
1711,Orji Okwonkwo,ng NGA,1998.0
1712,Kwasi Okyere Wriedt,gh GHA,1994.0
1713,Paulo Oliveira,pt POR,1992.0
1714,Mathías Olivera,uy URU,1997.0
1715,Maximiliano Olivera,uy URU,1992.0
1716,Paweł Olkowski,pl POL,1990.0
1717,Martin Olsson,se SWE,1988.0
1718,Michael Olunga,ke KEN,1994.0
1719,Stephane Omeonga,be BEL,1996.0
1720,Prince Oniangué,cg CGO,1988.0
1721,Karim Onisiwo,at AUT,1992.0
1722,Javier Ontiveros,es ESP,1997.0
1723,Daniel Opare,gh GHA,1990.0
1724,Willi Orban,hu HUN,1992.0
1725,Fabián Orellana,cl CHI,1986.0
1726,Divock Origi,be BEL,1995.0
1728,Riccardo Orsolini,it ITA,1997.0
1730,Yuya Osako,jp JPN,1990.0
1731,Victor Osimhen,ng NGA,1998.0
1732,Matthias Ostrzolek,de GER,1990.0
1733,Nicolás Otamendi,ar ARG,1988.0
1734,Otávio,br BRA,1994.0
1735,Anas Ouahim,de GER,1997.0
1736,Adam Ounas,dz ALG,1996.0
1737,Reece Oxford,eng ENG,1998.0
1739,Alex Oxlade-Chamberlain,eng ENG,1993.0
1741,Mikel Oyarzabal,es ESP,1997.0
1742,Ambroise Oyongo,cm CMR,1991.0
1743,Berkay Özcan,tr TUR,1998.0
1744,Salih Özcan,de GER,1998.0
1745,Mesut Özil,de GER,1988.0
1746,Levin Öztunalı,de GER,1996.0
1747,Pablo,br BRA,1991.0
1748,Daniel Pacheco,es ESP,1991.0
1749,Simone Padoin,it ITA,1984.0
1750,Vincent Pajot,fr FRA,1990.0
1751,Rodrigo Palacio,ar ARG,1982.0
1752,Raffaele Palladino,it ITA,1984.0
1753,Nicolas Pallois,fr FRA,1987.0
1754,Kasey Palmer,jm JAM,1996.0
1755,Emerson Palmieri,it ITA,1994.0
1757,Julian Palmieri,fr FRA,1986.0
1758,Simone Palombi,it ITA,1996.0
1759,Alberto Paloschi,it ITA,1990.0
1760,Goran Pandev,mk MKD,1983.0
1761,Kyriakos Papadopoulos,gr GRE,1992.0
1762,Sokratis Papastathopoulos,gr GRE,1988.0
1763,Rubén Pardo,es ESP,1992.0
1764,Nicolás Pareja,ar ARG,1984.0
1765,Daniel Parejo,es ESP,1989.0
1766,Vittorio Parigini,it ITA,1996.0
1767,Shawn Parker,de GER,1993.0
1768,Marco Parolo,it ITA,1985.0
1769,Thomas Partey,gh GHA,1993.0
1770,Felix Passlack,de GER,1998.0
1772,Javier Pastore,ar ARG,1989.0
1773,Patric,es ESP,1993.0
1774,Paulinho,br BRA,1988.0
1775,Gabriel Paulista,br BRA,1990.0
1776,Benjamin Pavard,fr FRA,1996.0
1777,Daniel Pavlović,ba BIH,1988.0
1779,Mateo Pavlović,ba BIH,1990.0
1780,Leonardo Pavoletti,it ITA,1988.0
1781,Dimitri Payet,fr FRA,1987.0
1782,Giampaolo Pazzini,it ITA,1984.0
1784,Alfonso Pedraza,es ESP,1996.0
1785,Pedro,es ESP,1987.0
1786,João Pedro,br BRA,1992.0
1787,Stef Peeters,be BEL,1992.0
1788,Peter Pekarík,sk SVK,1986.0
1789,Bryan Pelé,fr FRA,1992.0
1790,Pietro Pellegri,it ITA,2001.0
1792,Lorenzo Pellegrini,it ITA,1996.0
1793,Théo Pellenard,fr FRA,1994.0
1794,Sergio Pellissier,it ITA,1979.0
1795,Federico Peluso,it ITA,1984.0
1796,Rubén Peña,es ESP,1991.0
1797,Gabriel Peñalba,ar ARG,1984.0
1798,Adalberto Peñaranda,ve VEN,1997.0
1799,Nicolas Pépé,ci CIV,1995.0
1800,Andreas Pereira,br BRA,1996.0
1801,Pedro Pereira,pt POR,1998.0
1802,Bruno Peres,br BRA,1990.0
1803,Roberto Pereyra,ar ARG,1991.0
1804,Ayoze Pérez,es ESP,1993.0
1805,Hernán Pérez,py PAR,1989.0
1807,Lucas Pérez,es ESP,1988.0
1808,Rubén Pérez,es ESP,1989.0
1809,Stipe Perica,hr CRO,1995.0
1810,Ivan Perišić,hr CRO,1989.0
1811,Diego Perotti,ar ARG,1988.0
1812,Romain Perraud,fr FRA,1997.0
1813,Loïc Perrin,fr FRA,1985.0
1814,Andrea Petagna,it ITA,1995.0
1815,Nils Petersen,de GER,1988.0
1816,Bruno Petković,hr CRO,1994.0
1818,Germán Pezzella,ar ARG,1991.0
1819,Giuseppe Pezzella,it ITA,1997.0
1820,Maximilian Philipp,de GER,1994.0
1821,Chris Philipps,lu LUX,1994.0
1822,Matt Phillips,sco SCO,1991.0
1823,Lebogang Phiri,za RSA,1994.0
1824,Pablo Piatti,ar ARG,1989.0
1825,Jérémy Pied,fr FRA,1989.0
1826,Nicholas Pierini,it ITA,1998.0
1827,Ronaël Pierre-Gabriel,fr FRA,1998.0
1828,Erik Pieters,nl NED,1988.0
1829,Tomás Pina Isla,es ESP,1987.0
1830,Andrea Pinamonti,it ITA,1999.0
1831,Gerard Piqué,es ESP,1987.0
1832,Facundo Píriz,uy URU,1990.0
1833,Fabio Pisacane,it ITA,1986.0
1834,Łukasz Piszczek,pl POL,1985.0
1835,Claudio Pizarro,pe PER,1978.0
1836,Guido Pizarro,ar ARG,1990.0
1837,Marko Pjaca,hr CRO,1995.0
1838,Miralem Pjanić,ba BIH,1990.0
1839,Carles Planas,es ESP,1991.0
1840,Jaroslav Plašil,cz CZE,1982.0
1841,Marvin Plattenhardt,de GER,1992.0
1842,Alassane Pléa,fr FRA,1993.0
1843,Morgan Poaty,cg CGO,1997.0
1844,Gerónimo Poblete,ar ARG,1993.0
1845,Florentin Pogba,gn GUI,1990.0
1846,Paul Pogba,fr FRA,1993.0
1847,Joel Pohjanpalo,fi FIN,1994.0
1848,Eugen Polanski,pl POL,1986.0
1849,Andrea Poli,it ITA,1989.0
1850,Matteo Politano,it ITA,1993.0
1851,Ezequiel Ponce,ar ARG,1997.0
1852,Pere Pons,es ESP,1993.0
1853,Simone Pontisso,it ITA,1997.0
1854,Jérémie Porsan-Clémenté,fr FRA,1997.0
1855,Francisco Portillo,es ESP,1990.0
1856,Portu,es ESP,1992.0
1857,Stefan Posch,at AUT,1997.0
1858,Sergio Postigo,es ESP,1988.0
1859,Yussuf Poulsen,dk DEN,1994.0
1860,Maxime Poundjé,fr FRA,1992.0
1861,Darío Poveda,es ESP,1997.0
1862,Dennis Praet,be BEL,1994.0
1863,Sanjin Prcić,ba BIH,1993.0
1864,Nicolas de Préville,fr FRA,1991.0
1866,Xabi Prieto,es ESP,1983.0
1867,Alex Pritchard,eng ENG,1993.0
1868,Sloan Privat,fr FRA,1989.0
1869,Sebastian Prödl,at AUT,1987.0
1870,Davy Pröpper,nl NED,1991.0
1871,Manuel Pucciarelli,it ITA,1991.0
1872,Marc Pugh,eng ENG,1987.0
1873,Erick Pulgar,cl CHI,1994.0
1874,Christian Pulisic,us USA,1998.0
1875,Jason Puncheon,eng ENG,1986.0
1876,George Pușcaș,ro ROU,1996.0
1877,Loïc Puyo,fr FRA,1988.0
1878,Fabio Quagliarella,it ITA,1983.0
1879,Robin Quaison,se SWE,1993.0
1880,Collin Quaner,de GER,1991.0
1881,Dani Raba,es ESP,1995.0
1882,Adrien Rabiot,fr FRA,1995.0
1883,Nemanja Radoja,rs SRB,1993.0
1884,Ivan Radovanović,rs SRB,1988.0
1885,Ștefan Radu,ro ROU,1986.0
1886,Rafael,br BRA,1990.0
1887,Raffael,br BRA,1985.0
1888,Rafinha,br BRA,1985.0
1889,Rafinha,br BRA,1993.0
1890,Andrea Raggi,it ITA,1984.0
1891,Antonino Ragusa,it ITA,1990.0
1892,Baba Rahman,gh GHA,1994.0
1893,Ivan Rakitić,hr CRO,1988.0
1894,André Ramalho,br BRA,1992.0
1895,Jonás Ramalho,es ESP,1993.0
1896,Adil Rami,fr FRA,1985.0
1897,Benito Ramírez,es ESP,1995.0
1898,Gastón Ramírez,uy URU,1990.0
1899,Sandro Ramírez,es ESP,1995.0
1901,Iván Ramis,es ESP,1984.0
1902,Omar Ramos,es ESP,1988.0
1903,Sergio Ramos,es ESP,1986.0
1904,Aaron Ramsey,wal WAL,1990.0
1905,Àngel Rangel,es ESP,1982.0
1906,Andrea Ranocchia,it ITA,1988.0
1907,Marcus Rashford,eng ENG,1997.0
1908,Milot Rashica,xk KVX,1996.0
1909,Konstantin Rausch,ru RUS,1990.0
1910,Yoric Ravet,fr FRA,1989.0
1911,Ante Rebić,hr CRO,1993.0
1912,Pedro Rebocho,pt POR,1995.0
1913,Recio,es ESP,1991.0
1914,Nathan Redmond,eng ENG,1994.0
1915,Alberto Redondo,es ESP,1997.0
1916,Fabian Reese,de GER,1997.0
1917,Vasco Regini,it ITA,1990.0
1918,Winston Reid,nz NZL,1988.0
1919,Jeff Reine-Adélaïde,fr FRA,1998.0
1920,Karim Rekik,nl NED,1994.0
1921,Loïc Rémy,fr FRA,1987.0
1923,Jan Repas,si SVN,1997.0
1924,Panagiotis Retsos,gr GRE,1998.0
1925,Marco Reus,de GER,1989.0
1926,Elvis Rexhbeçaj,de GER,1997.0
1927,Franck Ribéry,fr FRA,1983.0
1928,Federico Ricca,uy URU,1994.0
1929,Federico Ricci,it ITA,1994.0
1931,Declan Rice,eng ENG,1999.0
1932,Richarlison,br BRA,1997.0
1933,Marco Richter,de GER,1997.0
1934,Diego Rico,es ESP,1993.0
1935,Mikel Rico,es ESP,1984.0
1936,Jaïro Riedewald,nl NED,1996.0
1937,Luca Rigoni,it ITA,1984.0
1938,Nicola Rigoni,it ITA,1990.0
1939,Tomás Rincón,ve VEN,1988.0
1940,Birk Risa,no NOR,1998.0
1941,Marcel Risse,de GER,1989.0
1942,Matt Ritchie,sco SCO,1989.0
1943,Cristian Rivera,es ESP,1997.0
1944,Emmanuel Rivière,fr FRA,1990.0
1945,Jonathan Rivierez,fr FRA,1989.0
1946,Luca Rizzo,it ITA,1992.0
1947,Arjen Robben,nl NED,1984.0
1948,Rober,es ESP,1995.0
1949,Sergi Roberto,es ESP,1992.0
1950,Connor Roberts,wal WAL,1995.0
1951,Andrew Robertson,sco SCO,1994.0
1952,Álex Robles,es ESP,1999.0
1953,Hal Robson-Kanu,wal WAL,1989.0
1954,Marc Roca,es ESP,1996.0
1955,Rubén Rochina,es ESP,1991.0
1956,Ronny Rodelin,fr FRA,1989.0
1957,Rodri,es ESP,1996.0
1958,Rodrigo,es ESP,1991.0
1959,Kévin Rodrigues,pt POR,1994.0
1960,Ángel Rodríguez,es ESP,1987.0
1961,Iván Rodríguez,es ESP,1996.0
1962,James Rodríguez,co COL,1991.0
1963,Jay Rodriguez,eng ENG,1989.0
1964,Ricardo Rodríguez,ch SUI,1992.0
1965,Marko Rog,hr CRO,1995.0
1966,Rogério,br BRA,1998.0
1967,Marcus Rohdén,se SWE,1991.0
1968,Marcos Rojo,ar ARG,1990.0
1969,Diego Rolán,uy URU,1993.0
1970,Rolando,pt POR,1985.0
1971,Esteban Rolón,ar ARG,1995.0
1972,Filippo Romagna,it ITA,1997.0
1973,Alessio Romagnoli,it ITA,1995.0
1974,Simone Romagnoli,it ITA,1990.0
1975,Aristóteles Romero,ve VEN,1995.0
1976,Óscar Romero,py PAR,1992.0
1977,Oriol Romeu,es ESP,1991.0
1978,Rômulo,it ITA,1987.0
1979,Cristiano Ronaldo,pt POR,1985.0
1980,Facundo Roncaglia,ar ARG,1987.0
1981,Salomón Rondón,ve VEN,1989.0
1982,Valentin Rongier,fr FRA,1994.0
1983,Marten de Roon,nl NED,1991.0
1984,Wayne Rooney,eng ENG,1985.0
1985,Roberto Rosales,ve VEN,1988.0
1986,Danny Rose,eng ENG,1990.0
1987,Liam Rosenior,eng ENG,1984.0
1988,Aleandro Rosi,it ITA,1987.0
1989,Valentin Rosier,fr FRA,1996.0
1990,Luca Rossettini,it ITA,1985.0
1991,Giuseppe Rossi,it ITA,1987.0
1992,Jérôme Roussillon,fr FRA,1993.0
1993,Wayne Routledge,eng ENG,1985.0
1994,Nolan Roux,fr FRA,1988.0
1995,Antonio Rüdiger,de GER,1993.0
1996,Sebastian Rudy,de GER,1990.0
1997,Vincent Rüfli,ch SUI,1988.0
1998,Daniele Rugani,it ITA,1994.0
1999,Mário Rui,pt POR,1991.0
2000,Aitor Ruibal,es ESP,1996.0
2001,Fabián Ruiz Peña,es ESP,1996.0
2002,Víctor Ruiz,es ESP,1989.0
2003,Antonio Rukavina,rs SRB,1984.0
2004,Lukas Rupp,de GER,1991.0
2005,Marco Russ,de GER,1985.0
2006,Idriss Saadi,dz ALG,1992.0
2007,Youssouf Sabaly,sn SEN,1993.0
2008,Abdelhamid Sabiri,de GER,1996.0
2009,Marcel Sabitzer,at AUT,1994.0
2010,Enric Saborit,es ESP,1992.0
2011,Ihsan Sacko,fr FRA,1997.0
2013,Mujaid Sadick,es ESP,2000.0
2014,Armando Sadiku,al ALB,1991.0
2015,Umar Sadiq,ng NGA,1997.0
2016,Bacary Sagna,fr FRA,1983.0
2017,Adrián Sahibeddine,fr FRA,1994.0
2018,Nuri Şahin,tr TUR,1988.0
2019,Wesley Saïd,fr FRA,1995.0
2020,Allan Saint-Maximin,fr FRA,1997.0
2022,Henri Saivet,sn SEN,1990.0
2023,Gōtoku Sakai,jp JPN,1991.0
2024,Hiroki Sakai,jp JPN,1990.0
2025,Diafra Sakho,sn SEN,1989.0
2027,Mamadou Sakho,fr FRA,1990.0
2028,Bakary Sako,ml MLI,1988.0
2029,Emiliano Sala,ar ARG,1990.0
2030,Jacopo Sala,it ITA,1991.0
2031,Mohamed Salah,eg EGY,1992.0
2032,Bartosz Salamon,pl POL,1991.0
2033,Carlos Salcedo,mx MEX,1993.0
2034,Eddy Salcedo,it ITA,2001.0
2035,Yannis Salibur,fr FRA,1991.0
2036,Sejad Salihović,ba BIH,1984.0
2037,Yoann Salmier,gf GUF,1992.0
2038,Junior Sambia,fr FRA,1996.0
2039,Frédéric Sammaritano,fr FRA,1986.0
2040,Sergi Samper,es ESP,1995.0
2041,Jairo Samperio,es ESP,1993.0
2043,Mario Sampirisi,it ITA,1992.0
2044,Mikel San José,es ESP,1989.0
2045,Antonio Sanabria,py PAR,1996.0
2046,Renato Sanches,pt POR,1997.0
2047,Alexis Sánchez,cl CHI,1988.0
2049,Carlos Sánchez,co COL,1986.0
2051,Davinson Sánchez,co COL,1996.0
2052,Sergio Sánchez,es ESP,1986.0
2053,Víctor Sánchez,es ESP,1987.0
2054,Jadon Sancho,eng ENG,2000.0
2055,Sandro,br BRA,1989.0
2056,Alex Sandro,br BRA,1991.0
2057,Arona Sané,sn SEN,1995.0
2058,Lamine Sané,sn SEN,1987.0
2059,Leroy Sané,de GER,1996.0
2060,Salif Sané,sn SEN,1990.0
2061,Ibrahim Sangaré,ci CIV,1997.0
2062,Younousse Sankharé,sn SEN,1989.0
2063,Baissama Sankoh,gn GUI,1992.0
2064,Siriki Sanogo,ci CIV,2001.0
2065,Yaya Sanogo,fr FRA,1993.0
2066,Morgan Sanson,fr FRA,1994.0
2067,Nicola Sansone,it ITA,1991.0
2068,Baptiste Santamaria,fr FRA,1995.0
2069,Ivan Santini,hr CRO,1989.0
2070,Davide Santon,it ITA,1991.0
2071,Christian Santos,ve VEN,1988.0
2072,Douglas Santos,br BRA,1994.0
2073,Samir Santos,br BRA,1994.0
2074,Riccardo Saponara,it ITA,1991.0
2075,Pablo Sarabia,es ESP,1992.0
2076,Yusuf Sari,tr TUR,1998.0
2077,Bouna Sarr,gn GUI,1992.0
2078,Ismaila Sarr,sn SEN,1998.0
2079,Malang Sarr,fr FRA,1999.0
2080,Imanol Sarriegi,es ESP,1995.0
2081,Marco Sau,it ITA,1987.0
2082,Stefan Savić,me MNE,1991.0
2083,Gianluca Scamacca,it ITA,1999.0
2084,Fabian Schär,ch SUI,1991.0
2085,Ezequiel Schelotto,it ITA,1989.0
2086,Pasquale Schiattarella,it ITA,1987.0
2087,Eros Schiavon,it ITA,1983.0
2088,Patrik Schick,cz CZE,1996.0
