,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
751,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Dortmund,de Bundesliga,22,1996,28,2379,85,77.7,26.4,27,88,24,1,7,0,2.07,58,38,+20,+0.76,-1.49,45.5,32.8,+12.7,+0.48,-0.31,Matches
752,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,495,83,14.5,5.5,6,83,5,0,,16,1.83,8,4,+4,+0.73,+0.76,9.6,4.7,+4.9,+0.89,+0.94,Matches
753,Mustapha Diallo\Mustapha-Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,7,455,65,13.3,5.1,6,71,1,1,28,0,1.14,4,9,-5,-0.99,-1.11,4.7,9.3,-4.6,-0.91,-0.81,Matches
754,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,29,2166,75,63.3,24.1,24,87,20,5,15,3,1.10,21,32,-11,-0.46,-0.82,21.7,34.3,-12.6,-0.52,-0.44,Matches
755,Grady Diangana\Grady-Diangana,eng ENG,FWMF,West Ham,eng Premier League,20,1998,17,609,36,17.8,6.8,6,65,0,11,20,6,1.35,6,13,-7,-1.03,-1.16,8.7,12.3,-3.6,-0.53,-0.27,Matches
756,Lassana Diarra\Lassana-Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,3,159,53,4.6,1.8,2,57,0,1,45,6,3.00,6,0,+6,+3.40,+1.63,3.3,1.2,+2.1,+1.17,-0.30,Matches
757,Moussa Diarra\Moussa-Diarra,fr FRA,DF,Toulouse,fr Ligue 1,17,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
758,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,13,661,51,19.3,7.3,8,74,3,5,14,14,2.46,15,5,+10,+1.36,+0.45,15.3,5.7,+9.5,+1.30,+0.51,Matches
759,Brahim Díaz\Brahim-Diaz,es ESP,FW,Real Madrid,es La Liga,18,1999,9,376,42,11.0,4.2,5,67,0,4,11,3,1.78,8,4,+4,+0.96,+0.57,8.8,4.3,+4.5,+1.08,+0.74,Matches
760,Javier Díaz\Javier-Diaz,es ESP,GK,Sevilla,es La Liga,21,1997,1,90,90,2.6,1.0,1,90,1,0,,3,0.00,0,1,-1,-1.00,-1.43,1.1,0.9,+0.2,+0.16,-0.36,Matches
761,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,34,2942,87,86.0,32.7,32,90,31,2,31,4,0.91,24,45,-21,-0.64,-0.64,27.0,40.1,-13.1,-0.40,-0.61,Matches
762,Lorenzo Dickmann\Lorenzo-Dickmann,it ITA,DFMF,SPAL,it Serie A,21,1996,6,175,29,5.1,1.9,2,60,0,4,14,28,0.33,2,5,-3,-1.54,-1.29,1.2,3.3,-2.1,-1.08,-0.95,Matches
763,Daniel Didavi\Daniel-Didavi,de GER,MFFW,Stuttgart,de Bundesliga,28,1990,20,956,48,31.2,10.6,8,77,4,12,28,4,0.80,10,21,-11,-1.04,+0.12,14.2,18.9,-4.7,-0.44,+0.15,Matches
764,Étienne Didot\Etienne-Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,31,2105,68,61.5,23.4,23,86,16,8,16,6,0.58,18,47,-29,-1.24,-0.49,23.8,32.4,-8.7,-0.37,-0.25,Matches
765,Adrián Diéguez\Adrian-Dieguez,es ESP,DF,Huesca,es La Liga,22,1996,9,749,83,21.9,8.3,8,87,7,1,51,6,1.22,11,13,-2,-0.24,+0.43,7.5,13.8,-6.4,-0.76,-0.60,Matches
766,Adrián Diéguez\Adrian-Dieguez,es ESP,DF,Alavés,es La Liga,22,1996,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
767,Eric Dier\Eric-Dier,eng ENG,MF,Tottenham,eng Premier League,24,1994,20,1506,75,44.0,16.7,18,83,12,2,6,4,1.85,26,18,+8,+0.48,-0.46,23.5,23.4,+0.2,+0.01,-0.46,Matches
768,Tim Dierßen\Tim-Dierssen,de GER,FW,Hannover 96,de Bundesliga,22,1996,1,16,16,0.5,0.2,0,,0,1,15,1,0.00,1,1,0,0.00,+1.18,0.1,0.0,+0.1,+0.34,+1.30,Matches
769,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,25,1993,35,2965,85,86.7,32.9,33,89,31,2,7,1,1.43,46,38,+8,+0.24,+0.24,42.2,38.0,+4.2,+0.13,+0.64,Matches
770,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,27,1991,38,3384,89,98.9,37.6,38,89,37,0,,0,2.55,89,22,+67,+1.78,+1.78,73.0,30.0,+43.0,+1.14,-0.25,Matches
771,Mitchell Dijks\Mitchell-Dijks,nl NED,DFMF,Bologna,it Serie A,25,1993,25,2023,81,59.2,22.5,23,87,18,2,16,7,1.20,28,34,-6,-0.27,-0.14,30.2,25.2,+5.1,+0.23,+0.50,Matches
772,Kevin Diks\Kevin-Diks,nl NED,DF,Fiorentina,it Serie A,21,1996,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
773,Kevin Diks\Kevin-Diks,nl NED,DF,Empoli,it Serie A,21,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
774,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,20,1998,17,898,53,29.3,10.0,7,85,4,10,31,1,1.24,17,19,-2,-0.20,+0.05,14.3,22.0,-7.7,-0.77,-0.61,Matches
775,Federico Dimarco\Federico-Dimarco,it ITA,DF,Parma,it Serie A,20,1997,13,892,69,26.1,9.9,10,83,6,3,21,11,1.54,11,13,-2,-0.20,+0.44,8.9,13.4,-4.5,-0.45,+0.34,Matches
776,Stole Dimitrievski\Stole-Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,1890,90,55.3,21.0,21,90,21,0,,15,0.90,23,35,-12,-0.57,+0.43,20.9,28.7,-7.8,-0.37,-0.04,Matches
777,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,27,1991,20,1344,67,39.3,14.9,17,76,3,3,17,4,1.65,18,16,+2,+0.13,+0.35,16.6,16.0,+0.6,+0.04,+0.25,Matches
778,Ismaël Diomandé\Ismael-Diomande,ci CIV,MFDF,Caen,fr Ligue 1,25,1992,18,1293,72,37.8,14.4,14,86,9,4,23,2,0.61,11,25,-14,-0.97,-0.51,9.6,23.3,-13.7,-0.95,-0.42,Matches
779,Federico Dionisi\Federico-Dionisi,it ITA,FW,Frosinone,it Serie A,31,1987,9,204,23,6.0,2.3,1,89,0,8,14,3,0.22,1,2,-1,-0.44,+0.65,3.0,1.9,+1.1,+0.50,+1.24,Matches
780,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,25,1992,30,1591,53,46.5,17.7,19,73,2,11,18,1,1.67,25,17,+8,+0.45,-0.04,26.1,22.6,+3.5,+0.20,+0.11,Matches
781,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,21,1997,33,2970,90,86.8,33.0,33,90,33,0,,5,1.55,48,43,+5,+0.15,+1.75,43.8,50.2,-6.4,-0.19,+0.91,Matches
782,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,32,1986,28,2352,84,68.8,26.1,27,86,22,1,41,3,1.25,33,36,-3,-0.11,-0.03,37.7,30.7,+7.0,+0.27,+0.36,Matches
783,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,18,2000,13,741,57,21.7,8.2,9,75,4,4,16,6,0.77,5,12,-7,-0.85,-0.45,8.0,11.5,-3.5,-0.42,-0.59,Matches
784,Assane Dioussé\Assane-Diousse,sn SEN,MF,Chievo,it Serie A,20,1997,14,892,64,26.1,9.9,9,81,6,5,33,1,0.57,3,22,-19,-1.92,-0.81,8.4,14.2,-5.9,-0.59,+0.04,Matches
785,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,fr Ligue 1,20,1997,7,217,31,6.3,2.4,2,79,1,5,12,12,1.57,3,4,-1,-0.41,-0.95,3.9,4.0,-0.1,-0.05,-0.20,Matches
786,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,20,1998,4,159,40,4.6,1.8,1,93,1,3,22,18,1.75,4,4,0,0.00,+0.08,1.5,2.9,-1.3,-0.76,-0.68,Matches
787,Djené\Djene,tg TOG,DF,Getafe,es La Liga,26,1991,34,2976,88,87.0,33.1,34,88,29,0,,0,1.65,45,31,+14,+0.42,+0.63,40.6,34.2,+6.4,+0.19,+0.67,Matches
788,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,25,1992,17,1387,82,40.6,15.4,16,86,14,1,8,12,1.35,18,18,0,0.00,-0.66,18.7,24.6,-5.8,-0.38,-0.71,Matches
789,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Nantes,fr Ligue 1,25,1992,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,1,3,-2,-2.00,-2.05,1.6,2.2,-0.7,-0.68,-0.69,Matches
790,Alexander Djiku\Alexander-Djiku,gh GHA,DF,Caen,fr Ligue 1,23,1994,31,2754,89,80.5,30.6,31,89,30,0,,1,0.94,19,40,-21,-0.69,-0.15,27.3,43.0,-15.6,-0.51,+0.94,Matches
791,Papy Djilobodji\Papy-Djilobodji,sn SEN,DFFW,Guingamp,fr Ligue 1,29,1988,4,175,44,5.1,1.9,2,75,1,2,13,6,0.25,0,8,-8,-4.11,-3.23,1.6,4.2,-2.6,-1.34,-1.12,Matches
792,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,25,1993,24,1807,75,52.8,20.1,20,88,18,4,14,13,2.00,47,26,+21,+1.05,+0.49,34.7,22.1,+12.6,+0.63,-0.09,Matches
793,Naïs Djouahra\Nais-Djouahra,fr FRA,MF,Real Sociedad,es La Liga,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
794,Johan Djourou\Johan-Djourou,ch SUI,DF,SPAL,it Serie A,31,1987,5,279,56,8.2,3.1,3,74,2,2,29,9,0.60,2,5,-3,-0.97,-0.71,4.6,4.3,+0.3,+0.09,+0.29,Matches
795,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,26,1992,24,2160,90,63.2,24.0,24,90,24,0,,5,1.38,29,30,-1,-0.04,+0.17,27.0,26.9,+0.1,0.00,-0.41,Matches
796,Matt Doherty\Matt-Doherty,ie IRL,DFMF,Wolves,eng Premier League,26,1992,38,3144,83,91.9,34.9,35,87,29,3,30,0,1.50,41,41,0,0.00,-0.33,45.0,35.2,+9.8,+0.28,-0.19,Matches
797,Keagan Dolly\Keagan-Dolly,za RSA,FW,Montpellier,fr Ligue 1,25,1993,3,88,29,2.6,1.0,2,42,0,1,4,2,1.33,1,1,0,0.00,-0.30,1.0,1.0,+0.1,+0.06,+0.01,Matches
798,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,27,1990,4,360,90,10.5,4.0,4,90,4,0,,31,2.00,5,1,+4,+1.00,+0.65,5.0,3.1,+1.9,+0.48,+0.05,Matches
799,Álex Domínguez\Alex-Dominguez,es ESP,GK,Alavés,es La Liga,20,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
800,Giulio Donati\Giulio-Donati,it ITA,DF,Mainz 05,de Bundesliga,28,1990,9,625,69,20.4,6.9,6,89,4,3,30,7,1.67,16,6,+10,+1.44,+2.22,14.8,9.7,+5.1,+0.74,+1.26,Matches
801,Ji Dong-won\Ji-Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,27,1991,14,891,64,29.1,9.9,10,84,7,4,13,5,1.00,14,30,-16,-1.62,-1.45,10.2,17.5,-7.3,-0.74,-0.46,Matches
802,Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Stuttgart,de Bundesliga,21,1996,24,962,40,31.4,10.7,11,64,1,13,20,2,0.96,12,19,-7,-0.65,+0.67,14.6,17.5,-2.9,-0.27,+0.40,Matches
803,Antonio Donnarumma\Antonio-Donnarumma,it ITA,GK,Milan,it Serie A,28,1990,0,,,,,0,,0,0,,37,,,,,,,,,,,,Matches
804,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,3090,86,90.4,34.3,36,86,34,0,,0,1.81,50,31,+19,+0.55,+0.55,41.7,35.1,+6.6,+0.19,-0.22,Matches
805,Godfred Donsah\Godfred-Donsah,gh GHA,MF,Bologna,it Serie A,22,1996,6,153,26,4.5,1.7,1,95,1,5,12,20,1.17,2,6,-4,-2.35,-2.24,1.5,2.0,-0.6,-0.33,-0.37,Matches
806,Riccardo Doratiotto\Riccardo-Doratiotto,it ITA,FW,Cagliari,it Serie A,19,1999,1,78,78,2.3,0.9,1,78,0,0,,7,0.00,0,1,-1,-1.15,-0.70,0.6,2.7,-2.1,-2.46,-1.99,Matches
807,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,20,1997,14,1066,76,31.2,11.8,11,90,11,3,24,7,2.00,22,5,+17,+1.44,+0.75,20.1,10.4,+9.6,+0.81,+0.59,Matches
808,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,FWMF,Toulouse,fr Ligue 1,30,1988,35,2469,71,72.2,27.4,30,79,11,5,21,0,1.00,23,42,-19,-0.69,-0.41,28.3,41.0,-12.7,-0.46,-0.30,Matches
809,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,eng Premier League,25,1993,35,3062,87,89.5,34.0,34,89,33,1,36,0,1.37,51,56,-5,-0.15,+0.36,45.4,48.3,-2.9,-0.08,+0.78,Matches
810,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,es La Liga,25,1992,9,318,35,9.3,3.5,3,69,1,6,18,4,1.44,4,10,-6,-1.70,-1.67,3.8,9.6,-5.8,-1.65,-1.30,Matches
811,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,23,1994,28,1600,57,46.8,17.8,18,81,7,10,15,2,1.54,20,19,+1,+0.06,+0.25,19.0,22.5,-3.5,-0.20,-0.17,Matches
812,Seydou Doumbia\Seydou-Doumbia,ci CIV,FW,Girona,es La Liga,30,1987,17,541,32,15.8,6.0,5,74,1,12,14,12,0.53,6,9,-3,-0.50,-0.09,6.8,10.4,-3.6,-0.60,-0.34,Matches
813,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,fr Ligue 1,21,1996,7,605,86,17.7,6.7,7,86,6,0,,3,1.14,9,9,0,0.00,-0.10,7.5,8.2,-0.8,-0.12,-0.25,Matches
814,Sory Doumbouya\Sory-Doumbouya,gn GUI,FW,Dijon,fr Ligue 1,19,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
815,Kieran Dowell\Kieran-Dowell,eng ENG,FWMF,Everton,eng Premier League,20,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
816,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,27,1991,18,1335,74,43.6,14.8,13,88,12,5,38,16,1.94,28,21,+7,+0.47,-0.05,27.0,20.5,+6.5,+0.44,-0.18,Matches
817,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,225,75,6.6,2.5,2,90,2,1,45,17,1.33,2,2,0,0.00,-0.06,2.6,2.3,+0.3,+0.12,-0.16,Matches
818,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Empoli,it Serie A,20,1997,14,1260,90,36.8,14.0,14,90,14,0,,1,1.21,22,24,-2,-0.14,+0.57,19.0,26.8,-7.7,-0.55,-0.51,Matches
819,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,24,1993,31,2046,66,59.8,22.7,22,84,15,9,22,1,2.26,65,26,+39,+1.72,-0.32,53.3,23.0,+30.3,+1.33,-0.30,Matches
820,Luke Dreher\Luke-Dreher,eng ENG,MF,Crystal Palace,eng Premier League,19,1998,1,1,1,0.0,0.0,0,,0,1,0,0,3.00,0,0,0,0.00,+0.05,0.1,0.3,-0.2,-19.74,-19.79,Matches
821,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Amiens,fr Ligue 1,29,1989,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
822,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Chelsea,eng Premier League,28,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
823,Anthony Driscoll-Glennon\Anthony-Driscoll-Glennon,eng ENG,DF,Burnley,eng Premier League,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
824,Josip Drmić\Josip-Drmic,ch SUI,FW,M'Gladbach,de Bundesliga,25,1992,5,222,44,7.3,2.5,2,92,2,3,13,3,1.00,6,3,+3,+1.22,+0.90,3.3,3.4,0.0,-0.01,-0.06,Matches
825,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,180,90,5.9,2.0,2,90,2,0,,8,1.50,2,3,-1,-0.50,-0.03,1.8,1.9,-0.2,-0.08,+0.34,Matches
826,Óscar Duarte\Oscar-Duarte,cr CRC,DFMF,Espanyol,es La Liga,29,1989,11,660,60,19.3,7.3,7,87,6,4,13,14,1.36,4,13,-9,-1.23,-1.46,7.7,9.5,-1.8,-0.24,-0.23,Matches
827,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,22,1995,33,2772,84,81.1,30.8,33,84,28,0,,1,1.12,26,41,-15,-0.49,-1.04,28.2,42.2,-14.0,-0.45,-0.51,Matches
828,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,23,1994,25,2044,82,59.8,22.7,21,89,17,4,45,5,1.96,43,30,+13,+0.57,-0.08,49.3,27.0,+22.3,+0.98,+0.38,Matches
829,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,3420,90,100.0,38.0,38,90,38,0,,0,1.18,42,48,-6,-0.16,,38.8,52.4,-13.7,-0.36,,Matches
830,Marvin Ducksch\Marvin-Ducksch,de GER,FW,Düsseldorf,de Bundesliga,24,1994,16,823,51,26.9,9.1,8,81,3,8,22,11,0.94,8,19,-11,-1.20,-1.00,9.0,18.4,-9.3,-1.02,-0.85,Matches
831,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,de Bundesliga,23,1994,32,2563,80,83.8,28.5,30,84,16,2,17,1,1.25,40,49,-9,-0.32,-0.50,39.2,48.8,-9.5,-0.33,+0.03,Matches
832,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,eng Premier League,26,1992,35,3087,88,90.3,34.3,35,88,34,0,,0,1.03,32,54,-22,-0.64,+0.17,32.5,52.2,-19.7,-0.58,+0.01,Matches
833,Demeaco Duhaney\Demeaco-Duhaney,eng ENG,DF,Huddersfield,eng Premier League,19,1998,1,45,45,1.3,0.5,1,45,0,0,,1,3.00,0,0,0,0.00,+1.44,0.1,0.4,-0.3,-0.60,+0.31,Matches
834,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,26,1991,26,1990,77,58.2,22.1,21,90,20,5,21,2,1.19,23,27,-4,-0.18,-0.06,19.0,30.8,-11.8,-0.53,-0.42,Matches
835,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Sassuolo,it Serie A,25,1993,26,1848,71,54.0,20.5,21,84,14,5,16,3,1.35,32,35,-3,-0.15,+0.08,24.1,35.6,-11.5,-0.56,-0.59,Matches
836,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,26,1991,36,3151,88,92.1,35.0,36,88,34,0,,0,0.97,31,55,-24,-0.69,-0.35,30.4,53.2,-22.8,-0.65,-0.94,Matches
837,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,940,85,27.5,10.4,10,90,10,1,39,25,1.64,19,17,+2,+0.19,+0.26,14.5,15.1,-0.6,-0.05,-0.07,Matches
838,Roberto Durante\Roberto-Durante,it ITA,DF,Lazio,it Serie A,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
839,Erik Durm\Erik-Durm,de GER,DF,Huddersfield,eng Premier League,26,1992,28,2055,73,60.1,22.8,21,87,19,7,32,2,0.39,15,45,-30,-1.31,+0.27,19.2,36.8,-17.6,-0.77,+0.35,Matches
840,Jimmy Durmaz\Jimmy-Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,29,1989,36,1899,53,55.5,21.1,21,74,3,15,23,0,0.97,24,30,-6,-0.28,+0.66,27.2,32.3,-5.0,-0.24,+0.32,Matches
841,Riza Durmisi\Riza-Durmisi,dk DEN,DFMF,Lazio,it Serie A,24,1994,10,326,33,9.5,3.6,2,94,2,8,17,21,1.50,5,7,-2,-0.55,-0.90,5.5,5.5,0.0,+0.01,-0.39,Matches
842,Hugo Duro\Hugo-Duro,es ESP,MFFW,Getafe,es La Liga,18,1999,11,417,38,12.2,4.6,5,67,1,6,14,10,1.55,6,5,+1,+0.22,-0.14,6.1,6.3,-0.2,-0.04,-0.17,Matches
843,Raphael Dwamena\Raphael-Dwamena,gh GHA,FW,Levante,es La Liga,22,1995,12,222,19,6.5,2.5,1,101,1,11,11,9,1.08,7,7,0,0.00,+0.20,4.8,6.5,-1.7,-0.70,-0.25,Matches
844,Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,Juventus,it Serie A,24,1993,30,2137,71,62.5,23.7,24,85,18,6,15,3,2.40,42,21,+21,+0.88,-0.45,34.4,22.4,+11.9,+0.50,-0.21,Matches
845,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,32,1986,33,2579,78,75.4,28.7,28,89,26,5,18,1,1.67,47,38,+9,+0.31,-0.65,48.4,41.9,+6.5,+0.23,-0.12,Matches
846,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,it Serie A,32,1986,28,1750,63,51.2,19.4,20,80,11,8,19,6,1.39,25,22,+3,+0.15,+0.75,26.7,24.2,+2.5,+0.13,+0.22,Matches
847,Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,MF,Paris S-G,fr Ligue 1,17,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
848,Félix Eboa Eboa\Felix-Eboa-Eboa,cm CMR,DF,Guingamp,fr Ligue 1,21,1997,27,2426,90,70.9,27.0,27,90,26,0,,7,0.74,20,50,-30,-1.11,-0.21,25.6,37.1,-11.5,-0.43,-0.53,Matches
849,Dennis Eckert\Dennis-Eckert,de GER,FW,Celta Vigo,es La Liga,21,1997,9,216,24,6.3,2.4,1,97,1,8,15,4,0.89,3,3,0,0.00,+0.25,2.9,4.2,-1.3,-0.54,-0.16,Matches
850,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Cardiff City,eng Premier League,30,1988,38,3376,89,98.7,37.5,37,90,37,1,45,0,0.89,34,67,-33,-0.88,+3.21,39.4,60.0,-20.6,-0.55,+2.49,Matches
851,Simone Edera\Simone-Edera,it ITA,FWMF,Torino,it Serie A,21,1997,3,77,26,2.3,0.9,1,59,0,2,9,17,1.00,0,0,0,0.00,-0.40,0.5,0.8,-0.4,-0.45,-0.51,Matches
852,Simone Edera\Simone-Edera,it ITA,FW,Bologna,it Serie A,21,1997,4,196,49,5.7,2.2,3,62,0,1,10,9,0.25,1,2,-1,-0.46,-0.26,2.6,2.0,+0.6,+0.28,+0.27,Matches
853,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,3420,90,100.0,38.0,38,90,38,0,,0,2.58,95,23,+72,+1.89,,81.9,25.4,+56.4,+1.49,,Matches
854,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,20,1998,23,1113,48,36.4,12.4,12,71,1,11,23,7,1.57,21,18,+3,+0.24,-0.03,20.0,21.5,-1.5,-0.12,+0.01,Matches
855,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,21,1996,34,3052,90,99.7,33.9,34,90,33,0,,0,1.56,58,49,+9,+0.27,+0.27,49.7,54.0,-4.3,-0.13,-0.13,Matches
856,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,29,1989,32,2646,83,77.4,29.4,30,87,22,2,24,2,1.38,47,38,+9,+0.31,+0.31,40.2,41.4,-1.2,-0.04,+0.15,Matches
857,Josip Elez\Josip-Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,1994,10,646,65,21.1,7.2,7,87,6,3,13,9,0.80,9,16,-7,-0.98,+0.26,8.3,16.4,-8.1,-1.12,-0.22,Matches
858,Harvey Elliot\Harvey-Elliot,eng ENG,MF,Fulham,eng Premier League,15,2003,2,20,10,0.6,0.2,0,,0,2,9,3,0.00,0,1,-1,-4.50,-3.28,0.1,0.3,-0.2,-0.85,-0.18,Matches
859,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,26,1992,8,380,48,11.1,4.2,5,62,1,3,24,21,2.25,7,5,+2,+0.47,-0.12,5.4,5.9,-0.5,-0.12,-0.21,Matches
860,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,1994,27,2254,83,65.9,25.0,24,88,22,3,44,3,1.30,28,35,-7,-0.28,-0.74,29.6,32.5,-2.8,-0.11,-0.54,Matches
861,Gorka Elustondo\Gorka-Elustondo,es ESP,MF,Rayo Vallecano,es La Liga,31,1987,5,285,57,8.3,3.2,3,84,2,2,16,2,1.40,2,5,-3,-0.95,-0.20,3.9,2.7,+1.2,+0.37,+0.80,Matches
862,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,21,1996,30,2623,87,85.7,29.1,30,87,27,0,,0,1.70,46,37,+9,+0.31,-0.51,40.8,42.3,-1.5,-0.05,-0.69,Matches
863,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,24,1993,5,430,86,12.6,4.8,5,86,4,0,,6,0.40,4,11,-7,-1.47,-1.34,4.0,6.2,-2.2,-0.46,-0.12,Matches
864,Mohamed Elyounoussi\Mohamed-Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,23,1994,16,793,50,23.2,8.8,8,81,3,8,18,8,0.50,8,10,-2,-0.23,+0.39,12.1,9.3,+2.8,+0.31,+0.73,Matches
865,Adri Embarba\Adri-Embarba,es ESP,FWMF,Rayo Vallecano,es La Liga,26,1992,36,2282,63,66.7,25.4,27,78,9,9,21,1,0.86,25,41,-16,-0.63,+0.40,27.7,35.9,-8.2,-0.32,+0.10,Matches
866,Breel Embolo\Breel-Embolo,ch SUI,FW,Schalke 04,de Bundesliga,21,1997,20,1345,67,44.0,14.9,15,82,6,5,23,1,0.85,17,26,-9,-0.60,-0.13,18.5,22.2,-3.7,-0.25,-0.10,Matches
867,Emerson\Emerson,br BRA,DF,Betis,es La Liga,19,1999,6,317,53,9.3,3.5,4,74,2,2,12,6,1.17,5,8,-3,-0.85,-0.71,4.1,6.1,-2.0,-0.57,-0.68,Matches
868,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,21,1997,31,2106,68,61.6,23.4,22,87,13,9,21,2,1.06,24,28,-4,-0.17,-0.03,21.3,24.0,-2.7,-0.12,-0.13,Matches
