,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
12,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.21,60,61,-1,-0.03,,Matches
13,Geoffrey Acheampong\Geoffrey-Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,2,12,6,0.4,0.1,0,,0,2,,8,0.00,0,1,-1,-7.50,-6.87,Matches
14,Maxwell Acosty\Maxwell-Acosty,gh GHA,MFFW,Crotone,it Serie A,24,1991,11,378,34,11.1,4.2,3,,1,8,,7,1.18,2,6,-4,-0.95,-0.36,Matches
15,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,24,1992,20,1077,54,31.5,12.0,13,,6,7,,10,1.50,21,24,-3,-0.25,-0.56,Matches
16,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,30,1985,24,1517,63,44.4,16.9,17,,7,7,,14,1.29,20,23,-3,-0.18,+0.39,Matches
17,Marius Adamonis\Marius-Adamonis,lt LTU,GK,Lazio,it Serie A,19,1997,0,,,,,0,,0,0,,12,,,,,,,Matches
18,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,29,1987,37,3330,90,97.4,37.0,37,,37,0,,0,1.03,39,62,-23,-0.62,-0.62,Matches
19,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
20,Jordan Adéoti\Jordan-Adeoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,27,2120,79,62.0,23.6,23,,21,4,,5,0.89,25,41,-16,-0.68,+0.22,Matches
21,Claud Adjapong\Claud-Adjapong,it ITA,DFFW,Sassuolo,it Serie A,18,1998,9,510,57,14.9,5.7,6,,3,3,,24,1.22,13,16,-3,-0.53,-0.47,Matches
22,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,1710,90,55.9,19.0,19,,19,0,,0,1.00,15,38,-23,-1.21,-0.88,Matches
23,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,22,1993,14,872,62,25.5,9.7,8,,8,6,,23,0.57,5,20,-15,-1.55,-1.76,Matches
24,Albert Adomah\Albert-Adomah,gh GHA,MF,Middlesbrough,eng Premier League,28,1987,2,122,61,3.6,1.4,1,,1,1,,0,2.00,1,2,-1,-0.74,-0.06,Matches
25,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,29,1987,16,1440,90,42.1,16.0,16,,16,0,,22,1.19,14,25,-11,-0.69,-0.41,Matches
26,Luiz Adriano\Luiz-Adriano,br BRA,FW,Milan,it Serie A,29,1987,7,127,18,3.7,1.4,1,,0,6,,10,1.86,2,4,-2,-1.42,-1.80,Matches
27,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,32,2417,76,70.7,26.9,27,,21,5,,0,1.66,35,28,+7,+0.26,-0.01,Matches
28,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,30,1986,12,384,32,11.2,4.3,3,,1,9,,2,1.25,2,5,-3,-0.70,-0.35,Matches
29,Akram Afif\Akram-Afif,qa QAT,MF,Sporting Gijón,es La Liga,19,1996,9,236,26,6.9,2.6,2,,0,7,,6,0.44,1,4,-3,-1.14,-0.38,Matches
30,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,31,1461,47,42.7,16.2,14,,7,17,,4,1.19,26,24,+2,+0.12,+0.77,Matches
31,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
32,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,28,1988,31,2403,78,70.3,26.7,25,,16,6,,0,1.94,50,30,+20,+0.75,-1.11,Matches
33,Dan Agyei\Dan-Agyei,eng ENG,FW,Burnley,eng Premier League,19,1997,3,25,8,0.7,0.3,0,,0,3,,5,0.00,0,0,0,0.00,+0.42,Matches
