,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1348,George Honeyman\George-Honeyman,eng ENG,MF,Sunderland,eng Premier League,21,1994,5,235,47,6.9,2.6,2,,1,3,,10,0.80,1,4,-3,-1.15,-0.10,Matches
1349,Martin Hongla\Martin-Hongla,cm CMR,DFMF,Granada,es La Liga,18,1998,10,793,79,23.2,8.8,8,,6,2,,5,0.60,9,18,-9,-1.02,+0.45,Matches
1350,Jannes Horn\Jannes-Horn,de GER,DFMF,Wolfsburg,de Bundesliga,19,1997,13,976,75,31.9,10.8,10,,9,3,,11,0.77,10,24,-14,-1.29,-1.12,Matches
1351,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,23,1993,20,1800,90,58.8,20.0,20,,20,0,,0,1.65,36,24,+12,+0.60,+0.81,Matches
1352,Lyes Houri\Lyes-Houri,fr FRA,MF,Bastia,fr Ligue 1,20,1996,0,,,,,0,,0,0,,4,,,,,,,Matches
1353,Benedikt Höwedes\Benedikt-Howedes,de GER,DF,Schalke 04,de Bundesliga,28,1988,31,2790,90,91.2,31.0,31,,31,0,,0,1.35,43,36,+7,+0.23,+0.89,Matches
1354,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Eint Frankfurt,de Bundesliga,26,1989,33,2883,87,94.2,32.0,33,,32,0,,0,1.18,35,40,-5,-0.16,+0.86,Matches
1355,Branimir Hrgota\Branimir-Hrgota,se SWE,FW,Eint Frankfurt,de Bundesliga,23,1993,28,1735,62,56.7,19.3,22,,4,6,,6,1.25,20,24,-4,-0.21,0.00,Matches
1356,Benjamin Hübner\Benjamin-Hubner,de GER,DF,Hoffenheim,de Bundesliga,27,1989,25,2143,86,70.0,23.8,25,,19,0,,0,1.88,43,24,+19,+0.80,+0.01,Matches
1357,Tomáš Hubočan\Tomas-Hubocan,sk SVK,DF,Marseille,fr Ligue 1,30,1985,13,997,77,29.2,11.1,11,,11,2,,10,1.69,15,10,+5,+0.45,+0.04,Matches
1358,Tom Huddlestone\Tom-Huddlestone,eng ENG,MF,Hull City,eng Premier League,29,1986,31,2026,65,59.2,22.5,23,,15,8,,4,0.87,20,44,-24,-1.07,+0.16,Matches
1359,Lucas Hufnagel\Lucas-Hufnagel,ge GEO,MF,Freiburg,de Bundesliga,22,1994,0,,,,,0,,0,0,,1,,,,,,,Matches
1360,Mats Hummels\Mats-Hummels,de GER,DF,Bayern Munich,de Bundesliga,27,1988,27,2181,81,71.3,24.2,24,,21,3,,2,2.33,56,15,+41,+1.69,-0.97,Matches
1361,Adrien Hunou\Adrien-Hunou,fr FRA,MF,Rennes,fr Ligue 1,22,1994,22,1139,52,33.3,12.7,11,,6,11,,10,1.41,13,14,-1,-0.08,+0.12,Matches
1362,Aaron Hunt\Aaron-Hunt,de GER,MF,Hamburger SV,de Bundesliga,29,1986,22,1302,59,42.5,14.5,14,,7,8,,6,1.09,14,24,-10,-0.69,+0.23,Matches
1363,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,de Bundesliga,32,1983,16,758,47,24.8,8.4,7,,4,9,,5,0.88,6,13,-7,-0.83,-1.30,Matches
1364,James Husband\James-Husband,eng ENG,DF,Middlesbrough,eng Premier League,22,1994,1,58,58,1.7,0.6,1,,0,0,,0,0.00,2,3,-1,-1.55,-0.88,Matches
1365,Noor Husin\Noor-Husin,af AFG,MF,Crystal Palace,eng Premier League,19,1997,0,,,,,0,,0,0,,4,,,,,,,Matches
1366,Szabolcs Huszti\Szabolcs-Huszti,hu HUN,MF,Eint Frankfurt,de Bundesliga,33,1983,15,1039,69,34.0,11.5,14,,4,1,,0,1.73,12,12,0,0.00,+0.31,Matches
1367,Jannik Huth\Jannik-Huth,de GER,GK,Mainz 05,de Bundesliga,22,1994,7,630,90,20.6,7.0,7,,7,0,,25,1.14,8,9,-1,-0.14,+0.23,Matches
1368,Robert Huth\Robert-Huth,de GER,DF,Leicester City,eng Premier League,31,1984,33,2926,89,85.6,32.5,33,,30,0,,0,1.30,44,49,-5,-0.15,+1.67,Matches
1369,Gergely Hutvágner\Gergely-Hutvagner,hu HUN,GK,Sampdoria,it Serie A,16,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
1370,Elseid Hysaj\Elseid-Hysaj,al ALB,DF,Napoli,it Serie A,22,1994,35,3031,87,88.6,33.7,34,,32,1,,2,2.20,86,39,+47,+1.40,-0.46,Matches
1371,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,eng Premier League,20,1995,22,1301,59,38.0,14.5,14,,8,8,,12,1.45,17,16,+1,+0.07,+0.41,Matches
1372,Robert Ibáñez\Robert-Ibanez,es ESP,FWMF,Valencia,es La Liga,23,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
1373,Robert Ibáñez\Robert-Ibanez,es ESP,MF,Leganés,es La Liga,23,1993,5,174,35,5.1,1.9,1,,0,4,,1,1.20,4,2,+2,+1.03,+1.62,Matches
1374,Víctor Ibarbo\Victor-Ibarbo,co COL,FWMF,Cagliari,it Serie A,26,1990,3,39,13,1.1,0.4,0,,0,3,,1,0.33,0,1,-1,-2.31,-1.78,Matches
1375,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,eng Premier League,20,1995,25,1055,42,30.8,11.7,13,,0,12,,9,1.00,18,22,-4,-0.34,-0.04,Matches
1376,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Hertha BSC,de Bundesliga,31,1984,32,2709,85,88.5,30.1,32,,17,0,,0,1.44,37,37,0,0.00,+1.03,Matches
1377,Vicente Iborra\Vicente-Iborra,es ESP,MF,Sevilla,es La Liga,28,1988,31,1495,48,43.7,16.6,12,,8,19,,4,1.74,28,22,+6,+0.36,-0.29,Matches
1378,Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Sunderland,eng Premier League,22,1994,31,2520,81,73.7,28.0,27,,24,4,,0,0.74,23,48,-25,-0.89,+0.61,Matches
1379,Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Lorient,fr Ligue 1,22,1994,2,120,60,3.5,1.3,2,,1,0,,0,0.00,2,4,-2,-1.50,-0.85,Matches
1380,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FW,Manchester Utd,eng Premier League,34,1981,28,2438,87,71.3,27.1,27,,27,1,,0,1.96,42,22,+20,+0.74,+0.28,Matches
1381,Mauro Icardi\Mauro-Icardi,ar ARG,FW,Inter,it Serie A,23,1993,34,3026,89,88.5,33.6,34,,32,0,,0,1.47,61,46,+15,+0.45,-1.38,Matches
1382,Salvador Ichazo\Salvador-Ichazo,uy URU,GK,Torino,it Serie A,24,1992,0,,,,,0,,0,0,,2,,,,,,,Matches
1383,Pietro Iemmello\Pietro-Iemmello,it ITA,FW,Sassuolo,it Serie A,24,1992,17,512,30,15.0,5.7,3,,0,14,,17,1.06,14,6,+8,+1.41,+1.81,Matches
1384,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Watford,eng Premier League,27,1989,18,1291,72,37.7,14.3,14,,10,4,,4,0.78,14,28,-14,-0.98,-0.38,Matches
1385,Aleksandar Ignjovski\Aleksandar-Ignjovski,rs SRB,DFMF,Freiburg,de Bundesliga,25,1991,19,1053,55,34.4,11.7,12,,8,7,,8,1.16,10,19,-9,-0.77,-0.37,Matches
1386,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Manchester City,eng Premier League,19,1996,20,537,27,15.7,6.0,5,,1,15,,8,1.85,14,9,+5,+0.84,-0.29,Matches
1387,Jordan Ikoko\Jordan-Ikoko,cd COD,DF,Guingamp,fr Ligue 1,22,1994,27,2324,86,68.0,25.8,25,,24,2,,4,1.56,36,31,+5,+0.19,+1.18,Matches
1388,Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Paris S-G,fr Ligue 1,18,1998,4,138,35,4.0,1.5,2,,0,2,,1,3.00,3,1,+2,+1.30,-0.18,Matches
1389,Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Montpellier,fr Ligue 1,18,1998,14,669,48,19.6,7.4,7,,2,7,,0,0.64,9,20,-11,-1.48,-1.25,Matches
1390,Chris Ikonomidis\Chris-Ikonomidis,au AUS,FWMF,Lazio,it Serie A,21,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
1391,Josip Iličić\Josip-Ilicic,si SVN,MFFW,Fiorentina,it Serie A,28,1988,29,1870,64,54.7,20.8,23,,6,6,,6,1.55,33,30,+3,+0.14,-0.03,Matches
1392,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,es La Liga,26,1990,34,3006,88,87.9,33.4,33,,33,1,,0,1.76,56,50,+6,+0.18,+0.18,Matches
1393,Jules Iloki\Jules-Iloki,fr FRA,MFFW,Nantes,fr Ligue 1,24,1992,23,1215,53,35.5,13.5,15,,2,8,,2,1.52,14,16,-2,-0.15,+0.34,Matches
1394,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,RB Leipzig,de Bundesliga,27,1989,33,2648,80,86.5,29.4,29,,28,4,,0,2.03,58,35,+23,+0.78,-0.09,Matches
1395,Giannelli Imbula\Giannelli-Imbula,cd COD,MF,Stoke City,eng Premier League,23,1992,12,796,66,23.3,8.8,9,,6,3,,15,0.83,10,20,-10,-1.13,-0.96,Matches
1396,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,it Serie A,26,1990,36,3118,87,91.2,34.6,35,,29,1,,0,1.86,69,47,+22,+0.64,+0.34,Matches
1397,Emmanuel Imorou\Emmanuel-Imorou,bj BEN,DF,Caen,fr Ligue 1,27,1988,9,699,78,20.4,7.8,8,,6,1,,11,0.89,9,15,-6,-0.77,-0.01,Matches
1398,Sverrir Ingi Ingason\Sverrir-Ingi-Ingason,is ISL,DF,Granada,es La Liga,22,1993,17,1471,87,43.0,16.3,17,,16,0,,2,0.53,13,36,-23,-1.41,-0.07,Matches
1399,Roberto Inglese\Roberto-Inglese,it ITA,FW,Chievo,it Serie A,24,1991,34,1964,58,57.4,21.8,22,,7,12,,3,1.18,25,35,-10,-0.46,+0.04,Matches
1400,Andrés Iniesta\Andres-Iniesta,es ESP,MF,Barcelona,es La Liga,32,1984,23,1335,58,39.0,14.8,13,,10,10,,5,2.22,45,16,+29,+1.96,-0.20,Matches
1401,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FW,Napoli,it Serie A,25,1991,37,2922,79,85.4,32.5,35,,19,2,,1,2.24,85,31,+54,+1.66,+1.48,Matches
1402,Roberto Insigne\Roberto-Insigne,it ITA,FWMF,Napoli,it Serie A,22,1994,0,,,,,0,,0,0,,6,,,,,,,Matches
1403,Pablo Insua\Pablo-Insua,es ESP,DF,Leganés,es La Liga,22,1993,29,1916,66,56.0,21.3,20,,19,9,,7,0.86,15,34,-19,-0.89,-0.89,Matches
1404,Takashi Inui\Takashi-Inui,jp JPN,MF,Eibar,es La Liga,28,1988,28,2051,73,60.0,22.8,26,,7,2,,4,1.21,32,28,+4,+0.18,+0.11,Matches
1405,Ivan Inzoudine\Ivan-Inzoudine,fr FRA,DF,Guingamp,fr Ligue 1,19,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
1406,Artur Ioniță\Artur-Ionita,md MDA,MF,Cagliari,it Serie A,25,1990,18,1304,72,38.1,14.5,14,,11,4,,1,1.17,21,26,-5,-0.35,+0.34,Matches
1407,Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Athletic Club,es La Liga,35,1981,16,1405,88,41.1,15.6,15,,15,1,,18,1.12,18,24,-6,-0.38,-1.10,Matches
1408,Alexander Isak\Alexander-Isak,se SWE,FW,Dortmund,de Bundesliga,16,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
1409,Isco\Isco,es ESP,MFFW,Real Madrid,es La Liga,24,1992,30,1636,55,47.8,18.2,18,,5,12,,5,2.67,52,19,+33,+1.82,+0.20,Matches
1410,Lloyd Isgrove\Lloyd-Isgrove,wal WAL,MF,Southampton,eng Premier League,23,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
1411,Mauricio Isla\Mauricio-Isla,cl CHI,DFMF,Cagliari,it Serie A,28,1988,34,2874,85,84.0,31.9,32,,29,2,,0,1.12,47,64,-17,-0.53,+0.13,Matches
1412,Andrea Isufaj\Andrea-Isufaj,it ITA,FW,Chievo,it Serie A,16,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
1413,Gian-Luca Itter\Gian-Luca-Itter,de GER,DF,Wolfsburg,de Bundesliga,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
1414,Juan Iturbe\Juan-Iturbe,py PAR,FWMF,Roma,it Serie A,23,1993,5,43,9,1.3,0.5,0,,0,5,,13,1.80,2,1,+1,+2.09,+0.73,Matches
1415,Juan Iturbe\Juan-Iturbe,py PAR,MFFW,Torino,it Serie A,23,1993,16,549,34,16.1,6.1,4,,0,12,,2,1.06,11,17,-6,-0.98,-1.33,Matches
1416,Ander Iturraspe\Ander-Iturraspe,es ESP,MF,Athletic Club,es La Liga,27,1989,24,1164,49,34.0,12.9,12,,6,12,,9,1.83,19,18,+1,+0.08,-0.28,Matches
1417,Dávid Ivan\David-Ivan,sk SVK,MF,Sampdoria,it Serie A,21,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
1418,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,Chelsea,eng Premier League,32,1984,13,589,45,17.2,6.5,6,,6,7,,6,2.38,11,9,+2,+0.31,-1.28,Matches
1419,Alex Iwobi\Alex-Iwobi,ng NGA,MF,Arsenal,eng Premier League,20,1996,26,1456,56,42.6,16.2,18,,4,8,,9,1.88,28,20,+8,+0.49,-0.65,Matches
1420,Armando Izzo\Armando-Izzo,it ITA,DF,Genoa,it Serie A,24,1992,29,2586,89,75.6,28.7,29,,27,0,,0,1.00,30,46,-16,-0.56,+0.52,Matches
1421,Koo Ja-cheol\Koo-Ja-cheol,kr KOR,MF,Augsburg,de Bundesliga,27,1989,23,1809,79,59.1,20.1,22,,12,1,,0,1.22,24,29,-5,-0.25,+0.54,Matches
1422,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,eng Premier League,33,1982,27,2250,83,65.8,25.0,25,,22,2,,10,1.59,35,32,+3,+0.12,-1.03,Matches
1423,Mato Jajalo\Mato-Jajalo,ba BIH,MF,Palermo,it Serie A,28,1988,26,1851,71,54.1,20.6,22,,11,4,,11,0.77,16,38,-22,-1.07,+0.19,Matches
1424,Arnel Jakupović\Arnel-Jakupovic,at AUT,FW,Empoli,it Serie A,18,1998,1,3,3,0.1,0.0,0,,0,1,,2,3.00,0,0,0,0.00,+0.84,Matches
1425,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Hull City,eng Premier League,31,1984,22,1980,90,57.9,22.0,22,,22,0,,16,1.27,25,36,-11,-0.50,+1.50,Matches
1426,Christophe Jallet\Christophe-Jallet,fr FRA,DF,Lyon,fr Ligue 1,32,1983,13,1094,84,32.0,12.2,12,,12,1,,9,2.15,33,15,+18,+1.48,+1.06,Matches
1427,Lamin Jallow\Lamin-Jallow,gm GAM,FW,Chievo,it Serie A,22,1994,2,17,9,0.5,0.2,0,,0,2,,3,0.00,1,0,+1,+5.29,+5.80,Matches
1428,Daniel James\Daniel-James,wal WAL,FWMF,Swansea City,eng Premier League,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
1429,Matty James\Matty-James,eng ENG,MF,Leicester City,eng Premier League,25,1991,1,1,1,0.0,0.0,0,,0,1,,1,3.00,0,0,0,0.00,+0.39,Matches
1430,Vasilije Janjicic\Vasilije-Janjicic,ch SUI,MF,Hamburger SV,de Bundesliga,17,1998,4,176,44,5.8,2.0,2,,1,2,,5,1.25,0,2,-2,-1.02,-0.21,Matches
1431,Christoph Janker\Christoph-Janker,de GER,DF,Augsburg,de Bundesliga,31,1985,15,1088,73,35.6,12.1,12,,12,3,,13,0.93,7,21,-14,-1.16,-1.07,Matches
1432,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Udinese,it Serie A,20,1996,29,1898,65,55.5,21.1,24,,11,5,,7,1.07,24,30,-6,-0.28,-0.11,Matches
1433,Daryl Janmaat\Daryl-Janmaat,nl NED,MFDF,Watford,eng Premier League,27,1989,27,1617,60,47.3,18.0,18,,12,9,,0,1.22,21,33,-12,-0.67,+0.13,Matches
1434,Vincent Janssen\Vincent-Janssen,nl NED,FW,Tottenham,eng Premier League,22,1994,27,845,31,24.7,9.4,7,,3,20,,4,2.15,22,8,+14,+1.49,-0.12,Matches
1435,Tony Jantschke\Tony-Jantschke,de GER,DFMF,M'Gladbach,de Bundesliga,26,1990,22,1488,68,48.6,16.5,17,,14,5,,2,1.45,23,20,+3,+0.18,+0.58,Matches
1436,Adnan Januzaj\Adnan-Januzaj,be BEL,MFFW,Sunderland,eng Premier League,21,1995,25,1629,65,47.6,18.1,18,,9,7,,6,0.40,15,38,-23,-1.27,-0.42,Matches
1437,Nicolas Janvier\Nicolas-Janvier,fr FRA,MF,Rennes,fr Ligue 1,17,1998,4,93,23,2.7,1.0,1,,0,3,,5,0.75,1,2,-1,-0.97,-0.83,Matches
1438,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,31,1984,34,3060,90,100.0,34.0,34,,34,0,,0,1.44,43,47,-4,-0.12,,Matches
1439,Bakery Jatta\Bakery-Jatta,gm GAM,MF,Hamburger SV,de Bundesliga,18,1998,6,183,31,6.0,2.0,1,,0,5,,7,0.83,2,3,-1,-0.49,+0.35,Matches
1440,Duje Javorčić\Duje-Javorcic,hr CRO,MF,Lazio,it Serie A,16,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
1441,Corentin Jean\Corentin-Jean,fr FRA,FW,Monaco,fr Ligue 1,21,1995,2,101,51,3.0,1.1,1,,1,1,,6,3.00,4,0,+4,+3.56,+1.61,Matches
1442,Corentin Jean\Corentin-Jean,fr FRA,MF,Toulouse,fr Ligue 1,21,1995,16,1258,79,36.8,14.0,16,,6,0,,0,1.13,12,14,-2,-0.14,-0.06,Matches
1443,Benjamin Jeannot\Benjamin-Jeannot,fr FRA,FW,Lorient,fr Ligue 1,24,1992,17,520,31,15.2,5.8,4,,0,13,,2,0.71,7,16,-9,-1.56,-1.03,Matches
1444,Mile Jedinak\Mile-Jedinak,au AUS,MF,Crystal Palace,eng Premier League,31,1984,1,90,90,2.6,1.0,1,,1,0,,0,0.00,0,1,-1,-1.00,-0.68,Matches
1445,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,20,1995,18,1422,79,46.5,15.8,16,,13,2,,10,1.22,28,28,0,0.00,+0.11,Matches
1446,Jemerson\Jemerson,br BRA,DF,Monaco,fr Ligue 1,23,1992,34,3058,90,89.4,34.0,34,,33,0,,0,2.50,98,29,+69,+2.03,+0.29,Matches
1447,Carl Jenkinson\Carl-Jenkinson,eng ENG,DF,Arsenal,eng Premier League,24,1992,1,82,82,2.4,0.9,1,,0,0,,1,1.00,0,1,-1,-1.10,-2.01,Matches
1448,Jesé\Jese,es ESP,FW,Paris S-G,fr Ligue 1,23,1993,9,268,30,7.8,3.0,1,,0,8,,5,2.22,7,1,+6,+2.01,+0.59,Matches
1449,Jesé\Jese,es ESP,MFFW,Las Palmas,es La Liga,23,1993,16,1162,73,34.0,12.9,13,,11,3,,0,0.69,18,32,-14,-1.08,-0.81,Matches
1450,Gabriel Jesus\Gabriel-Jesus,br BRA,FWMF,Manchester City,eng Premier League,19,1997,10,650,65,19.0,7.2,8,,5,2,,0,2.40,22,5,+17,+2.35,+1.57,Matches
1451,Juan Jesus\Juan-Jesus,br BRA,DF,Roma,it Serie A,25,1991,20,1193,60,34.9,13.3,13,,11,7,,16,2.75,33,10,+23,+1.74,+0.56,Matches
1452,Joaquín\Joaquin,es ESP,FWMF,Betis,es La Liga,35,1981,28,1667,60,48.7,18.5,19,,5,9,,3,1.04,20,32,-12,-0.65,-0.08,Matches
1453,Aron Jóhannsson\Aron-Johannsson,us USA,FW,Werder Bremen,de Bundesliga,25,1990,9,269,30,8.8,3.0,2,,0,7,,13,0.56,5,8,-3,-1.00,-1.00,Matches
1454,Ola John\Ola-John,nl NED,MFFW,La Coruña,es La Liga,24,1992,11,355,32,10.4,3.9,3,,0,8,,3,1.18,6,6,0,0.00,+0.53,Matches
1455,Fabian Johnson\Fabian-Johnson,us USA,MFFW,M'Gladbach,de Bundesliga,28,1987,21,1252,60,40.9,13.9,12,,6,9,,0,1.43,20,16,+4,+0.29,+0.69,Matches
1456,Glen Johnson\Glen-Johnson,eng ENG,DF,Stoke City,eng Premier League,31,1984,23,1957,85,57.2,21.7,21,,21,2,,1,1.22,28,34,-6,-0.28,+0.28,Matches
1457,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,fr Ligue 1,26,1990,37,3280,89,95.9,36.4,37,,36,0,,0,1.27,44,51,-7,-0.19,-0.19,Matches
1458,Miloš Jojić\Milos-Jojic,rs SRB,MF,Köln,de Bundesliga,24,1992,19,1085,57,35.5,12.1,13,,4,6,,12,1.58,23,20,+3,+0.25,-0.02,Matches
1459,Billy Jones\Billy-Jones,eng ENG,DFMF,Sunderland,eng Premier League,29,1987,27,2270,84,66.4,25.2,25,,22,2,,1,0.67,18,49,-31,-1.23,-0.52,Matches
1460,David Jones\David-Jones,eng ENG,MF,Burnley,eng Premier League,31,1984,1,86,86,2.5,1.0,1,,0,0,,0,0.00,0,1,-1,-1.05,-0.64,Matches
1461,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,eng Premier League,24,1992,18,1584,88,46.3,17.6,18,,17,0,,1,1.78,25,14,+11,+0.62,-0.06,Matches
1462,Jony\Jony,es ESP,MF,Málaga,es La Liga,25,1991,24,1242,52,36.3,13.8,15,,2,9,,10,1.04,18,21,-3,-0.22,-0.09,Matches
1463,Park Joo-ho\Park-Joo-ho,kr KOR,DF,Dortmund,de Bundesliga,29,1987,2,65,33,2.1,0.7,1,,0,1,,1,1.00,1,2,-1,-1.38,-2.38,Matches
1464,Jorge\Jorge,br BRA,DF,Monaco,fr Ligue 1,20,1996,2,91,46,2.7,1.0,1,,1,1,,8,3.00,3,2,+1,+0.99,-1.04,Matches
1465,Jorginho\Jorginho,gw GNB,MF,Saint-Étienne,fr Ligue 1,20,1995,5,259,52,7.6,2.9,3,,1,2,,1,1.00,6,1,+5,+1.74,+1.91,Matches
1466,Jorginho\Jorginho,it ITA,MF,Napoli,it Serie A,24,1991,27,2134,79,62.4,23.7,27,,13,0,,10,2.41,62,19,+43,+1.81,+0.97,Matches
1467,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,es La Liga,24,1991,28,2052,73,60.0,22.8,27,,10,1,,1,1.68,37,33,+4,+0.18,+0.04,Matches
1468,Joselu\Joselu,es ESP,FW,La Coruña,es La Liga,26,1990,20,883,44,25.8,9.8,9,,5,11,,1,0.95,11,20,-9,-0.92,-0.60,Matches
1469,Jota\Jota,es ESP,MF,Eibar,es La Liga,25,1991,5,200,40,5.8,2.2,3,,0,2,,2,1.20,2,2,0,0.00,-0.14,Matches
1470,Yann Jouffre\Yann-Jouffre,fr FRA,MF,Metz,fr Ligue 1,32,1984,20,1283,64,37.5,14.3,14,,5,6,,1,1.50,23,20,+3,+0.21,+1.73,Matches
1471,Geoffrey Jourdren\Geoffrey-Jourdren,fr FRA,GK,Montpellier,fr Ligue 1,30,1986,13,1170,90,34.2,13.0,13,,13,0,,13,1.00,17,28,-11,-0.85,-0.57,Matches
1472,Vukašin Jovanović\Vukasin-Jovanovic,rs SRB,DF,Bordeaux,fr Ligue 1,20,1996,8,704,88,20.6,7.8,8,,7,0,,5,1.50,12,10,+2,+0.26,-0.01,Matches
1473,Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,Inter,it Serie A,26,1989,5,73,15,2.1,0.8,0,,0,5,,9,1.40,7,2,+5,+6.16,+5.68,Matches
1474,Stevan Jovetić\Stevan-Jovetic,me MNE,FW,Sevilla,es La Liga,26,1989,21,1206,57,35.3,13.4,12,,5,9,,0,1.71,27,18,+9,+0.67,+0.22,Matches
1475,Jozabed\Jozabed,es ESP,MF,Celta Vigo,es La Liga,25,1991,19,1090,57,31.9,12.1,12,,4,7,,1,0.95,14,22,-8,-0.66,-0.35,Matches
1476,Juanfran\Juanfran,es ESP,DF,Atlético Madrid,es La Liga,31,1985,23,1979,86,57.9,22.0,21,,20,2,,6,2.04,39,17,+22,+1.00,-0.31,Matches
1477,Juanfran\Juanfran,es ESP,DF,La Coruña,es La Liga,27,1988,34,2954,87,86.4,32.8,34,,29,0,,2,0.94,39,52,-13,-0.40,+0.57,Matches
1478,Juankar\Juankar,es ESP,DFMF,Málaga,es La Liga,26,1990,28,2058,74,60.2,22.9,23,,15,5,,2,1.29,26,35,-9,-0.39,-0.59,Matches
1479,Juanmi\Juanmi,es ESP,FWMF,Real Sociedad,es La Liga,23,1993,35,1842,53,53.9,20.5,19,,7,16,,1,1.66,27,27,0,0.00,-0.34,Matches
1480,Juanpi\Juanpi,ve VEN,MFFW,Málaga,es La Liga,22,1994,22,1471,67,43.0,16.3,16,,10,6,,1,1.14,19,24,-5,-0.31,-0.26,Matches
1481,Mariano Julio Izco\Mariano-Julio-Izco,ar ARG,MFDF,Chievo,it Serie A,33,1983,25,1171,47,34.2,13.0,12,,7,13,,11,1.00,10,27,-17,-1.31,-1.27,Matches
1482,Christopher Jullien\Christopher-Jullien,fr FRA,DF,Toulouse,fr Ligue 1,23,1993,35,3150,90,92.1,35.0,35,,34,0,,0,1.09,33,36,-3,-0.09,+0.25,Matches
1483,David Juncà\David-Junca,es ESP,DF,Eibar,es La Liga,22,1993,9,687,76,20.1,7.6,7,,7,2,,9,0.78,6,11,-5,-0.66,-0.98,Matches
1484,Anthony Jung\Anthony-Jung,de GER,MFDF,Ingolstadt 04,de Bundesliga,24,1991,16,704,44,23.0,7.8,8,,3,8,,13,1.13,7,11,-4,-0.51,+0.14,Matches
1485,Gideon Jung\Gideon-Jung,de GER,MFDF,Hamburger SV,de Bundesliga,21,1994,29,2371,82,77.5,26.3,26,,24,3,,1,1.21,29,46,-17,-0.65,+0.79,Matches
1486,Sebastian Jung\Sebastian-Jung,de GER,DF,Wolfsburg,de Bundesliga,26,1990,4,293,73,9.6,3.3,4,,1,0,,3,1.00,4,4,0,0.00,+0.59,Matches
1487,Florian Jungwirth\Florian-Jungwirth,de GER,MFDF,Darmstadt 98,de Bundesliga,27,1989,16,1146,72,37.5,12.7,12,,11,4,,0,0.56,11,24,-13,-1.02,+0.01,Matches
1488,Zlatko Junuzović\Zlatko-Junuzovic,at AUT,MF,Werder Bremen,de Bundesliga,28,1987,30,2494,83,81.5,27.7,28,,24,2,,0,1.30,47,49,-2,-0.07,+0.09,Matches
1489,Lukas Jutkiewicz\Lukas-Jutkiewicz,eng ENG,FW,Burnley,eng Premier League,27,1989,2,13,7,0.4,0.1,0,,0,2,,1,1.50,0,0,0,0.00,+0.42,Matches
1490,Younès Kaabouni\Younes-Kaabouni,fr FRA,MF,Bordeaux,fr Ligue 1,21,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
1491,Christian Kabasele\Christian-Kabasele,be BEL,DFMF,Watford,eng Premier League,25,1991,16,771,48,22.5,8.6,7,,3,9,,6,0.88,4,15,-11,-1.28,-0.71,Matches
