Player,Nation,Pos,Squad,Comp,Born,goals_allowed,penalties_alllowed,free_kicks_allowed,corners_allowed,own_goals,PSxG,PSxG_per_SoT,PSxG_difference,long_passes_cmp,long_passes_attempted,long_pass_completion,passes_attempted,throws_attempted,launch_percentage,avg_pass_length,goal_kicks_attempted,goal_kicks_long_percentage,goal_kick_len,crosses_attempted,crosses_stopped,stop_percentage,defensive_actions,AvgDist,Season
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,1983,5,1,0.0,1.0,0.0,4.7,0.24,-0.3,30.0,78.0,38.5,121.0,25.0,38.8,36.8,40.0,77.5,56.6,37.0,3.0,8.1,5.0,15.9,2018
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,1987,45,4,4.0,6.0,1.0,35.8,0.25,-8.2,171.0,527.0,32.4,757.0,97.0,48.5,42.6,178.0,89.9,65.5,341.0,28.0,8.2,20.0,14.3,2018
Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,1992,34,2,0.0,1.0,2.0,31.3,0.3,-0.7,138.0,388.0,35.6,845.0,158.0,34.2,36.3,152.0,65.1,56.8,318.0,39.0,12.3,18.0,15.1,2018
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,1994,47,6,4.0,1.0,1.0,43.2,0.31,-2.8,213.0,476.0,44.7,526.0,123.0,51.1,41.1,237.0,87.3,60.2,285.0,24.0,8.4,13.0,13.5,2018
Luca Crosta,it ITA,GK,Cagliari,it Serie A,1998,3,1,0.0,0.0,0.0,2.1,0.66,-0.9,2.0,11.0,18.2,14.0,4.0,28.6,36.4,10.0,70.0,49.6,14.0,2.0,14.3,0.0,13.0,2018
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,1984,43,5,3.0,5.0,0.0,40.2,0.26,-2.8,270.0,779.0,34.7,729.0,64.0,80.1,55.4,198.0,98.5,69.8,309.0,30.0,9.7,28.0,15.6,2018
Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,1990,15,3,0.0,0.0,2.0,15.8,0.31,2.8,65.0,197.0,33.0,215.0,26.0,64.2,48.3,66.0,89.4,63.9,107.0,13.0,12.1,6.0,14.4,2018
Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,1992,5,1,1.0,0.0,0.0,6.9,0.37,1.9,9.0,32.0,28.1,53.0,10.0,37.7,36.2,12.0,100.0,64.2,19.0,3.0,15.8,2.0,18.9,2018
Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,1995,14,3,0.0,0.0,1.0,12.7,0.28,-0.3,50.0,119.0,42.0,156.0,37.0,48.7,40.7,46.0,93.5,60.9,126.0,13.0,10.3,3.0,13.6,2018
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,1992,49,4,2.0,3.0,4.0,41.3,0.32,-3.7,265.0,719.0,36.9,789.0,73.0,74.3,56.1,137.0,97.1,78.0,248.0,35.0,14.1,59.0,18.0,2018
Jaume Doménech,es ESP,GK,Valencia,es La Liga,1990,5,0,0.0,1.0,0.0,6.3,0.31,1.3,16.0,43.0,37.2,89.0,24.0,33.7,31.1,18.0,72.2,55.8,70.0,7.0,10.0,3.0,14.7,2018
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,1999,42,2,0.0,4.0,1.0,40.8,0.3,-0.2,192.0,402.0,47.8,892.0,136.0,33.0,31.5,194.0,55.7,42.2,305.0,23.0,7.5,14.0,14.4,2018
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,1997,8,0,1.0,1.0,0.0,5.9,0.36,-2.1,9.0,26.0,34.6,35.0,5.0,57.1,46.8,8.0,75.0,55.6,20.0,1.0,5.0,1.0,14.5,2018
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,1989,11,0,0.0,0.0,0.0,13.9,0.36,2.9,44.0,174.0,25.3,220.0,25.0,52.3,43.1,64.0,92.2,67.3,125.0,16.0,12.8,11.0,15.9,2018
Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,1993,3,1,0.0,1.0,0.0,1.9,0.25,-1.1,7.0,13.0,53.8,8.0,1.0,62.5,46.9,8.0,100.0,65.4,13.0,2.0,15.4,1.0,13.8,2018
Ederson,br BRA,GK,Manchester City,eng Premier League,1993,26,0,1.0,1.0,1.0,22.6,0.28,-2.4,112.0,207.0,54.1,850.0,125.0,18.8,27.9,75.0,62.7,54.7,178.0,25.0,14.0,47.0,19.0,2018
Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,1986,21,1,0.0,3.0,1.0,19.9,0.3,-0.1,132.0,317.0,41.6,329.0,39.0,67.8,49.2,110.0,85.5,60.8,193.0,18.0,9.3,7.0,13.7,2018
