Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,1978.0,30,2655.0,89.0,77.6,29.5,30,,29.0,0,,4,2.3,55.0,24.0,31.0,1.05,-1.18,2017,,,,,
Fabijan Buntić,hr CRO,GK,Ingolstadt 04,de Bundesliga,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990.0,27,2430.0,90.0,79.4,27.0,27,,27.0,0,,1,2.0,58.0,29.0,29.0,1.07,0.65,2017,,,,,
Jean Butez,fr FRA,GK,Lille,fr Ligue 1,1995.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Jack Butland,eng ENG,GK,Stoke City,eng Premier League,1993.0,5,450.0,90.0,13.2,5.0,5,,5.0,0,,1,1.0,4.0,8.0,-4.0,-0.8,-0.47,2017,,,,,
Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,1981.0,17,1452.0,85.0,42.5,16.1,16,,16.0,1,,21,2.24,40.0,13.0,27.0,1.67,1.03,2017,,,,,
Rafael Cabral,br BRA,GK,Napoli,it Serie A,1990.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,37,1.0,1.0,1.0,0.0,0.0,-1.49,2017,,,,,
Romain Cagnon,fr FRA,GK,Rennes,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,1994.0,36,3205.0,89.0,93.7,35.6,36,,35.0,0,,0,2.11,62.0,35.0,27.0,0.76,0.76,2017,,,,,
Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,1981.0,24,2160.0,90.0,63.2,24.0,24,,24.0,0,,3,1.63,38.0,22.0,16.0,0.67,1.1,2017,,,,,
Eduardo Carvalho,pt POR,GK,Chelsea,eng Premier League,1982.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,1986.0,11,990.0,90.0,28.9,11.0,11,,11.0,0,,27,2.64,33.0,10.0,23.0,2.09,0.54,2017,,,,,
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,1992.0,20,1800.0,90.0,58.8,20.0,20,,20.0,0,,13,1.05,19.0,30.0,-11.0,-0.55,-0.05,2017,,,,,
Joel Castro Pereira,pt POR,GK,Manchester Utd,eng Premier League,1996.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,2,3.0,2.0,0.0,2.0,2.0,1.38,2017,,,,,
Pietro Cavagnaro,it ITA,GK,Sampdoria,it Serie A,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Kike Cebriá,es ESP,GK,Eibar,es La Liga,1995.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,1982.0,35,3097.0,88.0,90.6,34.4,35,,34.0,0,,0,2.03,72.0,37.0,35.0,1.02,1.57,2017,,,,,
Michele Cerofolini,it ITA,GK,Fiorentina,it Serie A,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Nereo Champagne,ar ARG,GK,Leganés,es La Liga,1985.0,4,360.0,90.0,10.5,4.0,4,,4.0,0,,18,0.75,2.0,4.0,-2.0,-0.5,0.0,2017,,,,,
Paul Charruau,fr FRA,GK,Bastia,fr Ligue 1,1993.0,1,42.0,42.0,1.2,0.5,0,,0.0,1,,11,0.0,1.0,1.0,0.0,0.0,0.67,2017,,,,,
Sergei Chernik,by BLR,GK,Nancy,fr Ligue 1,1988.0,17,1377.0,81.0,40.3,15.3,15,,15.0,2,,21,0.94,12.0,21.0,-9.0,-0.59,0.03,2017,,,,,
Churripi,es ESP,GK,Sevilla,es La Liga,1994.0,0,,,,,0,,0.0,0,,4,,,,,,,2017,,,,,
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,1989.0,1,90.0,90.0,2.6,1.0,1,,1.0,0,,32,0.0,1.0,2.0,-1.0,-1.0,-3.16,2017,,,,,
Valentin Cojocaru,ro ROU,GK,Crotone,it Serie A,1995.0,0,,,,,0,,0.0,0,,16,,,,,,,2017,,,,,
Roberto Colombo,it ITA,GK,Cagliari,it Serie A,1975.0,1,81.0,81.0,2.4,0.9,0,,0.0,1,,25,3.0,4.0,1.0,3.0,3.33,3.98,2017,,,,,
Fabio Coltorti,ch SUI,GK,RB Leipzig,de Bundesliga,1980.0,1,90.0,90.0,2.9,1.0,1,,1.0,0,,17,3.0,4.0,0.0,4.0,4.0,3.3,2017,,,,,
Alessandro Confente,it ITA,GK,Chievo,it Serie A,1998.0,0,,,,,0,,0.0,0,,28,,,,,,,2017,,,,,
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,1987.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,0,1.24,57.0,56.0,1.0,0.03,6.03,2017,,,,,
Domenico Coppola,it ITA,GK,Torino,it Serie A,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Alex Cordaz,it ITA,GK,Crotone,it Serie A,1983.0,36,3236.0,90.0,94.6,36.0,36,,35.0,0,,1,0.94,33.0,54.0,-21.0,-0.58,0.88,2017,,,,,
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,1983.0,18,1541.0,86.0,45.1,17.1,17,,17.0,1,,20,0.89,20.0,26.0,-6.0,-0.35,0.22,2017,,,,,
