Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,1992.0,27,2430.0,90.0,100.0,27.0,27,90.0,27.0,0,,0,1.11,31.0,39.0,-8.0,-0.3,,2021,25.9,38.2,-12.3,-0.46,
Bailey Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,1996.0,1,90.0,90.0,3.3,1.0,1,90.0,1.0,0,,26,0.0,0.0,5.0,-5.0,-5.0,-4.62,2021,0.4,2.8,-2.4,-2.41,-1.94
Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,1981.0,1,90.0,90.0,3.4,1.0,1,90.0,1.0,0,,25,1.0,0.0,0.0,0.0,0.0,0.0,2021,0.4,1.2,-0.8,-0.76,-0.74
Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,1982.0,1,90.0,90.0,3.2,1.0,1,90.0,1.0,0,,28,0.0,1.0,2.0,-1.0,-1.0,-1.17,2021,2.2,1.5,0.7,0.65,0.71
Iñaki Peña,es ESP,GK,Barcelona,es La Liga,1999.0,0,,,,,0,,0.0,0,,21,,,,,,,2021,,,,,
Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,1985.0,1,90.0,90.0,3.7,1.0,1,90.0,1.0,0,,25,1.0,1.0,1.0,0.0,0.0,0.23,2021,1.2,0.3,0.9,0.9,1.02
Gabriel Pereira,br BRA,GK,Lazio,it Serie A,2002.0,0,,,,,0,,0.0,0,,5,,,,,,,2021,,,,,
Juan Pérez,es ESP,GK,Osasuna,es La Liga,1996.0,1,90.0,90.0,3.4,1.0,1,90.0,1.0,0,,18,1.0,0.0,0.0,0.0,0.0,0.43,2021,0.4,0.9,-0.5,-0.47,-0.14
Samu Pérez,es ESP,GK,Valladolid,es La Liga,1997.0,0,,,,,0,,0.0,0,,5,,,,,,,2021,,,,,
Mattia Perin,it ITA,GK,Genoa,it Serie A,1992.0,25,2249.0,90.0,86.2,25.0,25,90.0,24.0,0,,0,1.24,29.0,31.0,-2.0,-0.08,1.91,2021,22.0,31.2,-9.2,-0.37,0.66
Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,1987.0,1,90.0,90.0,3.7,1.0,1,90.0,1.0,0,,24,1.0,1.0,1.0,0.0,0.0,-0.92,2021,0.6,1.5,-0.9,-0.91,-1.32
Danijel Petković,me MNE,GK,Angers,fr Ligue 1,1993.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Denis Petrić,rs SRB,GK,Nantes,fr Ligue 1,1988.0,0,,,,,0,,0.0,0,,30,,,,,,,2021,,,,,
Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,2000.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,1994.0,23,2022.0,88.0,77.5,22.5,23,88.0,22.0,0,,2,1.7,32.0,29.0,3.0,0.13,0.13,2021,27.0,29.7,-2.7,-0.12,-0.02
Alexandre Pierre,ht HAI,GK,Strasbourg,fr Ligue 1,2001.0,0,,,,,0,,0.0,0,,8,,,,,,,2021,,,,,
Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,1990.0,0,,,0.0,0.0,0,,0.0,0,,26,3.0,2.0,1.0,1.0,,,2021,,,,,
Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,1994.0,0,,,,,0,,0.0,0,,26,,,,,,,2021,,,,,
Nick Pope,eng ENG,GK,Burnley,eng Premier League,1992.0,29,2610.0,90.0,96.7,29.0,29,90.0,29.0,0,,0,1.14,24.0,35.0,-11.0,-0.38,4.62,2021,28.3,41.9,-13.6,-0.47,1.94
Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,1999.0,0,,,,,0,,0.0,0,,31,,,,,,,2021,,,,,
Ivan Provedel,it ITA,GK,Spezia,it Serie A,1994.0,22,1980.0,90.0,75.9,22.0,22,90.0,22.0,0,,1,1.0,29.0,39.0,-10.0,-0.45,0.4,2021,28.7,37.9,-9.2,-0.42,0.74
Anthony Racioppi,ch SUI,GK,Dijon,fr Ligue 1,1998.0,21,1890.0,90.0,67.7,21.0,21,90.0,21.0,0,,6,0.57,16.0,33.0,-17.0,-0.81,0.79,2021,17.6,37.3,-19.6,-0.94,0.67
Anthony Racioppi,ch SUI,GK,Lyon,fr Ligue 1,1998.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Ionuț Radu,ro ROU,GK,Inter,it Serie A,1997.0,0,,,,,0,,0.0,0,,26,,,,,,,2021,,,,,
Boris Radunović,rs SRB,GK,Atalanta,it Serie A,1996.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Rafa,es ESP,GK,Granada,es La Liga,2003.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Rafael,br BRA,GK,Spezia,it Serie A,1982.0,2,117.0,59.0,4.5,1.3,1,90.0,1.0,1,27.0,11,1.5,1.0,3.0,-2.0,-1.54,-1.03,2021,0.6,3.2,-2.6,-2.03,-1.5
Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,1995.0,30,2655.0,89.0,95.2,29.5,30,89.0,29.0,0,,0,1.3,37.0,37.0,0.0,0.0,0.0,2021,27.2,46.8,-19.5,-0.66,-0.66
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,1998.0,30,2700.0,90.0,100.0,30.0,30,90.0,30.0,0,,0,0.47,17.0,52.0,-35.0,-1.17,,2021,25.5,48.7,-23.2,-0.77,
Darren Randolph,ie IRL,GK,West Ham,eng Premier League,1987.0,2,180.0,90.0,6.7,2.0,2,90.0,2.0,0,,19,1.5,2.0,2.0,0.0,0.0,-0.39,2021,2.9,0.9,2.0,0.98,0.86
Mathyas Randriamamy,mg MAD,GK,Paris S-G,fr Ligue 1,2003.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Federico Ravaglia,it ITA,GK,Bologna,it Serie A,1999.0,2,180.0,90.0,6.9,2.0,2,90.0,2.0,0,,11,0.0,1.0,6.0,-5.0,-2.5,-2.46,2021,1.5,5.0,-3.5,-1.75,-1.54
Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,1988.0,0,,,,,0,,0.0,0,,28,,,,,,,2021,,,,,
Rebollo,es ESP,GK,Betis,es La Liga,1999.0,0,,,,,0,,0.0,0,,16,,,,,,,2021,,,,,
Nikolai Rehnen,de GER,GK,Arminia,de Bundesliga,1997.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Pepe Reina,es ESP,GK,Lazio,it Serie A,1982.0,22,1980.0,90.0,78.6,22.0,22,90.0,22.0,0,,6,2.05,38.0,26.0,12.0,0.55,1.38,2021,32.4,28.3,4.2,0.19,-0.05
Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,1995.0,29,2610.0,90.0,100.0,29.0,29,90.0,29.0,0,,0,1.59,45.0,29.0,16.0,0.55,,2021,47.8,25.4,22.4,0.77,
Baptiste Reynet,fr FRA,GK,Nîmes,fr Ligue 1,1990.0,31,2790.0,90.0,100.0,31.0,31,90.0,31.0,0,,0,0.94,30.0,58.0,-28.0,-0.9,,2021,31.9,55.5,-23.7,-0.76,
Jacopo Ricco,it ITA,GK,Fiorentina,it Serie A,2003.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,1993.0,8,675.0,84.0,24.2,7.5,7,90.0,7.0,1,45.0,21,2.0,18.0,6.0,12.0,1.6,0.2,2021,20.2,8.7,11.5,1.53,0.6
Filippo Rinaldi,it ITA,GK,Parma,it Serie A,2002.0,0,,,,,0,,0.0,0,,5,,,,,,,2021,,,,,
Roberto,es ESP,GK,Valladolid,es La Liga,1986.0,10,900.0,90.0,34.5,10.0,10,90.0,10.0,0,,18,0.8,8.0,13.0,-5.0,-0.5,-0.08,2021,9.4,13.0,-3.6,-0.36,0.08
Joel Robles,es ESP,GK,Betis,es La Liga,1990.0,18,1620.0,90.0,62.1,18.0,18,90.0,18.0,0,,11,1.61,25.0,25.0,0.0,0.0,0.27,2021,20.8,21.2,-0.4,-0.02,-0.2
Marek Rodák,sk SVK,GK,Fulham,eng Premier League,1996.0,1,90.0,90.0,3.2,1.0,1,90.0,1.0,0,,24,0.0,0.0,3.0,-3.0,-3.0,-2.53,2021,0.2,1.8,-1.6,-1.6,-1.42
San Román,es ESP,GK,Atlético Madrid,es La Liga,1997.0,0,,,,,0,,0.0,0,,10,,,,,,,2021,,,,,
Antonio Rosati,it ITA,GK,Torino,it Serie A,1983.0,0,,,,,0,,0.0,0,,20,,,,,,,2021,,,,,
Antonio Rosati,it ITA,GK,Fiorentina,it Serie A,1983.0,0,,,,,0,,0.0,0,,9,,,,,,,2021,,,,,
Francesco Rossi,it ITA,GK,Atalanta,it Serie A,1991.0,0,,,,,0,,0.0,0,,29,,,,,,,2021,,,,,
Rubén,es ESP,GKMF,Osasuna,es La Liga,1984.0,3,187.0,62.0,7.2,2.1,3,62.0,2.0,0,,12,0.67,3.0,5.0,-2.0,-0.96,-0.59,2021,3.7,5.1,-1.4,-0.68,-0.37
John Ruddy,eng ENG,GK,Wolves,eng Premier League,1986.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,1.0,29,0.0,0.0,0.0,0.0,0.0,0.37,2021,0.2,0.1,0.1,7.36,7.45
Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,1992.0,0,,,,,0,,0.0,0,,28,,,,,,,2021,,,,,
Mathew Ryan,au AUS,GK,Arsenal,eng Premier League,1992.0,1,90.0,90.0,3.3,1.0,1,90.0,1.0,0,,8,0.0,0.0,1.0,-1.0,-1.0,-1.21,2021,1.1,1.1,0.0,-0.03,-0.17
Mathew Ryan,au AUS,GK,Brighton,eng Premier League,1992.0,11,990.0,90.0,36.7,11.0,11,90.0,11.0,0,,1,0.91,14.0,19.0,-5.0,-0.45,-0.45,2021,16.4,11.0,5.4,0.49,0.17
Frederik Rønnow,dk DEN,GK,Schalke 04,de Bundesliga,1992.0,11,945.0,86.0,38.9,10.5,10,90.0,10.0,1,45.0,4,0.36,6.0,24.0,-18.0,-1.71,0.47,2021,5.7,20.1,-14.4,-1.37,-0.12
Frederik Rønnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,1992.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,1984.0,15,1350.0,90.0,48.4,15.0,15,90.0,15.0,0,,14,2.07,25.0,14.0,11.0,0.73,1.17,2021,19.4,15.8,3.5,0.24,-0.03
Robert Sánchez,es ESP,GK,Brighton,eng Premier League,1997.0,19,1710.0,90.0,63.3,19.0,19,90.0,19.0,0,,0,1.16,19.0,19.0,0.0,0.0,0.45,2021,25.4,19.3,6.2,0.32,-0.17
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,1986.0,30,2700.0,90.0,100.0,30.0,30,90.0,30.0,0,,0,1.87,53.0,34.0,19.0,0.63,,2021,44.3,36.7,7.6,0.25,
Markus Schubert,de GER,GK,Schalke 04,de Bundesliga,1998.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Markus Schubert,de GER,GK,Eint Frankfurt,de Bundesliga,1998.0,0,,,,,0,,0.0,0,,23,,,,,,,2021,,,,,
Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,1992.0,19,1710.0,90.0,70.4,19.0,19,90.0,19.0,0,,8,0.95,25.0,33.0,-8.0,-0.42,0.33,2021,23.9,25.7,-1.8,-0.1,0.12
Simone Scuffet,it ITA,GK,Udinese,it Serie A,1996.0,0,,,,,0,,0.0,0,,26,,,,,,,2021,,,,,
Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,1992.0,1,90.0,90.0,3.2,1.0,1,90.0,1.0,0,,2,3.0,3.0,2.0,1.0,1.0,1.23,2021,2.1,2.0,0.1,0.14,-0.03
Luigi Sepe,it ITA,GK,Parma,it Serie A,1991.0,29,2610.0,90.0,100.0,29.0,29,90.0,29.0,0,,0,0.69,28.0,56.0,-28.0,-0.97,,2021,30.3,43.0,-12.7,-0.44,
Patrick Sequeira,cr CRC,GK,Celta Vigo,es La Liga,1999.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Rui Silva,pt POR,GK,Granada,es La Liga,1994.0,28,2520.0,90.0,96.6,28.0,28,90.0,28.0,0,,0,1.29,34.0,47.0,-13.0,-0.46,1.54,2021,28.6,37.8,-9.3,-0.33,1.44
Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,1991.0,29,2610.0,90.0,100.0,29.0,29,90.0,29.0,0,,0,1.41,35.0,34.0,1.0,0.03,,2021,34.0,40.4,-6.4,-0.22,
Unai Simón,es ESP,GK,Athletic Club,es La Liga,1997.0,29,2610.0,90.0,100.0,29.0,29,90.0,29.0,0,,0,1.24,39.0,33.0,6.0,0.21,,2021,34.6,27.7,6.9,0.24,
Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,1988.0,1,90.0,90.0,3.7,1.0,1,90.0,1.0,0,,26,1.0,1.0,1.0,0.0,0.0,-0.19,2021,1.4,0.5,1.0,0.96,0.6
Salvatore Sirigu,it ITA,GK,Torino,it Serie A,1987.0,26,2340.0,90.0,92.9,26.0,26,90.0,26.0,0,,2,0.88,39.0,48.0,-9.0,-0.35,0.65,2021,33.2,36.9,-3.8,-0.15,0.74
Antonio Sivera,es ESP,GK,Alavés,es La Liga,1996.0,0,,,,,0,,0.0,0,,29,,,,,,,2021,,,,,
Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,1991.0,21,1890.0,90.0,72.4,21.0,21,90.0,21.0,0,,0,1.38,31.0,30.0,1.0,0.05,0.92,2021,29.8,32.6,-2.9,-0.14,0.64
Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,1988.0,26,2340.0,90.0,96.3,26.0,26,90.0,26.0,0,,0,1.46,45.0,40.0,5.0,0.19,0.19,2021,42.0,32.7,9.3,0.36,-0.6
David Soria,es ESP,GK,Getafe,es La Liga,1993.0,20,1800.0,90.0,69.0,20.0,20,90.0,20.0,0,,9,0.95,14.0,21.0,-7.0,-0.35,0.09,2021,15.1,24.6,-9.5,-0.48,-0.31
Marco Sportiello,it ITA,GK,Atalanta,it Serie A,1992.0,13,1105.0,85.0,42.3,12.3,12,90.0,12.0,1,25.0,16,1.92,29.0,18.0,11.0,0.9,-0.36,2021,22.3,13.1,9.2,0.75,-0.22
Filip Stankovic,rs SRB,GK,Inter,it Serie A,2002.0,0,,,,,0,,0.0,0,,5,,,,,,,2021,,,,,
Jason Steele,eng ENG,GK,Brighton,eng Premier League,1990.0,0,,,,,0,,0.0,0,,22,,,,,,,2021,,,,,
Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,1992.0,0,,,,,0,,0.0,0,,12,,,,,,,2021,,,,,
Zack Steffen,us USA,GK,Manchester City,eng Premier League,1995.0,1,90.0,90.0,3.2,1.0,1,90.0,1.0,0,,27,3.0,3.0,1.0,2.0,2.0,0.57,2021,2.4,0.8,1.6,1.62,0.46
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,1995.0,6,540.0,90.0,21.4,6.0,6,90.0,6.0,0,,12,1.17,7.0,12.0,-5.0,-0.83,-1.38,2021,9.2,7.8,1.5,0.24,0.05
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,1990.0,23,2070.0,90.0,79.3,23.0,23,90.0,23.0,0,,6,1.87,42.0,23.0,19.0,0.83,-1.34,2021,41.4,22.5,18.9,0.82,-0.93
Andreas Søndergaard,dk DEN,GK,Wolves,eng Premier League,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,1986.0,1,90.0,90.0,3.4,1.0,1,90.0,1.0,0,,28,1.0,3.0,3.0,0.0,0.0,-0.71,2021,2.6,2.3,0.3,0.33,-0.32
Ciprian Tătărușanu,ro ROU,GK,Lyon,fr Ligue 1,1986.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Arnau Tenas,es ESP,GK,Barcelona,es La Liga,2001.0,0,,,,,0,,0.0,0,,15,,,,,,,2021,,,,,
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,1992.0,23,2070.0,90.0,79.3,23.0,23,90.0,23.0,0,,0,2.48,58.0,18.0,40.0,1.74,1.07,2021,53.0,22.7,30.3,1.32,1.02
Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,1990.0,1,47.0,47.0,1.8,0.5,0,,0.0,1,47.0,28,0.0,1.0,2.0,-1.0,-1.91,-1.6,2021,0.1,0.8,-0.8,-1.44,-1.25
James Trafford,eng ENG,GK,Manchester City,eng Premier League,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,1990.0,27,2430.0,90.0,100.0,27.0,27,90.0,27.0,0,,0,1.85,55.0,37.0,18.0,0.67,,2021,44.7,36.6,8.1,0.3,
Nathan Trott,eng ENG,GK,West Ham,eng Premier League,1998.0,0,,,,,0,,0.0,0,,5,,,,,,,2021,,,,,
Philipp Tschauner,de GER,GK,RB Leipzig,de Bundesliga,1985.0,0,,,,,0,,0.0,0,,6,,,,,,,2021,,,,,
Stefano Turati,it ITA,GK,Sassuolo,it Serie A,2001.0,0,,,0.0,0.0,0,,0.0,0,,16,1.0,2.0,2.0,0.0,,,2021,,,,,
Martin Turk,si SVN,GK,Parma,it Serie A,2003.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Harry Tyrer,eng ENG,GK,Everton,eng Premier League,2001.0,0,,,,,0,,0.0,0,,4,,,,,,,2021,,,,,
Samir Ujkani,xk KVX,GK,Torino,it Serie A,1988.0,0,,,,,0,,0.0,0,,11,,,,,,,2021,,,,,
Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,1988.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Luca Unbehaun,de GER,GK,Dortmund,de Bundesliga,2001.0,0,,,,,0,,0.0,0,,5,,,,,,,2021,,,,,
Benjamin Uphoff,de GER,GK,Freiburg,de Bundesliga,1993.0,0,,,,,0,,0.0,0,,27,,,,,,,2021,,,,,
Tomáš Vaclík,cz CZE,GK,Sevilla,es La Liga,1989.0,4,360.0,90.0,13.8,4.0,4,90.0,4.0,0,,14,1.5,6.0,5.0,1.0,0.25,-0.47,2021,5.4,2.8,2.5,0.63,0.3
Fabio Vanni,fr FRA,GK,Marseille,fr Ligue 1,2002.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Koke Vegas,es ESP,GK,Levante,es La Liga,1995.0,1,90.0,90.0,3.4,1.0,1,90.0,1.0,0,,18,0.0,2.0,6.0,-4.0,-4.0,-4.04,2021,0.4,2.4,-2.0,-2.01,-1.8
Michael Verrips,nl NED,GK,Sheffield Utd,eng Premier League,1996.0,0,,,,,0,,0.0,0,,13,,,,,,,2021,,,,,
Guglielmo Vicario,it ITA,GK,Cagliari,it Serie A,1996.0,0,,,,,0,,0.0,0,,29,,,,,,,2021,,,,,
Iván Villar,es ESP,GK,Celta Vigo,es La Liga,1997.0,12,971.0,81.0,37.2,10.8,10,90.0,10.0,2,36.0,17,1.08,10.0,17.0,-7.0,-0.65,-0.7,2021,12.3,14.2,-1.9,-0.18,-0.38
Trey Vimalin,cg CGO,GK,Reims,fr Ligue 1,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
João Virgínia,pt POR,GK,Everton,eng Premier League,1999.0,1,48.0,48.0,1.8,0.5,0,,0.0,1,48.0,10,0.0,0.0,0.0,0.0,0.0,-0.11,2021,0.9,0.8,0.1,0.14,0.26
Samuele Vitale,it ITA,GK,Sassuolo,it Serie A,2002.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Christian Walton,eng ENG,GK,Brighton,eng Premier League,1995.0,0,,,,,0,,0.0,0,,7,,,,,,,2021,,,,,
Danny Ward,wal WAL,GK,Leicester City,eng Premier League,1993.0,0,,,,,0,,0.0,0,,30,,,,,,,2021,,,,,
Rubén Yáñez,es ESP,GK,Getafe,es La Liga,1993.0,9,810.0,90.0,31.0,9.0,9,90.0,9.0,0,,20,1.22,8.0,12.0,-4.0,-0.44,-0.09,2021,7.7,9.2,-1.5,-0.17,0.31
Yoel,es ESP,GK,Eibar,es La Liga,1988.0,2,120.0,60.0,4.6,1.3,1,90.0,1.0,1,30.0,27,0.5,1.0,1.0,0.0,0.0,0.47,2021,2.0,0.6,1.4,1.06,1.37
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,1994.0,26,2340.0,90.0,96.3,26.0,26,90.0,26.0,0,,0,0.96,25.0,41.0,-16.0,-0.62,2.38,2021,35.6,36.5,-0.9,-0.03,1.93
Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,1995.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Ron-Robert Zieler,de GER,GK,Köln,de Bundesliga,1989.0,1,51.0,51.0,2.1,0.6,0,,0.0,1,51.0,26,1.0,1.0,1.0,0.0,0.0,0.83,2021,0.3,1.3,-1.0,-1.75,-1.16
Karlo Ziger,hr CRO,GK,Chelsea,eng Premier League,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Lukáš Zima,cz CZE,GK,Genoa,it Serie A,1994.0,0,,,,,0,,0.0,0,,14,,,,,,,2021,,,,,
Jeroen Zoet,nl NED,GK,Spezia,it Serie A,1991.0,6,513.0,86.0,19.7,5.7,6,86.0,5.0,0,,6,1.17,7.0,11.0,-4.0,-0.7,-0.19,2021,5.4,10.8,-5.4,-0.95,-0.45
Andoni Zubiaurre,es ESP,GK,Real Sociedad,es La Liga,1996.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Igor Akinfeev,ru RUS,GK,CSKA Moscow,UCL,1986.0,6,540.0,90.0,100.0,6.0,6,,6.0,0,,0,0.5,5.0,11.0,-6.0,-1.0,,2017,,,,,
Stephan Andersen,dk DEN,GK,FC Copenhagen,UCL,1981.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,UCL,1984.0,1,90.0,90.0,8.3,1.0,1,,1.0,0,,6,3.0,4.0,2.0,2.0,2.0,1.45,2017,,,,,
Alphonse Areola,fr FRA,GK,Paris S-G,UCL,1993.0,6,540.0,90.0,75.0,6.0,6,,6.0,0,,2,2.0,13.0,7.0,6.0,1.0,1.5,2017,,,,,
Loic Badiashile,fr FRA,GK,Monaco,UCL,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Beto,pt POR,GK,Sporting CP,UCL,1982.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Hendrik Bonmann,de GER,GK,Dortmund,UCL,1994.0,0,,,,,0,,0.0,0,,3,,,,,,,2017,,,,,
Milan Borjan,ca CAN,GK,Ludogorets,UCL,1987.0,1,90.0,90.0,16.7,1.0,1,,1.0,0,,5,0.0,2.0,3.0,-1.0,-1.0,0.6,2017,,,,,
Claudio Bravo,cl CHI,GK,Manchester City,UCL,1983.0,4,323.0,81.0,44.9,3.6,4,,3.0,0,,2,1.25,8.0,5.0,3.0,0.84,0.61,2017,,,,,
Sébastien Bruzzese,be BEL,GK,Club Brugge,UCL,1989.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Gianluigi Buffon,it ITA,GK,Juventus,UCL,1978.0,12,1080.0,90.0,92.3,12.0,12,,12.0,0,,1,2.25,20.0,7.0,13.0,1.08,-1.92,2017,,,,,
Roman Bürki,ch SUI,GK,Dortmund,UCL,1990.0,8,720.0,90.0,80.0,8.0,8,,8.0,0,,0,1.63,18.0,10.0,8.0,1.0,-1.0,2017,,,,,
Ludovic Butelle,fr FRA,GK,Club Brugge,UCL,1983.0,6,540.0,90.0,100.0,6.0,6,,6.0,0,,0,0.0,2.0,14.0,-12.0,-2.0,,2017,,,,,
Willy Caballero,ar ARG,GK,Manchester City,UCL,1981.0,5,393.0,79.0,54.6,4.4,4,,4.0,1,,3,1.67,10.0,11.0,-1.0,-0.23,-1.61,2017,,,,,
Rafael Cabral,br BRA,GK,Napoli,UCL,1990.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Kiko Casilla,es ESP,GK,Real Madrid,UCL,1986.0,1,90.0,90.0,7.5,1.0,1,,1.0,0,,12,3.0,2.0,1.0,1.0,1.0,-0.3,2017,,,,,
Iker Casillas,es ESP,GK,Porto,UCL,1981.0,8,720.0,90.0,100.0,8.0,8,,8.0,0,,0,1.5,9.0,6.0,3.0,0.37,,2017,,,,,
Petr Čech,cz CZE,GK,Arsenal,UCL,1982.0,0,,,,,0,,0.0,0,,8,,,,,,,2017,,,,,
Júlio César,br BRA,GK,Benfica,UCL,1979.0,1,90.0,90.0,12.5,1.0,1,,1.0,0,,7,0.0,2.0,4.0,-2.0,-2.0,-1.86,2017,,,,,
Sergei Chepchugov,ru RUS,GK,CSKA Moscow,UCL,1985.0,0,,,,,0,,0.0,0,,5,,,,,,,2017,,,,,
Radosław Cierzniak,pl POL,GK,Legia Warsaw,UCL,1983.0,1,90.0,90.0,16.7,1.0,1,,1.0,0,,5,0.5,4.0,8.0,-4.0,-4.0,-1.8,2017,,,,,
Jasper Cillessen,nl NED,GK,Barcelona,UCL,1989.0,1,90.0,90.0,10.0,1.0,1,,1.0,0,,8,3.0,4.0,0.0,4.0,4.0,2.89,2017,,,,,
Morgan De Sanctis,it ITA,GK,Monaco,UCL,1977.0,1,90.0,90.0,8.3,1.0,1,,1.0,0,,11,0.0,0.0,3.0,-3.0,-3.0,-3.27,2017,,,,,
Soslan Dzhanayev,ru RUS,GK,Rostov,UCL,1987.0,6,540.0,90.0,100.0,6.0,6,,6.0,0,,0,1.3,6.0,12.0,-6.0,-1.0,,2017,,,,,
Ederson,br BRA,GK,Benfica,UCL,1993.0,7,630.0,90.0,87.5,7.0,7,,7.0,0,,1,1.57,9.0,10.0,-1.0,-0.14,1.86,2017,,,,,
Fabricio,es ESP,GK,Beşiktaş,UCL,1987.0,5,450.0,90.0,83.3,5.0,5,,5.0,0,,1,1.2,8.0,13.0,-5.0,-1.0,-1.0,2017,,,,,
Craig Gordon,sco SCO,GK,Celtic,UCL,1982.0,5,450.0,90.0,83.3,5.0,5,,5.0,0,,1,1.18,5.0,9.0,-4.0,-0.8,6.2,2017,,,,,
Mathieu Gorgelin,fr FRA,GK,Lyon,UCL,1990.0,0,,,,,0,,0.0,0,,6,,,,,,,2017,,,,,
Angus Gunn,eng ENG,GK,Manchester City,UCL,1996.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Ben Hamer,eng ENG,GK,Leicester City,UCL,1987.0,1,90.0,90.0,10.0,1.0,1,,1.0,0,,1,0.0,0.0,5.0,-5.0,-5.0,-5.67,2017,,,,,
Hidde Jurjus,nl NED,GK,PSV Eindhoven,UCL,1994.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Maksym Koval,ua UKR,GK,Dynamo Kyiv,UCL,1992.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
