,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
17,Edis Agović\Edis-Agovic,lu LUX,FW,lu F91 Dudelange,25,1993,0,,,,,0,,0,0,,3,1.00,,,,,,,,,,,Matches
18,Anel Ahmedhodzic\Anel-Ahmedhodzic,ba BIH,DFMF,se Malmö,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
19,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,be Genk,22,1995,5,450,90,62.5,5.0,5,90,5,0,,2,2.00,9,3,+6,+1.20,+2.20,6.4,4.2,+2.2,+0.44,+0.41,Matches
20,Kristoffer Ajer\Kristoffer-Ajer,no NOR,DF,sco Celtic,20,1998,3,161,54,22.4,1.8,1,92,1,2,35,1,1.40,1,3,-2,-1.12,-0.64,2.7,4.4,-1.8,-1.00,-0.53,Matches
21,Emre Akbaba\Emre-Akbaba,tr TUR,MFFW,tr Galatasaray,25,1992,1,8,8,4.4,0.1,0,,0,1,7,0,1.00,0,0,0,0.00,+0.52,0.0,0.0,0.0,0.00,+1.03,Matches
22,Abdulcebrail Akbulut\Abdulcebrail-Akbulut,tr TUR,DF,tr Fenerbahçe,16,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
23,Oğuzhan Akgün\Oguzhan-Akgun,tr TUR,MF,tr Beşiktaş,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,Yunus Akgün\Yunus-Akgun,tr TUR,FW,tr Galatasaray,18,2000,1,8,8,4.4,0.1,0,,0,1,7,1,1.00,0,0,0,0.00,+0.52,0.0,0.0,0.0,0.00,+1.03,Matches
25,Chuba Akpom\Chuba-Akpom,eng ENG,MFFW,gr PAOK,22,1995,3,79,26,14.6,0.9,0,,0,3,25,1,1.00,1,0,+1,+1.14,+2.70,2.6,0.4,+2.2,+2.50,+3.34,Matches
26,Fatih Aksoy\Fatih-Aksoy,tr TUR,DF,tr Beşiktaş,20,1997,2,26,13,4.8,0.3,0,,0,2,12,1,2.25,1,0,+1,+3.46,+3.99,1.1,0.6,+0.6,+1.92,+2.43,Matches
27,Deni Alar\Deni-Alar,at AUT,FWMF,at Rapid Wien,28,1990,4,256,64,35.6,2.8,3,75,1,1,32,3,1.50,2,8,-6,-2.11,-1.72,2.2,6.1,-3.9,-1.39,-0.90,Matches
28,Lucas Alario\Lucas-Alario,ar ARG,FWMF,de Leverkusen,25,1992,7,414,59,57.5,4.6,4,90,3,3,18,1,2.14,11,4,+7,+1.52,+1.52,7.1,4.3,+2.8,+0.61,+1.25,Matches
29,Burak Albayrak\Burak-Albayrak,tr TUR,DF,tr Fenerbahçe,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
30,Luis Alberto\Luis-Alberto,es ESP,FWMF,it Lazio,25,1992,5,217,43,30.1,2.4,3,65,1,2,11,0,1.20,2,4,-2,-0.83,-0.29,2.8,3.6,-0.8,-0.31,-0.43,Matches
31,Hasan Ali Kaldırım\Hasan-Ali-Kaldirim,tr TUR,DFMF,tr Fenerbahçe,28,1989,6,516,86,71.7,5.7,6,86,5,0,,0,1.83,8,4,+4,+0.70,+2.90,7.3,4.7,+2.6,+0.45,+1.59,Matches
32,Abdallah Ali Mohamed\Abdallah-Ali-Mohamed,km COM,DF,fr Marseille,19,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
33,Marco Alia\Marco-Alia,al ALB,GK,it Lazio,18,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
34,Akhmed Alibekov\Akhmed-Alibekov,ua UKR,MF,ua Dynamo Kyiv,20,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
35,Barış Alıcı\Baris-Alici,tr TUR,FW,tr Fenerbahçe,21,1997,3,207,69,28.8,2.3,2,91,2,1,26,2,0.33,0,1,-1,-0.43,-0.43,2.3,2.0,+0.3,+0.12,+0.18,Matches
36,Allan\Allan,br BRA,MF,it Napoli,27,1991,6,443,74,82.0,4.9,5,84,4,1,24,0,1.50,7,6,+1,+0.20,-0.72,8.4,6.1,+2.3,+0.46,+0.21,Matches
37,André Almeida Pinto\Andre-Almeida-Pinto,pt POR,DF,pt Sporting CP,28,1989,6,466,78,64.7,5.2,5,90,5,1,15,2,2.00,12,4,+8,+1.55,+1.19,9.0,3.1,+6.0,+1.15,+1.54,Matches
38,André Almeida\Andre-Almeida,pt POR,DF,pt Benfica,27,1990,3,288,96,50.5,3.2,3,96,2,0,,1,1.33,3,2,+1,+0.31,-0.33,2.8,2.4,+0.4,+0.14,-0.23,Matches
39,Richard Almeida\Richard-Almeida,az AZE,MFFW,kz Astana FK,29,1989,6,402,67,74.4,4.5,6,67,0,0,,0,1.29,3,5,-2,-0.45,-1.75,4.9,4.1,+0.8,+0.17,+0.82,Matches
40,Marcos Alonso\Marcos-Alonso,es ESP,DF,eng Chelsea,27,1990,4,334,84,24.2,3.7,4,84,3,0,,6,3.00,10,0,+10,+2.69,+1.32,7.5,1.3,+6.2,+1.68,+0.58,Matches
41,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,es Sevilla,25,1993,6,193,32,20.8,2.1,2,54,1,4,21,2,3.00,7,2,+5,+2.33,+1.23,4.8,2.3,+2.4,+1.14,+0.51,Matches
42,Jordan Amavi\Jordan-Amavi,fr FRA,DF,fr Marseille,24,1994,3,247,82,45.7,2.7,3,82,1,0,,2,0.33,2,8,-6,-2.19,-0.96,1.8,5.6,-3.8,-1.38,-1.90,Matches
43,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,eng Chelsea,17,2000,3,130,43,9.4,1.4,1,92,1,2,19,3,2.33,4,2,+2,+1.38,-0.34,1.7,0.5,+1.2,+0.81,-0.47,Matches
44,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,DF,be Club Brugge,21,1996,2,107,54,59.4,1.2,2,54,0,0,,0,1.50,0,4,-4,-3.36,-4.60,1.2,2.0,-0.8,-0.66,-0.47,Matches
45,Francis Amuzu\Francis-Amuzu,be BEL,MFDF,be Anderlecht,18,1999,4,213,53,39.4,2.4,2,91,2,2,16,1,0.50,0,3,-3,-1.27,-0.72,1.9,3.0,-1.1,-0.47,-0.36,Matches
46,Jano Ananidze\Jano-Ananidze,ge GEO,FW,ru Spartak Moscow,25,1992,1,17,17,3.1,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,+0.69,0.1,0.2,-0.1,-0.32,-0.14,Matches
47,Stephan Andersen\Stephan-Andersen,dk DEN,GK,dk FC Copenhagen,36,1981,5,450,90,83.3,5.0,5,90,5,0,,1,1.63,2,4,-2,-0.40,-0.40,2.9,4.1,-1.3,-0.26,-0.85,Matches
48,Fredrik Andersson\Fredrik-Andersson,se SWE,GK,se Malmö,29,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
49,Pål André Helland\Pal-Andre-Helland,no NOR,FW,no Rosenborg,28,1990,1,23,23,4.3,0.3,0,,0,1,22,0,2.33,1,0,+1,+3.91,+5.83,0.6,0.4,+0.2,+0.62,+2.45,Matches
50,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Rennes,27,1990,8,707,88,78.6,7.9,8,88,7,0,,1,1.63,12,12,0,0.00,0.00,10.4,9.1,+1.3,+0.16,+0.10,Matches
51,Komnen Andrić\Komnen-Andric,rs SRB,FW,hr Dinamo Zagreb,23,1995,1,1,1,0.1,0.0,0,,0,1,0,1,3.00,0,0,0,0.00,-0.78,0.0,0.0,0.0,0.00,-0.57,Matches
52,Oleksandr Andriyevskyi\Oleksandr-Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,24,1994,2,20,10,2.2,0.2,0,,0,2,9,4,0.00,0,0,0,0.00,+0.41,0.9,0.1,+0.8,+3.80,+4.49,Matches
53,Thanasis Androutsos\Thanasis-Androutsos,gr GRE,MF,gr Olympiacos,21,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
54,José Ángel Crespo\Jose-Angel-Crespo,es ESP,DF,gr PAOK,31,1987,5,450,90,83.3,5.0,5,90,5,0,,1,0.60,5,11,-6,-1.20,-0.20,5.4,5.4,-0.1,-0.02,+2.00,Matches
55,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FWMF,gr Olympiacos,28,1990,5,256,51,35.6,2.8,3,66,2,2,29,2,1.78,4,4,0,0.00,-0.78,5.5,5.5,-0.1,-0.02,-0.79,Matches
56,Marin Aničić\Marin-Anicic,ba BIH,DF,kz Astana FK,28,1989,6,540,90,100.0,6.0,6,90,6,0,,0,1.29,7,7,0,0.00,,6.7,6.9,-0.2,-0.04,,Matches
57,Peter Ankersen\Peter-Ankersen,dk DEN,DF,dk FC Copenhagen,27,1990,6,540,90,100.0,6.0,6,90,6,0,,0,1.58,3,5,-2,-0.33,,4.5,5.1,-0.7,-0.11,,Matches
58,Marios Antoniades\Marios-Antoniades,cy CYP,DF,cy AÉK Lárnaka,28,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
59,Marcus Antonsson\Marcus-Antonsson,se SWE,FW,se Malmö,27,1991,8,451,56,62.6,5.0,5,77,2,3,22,0,1.30,5,8,-3,-0.60,-0.60,4.2,8.7,-4.5,-0.90,-0.37,Matches
60,Aleksandr Anyukov\Aleksandr-Anyukov,ru RUS,DF,ru Zenit,35,1982,6,509,85,56.6,5.7,6,85,5,0,,2,1.70,6,4,+2,+0.35,+1.04,4.9,6.1,-1.2,-0.21,-0.23,Matches
61,Dennis Appiah\Dennis-Appiah,fr FRA,DF,be Anderlecht,26,1992,2,180,90,33.3,2.0,2,90,2,0,,1,1.00,0,0,0,0.00,+1.25,1.2,0.9,+0.3,+0.17,+0.62,Matches
62,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,es Sevilla,21,1997,4,301,75,32.4,3.3,3,88,2,1,36,3,2.33,8,4,+4,+1.20,-0.23,6.8,3.2,+3.6,+1.07,+0.50,Matches
63,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,29,1989,4,303,76,42.1,3.4,4,76,2,0,,0,1.50,2,1,+1,+0.30,-1.00,3.3,3.4,-0.1,-0.02,-0.18,Matches
64,João Araújo\Joao-Araujo,br BRA,FW,bg Ludogorets,30,1988,2,67,34,12.4,0.7,1,63,0,1,4,2,1.67,0,0,0,0.00,+0.38,0.3,0.6,-0.3,-0.35,-0.34,Matches
65,Scott Arfield\Scott-Arfield,ca CAN,MF,sco Rangers,29,1988,5,450,90,83.3,5.0,5,90,5,0,,0,1.55,8,8,0,0.00,0.00,5.6,6.7,-1.1,-0.22,-0.46,Matches
66,Ari\Ari,ru RUS,FW,ru Krasnodar,32,1985,6,384,64,42.7,4.3,5,70,1,1,35,0,1.67,7,3,+4,+0.94,+1.81,6.9,3.5,+3.5,+0.81,+1.14,Matches
67,Nicolò Armini\Nicolo-Armini,it ITA,DFFW,it Lazio,17,2001,1,6,6,0.8,0.1,0,,0,1,5,0,0.00,0,0,0,0.00,+0.63,0.0,0.0,0.0,0.00,+0.01,Matches
68,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,eng Chelsea,23,1994,13,1200,92,87.0,13.3,13,92,13,0,,0,2.85,31,8,+23,+1.72,+0.23,26.2,9.3,+16.8,+1.26,+0.20,Matches
69,Tolgay Arslan\Tolgay-Arslan,de GER,MF,tr Beşiktaş,27,1990,2,39,20,7.2,0.4,1,27,0,1,12,2,2.00,1,2,-1,-2.31,-2.13,0.3,1.0,-0.6,-1.46,-1.15,Matches
70,Tolgay Arslan\Tolgay-Arslan,de GER,MF,tr Fenerbahçe,27,1990,1,45,45,6.3,0.5,0,,0,1,45,0,0.00,0,1,-1,-2.00,-2.00,0.1,0.6,-0.5,-0.99,-1.05,Matches
71,Artur\Artur,br BRA,DFFW,ua Vorskla Poltava,23,1994,5,436,87,80.7,4.8,5,87,4,0,,0,0.00,3,13,-10,-2.06,-2.93,2.0,10.2,-8.1,-1.67,-0.73,Matches
72,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,29,1988,3,270,90,75.0,3.0,3,90,3,0,,0,2.33,5,0,+5,+1.67,+2.67,5.1,2.1,+3.0,+1.00,+2.65,Matches
73,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,es Villarreal,29,1989,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
74,Amin Askar\Amin-Askar,et ETH,MFDF,no Sarpsborg 08,32,1985,6,412,69,76.3,4.6,4,89,3,2,28,0,1.38,5,9,-4,-0.87,-0.17,5.2,5.0,+0.2,+0.04,-1.26,Matches
75,Eray Ataseven\Eray-Ataseven,tr TUR,MF,tr Akhisarspor,25,1993,4,178,45,33.0,2.0,1,74,0,3,35,1,0.25,1,2,-1,-0.51,+1.73,2.8,3.1,-0.2,-0.11,+0.52,Matches
76,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,MF,hr Dinamo Zagreb,22,1996,2,39,20,4.2,0.4,0,,0,2,19,2,0.00,0,2,-2,-4.62,-5.63,0.4,1.2,-0.8,-1.79,-2.48,Matches
77,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,eng Arsenal,29,1989,12,933,78,69.1,10.4,10,85,7,2,41,0,2.08,22,9,+13,+1.25,+0.39,16.0,11.3,+4.7,+0.45,-0.87,Matches
78,Stephan Auer\Stephan-Auer,at AUT,DF,at Rapid Wien,27,1991,1,90,90,12.5,1.0,1,90,1,0,,5,1.50,1,0,+1,+1.00,+2.29,0.8,0.4,+0.4,+0.38,+1.36,Matches
79,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,de RB Leipzig,21,1997,6,420,70,77.8,4.7,6,70,2,0,,0,1.64,6,5,+1,+0.21,+0.21,6.8,4.7,+2.1,+0.45,-0.07,Matches
80,André Ayew\Andre-Ayew,gh GHA,MFFW,tr Fenerbahçe,28,1989,5,291,58,40.4,3.2,3,86,2,2,17,1,2.00,5,3,+2,+0.62,+1.25,4.7,2.7,+2.0,+0.63,+1.06,Matches
81,Onur Ayık\Onur-Ayik,tr TUR,FW,tr Akhisarspor,28,1990,6,199,33,36.9,2.2,1,76,0,5,25,0,0.17,2,6,-4,-1.81,-0.23,1.7,3.4,-1.7,-0.76,-0.48,Matches
82,Sardar Azmoun\Sardar-Azmoun,ir IRN,FW,ru Zenit,23,1995,4,240,60,26.7,2.7,3,74,0,1,17,0,0.75,4,6,-2,-0.75,-0.89,3.6,1.9,+1.7,+0.64,+1.02,Matches
83,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,eng Chelsea,28,1989,9,696,77,50.4,7.7,7,93,6,2,23,1,2.78,16,7,+9,+1.16,-1.07,13.1,6.5,+6.6,+0.85,-0.78,Matches
84,Ludovic Baal\Ludovic-Baal,gf GUF,DF,fr Rennes,32,1986,1,26,26,2.9,0.3,1,26,0,0,,0,0.00,0,0,0,0.00,0.00,0.0,0.2,-0.2,-0.61,-0.78,Matches
85,Ryan Babel\Ryan-Babel,nl NED,FW,tr Beşiktaş,31,1986,3,167,56,30.9,1.9,1,91,1,2,38,0,1.86,4,3,+1,+0.54,+1.26,2.9,3.6,-0.7,-0.39,+0.01,Matches
86,Carlos Bacca\Carlos-Bacca,co COL,FW,es Villarreal,31,1986,7,380,54,35.2,4.2,4,84,3,3,15,2,2.00,5,5,0,0.00,-0.90,5.5,4.1,+1.4,+0.34,-0.25,Matches
87,Fouad Bachirou\Fouad-Bachirou,km COM,MF,se Malmö,28,1990,8,720,90,100.0,8.0,8,90,8,0,,0,1.30,8,11,-3,-0.37,,6.4,12.5,-6.1,-0.77,,Matches
88,Milan Badelj\Milan-Badelj,hr CRO,MF,it Lazio,29,1989,2,135,68,18.8,1.5,2,68,0,0,,2,1.50,1,1,0,0.00,+0.77,2.5,0.8,+1.7,+1.12,+1.40,Matches
89,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Rennes,20,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
90,Dzmitry Baha\Dzmitry-Baha,by BLR,MF,by BATE Borisov,28,1990,8,672,84,93.3,7.5,8,84,6,0,,0,1.50,9,11,-2,-0.27,-0.27,,,,,,Matches
91,Leon Bailey\Leon-Bailey,jm JAM,FWMF,de Leverkusen,20,1997,8,536,67,74.4,6.0,6,79,3,2,32,0,1.88,9,6,+3,+0.50,-1.45,5.9,7.9,-2.0,-0.34,-1.64,Matches
92,Scott Bain\Scott-Bain,sco SCO,GK,sco Celtic,26,1991,2,180,90,25.0,2.0,2,90,2,0,,6,0.00,0,3,-3,-1.50,-1.17,1.0,3.8,-2.8,-1.38,-1.07,Matches
93,Dimo Bakalov\Dimo-Bakalov,bg BUL,MFDF,bg Ludogorets,29,1988,2,6,3,1.1,0.1,0,,0,2,2,3,1.67,0,0,0,0.00,+0.34,0.0,0.1,-0.1,-1.51,-1.48,Matches
94,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,it Milan,23,1994,6,495,83,91.7,5.5,6,83,5,0,,0,1.67,11,8,+3,+0.55,+0.55,9.4,7.0,+2.4,+0.43,-0.49,Matches
95,Zakaria Bakkali\Zakaria-Bakkali,be BEL,FWMF,be Anderlecht,22,1996,4,346,87,64.1,3.8,4,87,2,0,,0,0.50,2,6,-4,-1.04,-0.58,3.1,4.7,-1.6,-0.41,-0.45,Matches
96,Marek Bakoš\Marek-Bakos,sk SVK,FW,sk Spartak Trnava,35,1983,4,310,78,57.4,3.4,4,78,1,0,,0,1.83,2,2,0,0.00,+1.17,2.2,4.5,-2.2,-0.65,+0.66,Matches
97,Marek Bakoš\Marek-Bakos,sk SVK,MF,cz Viktoria Plzeň,35,1983,1,34,34,18.9,0.4,0,,0,1,33,1,0.00,0,1,-1,-2.65,-2.03,0.0,0.6,-0.5,-1.35,-1.29,Matches
98,Keita Baldé\Keita-Balde,sn SEN,FW,it Inter,23,1995,1,90,90,25.0,1.0,1,90,1,0,,0,0.00,0,1,-1,-1.00,-2.67,0.6,2.3,-1.7,-1.65,-2.65,Matches
99,William Balikwisha\William-Balikwisha,be BEL,FW,be Standard Liège,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
100,Alexandru Băluță\Alexandru-Baluta,ro ROU,FWMF,cz Slavia Prague,24,1993,4,63,16,5.7,0.7,0,,0,4,15,4,1.75,0,1,-1,-1.43,-1.77,0.9,0.7,+0.2,+0.32,+0.34,Matches
101,Éver Banega\Ever-Banega,ar ARG,MF,es Sevilla,30,1988,8,714,89,76.8,7.9,8,89,6,0,,1,2.15,18,12,+6,+0.76,-2.58,15.3,9.9,+5.4,+0.68,-0.22,Matches
102,Umaru Bangura\Umaru-Bangura,sl SLE,DFMF,ch Zürich,30,1987,8,720,90,100.0,8.0,8,90,8,0,,0,1.25,8,11,-3,-0.37,,9.3,9.2,+0.1,+0.01,,Matches
103,Mateo Barać\Mateo-Barac,hr CRO,DF,at Rapid Wien,24,1994,5,392,78,54.4,4.4,5,78,4,0,,1,1.67,5,6,-1,-0.23,+1.69,4.4,5.4,-1.1,-0.24,+1.24,Matches
104,Hélder Barbosa\Helder-Barbosa,pt POR,FW,tr Akhisarspor,31,1987,5,401,80,74.3,4.5,4,89,2,1,45,0,0.20,4,10,-6,-1.35,+1.24,5.2,7.1,-1.9,-0.43,+0.10,Matches
105,Borna Barišić\Borna-Barisic,hr CRO,DF,sco Rangers,25,1992,2,174,87,32.2,1.9,2,87,1,0,,1,0.50,2,3,-1,-0.52,-0.76,1.1,2.0,-1.0,-0.50,-0.53,Matches
106,Ross Barkley\Ross-Barkley,eng ENG,MF,eng Chelsea,24,1993,12,804,67,58.3,8.9,9,81,5,3,24,3,2.83,18,6,+12,+1.34,-0.84,17.3,6.0,+11.3,+1.26,+0.06,Matches
107,Antonio Barragán\Antonio-Barragan,es ESP,MFDF,es Betis,31,1987,5,285,57,39.6,3.2,3,91,3,2,7,3,2.20,6,1,+5,+1.58,+1.99,6.2,2.8,+3.4,+1.08,+0.76,Matches
108,Wílmar Barrios\Wilmar-Barrios,co COL,MF,ru Zenit,24,1993,4,315,79,35.0,3.5,4,79,3,0,,0,0.75,4,6,-2,-0.57,-0.73,4.6,2.1,+2.4,+0.70,+1.24,Matches
109,Marc Bartra\Marc-Bartra,es ESP,DF,es Betis,27,1991,6,450,75,62.5,5.0,5,87,4,1,16,1,1.83,8,5,+3,+0.60,+0.60,8.9,5.3,+3.5,+0.71,+0.24,Matches
110,Dušan Basta\Dusan-Basta,rs SRB,MF,it Lazio,33,1984,2,134,67,18.6,1.5,2,67,1,0,,1,1.50,3,3,0,0.00,+0.77,3.3,2.8,+0.5,+0.35,+0.44,Matches
111,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,FW,gr Olympiacos,21,1996,2,130,65,18.1,1.4,2,65,0,0,,0,0.50,2,2,0,0.00,-0.61,0.6,1.3,-0.6,-0.42,-1.11,Matches
112,Samuel Bastien\Samuel-Bastien,be BEL,MF,be Standard Liège,21,1996,4,187,47,34.6,2.1,2,87,1,2,7,0,1.75,2,0,+2,+0.96,+1.98,3.9,2.7,+1.1,+0.55,+2.18,Matches
113,Bastos\Bastos,ao ANG,DF,it Lazio,27,1991,5,329,66,45.7,3.7,4,74,2,1,33,2,1.20,3,6,-3,-0.82,-0.36,5.3,3.6,+1.7,+0.46,+0.86,Matches
114,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,pt Sporting CP,27,1991,2,180,90,25.0,2.0,2,90,2,0,,0,1.50,2,1,+1,+0.50,-0.83,1.9,1.6,+0.3,+0.17,-0.58,Matches
115,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,de Leverkusen,30,1988,4,262,66,36.4,2.9,2,91,2,2,40,1,2.00,8,3,+5,+1.72,+1.32,4.1,1.9,+2.2,+0.76,+1.06,Matches
116,Ömer Bayram\Omer-Bayram,tr TUR,DFFW,tr Galatasaray,27,1991,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
117,Jean-David Beauguel\Jean-David-Beauguel,fr FRA,FW,cz Viktoria Plzeň,26,1992,2,146,73,81.1,1.6,2,73,0,0,,0,1.50,1,3,-2,-1.23,-1.23,1.1,1.8,-0.7,-0.45,-0.75,Matches
118,Jakub Bednarczyk\Jakub-Bednarczyk,pl POL,DF,de Leverkusen,19,1999,1,10,10,1.4,0.1,0,,0,1,9,0,3.00,1,0,+1,+9.00,+8.24,0.1,0.0,+0.1,+0.93,+0.86,Matches
119,Abzal Beisebekov\Abzal-Beisebekov,kz KAZ,MF,kz Astana FK,25,1992,1,45,45,8.3,0.5,0,,0,1,45,4,0.33,0,2,-2,-4.00,-4.36,0.3,1.7,-1.4,-2.71,-2.91,Matches
120,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,28,1990,2,180,90,100.0,2.0,2,90,2,0,,0,0.50,1,2,-1,-0.50,,1.1,3.1,-2.0,-0.99,,Matches
121,Karim Bellarabi\Karim-Bellarabi,de GER,MFFW,de Leverkusen,28,1990,3,270,90,37.5,3.0,3,90,3,0,,2,1.33,6,5,+1,+0.33,-0.87,3.6,4.7,-1.2,-0.39,-0.76,Matches
122,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,eng Arsenal,23,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
123,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,FWMF,fr Rennes,31,1987,9,596,66,66.2,6.6,6,90,5,3,18,0,1.78,13,12,+1,+0.15,+0.45,12.1,9.9,+2.1,+0.32,+0.53,Matches
124,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,es Sevilla,27,1990,8,619,77,66.6,6.9,7,86,4,1,14,1,2.15,16,8,+8,+1.16,-0.57,12.7,7.4,+5.3,+0.77,+0.10,Matches
