,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
36,Eylon Almog\Eylon-Almog,il ISR,DF,il Maccabi Tel Aviv,22-093,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
37,Christos Almpanis\Christos-Almpanis,gr GRE,FW,gr AEK Athens,26-157,1994,2,84,42,15.6,0.9,1,59,0,1,25,2,0.00,1,3,-2,-2.14,-0.96,2.1,2.4,-0.3,-0.35,+0.27,Matches
38,Éder Álvarez Balanta\Eder-Alvarez-Balanta,co COL,MF,be Club Brugge,28-042,1993,2,180,90,100.0,2.0,2,90,2,0,,0,0.50,1,2,-1,-0.50,,2.1,1.0,+1.2,+0.59,,Matches
39,Edson Álvarez\Edson-Alvarez,mx MEX,MFDF,nl Ajax,23-169,1997,5,450,90,100.0,5.0,5,90,5,0,,0,2.40,10,4,+6,+1.20,,13.8,3.9,+9.9,+1.98,,Matches
40,Iker Álvarez\Iker-Alvarez,ad AND,GK,es Villarreal,19-260,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
41,Rodrigo Alves Soares\Rodrigo-Alves-Soares,br BRA,DF,gr PAOK,28-106,1992,5,373,75,69.1,4.1,4,86,3,1,30,0,1.00,7,6,+1,+0.24,+0.24,4.8,6.2,-1.4,-0.35,-0.16,Matches
42,Mohamed Aly Camara\Mohamed-Aly-Camara,gn GUI,DF,ch Young Boys,23-226,1997,6,403,67,44.8,4.5,6,67,1,0,,1,1.43,6,6,0,0.00,0.00,4.3,7.1,-2.8,-0.82,-0.65,Matches
43,Alfons Amade\Alfons-Amade,de GER,MF,de Hoffenheim,21-150,1999,1,16,16,2.2,0.2,0,,0,1,16,0,3.00,0,1,-1,-5.63,-7.41,0.0,0.8,-0.7,-4.06,-5.66,Matches
44,Selim Amallah\Selim-Amallah,ma MAR,FWMF,be Standard Liège,24-147,1996,3,210,70,38.9,2.3,3,70,0,0,,0,1.50,1,7,-6,-2.57,-2.30,1.7,5.4,-3.7,-1.60,-0.80,Matches
45,Daniel Amartey\Daniel-Amartey,gh GHA,DF,eng Leicester City,26-111,1994,2,150,75,20.8,1.7,2,75,1,0,,0,0.50,0,1,-1,-0.60,-1.86,1.1,1.5,-0.4,-0.23,-1.35,Matches
46,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,de Leverkusen,24-166,1996,8,490,61,68.1,5.4,6,76,2,2,19,0,1.88,20,12,+8,+1.47,+0.69,11.7,5.6,+6.1,+1.12,+0.84,Matches
47,Opoku Ampomah\Opoku-Ampomah,gh GHA,FWMF,be Antwerp,25-099,1996,7,170,24,23.6,1.9,0,,0,7,24,1,1.29,5,4,+1,+0.53,+0.86,3.4,4.0,-0.6,-0.32,-0.26,Matches
48,Armando Anastasio\Armando-Anastasio,it ITA,DFMF,hr Rijeka,24-261,1996,3,102,34,18.9,1.1,1,79,0,2,12,3,0.33,0,2,-2,-1.76,-0.94,0.9,2.5,-1.6,-1.37,+0.15,Matches
49,Andrés Andrade Cedeño\Andres-Andrade-Cedeno,pa PAN,DF,at LASK,22-177,1998,5,353,71,65.4,3.9,4,79,3,1,38,1,1.67,10,10,0,0.00,+0.48,5.8,6.4,-0.5,-0.13,+0.54,Matches
50,Patrick Andrade\Patrick-Andrade,cv CPV,MF,az Qarabağ Ağdam,28-061,1993,3,224,75,49.8,2.5,3,75,1,0,,0,0.75,1,4,-3,-1.21,+1.18,,,,,,Matches
51,Marc Andre Schmerböck\Marc-Andre-Schmerbock,at AUT,FW,at Wolfsberger AC,27-010,1994,3,32,11,4.4,0.4,0,,0,3,11,3,0.33,0,1,-1,-2.81,-2.16,0.3,0.8,-0.4,-1.19,-0.88,Matches
52,Benjamin André\Benjamin-Andre,fr FRA,MF,fr Lille,30-251,1990,5,287,57,39.9,3.2,3,79,1,2,26,2,1.60,4,5,-1,-0.31,-1.35,5.1,1.9,+3.2,+1.00,+0.68,Matches
53,Franko Andrijašević\Franko-Andrijasevic,hr CRO,FWMF,hr Rijeka,29-293,1991,5,386,77,71.5,4.3,5,77,1,0,,0,1.43,4,9,-5,-1.17,-0.58,3.5,8.9,-5.4,-1.26,+0.83,Matches
54,Oleksandr Andriyevskyi\Oleksandr-Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26-290,1994,3,92,31,25.6,1.0,1,64,0,2,14,1,1.00,0,2,-2,-1.96,-1.62,0.4,0.7,-0.3,-0.30,+0.79,Matches
55,Thanasis Androutsos\Thanasis-Androutsos,gr GRE,DF,gr Olympiacos,23-340,1997,4,88,22,24.4,1.0,1,61,0,3,9,0,1.50,3,0,+3,+3.07,+4.06,1.5,1.0,+0.5,+0.49,+1.20,Matches
56,José Ángel Crespo\Jose-Angel-Crespo,es ESP,DF,gr PAOK,34-061,1987,5,445,89,82.4,4.9,5,89,4,0,,0,1.00,7,6,+1,+0.20,+0.20,5.1,7.2,-2.1,-0.43,-0.77,Matches
57,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,es Real Sociedad,37-009,1984,1,90,90,12.5,1.0,1,90,1,0,,4,3.00,1,0,+1,+1.00,+1.57,3.9,0.4,+3.5,+3.51,+3.12,Matches
58,Karim Ansarifard\Karim-Ansarifard,ir IRN,FW,gr AEK Athens,31-008,1990,6,243,41,45.0,2.7,3,57,0,3,24,0,1.13,2,9,-7,-2.59,-2.29,1.8,5.0,-3.3,-1.20,-1.14,Matches
59,Marcos Antônio\Marcos-Antonio,br BRA,MF,ua Shakhtar,20-302,2000,4,141,35,39.2,1.6,1,90,1,3,17,0,1.50,3,2,+1,+0.64,+1.46,2.5,2.6,-0.2,-0.10,+0.44,Matches
60,Antony\Antony,br BRA,FW,nl Ajax,21-046,2000,5,369,74,82.0,4.1,5,74,0,0,,0,2.40,5,3,+2,+0.49,-3.96,9.2,3.0,+6.2,+1.51,-2.62,Matches
61,Valentin Antov\Valentin-Antov,bg BUL,DF,bg CSKA Sofia,20-153,2000,6,540,90,100.0,6.0,6,90,6,0,,0,1.70,3,7,-4,-0.67,,5.3,7.9,-2.6,-0.53,,Matches
62,Aaron Appindangoyé\Aaron-Appindangoye,ga GAB,DF,tr Sivasspor,29-050,1992,3,270,90,50.0,3.0,3,90,3,0,,0,1.00,3,4,-1,-0.33,0.00,1.6,2.8,-1.2,-0.41,+0.22,Matches
63,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,gr Olympiacos,34-067,1987,4,328,82,91.1,3.6,4,82,1,0,,0,1.50,6,5,+1,+0.27,+3.09,3.4,4.9,-1.5,-0.40,+0.13,Matches
64,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,es Real Sociedad,23-070,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
65,Aranda\Aranda,es ESP,MF,es Granada,20-186,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
66,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,de Leverkusen,31-359,1989,1,90,90,12.5,1.0,1,90,1,0,,1,0.00,0,2,-2,-2.00,-3.71,1.2,1.1,0.0,+0.03,-0.95,Matches
67,Kelvin Arase\Kelvin-Arase,at AUT,FWDF,at Rapid Wien,22-086,1999,6,384,64,71.1,4.3,4,76,2,2,41,0,1.17,8,13,-5,-1.17,-2.90,5.9,11.7,-5.9,-1.37,-0.37,Matches
68,Luiz Araújo\Luiz-Araujo,br BRA,MF,fr Lille,24-313,1996,6,238,40,33.1,2.6,2,70,0,4,25,0,1.33,5,4,+1,+0.38,-0.18,4.5,4.2,+0.3,+0.13,-0.69,Matches
69,Tiago Araújo\Tiago-Araujo,pt POR,FW,pt Benfica,20-015,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
70,Ayhan Arazli\Ayhan-Arazli,az AZE,GK,az Qarabağ Ağdam,20-013,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
71,Scott Arfield\Scott-Arfield,ca CAN,MFFW,sco Rangers,32-161,1988,10,632,63,70.2,7.0,7,80,3,3,23,0,2.31,14,10,+4,+0.57,-0.77,12.1,6.1,+6.0,+0.85,+0.06,Matches
72,Ari\Ari,ru RUS,MF,ru Krasnodar,35-121,1985,1,21,21,11.7,0.2,0,,0,1,21,0,0.00,0,0,0,0.00,+1.13,0.2,0.1,+0.2,+0.67,+0.48,Matches
73,Joe Aribo\Joe-Aribo,ng NGA,FWMF,sco Rangers,24-264,1996,9,566,63,62.9,6.3,6,85,4,3,19,0,2.22,16,9,+7,+1.11,+0.84,12.9,5.1,+7.8,+1.23,+1.08,Matches
74,Amit Arie Keren\Amit-Arie-Keren,il ISR,GK,il Be'er Sheva,23-084,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
75,Zoran Arsenić\Zoran-Arsenic,hr CRO,DF,hr Rijeka,26-313,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
76,Hakan Arslan\Hakan-Arslan,tr TUR,MF,tr Sivasspor,32-267,1988,4,360,90,66.7,4.0,4,90,4,0,,0,0.75,6,8,-2,-0.50,-0.50,4.7,6.6,-1.9,-0.47,+0.14,Matches
77,Dino Arslanagic\Dino-Arslanagic,be BEL,DF,be Gent,27-352,1993,2,180,90,33.3,2.0,2,90,2,0,,2,0.00,2,6,-4,-2.00,-0.25,2.1,4.6,-2.5,-1.26,-1.56,Matches
78,Ernest Asante\Ernest-Asante,gh GHA,FWMF,cy AC Omonia,32-156,1988,5,132,26,24.4,1.5,0,,0,5,26,1,0.80,1,3,-2,-1.36,-0.26,1.0,2.9,-1.9,-1.28,-0.75,Matches
79,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,es Villarreal,31-287,1989,1,90,90,10.0,1.0,1,90,1,0,,9,3.00,2,0,+2,+2.00,0.00,0.8,0.4,+0.4,+0.36,-1.02,Matches
80,Netanel Askias\Netanel-Askias,il ISR,MF,il Be'er Sheva,19-345,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
81,Giorgos Athanasiadis\Giorgos-Athanasiadis,gr GRE,GK,gr AEK Athens,28-004,1993,1,90,90,16.7,1.0,1,90,1,0,,5,0.00,0,3,-3,-3.00,-2.00,0.5,1.8,-1.3,-1.33,-0.90,Matches
82,Iyayi Atiemwen\Iyayi-Atiemwen,ng NGA,FWMF,hr Dinamo Zagreb,25-077,1996,7,199,28,19.5,2.2,1,60,0,6,23,1,2.14,4,3,+1,+0.45,-0.53,1.8,4.8,-3.0,-1.36,-1.60,Matches
83,Youcef Attal\Youcef-Attal,dz ALG,DF,fr Nice,24-329,1996,4,154,39,28.5,1.7,2,66,0,2,11,0,0.75,4,4,0,0.00,+1.87,2.3,1.7,+0.6,+0.36,+0.74,Matches
84,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,eng Arsenal,31-297,1989,6,386,64,39.0,4.3,4,86,2,2,22,2,1.83,10,6,+4,+0.93,-1.00,7.5,3.9,+3.6,+0.85,-0.73,Matches
85,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,28-108,1992,4,251,63,27.0,2.8,3,81,1,1,9,2,1.40,3,6,-3,-1.08,-3.59,4.0,2.8,+1.2,+0.43,-1.66,Matches
86,Fredrik Aursnes\Fredrik-Aursnes,no NOR,MF,no Molde,25-122,1995,10,887,89,98.6,9.9,10,89,9,0,,0,1.70,16,16,0,0.00,+6.92,15.6,16.3,-0.7,-0.07,-2.61,Matches
87,Brandon Austin\Brandon-Austin,eng ENG,GK,eng Tottenham,22-093,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
88,Felipe Avenatti\Felipe-Avenatti,uy URU,FW,be Standard Liège,27-350,1993,4,63,16,11.7,0.7,0,,0,4,16,2,1.50,1,1,0,0.00,+1.32,0.3,1.1,-0.8,-1.14,-0.03,Matches
89,Felipe Avenatti\Felipe-Avenatti,uy URU,FW,be Antwerp,27-350,1993,2,106,53,14.7,1.2,1,90,1,1,16,0,0.00,3,6,-3,-2.55,-2.84,2.1,5.3,-3.2,-2.68,-3.00,Matches
90,Mohammad Awwad\Mohammad-Awwad,il ISR,MFFW,pl Lech Poznań,23-306,1997,5,109,22,20.2,1.2,1,62,0,4,12,0,1.00,0,5,-5,-4.13,-3.50,0.5,4.3,-3.8,-3.13,-2.99,Matches
91,Gaizka Ayesa\Gaizka-Ayesa,es ESP,GK,es Real Sociedad,20-009,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
92,Marouan Azarkan\Marouan-Azarkan,nl NED,FW,nl Feyenoord,19-124,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
93,Miguel Azeez\Miguel-Azeez,eng ENG,MF,eng Arsenal,18-203,2002,1,8,8,0.8,0.1,0,,0,1,8,3,3.00,0,1,-1,-11.25,-12.90,0.0,0.0,0.0,-0.33,-1.64,Matches
94,Ousseynou Ba\Ousseynou-Ba,sn SEN,DF,gr Olympiacos,25-151,1995,3,261,87,72.5,2.9,3,87,2,0,,0,2.00,6,4,+2,+0.69,+2.51,3.0,3.4,-0.3,-0.11,+1.10,Matches
95,Mateja Bacanin\Mateja-Bacanin,rs SRB,MF,rs Red Star,17-201,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
96,Carlos Bacca\Carlos-Bacca,co COL,FW,es Villarreal,34-215,1986,7,412,59,45.8,4.6,6,64,0,1,28,2,2.71,10,4,+6,+1.31,-1.27,7.4,1.9,+5.6,+1.22,-0.11,Matches
97,Stéphane Badji\Stephane-Badji,sn SEN,MF,bg Ludogorets,31-083,1990,6,470,78,87.0,5.2,6,78,0,0,,0,0.43,5,17,-12,-2.30,-2.30,3.9,15.9,-12.1,-2.32,-2.53,Matches
98,Youssouph Badji\Youssouph-Badji,sn SEN,FW,be Club Brugge,19-112,2001,2,56,28,31.1,0.6,0,,0,2,28,0,0.50,0,1,-1,-1.61,-1.61,1.2,0.7,+0.6,+0.93,+0.49,Matches
99,Alex Baena\Alex-Baena,es ESP,MFFW,es Villarreal,19-265,2001,8,286,36,31.8,3.2,4,65,0,4,7,2,2.75,7,3,+4,+1.26,-1.09,5.5,1.3,+4.2,+1.32,+0.06,Matches
100,Alexander Bah\Alexander-Bah,dk DEN,DF,cz Slavia Prague,23-123,1997,5,450,90,45.5,5.0,5,90,5,0,,0,1.80,6,2,+4,+0.80,+0.63,3.1,4.8,-1.7,-0.33,-0.28,Matches
101,Leon Bailey\Leon-Bailey,jm JAM,FWMF,de Leverkusen,23-245,1997,8,508,64,70.6,5.6,6,70,2,2,45,0,1.88,17,10,+7,+1.24,-0.03,10.7,7.4,+3.3,+0.59,-0.90,Matches
102,Eric Bailly\Eric-Bailly,ci CIV,DF,eng Manchester Utd,26-364,1994,3,270,90,60.0,3.0,3,90,3,0,,0,1.67,5,1,+4,+1.33,-0.17,5.2,2.9,+2.3,+0.77,-0.10,Matches
103,Scott Bain\Scott-Bain,sco SCO,GK,sco Celtic,29-140,1991,3,270,90,50.0,3.0,3,90,3,0,,3,0.33,4,10,-6,-2.00,-1.00,3.0,6.6,-3.6,-1.21,-1.57,Matches
104,Michalis Bakakis\Michalis-Bakakis,gr GRE,DF,gr AEK Athens,30-024,1991,3,194,65,35.9,2.2,3,65,0,0,,0,0.00,2,6,-4,-1.86,-0.82,3.1,4.1,-1.0,-0.48,+0.15,Matches
105,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,it Napoli,26-237,1994,7,463,66,64.3,5.1,5,86,4,2,18,1,1.57,7,2,+5,+0.97,+2.02,8.4,6.2,+2.2,+0.43,-0.46,Matches
106,Krzysztof Bąkowski\Krzysztof-Bakowski,pl POL,GK,pl Lech Poznań,18-097,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
107,Emil Balayev\Emil-Balayev,az AZE,GK,az Qarabağ Ağdam,26-359,1994,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
108,Gareth Bale\Gareth-Bale,wal WAL,FW,eng Tottenham,31-269,1989,10,560,56,60.2,6.2,7,64,0,3,37,0,2.20,17,7,+10,+1.61,+0.15,14.9,4.6,+10.2,+1.65,+0.01,Matches
109,Cristian Bălgrădean\Cristian-Balgradean,ro ROU,GK,ro CFR Cluj,33-021,1988,6,539,90,99.8,6.0,6,90,5,0,,0,1.38,4,8,-4,-0.67,+179.33,5.4,10.2,-4.8,-0.80,-0.80,Matches
110,Husein Balic\Husein-Balic,at AUT,FW,at LASK,25-055,1996,5,347,69,64.3,3.9,4,80,2,1,29,0,2.14,6,5,+1,+0.26,+1.19,4.0,4.8,-0.9,-0.23,+0.25,Matches
111,Michel-Ange Balikwisha\Michel-Ange-Balikwisha,be BEL,FW,be Standard Liège,19-336,2001,4,269,67,49.8,3.0,3,75,1,1,45,0,1.67,4,6,-2,-0.67,+0.99,3.8,6.3,-2.5,-0.84,+0.55,Matches
112,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,26-102,1994,8,720,90,80.0,8.0,8,90,8,0,,0,2.11,15,10,+5,+0.62,+3.12,11.8,9.7,+2.1,+0.29,+3.20,Matches
113,Folarin Balogun\Folarin-Balogun,eng ENG,FW,eng Arsenal,19-282,2001,4,65,16,6.6,0.7,0,,0,4,16,0,3.00,3,1,+2,+2.77,+1.31,1.8,0.1,+1.7,+2.37,+1.15,Matches
114,Leon Balogun\Leon-Balogun,ng NGA,DF,sco Rangers,32-287,1988,8,623,78,69.2,6.9,7,79,4,1,67,1,2.38,16,9,+7,+1.01,+0.69,11.9,6.6,+5.3,+0.76,-0.23,Matches
115,Matan Baltaxa\Matan-Baltaxa,il ISR,DF,il Maccabi Tel Aviv,25-203,1995,1,90,90,12.5,1.0,1,90,1,0,,5,0.00,0,4,-4,-4.00,-4.00,0.2,2.0,-1.8,-1.80,-2.09,Matches
116,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,fr Lille,25-016,1996,8,574,72,79.7,6.4,7,79,3,1,20,0,1.38,11,9,+2,+0.31,-0.92,10.1,5.2,+4.9,+0.77,+0.89,Matches
117,Mory Bamba\Mory-Bamba,ci CIV,DF,it Roma,18-314,2002,1,62,62,6.3,0.7,1,62,0,0,,0,0.00,1,3,-2,-2.90,-4.75,1.2,1.6,-0.5,-0.70,-1.49,Matches
118,Robson Bambu\Robson-Bambu,br BRA,DF,fr Nice,23-150,1997,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,8,16,-8,-1.33,,6.2,7.3,-1.0,-0.17,,Matches
119,Naoufal Bannis\Naoufal-Bannis,nl NED,FW,nl Feyenoord,19-031,2002,3,82,27,15.2,0.9,0,,0,3,27,2,0.00,0,2,-2,-2.20,-1.80,0.9,1.8,-0.9,-1.03,-0.88,Matches
120,Jakub Barac\Jakub-Barac,cz CZE,MF,cz Slovan Liberec,24-250,1996,1,1,1,0.2,0.0,0,,0,1,1,1,0.00,0,0,0,0.00,+1.50,0.0,0.0,0.0,0.00,+1.02,Matches
121,Mateo Barać\Mateo-Barac,hr CRO,DF,at Rapid Wien,26-265,1994,6,458,76,84.8,5.1,5,83,4,1,45,0,1.17,8,8,0,0.00,+2.20,5.7,11.5,-5.7,-1.13,+0.91,Matches
122,Yusuf Barasi\Yusuf-Barasi,tr TUR,FW,nl AZ Alkmaar,18-011,2003,1,2,2,0.4,0.0,0,,0,1,2,0,3.00,0,0,0,0.00,-0.33,0.0,0.0,0.0,0.00,+0.30,Matches
