,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
1140,Nico Schulz\Nico-Schulz,de GER,DFMF,de M'Gladbach,23,1993,1,6,6,1.7,0.1,0,,0,1,,1,1.00,0,0,0,0.00,-0.25,Matches
1141,Stefan Schwab\Stefan-Schwab,at AUT,MF,at Rapid Wien,25,1990,3,270,90,50.0,3.0,3,,3,0,,0,1.57,4,4,0,0.00,+0.33,Matches
1142,Christian Schwegler\Christian-Schwegler,ch SUI,DF,at RB Salzburg,32,1984,1,90,90,16.7,1.0,1,,1,0,,0,3.00,2,0,+2,+2.00,+2.40,Matches
1143,Bastian Schweinsteiger\Bastian-Schweinsteiger,de GER,DFMF,eng Manchester Utd,31,1984,1,28,28,2.0,0.3,0,,0,1,,1,3.00,0,0,0,0.00,-1.13,Matches
1144,Sebá\Seba,br BRA,MFFW,gr Olympiacos,24,1992,9,754,84,83.8,8.4,8,,8,1,,0,1.64,10,8,+2,+0.24,+0.86,Matches
1145,Moustapha Seck\Moustapha-Seck,sn SEN,DF,it Roma,20,1996,1,90,90,10.0,1.0,1,,1,0,,3,1.00,0,0,0,0.00,-1.22,Matches
1146,Ibrahim Šehić\Ibrahim-Sehic,ba BIH,GK,az Qarabağ FK,27,1988,6,540,90,100.0,6.0,6,,6,0,,0,1.25,7,12,-5,-0.83,,Matches
1147,Ole Selnæs\Ole-Selnaes,no NOR,MF,fr Saint-Étienne,22,1994,5,378,76,52.5,4.2,4,,4,1,,1,1.78,4,4,0,0.00,+0.26,Matches
1148,Volkan Şen\Volkan-Sen,tr TUR,FW,tr Fenerbahçe,29,1987,5,249,50,34.6,2.8,3,,0,2,,0,2.00,4,4,0,0.00,-0.19,Matches
1149,Josep Señé\Josep-Sene,es ESP,MFFW,es Celta Vigo,24,1991,3,232,77,18.0,2.6,3,,1,0,,2,1.33,2,5,-3,-1.16,-2.01,Matches
1150,Tarkan Serbest\Tarkan-Serbest,tr TUR,MF,at Austria Wien,22,1994,6,534,89,98.9,5.9,6,,5,0,,0,1.67,10,14,-4,-0.67,-15.67,Matches
1151,Suat Serdar\Suat-Serdar,de GER,MF,de Mainz 05,19,1997,4,204,51,37.8,2.3,3,,0,1,,0,1.25,3,3,0,0.00,+0.54,Matches
1152,Mário Sérgio\Mario-Sergio,pt POR,DFGK,cy APOEL FC,35,1981,0,,,,,0,,0,0,,3,,,,,,,Matches
1153,Jean Seri\Jean-Seri,ci CIV,MF,fr Nice,25,1991,4,273,68,50.6,3.0,3,,2,1,,1,0.75,2,8,-6,-1.98,-1.98,Matches
1154,Takayuki Seto\Takayuki-Seto,jp JPN,MF,ro Astra Giurgiu,30,1986,8,666,83,92.5,7.4,7,,6,1,,0,1.30,8,11,-3,-0.41,+1.26,Matches
1155,Mats Seuntjens\Mats-Seuntjens,nl NED,MF,nl AZ Alkmaar,24,1992,5,318,64,44.2,3.5,3,,1,2,,0,1.50,5,11,-6,-1.70,-0.13,Matches
1156,Petr Ševčík\Petr-Sevcik,cz CZE,MF,cz Slovan Liberec,22,1994,4,350,88,64.8,3.9,4,,3,0,,0,1.50,4,8,-4,-1.03,-0.55,Matches
1157,Aaron Seydel\Aaron-Seydel,de GER,FW,de Mainz 05,20,1996,2,16,8,3.0,0.2,0,,0,2,,0,2.00,0,0,0,0.00,+0.34,Matches
1158,Stephan El Shaarawy\Stephan-El-Shaarawy,it ITA,FWMF,it Roma,23,1992,7,370,53,41.1,4.1,5,,1,2,,1,1.50,8,4,+4,+0.97,-0.22,Matches
1159,Yuval Shabtay\Yuval-Shabtay,il ISR,DFMF,il Be'er Sheva,29,1986,2,57,29,7.9,0.6,0,,0,2,,2,0.50,1,1,0,0.00,+0.41,Matches
1160,Yevhen Shakhov\Yevhen-Shakhov,ua UKR,MF,gr PAOK,25,1990,8,478,60,66.4,5.3,5,,3,3,,0,1.70,4,9,-5,-0.94,-2.06,Matches
1161,Oleg Shatov\Oleg-Shatov,ru RUS,MFFW,ru Zenit,26,1990,4,222,56,30.8,2.5,3,,0,1,,0,2.25,3,4,-1,-0.41,-2.21,Matches
1162,Luke Shaw\Luke-Shaw,eng ENG,DF,eng Manchester Utd,21,1995,4,390,98,28.3,4.3,4,,4,0,,1,2.25,11,4,+7,+1.62,+0.71,Matches
1163,Mykyta Shevchenko\Mykyta-Shevchenko,ua UKR,GK,ua Shakhtar,23,1993,2,180,90,24.0,2.0,2,,2,0,,3,3.00,8,2,+6,+3.00,+1.58,Matches
1164,Oleksiy Shevchenko\Oleksiy-Shevchenko,ua UKR,GK,ua Zorya Luhansk,24,1992,5,450,90,83.3,5.0,5,,5,0,,1,0.40,2,6,-4,-0.80,+1.20,Matches
1165,Chris Shields\Chris-Shields,ie IRL,MF,ie Dundalk FC,25,1990,0,,,,,0,,0,0,,1,,,,,,,Matches
1166,Dean Shiels\Dean-Shiels,nir NIR,MF,ie Dundalk FC,31,1985,4,26,7,4.8,0.3,0,,0,4,,2,0.75,0,0,0,0.00,+0.53,Matches
1167,Igor Shitov\Igor-Shitov,by BLR,DF,kz FC Astana,29,1986,6,468,78,86.7,5.2,5,,4,1,,0,0.86,3,8,-5,-0.96,+0.29,Matches
1168,Dmitriy Shomko\Dmitriy-Shomko,kz KAZ,DFMF,kz FC Astana,26,1990,6,540,90,100.0,6.0,6,,6,0,,0,0.86,5,11,-6,-1.00,,Matches
1169,Djavan da Silva Ferreira\Djavan-da-Silva-Ferreira,br BRA,DF,pt Braga,28,1987,0,,,,,0,,0,0,,4,,,,,,,Matches
1170,Eduardo da Silva\Eduardo-da-Silva,hr CRO,FW,ua Shakhtar,33,1983,3,35,12,4.7,0.4,0,,0,3,,1,3.00,3,0,+3,+7.71,+6.20,Matches
1171,Gabriel Simion\Gabriel-Simion,ro ROU,DFMF,ro Steaua,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches
1172,Moses Simon\Moses-Simon,ng NGA,FWMF,be Gent,21,1995,8,530,66,58.9,5.9,7,,2,1,,1,1.30,7,15,-8,-1.36,-1.84,Matches
1173,Josh Sims\Josh-Sims,eng ENG,FW,eng Southampton,19,1997,1,59,59,10.9,0.7,1,,0,0,,0,1.00,0,0,0,0.00,-0.37,Matches
1174,Andrei Sinitsyn\Andrei-Sinitsyn,ru RUS,GK,ru Krasnodar,28,1988,2,180,90,20.0,2.0,2,,2,0,,8,1.00,1,4,-3,-1.50,-1.62,Matches
1175,Daley Sinkgraven\Daley-Sinkgraven,nl NED,DF,nl Ajax,21,1995,7,499,71,36.2,5.5,6,,5,1,,1,2.00,8,6,+2,+0.36,-0.15,Matches
1176,Tobias Sippel\Tobias-Sippel,de GER,GK,de M'Gladbach,28,1988,0,,,,,0,,0,0,,4,,,,,,,Matches
1177,Ömer Şişmanoğlu\Omer-Sismanoglu,tr TUR,FW,tr Beşiktaş,26,1989,1,1,1,0.2,0.0,0,,0,1,,3,3.00,1,0,+1,+90.00,+89.21,Matches
1178,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,eng Tottenham,26,1989,1,72,72,40.0,0.8,1,,0,0,,1,0.00,0,1,-1,-1.25,-1.25,Matches
1179,Pione Sisto\Pione-Sisto,dk DEN,FW,es Celta Vigo,21,1995,13,947,73,73.4,10.5,10,,7,3,,0,1.77,14,10,+4,+0.38,-0.41,Matches
1180,Mikhail Sivakow\Mikhail-Sivakow,by BLR,DF,ua Zorya Luhansk,28,1988,5,450,90,83.3,5.0,5,,5,0,,0,0.20,1,7,-6,-1.20,-1.20,Matches
1181,Martin Škrtel\Martin-Skrtel,sk SVK,DF,tr Fenerbahçe,31,1984,7,630,90,87.5,7.0,7,,7,0,,0,2.22,9,7,+2,+0.29,+1.29,Matches
1182,Nejc Skubic\Nejc-Skubic,si SVN,DF,tr Konyaspor,27,1989,5,414,83,76.7,4.6,5,,4,0,,0,0.20,2,7,-5,-1.09,+2.48,Matches
1183,Chris Smalling\Chris-Smalling,eng ENG,DF,eng Manchester Utd,26,1989,10,677,68,49.1,7.5,8,,7,2,,0,2.30,12,2,+10,+1.33,+0.43,Matches
1184,Igor Smolnikov\Igor-Smolnikov,ru RUS,DF,ru Zenit,27,1988,2,180,90,25.0,2.0,2,,2,0,,0,3.00,9,3,+6,+3.00,+2.50,Matches
1185,Fyodor Smolov\Fyodor-Smolov,ru RUS,FW,ru Krasnodar,26,1990,6,479,80,53.2,5.3,6,,5,0,,1,2.13,6,4,+2,+0.38,+1.23,Matches
1186,Cédric Soares\Cedric-Soares,pt POR,DF,eng Southampton,24,1991,1,90,90,16.7,1.0,1,,1,0,,1,1.00,1,1,0,0.00,-0.40,Matches
1187,William Soares\William-Soares,br BRA,DF,il Be'er Sheva,31,1985,2,180,90,25.0,2.0,2,,2,0,,0,0.00,2,5,-3,-1.50,-1.50,Matches
1188,William Soares\William-Soares,br BRA,DFMF,be Standard Liège,31,1985,0,,,,,0,,0,0,,3,,,,,,,Matches
1189,Eduard Sobol\Eduard-Sobol,ua UKR,DF,ua Zorya Luhansk,21,1995,5,450,90,83.3,5.0,5,,4,0,,0,0.40,2,6,-4,-0.80,+1.20,Matches
