,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
648,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,es Sevilla,29,1987,0,,,,,0,,0,0,,6,,,,,,,Matches
649,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,eng Tottenham,26,1989,4,134,34,24.8,1.5,1,,1,3,,1,0.25,0,1,-1,-0.67,-0.89,Matches
650,Mario Šitum\Mario-Situm,hr CRO,DFMF,hr Dinamo Zagreb,24,1992,5,330,66,61.1,3.7,3,,3,2,,1,0.00,0,10,-10,-2.73,-0.58,Matches
651,Islam Slimani\Islam-Slimani,dz ALG,FW,eng Leicester City,28,1988,5,271,54,30.1,3.0,3,,0,2,,0,2.40,5,0,+5,+1.66,+2.23,Matches
652,Tiquinho Soares\Tiquinho-Soares,br BRA,FW,pt Porto,25,1991,2,180,90,25.0,2.0,2,,2,0,,0,0.00,0,3,-3,-1.50,-2.50,Matches
653,Yann Sommer\Yann-Sommer,ch SUI,GK,de M'Gladbach,27,1988,6,540,90,100.0,6.0,6,,6,0,,0,1.38,5,12,-7,-1.17,,Matches
654,David Soria\David-Soria,es ESP,GK,es Sevilla,23,1993,0,,,,,0,,0,0,,2,,,,,,,Matches
655,Borna Sosa\Borna-Sosa,hr CRO,DF,hr Dinamo Zagreb,18,1998,1,90,90,16.7,1.0,1,,1,0,,2,2.00,0,1,-1,-1.00,+1.80,Matches
656,Hillel Soudani\Hillel-Soudani,dz ALG,FWMF,hr Dinamo Zagreb,28,1987,5,390,78,72.2,4.3,5,,3,0,,0,1.45,0,11,-11,-2.54,-0.14,Matches
657,Claudemir de Souza\Claudemir-de-Souza,br BRA,MF,be Club Brugge,28,1988,5,445,89,82.4,4.9,5,,4,0,,1,0.00,2,11,-9,-1.82,+1.02,Matches
