,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1522,Davy Klaassen\Davy-Klaassen,nl NED,MFFW,Everton,eng Premier League,24,1993,7,251,36,7.3,2.8,3,,0,4,,5,1.57,3,7,-4,-1.43,-1.15,3.1,3.0,+0.1,+0.03,+0.34,Matches
1523,Patric Klandt\Patric-Klandt,de GER,GK,Freiburg,de Bundesliga,33,1983,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1524,Felix Klaus\Felix-Klaus,de GER,MFFW,Hannover 96,de Bundesliga,24,1992,28,1981,71,64.7,22.0,25,,12,3,,1,1.18,29,33,-4,-0.18,+0.32,28.8,33.6,-4.8,-0.22,+0.08,Matches
1525,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Liverpool,eng Premier League,31,1985,19,1451,76,42.4,16.1,16,,16,3,,11,2.00,31,15,+16,+0.99,-0.38,28.9,13.5,+15.4,+0.96,-0.03,Matches
1526,Tim Kleindienst\Tim-Kleindienst,de GER,FW,Freiburg,de Bundesliga,21,1995,22,1138,52,37.2,12.6,12,,5,10,,2,1.18,14,16,-2,-0.16,+0.87,19.7,17.3,+2.3,+0.19,+0.73,Matches
1527,Philipp Klement\Philipp-Klement,de GER,MF,Mainz 05,de Bundesliga,24,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1528,Jonathan Klinsmann\Jonathan-Klinsmann,us USA,GK,Hertha BSC,de Bundesliga,20,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1529,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,21,1996,26,2190,84,71.6,24.3,25,,21,1,,5,1.50,40,38,+2,+0.08,-0.12,36.2,32.0,+4.2,+0.17,-0.28,Matches
1530,Lukas Klünter\Lukas-Klunter,de GER,DFFW,Köln,de Bundesliga,21,1996,19,1336,70,43.7,14.8,14,,10,5,,3,0.68,10,26,-16,-1.08,-0.09,19.0,27.9,-8.9,-0.60,+0.28,Matches
1531,Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,de Bundesliga,25,1992,24,2102,88,68.7,23.4,24,,22,0,,10,0.92,23,35,-12,-0.51,-0.51,25.8,32.4,-6.6,-0.28,+0.07,Matches
1532,Anthony Knockaert\Anthony-Knockaert,fr FRA,MFFW,Brighton,eng Premier League,25,1991,33,2421,73,70.8,26.9,27,,16,6,,1,1.15,28,29,-1,-0.04,+1.67,24.6,30.4,-5.8,-0.21,+0.48,Matches
1533,Törles Knöll\Torles-Knoll,de GER,MF,Hamburger SV,de Bundesliga,19,1997,1,18,18,0.6,0.2,0,,0,1,,0,0.00,0,1,-1,-5.00,-4.32,0.5,0.5,+0.1,+0.35,+0.82,Matches
1534,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,19,1997,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
1535,Robin Koch\Robin-Koch,de GER,MFDF,Freiburg,de Bundesliga,21,1996,26,1919,74,62.7,21.3,21,,20,5,,5,1.12,21,33,-12,-0.56,+0.38,25.1,28.7,-3.6,-0.17,+0.28,Matches
1536,Kenan Kodro\Kenan-Kodro,ba BIH,FW,Mainz 05,de Bundesliga,23,1993,8,232,29,7.6,2.6,2,,2,6,,3,0.88,2,6,-4,-1.55,-1.23,3.0,7.0,-4.1,-1.61,-1.23,Matches
1537,Hervé Koffi\Herve-Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4,360,90,10.5,4.0,4,,4,0,,31,0.25,4,11,-7,-1.75,-1.19,4.2,7.0,-2.8,-0.70,-0.22,Matches
1538,Dominik Kohr\Dominik-Kohr,de GER,MF,Leverkusen,de Bundesliga,23,1994,28,1664,59,54.4,18.5,18,,8,10,,4,1.50,25,27,-2,-0.11,-1.14,30.5,22.2,+8.3,+0.45,-0.45,Matches
1539,Seybou Koita\Seybou-Koita,ne NIG,FWMF,Amiens,fr Ligue 1,23,1994,6,212,35,6.2,2.4,2,,0,4,,4,0.17,1,3,-2,-0.85,-0.76,1.7,4.7,-2.9,-1.25,-0.76,Matches
1540,Koke\Koke,es ESP,MFFW,Atlético Madrid,es La Liga,25,1992,35,2753,79,80.5,30.6,33,,23,2,,0,2.06,45,15,+30,+0.98,+0.17,35.8,28.8,+7.0,+0.23,-0.29,Matches
1541,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,it Serie A,31,1985,35,3060,87,89.5,34.0,34,,32,1,,2,1.94,55,25,+30,+0.88,+0.13,61.1,37.0,+24.0,+0.71,-0.67,Matches
1542,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Arsenal,eng Premier League,24,1993,27,2147,80,62.8,23.9,25,,19,2,,9,1.89,49,30,+19,+0.80,+0.51,40.3,30.0,+10.3,+0.43,+0.22,Matches
1543,Randal Kolo Muani\Randal-Kolo-Muani,fr FRA,FW,Nantes,fr Ligue 1,18,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1544,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,eng Premier League,31,1986,17,1394,82,40.8,15.5,17,,14,0,,5,2.59,37,12,+25,+1.61,-0.78,29.0,9.5,+19.5,+1.26,-0.41,Matches
1545,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,18,1999,16,1228,77,40.1,13.6,14,,12,2,,11,1.56,25,23,+2,+0.15,+0.05,20.2,19.2,+1.1,+0.08,-0.29,Matches
1546,Moussa Konaté\Moussa-Konate,sn SEN,FW,Amiens,fr Ligue 1,24,1993,33,2472,75,72.3,27.5,28,,13,5,,0,1.15,27,28,-1,-0.04,+0.34,24.3,39.2,-14.9,-0.54,-0.02,Matches
1547,Pa Konate\Pa-Konate,gn GUI,DF,SPAL,it Serie A,23,1994,0,,,,,0,,0,0,,24,,,,,,,,,,,,Matches
1548,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,24,1993,31,2614,84,76.4,29.0,30,,25,1,,0,1.77,49,30,+19,+0.65,-0.24,41.8,36.5,+5.3,+0.18,-0.47,Matches
1549,Bakary Koné\Bakary-Kone,bf BFA,DF,Strasbourg,fr Ligue 1,29,1988,28,2462,88,72.0,27.4,27,,26,1,,5,1.00,32,50,-18,-0.66,-0.19,32.4,43.8,-11.4,-0.42,-0.48,Matches
1550,Mamadou Koné\Mamadou-Kone,ci CIV,FW,Leganés,es La Liga,25,1991,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
1551,Terence Kongolo\Terence-Kongolo,nl NED,DF,Huddersfield,eng Premier League,23,1994,13,1049,81,30.7,11.7,11,,11,2,,1,0.92,7,14,-7,-0.60,+0.27,9.9,17.1,-7.2,-0.62,-0.09,Matches
1552,Terence Kongolo\Terence-Kongolo,nl NED,DF,Monaco,fr Ligue 1,23,1994,3,256,85,7.5,2.8,3,,2,0,,8,2.00,4,4,0,0.00,-1.14,4.3,4.2,+0.1,+0.02,-0.39,Matches
1553,Yevhen Konoplyanka\Yevhen-Konoplyanka,ua UKR,FWMF,Schalke 04,de Bundesliga,27,1989,27,1562,58,51.0,17.4,18,,4,9,,6,1.74,28,18,+10,+0.58,+0.22,26.0,20.7,+5.3,+0.30,+0.29,Matches
1554,Julian Korb\Julian-Korb,de GER,DF,Hannover 96,de Bundesliga,25,1992,28,2336,83,76.3,26.0,28,,21,0,,4,1.18,33,38,-5,-0.19,+0.43,35.6,42.9,-7.3,-0.28,-0.16,Matches
1555,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Arsenal,eng Premier League,31,1985,25,2225,89,65.1,24.7,25,,23,0,,1,1.64,46,32,+14,+0.57,-0.11,39.2,30.2,+9.0,+0.36,+0.03,Matches
1556,Filip Kostić\Filip-Kostic,rs SRB,FWMF,Hamburger SV,de Bundesliga,24,1992,30,2438,81,79.7,27.1,27,,21,3,,0,1.00,26,38,-12,-0.44,+1.29,31.4,40.1,-8.7,-0.33,+0.64,Matches
1557,Christ Kouadio\Christ-Kouadio,ci CIV,DF,Cagliari,it Serie A,17,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1558,Christian Kouakou\Christian-Kouakou,ci CIV,MFFW,Caen,fr Ligue 1,26,1991,19,847,45,24.8,9.4,7,,0,12,,7,0.89,6,13,-7,-0.74,-0.11,10.4,11.6,-1.2,-0.13,+0.05,Matches
1559,Rominigue Kouamé\Rominigue-Kouame,ml MLI,DFMF,Lille,fr Ligue 1,20,1996,6,200,33,5.8,2.2,1,,1,5,,3,0.67,3,8,-5,-2.25,-1.66,3.0,6.7,-3.7,-1.69,-1.26,Matches
1560,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34,3060,90,89.5,34.0,34,,34,0,,0,1.65,44,36,+8,+0.24,+0.74,43.6,46.0,-2.3,-0.07,+0.38,Matches
1561,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,26,1991,35,3066,88,89.6,34.1,35,,34,0,,1,2.40,68,21,+47,+1.38,+1.13,60.4,21.6,+38.8,+1.14,+0.53,Matches
1562,Jules Koundé\Jules-Kounde,fr FRA,DF,Bordeaux,fr Ligue 1,18,1998,18,1589,88,46.5,17.7,17,,17,1,,2,1.89,30,19,+11,+0.62,+0.92,25.4,19.9,+5.5,+0.31,0.00,Matches
1563,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,West Ham,eng Premier League,27,1989,33,2799,85,81.8,31.1,32,,27,1,,0,1.06,41,57,-16,-0.51,+0.07,30.3,45.2,-15.0,-0.48,+0.31,Matches
1564,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Real Madrid,es La Liga,23,1994,21,994,47,29.1,11.0,10,,3,11,,7,1.90,28,18,+10,+0.91,-0.58,24.8,16.3,+8.5,+0.77,-0.31,Matches
1565,Maksym Koval\Maksym-Koval,ua UKR,GKMF,La Coruña,es La Liga,24,1992,2,121,61,3.5,1.3,2,,0,0,,12,0.50,2,3,-1,-0.74,+0.27,2.6,2.3,+0.3,+0.19,+0.43,Matches
1566,Dawid Kownacki\Dawid-Kownacki,pl POL,FW,Sampdoria,it Serie A,20,1997,22,823,37,24.1,9.1,6,,3,16,,13,1.18,14,19,-5,-0.55,-0.58,12.8,17.1,-4.3,-0.48,-0.21,Matches
1567,Vincent Koziello\Vincent-Koziello,fr FRA,MF,Nice,fr Ligue 1,21,1995,15,808,54,23.6,9.0,10,,3,5,,5,1.40,9,13,-4,-0.45,-0.62,13.9,10.9,+3.0,+0.33,+0.31,Matches
1568,Vincent Koziello\Vincent-Koziello,fr FRA,MF,Köln,de Bundesliga,21,1995,12,789,66,25.8,8.8,8,,5,4,,4,0.75,13,22,-9,-1.03,0.00,10.5,17.1,-6.6,-0.75,0.00,Matches
1569,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3,270,90,8.8,3.0,3,,3,0,,28,1.50,4,3,+1,+0.33,+0.46,2.7,4.7,-2.0,-0.67,-0.52,Matches
1570,Emil Krafth\Emil-Krafth,se SWE,DF,Bologna,it Serie A,22,1994,12,946,79,27.7,10.5,10,,8,2,,25,0.75,10,20,-10,-0.95,-0.88,8.6,21.0,-12.4,-1.18,-1.02,Matches
1571,Oliver Kragl\Oliver-Kragl,de GER,MF,Crotone,it Serie A,27,1990,5,99,20,2.9,1.1,0,,0,5,,7,0.20,1,2,-1,-0.91,-0.23,0.7,2.4,-1.8,-1.74,-1.17,Matches
1572,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,de Bundesliga,26,1991,34,2228,66,72.8,24.8,22,,16,12,,0,1.62,51,37,+14,+0.57,+0.13,39.7,37.5,+2.2,+0.09,-0.14,Matches
1573,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,de Bundesliga,26,1991,27,2151,80,70.3,23.9,26,,17,1,,0,1.26,27,32,-5,-0.21,-0.21,32.1,35.8,-3.7,-0.15,-0.50,Matches
1574,Titas Krapikas\Titas-Krapikas,lt LTU,GK,Sampdoria,it Serie A,18,1999,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
1575,Ladislav Krejčí\Ladislav-Krejci,cz CZE,FWDF,Bologna,it Serie A,25,1992,12,397,33,11.6,4.4,2,,0,10,,20,0.83,4,9,-5,-1.13,-0.93,3.4,10.2,-6.8,-1.57,-1.28,Matches
1576,Rene Krhin\Rene-Krhin,si SVN,MF,Nantes,fr Ligue 1,27,1990,18,1313,73,38.4,14.6,16,,12,2,,9,1.61,17,15,+2,+0.14,+0.44,14.7,14.6,0.0,0.00,-0.08,Matches
1577,Bojan Krkić\Bojan-Krkic,es ESP,MF,Stoke City,eng Premier League,26,1990,1,71,71,2.1,0.8,1,,0,0,,2,0.00,0,1,-1,-1.27,-0.41,0.1,0.4,-0.3,-0.36,+0.24,Matches
1578,Bojan Krkić\Bojan-Krkic,es ESP,FWMF,Alavés,es La Liga,26,1990,13,445,34,13.0,4.9,4,,0,9,,6,0.92,0,10,-10,-2.02,-2.02,2.2,7.9,-5.6,-1.16,-0.90,Matches
1579,Michael Krohn-Dehli\Michael-Krohn-Dehli,dk DEN,MFFW,Sevilla,es La Liga,34,1983,13,540,42,15.8,6.0,5,,0,8,,2,1.85,7,6,+1,+0.17,+0.48,8.5,8.5,+0.1,+0.01,-0.03,Matches
1580,Michael Krohn-Dehli\Michael-Krohn-Dehli,dk DEN,MF,La Coruña,es La Liga,34,1983,11,726,66,21.2,8.1,10,,3,1,,1,0.55,8,20,-12,-1.49,-0.62,9.4,14.1,-4.7,-0.58,-0.45,Matches
1581,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,27,1990,27,2261,84,66.1,25.1,26,,18,1,,2,1.81,60,32,+28,+1.11,-0.59,54.9,31.1,+23.8,+0.94,-0.16,Matches
1582,Tim Krul\Tim-Krul,nl NED,GK,Brighton,eng Premier League,29,1988,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
1583,Max Kruse\Max-Kruse,de GER,FW,Werder Bremen,de Bundesliga,29,1988,29,2453,85,80.2,27.3,28,,25,1,,0,1.31,33,33,0,0.00,+0.44,31.7,40.3,-8.6,-0.32,-0.33,Matches
1584,Grzegorz Krychowiak\Grzegorz-Krychowiak,pl POL,MF,West Brom,eng Premier League,27,1990,27,1641,61,48.0,18.2,20,,11,7,,6,0.78,13,30,-17,-0.93,-0.53,15.6,22.5,-6.9,-0.38,-0.05,Matches
1585,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,24,1992,15,1151,77,37.6,12.8,13,,11,2,,18,1.00,13,20,-7,-0.55,+0.25,14.9,20.0,-5.1,-0.40,-0.20,Matches
1586,Kuki\Kuki,es ESP,FW,Málaga,es La Liga,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
1587,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Atalanta,it Serie A,17,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
1588,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Hellas Verona,it Serie A,17,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
1589,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MFFW,Atalanta,it Serie A,28,1989,14,662,47,19.4,7.4,7,,3,7,,6,1.29,6,12,-6,-0.82,-1.60,9.3,8.8,+0.6,+0.08,-0.89,Matches
1590,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,SPAL,it Serie A,28,1989,16,1440,90,42.1,16.0,16,,16,0,,0,1.31,17,20,-3,-0.19,+0.59,13.7,20.8,-7.1,-0.44,+0.24,Matches
1591,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,24,1992,20,1705,85,49.9,18.9,19,,16,1,,10,2.45,48,14,+34,+1.79,-0.57,41.8,15.3,+26.5,+1.40,-0.20,Matches
1592,Filip Kusić\Filip-Kusic,rs SRB,DF,Köln,de Bundesliga,21,1996,1,15,15,0.5,0.2,0,,0,1,,0,0.00,0,0,0,0.00,+1.03,0.2,0.2,0.0,+0.08,+0.83,Matches
1593,Zdravko Kuzmanović\Zdravko-Kuzmanovic,rs SRB,MF,Málaga,es La Liga,29,1987,8,480,60,14.0,5.3,6,,3,2,,4,0.25,2,13,-11,-2.06,-1.27,4.8,10.6,-5.8,-1.09,-0.67,Matches
1594,Han Kwang-song\Han-Kwang-song,kp PRK,FW,Cagliari,it Serie A,18,1998,7,277,40,8.1,3.1,3,,0,4,,7,0.71,3,7,-4,-1.30,-0.61,3.2,3.7,-0.5,-0.17,+0.35,Matches
1595,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Nantes,fr Ligue 1,20,1997,1,90,90,2.6,1.0,1,,1,0,,8,3.00,2,1,+1,+1.00,+1.16,0.6,1.4,-0.8,-0.83,-0.90,Matches
1596,Alberto de la Bella\Alberto-de-la-Bella,es ESP,DF,Real Sociedad,es La Liga,31,1985,17,1526,90,44.6,17.0,17,,16,0,,17,1.06,22,22,0,0.00,-0.33,20.6,23.0,-2.3,-0.14,-0.62,Matches
1597,Rajiv van La Parra\Rajiv-van-La-Parra,nl NED,FWMF,Huddersfield,eng Premier League,26,1991,33,2137,65,62.5,23.7,26,,10,7,,1,1.03,16,36,-20,-0.84,-0.14,18.6,32.8,-14.2,-0.60,-0.11,Matches
1598,Brighton Labeau\Brighton-Labeau,fr FRA,FW,Amiens,fr Ligue 1,21,1996,2,23,12,0.7,0.3,0,,0,2,,0,0.00,0,1,-1,-3.91,-3.81,0.1,0.7,-0.7,-2.81,-2.29,Matches
1599,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,23,1994,20,957,48,28.0,10.6,10,,3,10,,7,1.60,15,8,+7,+0.66,+0.73,14.7,11.4,+3.2,+0.31,-0.01,Matches
1600,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,26,1991,32,2202,69,64.4,24.5,26,,10,6,,1,1.78,51,28,+23,+0.94,+0.94,41.8,28.8,+12.9,+0.53,+0.50,Matches
1601,Mehdi Lacen\Mehdi-Lacen,dz ALG,MF,Getafe,es La Liga,33,1984,4,68,17,2.0,0.8,0,,0,4,,1,1.75,0,1,-1,-1.32,-1.59,1.2,1.0,+0.2,+0.34,+0.09,Matches
1602,Mehdi Lacen\Mehdi-Lacen,dz ALG,MF,Málaga,es La Liga,33,1984,15,1054,70,30.8,11.7,12,,5,3,,2,0.47,5,14,-9,-0.77,+0.30,9.0,11.9,-2.9,-0.24,+0.39,Matches
1603,Léo Lacroix\Leo-Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,25,1992,11,776,71,22.7,8.6,8,,7,3,,8,0.82,7,12,-5,-0.58,-0.65,10.5,14.8,-4.3,-0.50,-0.66,Matches
1604,Freddie Ladapo\Freddie-Ladapo,eng ENG,FW,Crystal Palace,eng Premier League,24,1993,1,17,17,0.5,0.2,0,,0,1,,1,0.00,0,1,-1,-5.29,-5.06,0.0,0.8,-0.8,-4.36,-4.52,Matches
1605,Riccardo Ladinetti\Riccardo-Ladinetti,it ITA,MF,Cagliari,it Serie A,16,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1606,Alban Lafont\Alban-Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38,3420,90,100.0,38.0,38,,38,0,,0,0.97,38,54,-16,-0.42,,46.0,53.1,-7.2,-0.19,,Matches
1607,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,27,1989,17,1530,90,44.7,17.0,17,,17,0,,4,1.53,20,22,-2,-0.12,+0.26,17.5,25.0,-7.6,-0.44,-0.13,Matches
1608,Konrad Laimer\Konrad-Laimer,at AUT,DFMF,RB Leipzig,de Bundesliga,20,1997,22,1337,61,43.7,14.9,14,,11,8,,6,2.00,27,19,+8,+0.54,+0.75,22.1,18.1,+4.0,+0.27,+0.03,Matches
1609,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,25,1991,31,2724,88,79.6,30.3,30,,28,1,,0,1.10,37,53,-16,-0.53,+0.38,36.4,45.4,-9.0,-0.30,-0.07,Matches
1610,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,eng Premier League,29,1988,12,308,26,9.0,3.4,1,,0,11,,2,2.33,4,1,+3,+0.88,-0.37,3.9,1.2,+2.8,+1.02,+0.05,Matches
1611,Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1,90,90,2.6,1.0,1,,1,0,,37,0.00,0,1,-1,-1.00,-0.76,1.5,1.4,+0.1,+0.10,+0.16,Matches
1612,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,eng Premier League,25,1992,25,843,34,24.6,9.4,7,,0,18,,0,2.12,21,12,+9,+0.96,-0.05,16.7,10.4,+6.3,+0.67,-0.29,Matches
1613,Landeta\Landeta,es ESP,GK,Alavés,es La Liga,21,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1614,Loïck Landre\Loick-Landre,fr FRA,DF,Genoa,it Serie A,25,1992,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1615,Simon Laner\Simon-Laner,it ITA,MF,Hellas Verona,it Serie A,33,1984,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
1616,Ádám Lang\Adam-Lang,hu HUN,DF,Dijon,fr Ligue 1,24,1993,3,233,78,6.8,2.6,3,,1,0,,10,1.00,4,7,-3,-1.16,-0.74,3.6,5.4,-1.8,-0.70,-0.01,Matches
1617,Mitchell Langerak\Mitchell-Langerak,au AUS,GK,Stuttgart,de Bundesliga,28,1988,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1618,Mitchell Langerak\Mitchell-Langerak,au AUS,GK,Levante,es La Liga,28,1988,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1619,Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,de Bundesliga,29,1988,9,411,46,13.4,4.6,5,,4,4,,5,2.00,7,5,+2,+0.44,+0.61,5.7,6.1,-0.3,-0.07,+0.20,Matches
1620,Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Hertha BSC,de Bundesliga,29,1988,12,955,80,31.2,10.6,11,,10,1,,5,1.33,15,16,-1,-0.09,-0.01,11.1,13.1,-2.0,-0.19,+0.01,Matches
1621,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,24,1993,27,2042,76,59.7,22.7,23,,14,4,,0,1.11,30,44,-14,-0.62,-0.23,22.8,36.0,-13.2,-0.58,-0.11,Matches
1622,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Genoa,it Serie A,27,1990,28,1495,53,43.7,16.6,13,,7,15,,5,0.96,14,21,-7,-0.42,-0.28,23.1,20.9,+2.2,+0.13,+0.33,Matches
1623,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,23,1994,9,806,90,23.6,9.0,9,,8,0,,5,3.00,28,5,+23,+2.57,+0.64,18.5,4.2,+14.3,+1.60,+0.13,Matches
1624,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Athletic Club,es La Liga,23,1994,19,1710,90,50.0,19.0,19,,19,0,,0,1.32,23,22,+1,+0.05,+0.53,25.6,26.2,-0.6,-0.03,+0.03,Matches
1625,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Udinese,it Serie A,33,1984,32,2775,87,81.1,30.8,32,,29,0,,1,1.16,38,50,-12,-0.39,+0.03,33.0,40.1,-7.1,-0.23,-0.24,Matches
1626,Kevin Lasagna\Kevin-Lasagna,it ITA,FWMF,Udinese,it Serie A,24,1992,29,2130,73,62.3,23.7,26,,13,3,,2,1.28,38,31,+7,+0.30,+1.83,31.2,28.4,+2.7,+0.12,+0.81,Matches
1627,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,23,1993,33,2928,89,85.6,32.5,32,,31,1,,1,1.30,33,31,+2,+0.06,+1.89,37.6,41.9,-4.3,-0.13,+0.71,Matches
1628,Paul Lasne\Paul-Lasne,fr FRA,MF,Montpellier,fr Ligue 1,28,1989,37,3064,83,89.6,34.0,34,,30,3,,0,1.38,32,31,+1,+0.03,-0.48,38.2,37.6,+0.7,+0.02,+0.01,Matches
1629,Borja Lasso\Borja-Lasso,es ESP,MF,Sevilla,es La Liga,23,1994,1,53,53,1.5,0.6,1,,0,0,,1,1.00,1,1,0,0.00,+0.24,1.3,1.2,+0.1,+0.19,+0.16,Matches
1630,Francesco Latella\Francesco-Latella,it ITA,GK,Crotone,it Serie A,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1631,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,19,1997,16,798,50,23.3,8.9,9,,3,7,,19,1.81,14,11,+3,+0.34,-0.49,14.2,13.2,+1.0,+0.12,-0.23,Matches
1632,Emmanuel Latte Lath\Emmanuel-Latte-Lath,ci CIV,FW,Atalanta,it Serie A,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1633,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,27,1989,29,2352,81,76.9,26.1,27,,22,2,,0,1.00,25,35,-10,-0.38,+0.13,26.3,36.8,-10.5,-0.40,+0.33,Matches
1634,Armand Lauriente\Armand-Lauriente,fr FRA,MF,Rennes,fr Ligue 1,18,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
1635,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Fiorentina,it Serie A,28,1989,22,1608,73,47.0,17.9,20,,10,2,,8,1.64,24,17,+7,+0.39,+0.34,24.8,20.0,+4.7,+0.26,-0.23,Matches
1636,Wesley Lautoa\Wesley-Lautoa,nc NCL,DFMF,Dijon,fr Ligue 1,29,1987,10,621,62,18.2,6.9,8,,6,2,,2,1.30,9,11,-2,-0.29,+0.22,7.3,12.3,-4.9,-0.71,-0.03,Matches
1637,Diego Laxalt\Diego-Laxalt,uy URU,DFMF,Genoa,it Serie A,24,1993,32,2806,88,82.0,31.2,32,,28,0,,3,1.25,28,32,-4,-0.13,+0.75,35.6,36.4,-0.8,-0.03,+0.17,Matches
1638,Miguel Layún\Miguel-Layun,mx MEX,DF,Sevilla,es La Liga,29,1988,16,1187,74,34.7,13.2,11,,11,5,,1,1.50,17,25,-8,-0.61,-0.57,23.0,20.2,+2.8,+0.22,+0.28,Matches
1639,Achraf Lazaar\Achraf-Lazaar,ma MAR,DFMF,Benevento,it Serie A,25,1992,9,478,53,14.0,5.3,6,,3,3,,4,0.00,3,20,-17,-3.20,-2.16,4.1,17.2,-13.2,-2.48,-1.80,Matches
1640,Valentino Lazaro\Valentino-Lazaro,at AUT,MFFW,Hertha BSC,de Bundesliga,21,1996,26,1864,72,60.9,20.7,19,,16,7,,0,1.31,29,26,+3,+0.14,+0.60,27.1,29.5,-2.4,-0.12,+0.20,Matches
1641,Darko Lazović\Darko-Lazovic,rs SRB,MFDF,Genoa,it Serie A,26,1990,21,1242,59,36.3,13.8,12,,9,9,,15,1.05,15,20,-5,-0.36,-0.16,19.0,16.6,+2.4,+0.18,+0.37,Matches
