,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
559,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,27,1992,15,835,56,24.4,9.3,8,85,6,7,23,23,1.27,6,15,-9,-0.97,-1.39,13.8,13.5,+0.2,+0.03,-0.17,Matches
560,Christian Celesia\Christian-Celesia,it ITA,DF,Torino,it Serie A,17,2002,1,1,1,0.0,0.0,0,,0,1,1,5,1.00,0,0,0,0.00,+0.58,0.3,0.0,+0.3,+25.40,+25.94,Matches
561,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,22,1997,23,2070,90,82.1,23.0,23,90,23,0,,3,1.83,30,22,+8,+0.35,+0.35,33.0,23.1,+9.9,+0.43,+0.40,Matches
562,Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,23,1996,28,2520,90,100.0,28.0,28,90,28,0,,0,1.21,27,35,-8,-0.29,,27.3,34.3,-6.9,-0.25,,Matches
563,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,29,1989,16,1246,78,36.4,13.8,15,83,12,1,1,4,1.44,20,17,+3,+0.22,+0.51,13.5,18.7,-5.2,-0.38,+0.06,Matches
564,Fabio Ceravolo\Fabio-Ceravolo,it ITA,FW,Parma,it Serie A,32,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
565,Michele Cerofolini\Michele-Cerofolini,it ITA,GK,Fiorentina,it Serie A,20,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
566,Alberto Cerri\Alberto-Cerri,it ITA,FW,SPAL,it Serie A,23,1996,8,420,53,12.3,4.7,5,76,2,3,14,2,0.00,3,17,-14,-3.00,-1.92,4.4,9.5,-5.0,-1.08,-0.38,Matches
567,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,23,1996,11,244,22,7.1,2.7,1,45,0,10,20,9,1.27,5,7,-2,-0.74,-0.68,2.9,5.2,-2.3,-0.87,-0.48,Matches
568,Leonardo César Jardim\Leonardo-Cesar-Jardim,br BRA,GK,Lille,fr Ligue 1,24,1995,0,,,,,0,,0,0,,28,,,,,,,,,,,,Matches
569,Sahverdi Cetin\Sahverdi-Cetin,de GER,MF,Eint Frankfurt,de Bundesliga,18,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
570,Julian Chabot\Julian-Chabot,de GER,DF,Sampdoria,it Serie A,21,1998,8,569,71,16.6,6.3,7,78,5,1,26,28,0.88,11,13,-2,-0.32,+0.16,9.0,11.0,-2.1,-0.33,-0.32,Matches
571,Florian Chabrolle\Florian-Chabrolle,fr FRA,MF,Marseille,fr Ligue 1,21,1998,1,18,18,0.7,0.2,0,,0,1,17,14,0.00,0,1,-1,-5.00,-5.47,0.2,0.6,-0.4,-2.08,-2.22,Matches
572,Nacer Chadli\Nacer-Chadli,be BEL,FWMF,Monaco,fr Ligue 1,29,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
573,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,32,1986,20,1528,76,60.6,17.0,18,84,14,2,6,5,1.20,18,20,-2,-0.12,+0.61,17.8,24.8,-7.0,-0.41,+0.25,Matches
574,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,25,1993,2,180,90,5.3,2.0,2,90,2,0,,9,1.50,2,2,0,0.00,-0.39,1.3,2.9,-1.6,-0.79,-1.17,Matches
575,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,eng Premier League,24,1994,22,930,42,27.2,10.3,10,78,4,12,13,13,1.14,11,14,-3,-0.29,+0.61,12.1,15.8,-3.7,-0.36,-0.05,Matches
576,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,24,1995,14,1102,79,32.2,12.2,13,81,11,1,45,5,1.29,16,15,+1,+0.08,-0.19,16.2,13.3,+2.8,+0.23,+0.63,Matches
577,Jhon Chancellor\Jhon-Chancellor,ve VEN,DF,Brescia,it Serie A,27,1992,26,2244,86,65.6,24.9,26,86,24,0,,4,0.62,22,49,-27,-1.08,+0.22,25.9,48.0,-22.1,-0.88,+0.12,Matches
578,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,de Bundesliga,29,1990,22,1220,55,39.9,13.6,12,87,9,10,18,12,1.14,22,25,-3,-0.22,-0.32,16.8,20.0,-3.1,-0.23,-0.55,Matches
579,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,25,1994,23,676,29,22.1,7.5,6,68,1,17,16,9,1.26,9,9,0,0.00,-0.04,10.6,14.4,-3.8,-0.51,+0.07,Matches
580,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,FWMF,Brest,fr Ligue 1,30,1988,26,2065,79,81.9,22.9,23,87,17,3,24,0,1.31,31,29,+2,+0.09,+1.08,23.3,32.6,-9.3,-0.40,-0.21,Matches
581,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24,1994,12,823,69,32.7,9.1,9,88,8,3,11,9,1.25,7,13,-6,-0.66,-0.82,9.1,12.7,-3.6,-0.39,-0.04,Matches
582,Charles\Charles,br BRA,FW,Eibar,es La Liga,35,1984,30,1301,43,38.0,14.5,13,76,3,17,18,5,1.13,16,24,-8,-0.55,-0.17,15.7,18.8,-3.1,-0.21,+0.07,Matches
583,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28,1991,24,2147,89,85.2,23.9,24,89,23,0,,0,1.46,22,19,+3,+0.13,-0.36,23.9,21.3,+2.6,+0.11,+0.27,Matches
584,Pablo Chavarría\Pablo-Chavarria,ar ARG,FWMF,Mallorca,es La Liga,31,1988,13,209,16,6.1,2.3,1,58,0,12,13,11,0.85,2,3,-1,-0.43,+0.24,3.4,2.6,+0.8,+0.36,+0.99,Matches
585,Aurélien Chedjou\Aurelien-Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34,1985,22,1971,90,78.2,21.9,22,90,21,0,,1,0.91,25,36,-11,-0.50,+0.81,22.3,25.0,-2.6,-0.12,+0.87,Matches
586,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Celta Vigo,es La Liga,21,1997,16,599,37,17.5,6.7,6,74,2,10,15,15,0.88,5,8,-3,-0.45,-0.16,5.8,7.7,-1.9,-0.29,-0.22,Matches
587,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Lyon,fr Ligue 1,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
588,Chema\Chema,es ESP,DF,Getafe,es La Liga,27,1992,4,309,77,9.0,3.4,3,90,3,1,39,9,1.25,2,4,-2,-0.58,-0.81,2.9,4.4,-1.5,-0.45,-0.46,Matches
589,Rayan Cherki\Rayan-Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,15,2003,6,143,24,5.7,1.6,1,60,0,5,17,6,1.00,3,3,0,0.00,-0.57,1.7,1.2,+0.5,+0.34,-0.07,Matches
590,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,es La Liga,28,1990,24,926,39,27.1,10.3,9,73,1,15,18,4,1.42,11,20,-9,-0.87,-0.95,10.7,17.2,-6.5,-0.63,-0.43,Matches
591,James Chester\James-Chester,wal WAL,DF,Aston Villa,eng Premier League,30,1989,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
592,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Getafe,es La Liga,29,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
593,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,4,202,51,5.9,2.2,3,63,1,1,13,4,2.50,4,1,+3,+1.34,+0.50,3.8,2.1,+1.7,+0.75,+0.04,Matches
594,Federico Chiesa\Federico-Chiesa,it ITA,FWDF,Fiorentina,it Serie A,21,1997,34,2637,78,77.1,29.3,31,82,16,3,29,1,1.44,41,33,+8,+0.27,+0.85,44.1,35.0,+9.0,+0.31,+0.68,Matches
595,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,27,2373,88,69.4,26.4,27,88,25,0,,1,1.67,48,26,+22,+0.83,+0.49,39.5,32.7,+6.8,+0.26,-0.63,Matches
596,Niccolò Chiorra\Niccolo-Chiorra,it ITA,GK,Fiorentina,it Serie A,18,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
597,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Napoli,it Serie A,29,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
598,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,29,1989,9,707,79,20.7,7.9,8,87,6,1,15,5,1.33,17,16,+1,+0.13,-0.04,11.1,13.8,-2.7,-0.34,-0.17,Matches
599,Gianmarco Chironi\Gianmarco-Chironi,it ITA,GK,Lecce,it Serie A,21,1997,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
600,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,eng Premier League,19,1999,3,37,12,1.1,0.4,0,,0,3,12,4,2.00,0,0,0,0.00,-0.80,0.4,0.1,+0.3,+0.74,+0.17,Matches
601,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,20,1251,63,49.6,13.9,13,84,8,7,23,5,1.55,19,17,+2,+0.14,+0.21,15.8,14.8,+1.0,+0.07,+0.29,Matches
602,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,20,893,45,26.1,9.9,10,76,4,10,13,9,1.60,16,12,+4,+0.40,-0.38,11.1,10.5,+0.6,+0.06,-0.53,Matches
603,Mounir Chouiar\Mounir-Chouiar,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,20,1506,75,59.8,16.7,18,80,8,2,34,0,1.05,17,18,-1,-0.06,+0.74,17.4,23.4,-6.0,-0.36,+0.38,Matches
604,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,21,1751,83,51.2,19.5,21,83,18,0,,14,1.62,37,33,+4,+0.21,-0.39,34.9,22.1,+12.8,+0.66,-0.19,Matches
605,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,20,1999,37,2048,55,59.9,22.8,20,79,10,17,27,0,1.54,36,35,+1,+0.04,-0.81,35.2,28.8,+6.4,+0.28,-0.11,Matches
606,Darko Churlinov\Darko-Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,1,21,21,0.7,0.2,0,,0,1,21,1,0.00,1,0,+1,+4.29,+4.85,0.9,0.2,+0.7,+2.87,+3.01,Matches
607,Churripi\Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,3,244,81,7.1,2.7,3,81,2,0,,8,1.00,2,3,-1,-0.37,-0.09,2.6,3.3,-0.6,-0.23,+0.06,Matches
608,Luca Cigarini\Luca-Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,22,1598,73,46.7,17.8,19,82,10,3,14,8,1.32,31,30,+1,+0.06,+0.30,22.2,23.9,-1.7,-0.10,+0.60,Matches
609,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,24,1628,68,53.2,18.1,21,75,10,3,15,5,1.50,30,19,+11,+0.61,+1.99,24.0,21.6,+2.5,+0.14,+0.97,Matches
610,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,24,2096,87,61.3,23.3,24,87,23,0,,7,1.54,27,30,-3,-0.13,+0.14,25.1,30.3,-5.2,-0.22,+0.23,Matches
611,Giuseppe Ciocci\Giuseppe-Ciocci,it ITA,GK,Cagliari,it Serie A,17,2002,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
612,Thiago Cionek\Thiago-Cionek,pl POL,DF,SPAL,it Serie A,33,1986,28,2169,77,63.4,24.1,23,88,22,5,29,7,0.57,18,41,-23,-0.95,+0.99,26.6,43.6,-16.9,-0.70,+0.12,Matches
613,Dennis Cirken\Dennis-Cirken,eng ENG,DF,Tottenham,eng Premier League,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
614,Ibrahim Cissé\Ibrahim-Cisse,ci CIV,DFFW,Nice,fr Ligue 1,20,1999,2,50,25,2.0,0.6,0,,0,2,24,1,1.50,1,1,0,0.00,-0.11,0.9,1.2,-0.3,-0.47,-0.24,Matches
615,Ibrahim Cissé\Ibrahim-Cisse,sn SEN,DF,Angers,fr Ligue 1,23,1996,1,60,60,2.4,0.7,1,60,0,0,,4,1.00,0,1,-1,-1.50,-1.35,0.5,0.6,-0.1,-0.10,-0.05,Matches
616,Andrea Cistana\Andrea-Cistana,it ITA,DF,Brescia,it Serie A,22,1997,21,1838,88,53.7,20.4,21,88,20,0,,2,0.62,17,35,-18,-0.88,+0.60,22.2,37.1,-15.0,-0.73,+0.42,Matches
617,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29,1989,14,1186,85,34.7,13.2,14,85,11,0,,4,1.64,13,14,-1,-0.08,+0.69,10.4,20.6,-10.2,-0.78,-0.17,Matches
618,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,eng Premier League,34,1985,2,35,18,1.0,0.4,0,,0,2,18,2,0.00,0,2,-2,-5.14,-5.20,0.4,1.7,-1.3,-3.22,-3.09,Matches
619,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,21,1998,22,1629,74,64.6,18.1,19,83,12,3,14,0,1.41,25,25,0,0.00,-0.30,21.9,28.1,-6.2,-0.34,-0.30,Matches
620,Christian Clemens\Christian-Clemens,de GER,MFFW,Köln,de Bundesliga,27,1991,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,+0.53,0.1,0.4,-0.3,-1.58,-1.46,Matches
621,Óscar Clemente\Oscar-Clemente,es ESP,MF,Atlético Madrid,es La Liga,20,1999,1,4,4,0.1,0.0,0,,0,1,4,0,0.00,0,1,-1,-22.50,-23.16,0.0,0.2,-0.2,-5.52,-6.10,Matches
622,Yannis Clementia\Yannis-Clementia,fr FRA,GK,Nice,fr Ligue 1,22,1997,2,180,90,7.1,2.0,2,90,2,0,,26,3.00,4,2,+2,+1.00,+0.96,3.3,2.0,+1.2,+0.61,+0.91,Matches
623,Denilho Cleonise\Denilho-Cleonise,nl NED,FW,Genoa,it Serie A,17,2001,4,47,12,1.4,0.5,0,,0,4,12,3,0.50,0,0,0,0.00,+0.69,0.9,0.6,+0.3,+0.56,+0.88,Matches
624,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,27,1992,23,1848,80,54.0,20.5,20,90,19,3,17,9,1.48,33,31,+2,+0.10,+0.56,25.0,32.8,-7.7,-0.38,+0.26,Matches
625,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,eng Premier League,29,1989,18,971,54,28.4,10.8,11,78,8,7,16,2,0.67,7,26,-19,-1.76,-1.43,13.2,21.3,-8.1,-0.75,-0.60,Matches
626,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,26,1993,38,3420,90,100.0,38.0,38,90,38,0,,0,1.55,51,40,+11,+0.29,,47.1,34.8,+12.3,+0.32,,Matches
627,Luca Coccolo\Luca-Coccolo,it ITA,DF,Juventus,it Serie A,21,1998,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
628,Alex Cochrane\Alex-Cochrane,eng ENG,DF,Brighton,eng Premier League,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
629,Marcus Coco\Marcus-Coco,fr FRA,FW,Nantes,fr Ligue 1,23,1996,1,14,14,0.6,0.2,1,14,0,0,,0,0.00,0,0,0,0.00,+0.11,0.0,0.0,0.0,0.00,+0.21,Matches
630,Renaud Cohade\Renaud-Cohade,fr FRA,MF,Metz,fr Ligue 1,34,1984,12,764,64,30.3,8.5,9,77,2,3,23,8,0.83,7,17,-10,-1.18,-1.28,8.2,9.8,-1.6,-0.19,+0.08,Matches
631,Coke\Coke,es ESP,DF,Levante,es La Liga,32,1987,17,989,58,28.9,11.0,11,80,6,6,17,20,1.29,9,16,-7,-0.64,-0.67,11.7,18.2,-6.5,-0.59,-0.14,Matches
632,Silvio Colella\Silvio-Colella,it ITA,DF,Lecce,it Serie A,17,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
633,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,30,1988,27,1839,68,53.8,20.4,21,81,15,6,24,6,1.30,19,28,-9,-0.44,-0.27,24.6,28.7,-4.2,-0.20,-0.49,Matches
634,Álex Collado\Alex-Collado,es ESP,DF,Barcelona,es La Liga,20,1999,1,6,6,0.2,0.1,0,,0,1,6,11,0.00,0,0,0,0.00,-1.27,0.4,0.0,+0.4,+6.32,+5.53,Matches
635,Ebrima Colley\Ebrima-Colley,gm GAM,FW,Atalanta,it Serie A,19,2000,5,82,16,2.4,0.9,0,,0,5,16,14,2.00,2,2,0,0.00,-1.35,2.0,0.8,+1.2,+1.26,+0.20,Matches
636,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,31,2772,89,81.1,30.8,30,90,30,1,72,5,1.06,37,53,-16,-0.52,-0.38,40.3,42.8,-2.5,-0.08,-0.13,Matches
637,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,30,2668,89,87.2,29.6,30,89,29,0,,0,0.67,31,60,-29,-0.98,+0.86,34.5,59.0,-24.5,-0.82,+0.23,Matches
638,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,360,90,10.5,4.0,4,90,4,0,,34,1.00,3,4,-1,-0.25,-0.25,4.1,6.5,-2.4,-0.60,-0.21,Matches
639,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,17,2002,1,9,9,0.3,0.1,0,,0,1,9,5,3.00,1,0,+1,+10.00,+9.58,0.4,0.1,+0.3,+2.57,+2.25,Matches
640,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,23,1995,10,649,65,25.8,7.2,8,75,4,2,27,6,1.90,12,11,+1,+0.14,+0.04,10.1,12.2,-2.1,-0.29,-0.07,Matches
641,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,23,1996,24,1505,63,49.2,16.7,17,79,8,7,24,2,2.17,49,18,+31,+1.85,-0.29,37.7,18.4,+19.4,+1.16,-0.50,Matches
642,Arnau Comas\Arnau-Comas,es ESP,DF,Barcelona,es La Liga,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
643,Mattia Compagnon\Mattia-Compagnon,it ITA,MF,Udinese,it Serie A,17,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
644,Alexandre Conceicao\Alexandre-Conceicao,pt POR,DF,Nice,fr Ligue 1,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
645,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,24,1941,81,77.0,21.6,23,84,20,1,1,2,1.46,25,26,-1,-0.05,-0.36,24.6,25.2,-0.6,-0.03,+0.20,Matches
646,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,24,1258,52,36.8,14.0,14,72,0,10,26,4,1.13,18,22,-4,-0.29,+0.17,15.6,19.8,-4.2,-0.30,+0.08,Matches
647,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,2790,90,81.6,31.0,31,90,31,0,,2,1.32,58,55,+3,+0.10,-0.33,48.5,51.6,-3.1,-0.10,+0.57,Matches
648,Diego Contento\Diego-Contento,de GER,DF,Düsseldorf,de Bundesliga,29,1990,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
649,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,25,1994,23,1725,75,50.4,19.2,21,81,15,2,14,11,1.78,30,29,+1,+0.05,-0.80,29.7,26.8,+2.9,+0.15,-0.36,Matches
650,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,27,1352,50,39.5,15.0,14,81,8,13,17,7,0.81,18,30,-12,-0.80,-0.23,17.1,23.7,-6.6,-0.44,-0.09,Matches
651,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,29,2428,84,71.0,27.0,28,85,25,1,51,3,0.83,30,47,-17,-0.63,+0.10,32.6,43.0,-10.4,-0.38,+0.02,Matches
652,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,26,1905,73,55.7,21.2,21,86,13,5,22,2,1.54,29,27,+2,+0.09,+0.63,24.1,27.6,-3.6,-0.17,+0.33,Matches
653,Gabriele Corbo\Gabriele-Corbo,it ITA,DF,Bologna,it Serie A,19,2000,2,122,61,3.6,1.4,1,90,1,1,32,35,0.00,0,5,-5,-3.69,-3.47,1.9,3.2,-1.4,-1.00,-0.98,Matches
654,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3,269,90,7.9,3.0,3,90,2,0,,2,0.33,0,5,-5,-1.67,-0.93,2.0,2.4,-0.4,-0.14,+0.17,Matches
655,Iñigo Córdoba\Inigo-Cordoba,es ESP,FW,Athletic Club,es La Liga,22,1997,24,1442,60,42.2,16.0,21,65,4,3,23,1,1.67,22,14,+8,+0.50,+0.73,16.3,18.6,-2.2,-0.14,+0.11,Matches
656,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,de Bundesliga,26,1993,29,1998,69,65.3,22.2,23,80,10,6,26,1,1.03,36,41,-5,-0.23,+0.88,31.5,33.3,-1.8,-0.08,+0.13,Matches
657,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Augsburg,de Bundesliga,21,1997,16,367,23,12.0,4.1,4,63,0,12,10,5,1.38,9,5,+4,+0.98,+1.72,7.4,8.0,-0.5,-0.13,+0.28,Matches
658,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,6,261,44,10.7,2.9,3,82,1,3,5,12,1.50,1,4,-3,-1.03,-1.16,3.6,4.0,-0.4,-0.15,-0.34,Matches
659,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,30,2613,87,76.4,29.0,30,87,24,0,,0,1.40,31,41,-10,-0.34,-0.68,32.0,36.1,-4.1,-0.14,-0.11,Matches
660,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,26,1494,57,43.7,16.6,17,73,11,9,29,3,1.46,32,19,+13,+0.78,+1.44,24.0,28.8,-4.7,-0.28,+0.22,Matches
661,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWDF,Lyon,fr Ligue 1,22,1996,22,1330,60,52.8,14.8,14,85,9,8,17,2,1.41,17,16,+1,+0.07,-0.99,19.4,12.8,+6.6,+0.45,+0.10,Matches
662,Quentin Cornette\Quentin-Cornette,fr FRA,FWMF,Amiens,fr Ligue 1,25,1994,13,349,27,13.8,3.9,3,73,0,10,13,4,0.46,4,4,0,0.00,+0.79,3.2,3.5,-0.3,-0.06,+0.28,Matches
663,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,24,1995,33,2061,62,60.3,22.9,22,77,9,11,33,1,1.79,31,20,+11,+0.48,-0.38,30.7,19.3,+11.4,+0.50,-0.19,Matches
664,Joaquín Correa\Joaquin-Correa,ar ARG,FWMF,Lazio,it Serie A,24,1994,30,2002,67,58.5,22.2,22,81,11,8,27,1,2.23,47,26,+21,+0.94,-0.07,40.1,28.7,+11.4,+0.51,+0.04,Matches
665,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,26,1992,12,929,77,27.2,10.3,11,84,7,1,5,9,0.75,8,17,-9,-0.87,-0.58,9.8,12.5,-2.7,-0.26,-0.01,Matches
666,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,20,1999,4,259,65,7.6,2.9,3,83,2,1,9,21,1.00,5,6,-1,-0.35,-0.18,3.2,5.2,-2.0,-0.68,-0.40,Matches
667,Antonio Cortés\Antonio-Cortes,es ESP,FWMF,Granada,es La Liga,19,2000,8,181,23,5.3,2.0,2,45,0,6,15,5,1.38,4,0,+4,+1.99,+1.91,3.3,2.0,+1.4,+0.68,+0.72,Matches
668,Edoardo Corvi\Edoardo-Corvi,it ITA,GK,Parma,it Serie A,18,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
669,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,35,1983,1,90,90,2.6,1.0,1,90,1,0,,37,1.00,1,1,0,0.00,+0.35,1.3,0.5,+0.8,+0.78,+0.85,Matches
670,Danny da Costa\Danny-da-Costa,de GER,DFMF,Eint Frankfurt,de Bundesliga,26,1993,19,1389,73,45.4,15.4,15,88,12,4,17,13,1.63,34,27,+7,+0.45,+0.88,28.8,22.9,+6.0,+0.39,+0.53,Matches
671,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,23,1350,59,39.5,15.0,14,78,6,9,29,0,1.91,23,9,+14,+0.93,+0.50,19.7,12.5,+7.3,+0.48,-0.15,Matches
672,Douglas Costa\Douglas-Costa,br BRA,FWMF,Juventus,it Serie A,28,1990,23,802,35,23.5,8.9,7,62,1,16,23,2,2.22,28,9,+19,+2.13,+1.65,18.0,8.3,+9.7,+1.08,+0.49,Matches
673,Jaume Costa\Jaume-Costa,es ESP,DF,Valencia,es La Liga,31,1988,19,1389,73,40.6,15.4,15,83,10,4,38,14,1.58,20,17,+3,+0.19,+0.64,18.8,20.2,-1.4,-0.09,+0.38,Matches
674,João Paulo Santos Costa\Joao-Paulo-Santos-Costa,pt POR,GK,Granada,es La Liga,23,1996,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
675,Logan Costa\Logan-Costa,fr FRA,DF,Reims,fr Ligue 1,18,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
676,Nuno da Costa\Nuno-da-Costa,cv CPV,FWMF,Strasbourg,fr Ligue 1,28,1991,14,527,38,21.7,5.9,4,90,3,10,17,5,1.29,6,10,-4,-0.68,-0.87,6.6,7.5,-1.0,-0.16,-0.40,Matches
677,David Costas\David-Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,6,338,56,9.9,3.8,3,90,3,3,23,7,0.83,5,10,-5,-1.33,-1.13,5.1,6.1,-0.9,-0.24,-0.15,Matches
678,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.32,40,34,+6,+0.21,,29.7,33.2,-3.5,-0.12,,Matches
679,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,21,1616,77,64.1,18.0,18,87,15,3,18,1,1.43,16,14,+2,+0.11,+0.61,18.7,17.1,+1.6,+0.09,+0.82,Matches
680,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,10,666,67,26.4,7.4,9,70,5,1,32,9,0.50,2,13,-11,-1.49,-1.54,7.4,14.7,-7.4,-1.00,-0.66,Matches
