Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Benoît Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,1984.0,18,1479.0,82.0,43.2,16.4,16,,14.0,2,,7,1.44,18.0,25.0,-7.0,-0.43,0.78,2017,,,,,
Davide Astori,it ITA,DF,Fiorentina,it Serie A,1987.0,33,2967.0,90.0,86.8,33.0,33,,32.0,0,,0,1.64,56.0,47.0,9.0,0.27,0.87,2017,,,,,
Barış Atik,de GER,MF,Hoffenheim,de Bundesliga,1995.0,3,70.0,23.0,2.3,0.8,0,,0.0,3,,3,1.67,2.0,1.0,1.0,1.29,0.5,2017,,,,,
Omer Atzili,il ISR,MF,Granada,es La Liga,1993.0,9,365.0,41.0,10.7,4.1,3,,0.0,6,,7,0.44,3.0,8.0,-5.0,-1.23,0.15,2017,,,,,
Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,1989.0,32,2779.0,87.0,90.8,30.9,31,,26.0,1,,1,1.81,61.0,35.0,26.0,0.84,-1.08,2017,,,,,
Jean-Kévin Augustin,fr FRA,FW,Paris S-G,fr Ligue 1,1997.0,10,196.0,20.0,5.7,2.2,1,,0.0,9,,6,2.1,4.0,0.0,4.0,1.84,0.39,2017,,,,,
Benjamin Aulagnier,fr FRA,FW,Saint-Étienne,fr Ligue 1,1998.0,0,,,,,0,,0.0,0,,2,,,,,,,2017,,,,,
Serge Aurier,ci CIV,DF,Paris S-G,fr Ligue 1,1992.0,22,1829.0,83.0,53.5,20.3,21,,19.0,1,,7,1.95,34.0,17.0,17.0,0.84,-1.37,2017,,,,,
Charlie Austin,eng ENG,FW,Southampton,eng Premier League,1989.0,15,934.0,62.0,27.3,10.4,11,,2.0,4,,2,1.33,9.0,8.0,1.0,0.1,0.39,2017,,,,,
Donis Avdijaj,xk KVX,MF,Schalke 04,de Bundesliga,1996.0,9,298.0,33.0,9.7,3.3,2,,0.0,7,,4,0.67,4.0,4.0,0.0,0.0,-0.16,2017,,,,,
Danilo Avelar,br BRA,DF,Torino,it Serie A,1989.0,3,262.0,87.0,7.7,2.9,3,,2.0,0,,6,1.33,5.0,4.0,1.0,0.34,0.23,2017,,,,,
Durel Avounou,cg CGO,MF,Caen,fr Ligue 1,1997.0,0,,,,,0,,0.0,0,,4,,,,,,,2017,,,,,
Daniel Ayala,es ESP,DF,Middlesbrough,eng Premier League,1990.0,14,918.0,66.0,26.8,10.2,11,,9.0,3,,7,0.64,6.0,16.0,-10.0,-0.98,-0.4,2017,,,,,
André Ayew,gh GHA,MFFW,West Ham,eng Premier League,1989.0,25,1438.0,58.0,42.0,16.0,16,,5.0,9,,0,1.0,19.0,25.0,-6.0,-0.38,0.12,2017,,,,,
Jordan Ayew,gh GHA,FWMF,Swansea City,eng Premier League,1991.0,14,866.0,62.0,25.3,9.6,9,,6.0,5,,0,1.43,11.0,7.0,4.0,0.42,1.44,2017,,,,,
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,1989.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,2.45,85.0,33.0,52.0,1.37,,2017,,,,,
Ismail Azzaoui,be BEL,FW,Wolfsburg,de Bundesliga,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2017,,,,,
Florian Baak,de GER,DF,Hertha BSC,de Bundesliga,1999.0,2,15.0,8.0,0.5,0.2,0,,0.0,2,,1,1.5,0.0,0.0,0.0,0.0,0.12,2017,,,,,
Ludovic Baal,gf GUF,DFMF,Rennes,fr Ligue 1,1986.0,33,2880.0,87.0,84.2,32.0,33,,30.0,0,,0,1.36,29.0,33.0,-4.0,-0.12,0.21,2017,,,,,
Mame Baba Thiam,sn SEN,FW,Empoli,it Serie A,1992.0,15,876.0,58.0,25.6,9.7,9,,5.0,6,,4,0.87,13.0,22.0,-9.0,-0.92,-0.11,2017,,,,,
Khouma Babacar,sn SEN,FW,Fiorentina,it Serie A,1993.0,22,1326.0,60.0,38.8,14.7,13,,9.0,9,,14,1.59,30.0,25.0,5.0,0.34,0.3,2017,,,,,
Ryan Babel,nl NED,MFFW,La Coruña,es La Liga,1986.0,11,566.0,51.0,16.5,6.3,5,,2.0,6,,0,1.0,14.0,9.0,5.0,0.8,1.52,2017,,,,,
Jean-Sylvain Babin,mq MTQ,DF,Sporting Gijón,es La Liga,1986.0,22,1712.0,78.0,50.1,19.0,20,,16.0,2,,6,0.86,21.0,29.0,-8.0,-0.42,0.74,2017,,,,,
Carlos Bacca,co COL,FW,Milan,it Serie A,1986.0,32,2112.0,66.0,61.8,23.5,26,,6.0,6,,2,1.66,39.0,25.0,14.0,0.6,0.73,2017,,,,,
Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,1989.0,33,2508.0,76.0,73.3,27.9,29,,19.0,4,,3,1.61,41.0,37.0,4.0,0.14,-0.05,2017,,,,,
Tobias Badila,cg CGO,DF,Nancy,fr Ligue 1,1993.0,26,2252.0,87.0,65.8,25.0,24,,23.0,2,,2,1.08,18.0,31.0,-13.0,-0.52,0.25,2017,,,,,
Holger Badstuber,de GER,DF,Bayern Munich,de Bundesliga,1989.0,1,29.0,29.0,0.9,0.3,0,,0.0,1,,3,3.0,0.0,1.0,-1.0,-3.1,-5.12,2017,,,,,
Holger Badstuber,de GER,DF,Schalke 04,de Bundesliga,1989.0,10,862.0,86.0,28.2,9.6,10,,8.0,0,,8,1.3,14.0,13.0,1.0,0.1,-0.06,2017,,,,,
Dylan Bahamboula,cg CGO,FW,Dijon,fr Ligue 1,1995.0,11,526.0,48.0,15.4,5.8,4,,3.0,7,,7,0.92,6.0,10.0,-4.0,-0.68,-0.44,2017,,,,,
Jean-Christophe Bahebeck,fr FRA,FW,Pescara,it Serie A,1993.0,15,815.0,54.0,23.8,9.1,11,,2.0,4,,1,0.47,11.0,21.0,-10.0,-1.1,0.07,2017,,,,,
Farès Bahlouli,fr FRA,MF,Lille,fr Ligue 1,1995.0,3,98.0,33.0,2.9,1.1,1,,0.0,2,,3,1.0,1.0,3.0,-2.0,-1.84,-1.7,2017,,,,,
