Player,Nation,Pos,Squad,Comp,Born,matches_played,minutes_played,minutes_per_match_played,minutes_played_percent,90s_played,starts,minutes_per_starts,completed_matches,sub_played,minutes_per_sub,unused_sub,points_per_match,team_goals_scored_while_playing,team_goals_against_while_playing,plus_minus_goals_while_playing,plus_minus_goals_while_playing_per_90,net_goals_playing_per_90,season,expected_team_goals_while_playing,expected_team_goals_against_while_playing,xg_difference_while_playing,xg_difference_while_playing_per_90,net_xg_difference
Roberto Olabe del Arco,es ESP,MF,Eibar,es La Liga,1996.0,0,,,,,0,,0.0,0,,13,,,,,,,2021,,,,,
Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,1992.0,1,90.0,90.0,3.7,1.0,1,90.0,1.0,0,,0,1.0,1.0,1.0,0.0,0.0,-0.5,2021,1.4,0.8,0.5,0.54,0.31
Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,1994.0,11,268.0,24.0,9.6,3.0,2,55.0,0.0,9,18.0,3,0.91,3.0,9.0,-6.0,-2.01,-1.23,2021,4.3,6.8,-2.5,-0.83,-0.08
Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,1999.0,3,39.0,13.0,1.5,0.4,0,,0.0,3,13.0,9,0.0,0.0,1.0,-1.0,-2.31,-1.89,2021,0.4,1.1,-0.7,-1.73,-1.51
Amir Arli,tr TUR,MF,Dijon,fr Ligue 1,2003.0,0,,,,,0,,0.0,0,,4,,,,,,,2021,,,,,
Nicolò Armini,it ITA,DF,Lazio,it Serie A,2001.0,0,,,,,0,,0.0,0,,19,,,,,,,2021,,,,,
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,1992.0,25,2057.0,82.0,76.2,22.9,24,85.0,14.0,1,13.0,1,1.36,32.0,41.0,-9.0,-0.39,0.31,2021,22.8,30.7,-7.9,-0.35,-0.2
Alex Arnofoli,it ITA,DF,Bologna,it Serie A,2003.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,1994.0,24,2045.0,85.0,84.2,22.7,24,85.0,17.0,0,,0,2.04,40.0,18.0,22.0,0.97,0.5,2021,34.5,22.9,11.6,0.51,0.95
Toluwalas Arokodare,ng NGA,FW,Köln,de Bundesliga,2000.0,9,97.0,11.0,4.0,1.1,0,,0.0,9,11.0,5,0.67,3.0,3.0,0.0,0.0,0.85,2021,1.5,1.3,0.2,0.22,0.87
Sergio Arribas,es ESP,FWDF,Real Madrid,es La Liga,2001.0,6,114.0,19.0,4.4,1.3,0,,0.0,6,19.0,2,2.17,3.0,0.0,3.0,2.37,1.47,2021,1.1,0.2,0.8,0.66,-0.06
Tolgay Arslan,de GER,MF,Udinese,it Serie A,1990.0,24,1435.0,60.0,55.0,15.9,20,68.0,2.0,4,19.0,3,1.21,17.0,16.0,1.0,0.06,0.68,2021,20.2,16.1,4.1,0.26,0.34
Federico Artioli,it ITA,MF,Sassuolo,it Serie A,2001.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Gabriele Artistico,it ITA,FW,Parma,it Serie A,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Kwadwo Asamoah,gh GHA,DF,Cagliari,it Serie A,1988.0,4,75.0,19.0,2.9,0.8,0,,0.0,4,19.0,5,1.5,0.0,1.0,-1.0,-1.2,-0.56,2021,1.6,1.9,-0.4,-0.42,0.16
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,1997.0,6,327.0,55.0,13.5,3.6,4,68.0,0.0,2,29.0,7,1.33,1.0,5.0,-4.0,-1.1,-0.67,2021,2.5,6.2,-3.7,-1.02,-1.02
Raúl Asencio,es ESP,FW,Genoa,it Serie A,1998.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Marco Asensio,es ESP,FW,Real Madrid,es La Liga,1996.0,26,1433.0,55.0,54.9,15.9,17,70.0,1.0,9,27.0,1,2.15,30.0,14.0,16.0,1.0,0.09,2021,24.9,15.7,9.1,0.57,-0.32
Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,2001.0,4,73.0,18.0,2.8,0.8,0,,0.0,4,18.0,22,2.5,1.0,2.0,-1.0,-1.23,-1.13,2021,0.7,2.1,-1.4,-1.73,-1.37
Joel Asoro,se SWE,FW,Genoa,it Serie A,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,1987.0,25,2182.0,87.0,83.6,24.2,25,87.0,19.0,0,,0,1.44,36.0,33.0,3.0,0.12,2.02,2021,32.3,27.7,4.6,0.19,0.8
Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,1993.0,14,670.0,48.0,24.0,7.4,9,62.0,1.0,5,23.0,1,0.5,5.0,16.0,-11.0,-1.48,-0.54,2021,6.6,15.9,-9.3,-1.25,-0.13
Lorenz Assignon,tg TOG,FW,Rennes,fr Ligue 1,2000.0,0,,,,,0,,0.0,0,,7,,,,,,,2021,,,,,
Ryan Astley,wal WAL,DF,Everton,eng Premier League,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Miguel Atienza,es ESP,MFFW,Eibar,es La Liga,1999.0,3,127.0,42.0,4.9,1.4,1,90.0,1.0,2,19.0,5,0.33,0.0,1.0,-1.0,-0.71,-0.27,2021,0.5,1.5,-0.9,-0.67,-0.45
Youcef Attal,dz ALG,DFMF,Nice,fr Ligue 1,1996.0,12,573.0,48.0,20.5,6.4,8,62.0,0.0,4,19.0,0,1.25,8.0,11.0,-3.0,-0.47,-0.55,2021,6.8,11.3,-4.5,-0.71,-0.71
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,1989.0,25,2009.0,80.0,74.4,22.3,22,88.0,18.0,3,23.0,2,1.28,26.0,25.0,1.0,0.04,-0.48,2021,28.7,27.5,1.2,0.05,-0.33
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,1994.0,28,2406.0,86.0,92.2,26.7,28,86.0,23.0,0,,0,1.29,36.0,38.0,-2.0,-0.07,0.81,2021,30.5,40.6,-10.1,-0.38,0.34
Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,1997.0,3,36.0,12.0,1.3,0.4,0,,0.0,3,12.0,3,0.33,0.0,1.0,-1.0,-2.5,-2.01,2021,0.2,0.3,-0.1,-0.22,0.02
Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,1994.0,19,1597.0,84.0,65.7,17.7,17,89.0,13.0,2,45.0,0,0.95,20.0,28.0,-8.0,-0.45,-0.45,2021,17.8,27.2,-9.5,-0.53,-0.23
Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,1992.0,14,1155.0,83.0,42.8,12.8,14,83.0,10.0,0,,5,1.57,25.0,13.0,12.0,0.94,0.53,2021,16.2,15.9,0.3,0.02,-0.26
Charlie Austin,eng ENG,FW,West Brom,eng Premier League,1989.0,5,138.0,28.0,5.1,1.5,0,,0.0,5,28.0,3,0.4,2.0,5.0,-3.0,-1.96,-0.87,2021,0.6,4.9,-4.3,-2.79,-1.96
Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,1994.0,1,14.0,14.0,0.5,0.2,0,,0.0,1,14.0,1,1.0,0.0,0.0,0.0,0.0,0.42,2021,0.3,0.0,0.3,1.71,2.06
Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,1997.0,19,1290.0,68.0,53.1,14.3,16,77.0,3.0,3,21.0,1,1.42,19.0,17.0,2.0,0.14,-0.33,2021,18.7,16.6,2.1,0.15,-0.42
Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,2002.0,1,74.0,74.0,3.0,0.8,1,74.0,0.0,0,,2,0.0,0.0,2.0,-2.0,-2.43,-0.45,2021,0.4,0.7,-0.3,-0.35,0.98
Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,1991.0,26,1746.0,67.0,64.7,19.4,19,85.0,11.0,7,18.0,2,1.27,17.0,32.0,-15.0,-0.77,-0.68,2021,11.8,30.0,-18.2,-0.94,-0.65
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,1994.0,17,766.0,45.0,29.3,8.5,7,82.0,5.0,10,19.0,10,2.06,12.0,7.0,5.0,0.59,0.83,2021,11.3,12.8,-1.4,-0.17,-0.17
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,1991.0,30,2679.0,89.0,99.2,29.8,30,89.0,29.0,0,,0,1.4,47.0,48.0,-1.0,-0.03,-0.03,2021,44.9,48.6,-3.7,-0.12,-3.0
Ramon Azeez,ng NGA,MFDF,Granada,es La Liga,1992.0,2,101.0,51.0,3.9,1.1,1,90.0,1.0,1,11.0,9,1.5,1.0,6.0,-5.0,-4.46,-4.1,2021,0.9,3.2,-2.2,-2.0,-1.69
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,1989.0,20,1671.0,84.0,61.9,18.6,18,90.0,18.0,2,26.0,10,1.9,29.0,14.0,15.0,0.81,0.72,2021,29.7,13.4,16.3,0.88,0.37
Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,1986.0,5,287.0,57.0,10.3,3.2,3,81.0,1.0,2,22.0,26,0.2,5.0,9.0,-4.0,-1.25,-1.0,2021,4.8,7.8,-2.9,-0.92,-0.76
Carlos Bacca,co COL,FW,Villarreal,es La Liga,1986.0,19,567.0,30.0,21.7,6.3,6,61.0,0.0,13,16.0,4,1.58,10.0,7.0,3.0,0.48,0.12,2021,12.9,7.2,5.7,0.9,0.46
Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,2000.0,26,2160.0,83.0,77.4,24.0,24,89.0,22.0,2,10.0,0,1.5,36.0,36.0,0.0,0.0,-0.57,2021,36.2,30.3,5.9,0.25,-0.33
Milan Badelj,hr CRO,MF,Genoa,it Serie A,1989.0,23,1837.0,80.0,70.4,20.4,22,83.0,15.0,1,10.0,4,1.26,24.0,22.0,2.0,0.1,1.5,2021,20.6,21.7,-1.1,-0.05,1.36
Alex Baena,es ESP,MF,Villarreal,es La Liga,2001.0,3,125.0,42.0,4.8,1.4,2,53.0,0.0,1,20.0,26,0.33,0.0,2.0,-2.0,-1.44,-1.91,2021,0.9,0.9,0.0,0.03,-0.54
Miguel Baeza,es ESP,MFFW,Celta Vigo,es La Liga,2000.0,18,492.0,27.0,18.9,5.5,4,53.0,0.0,14,20.0,11,1.44,5.0,13.0,-8.0,-1.46,-1.55,2021,7.0,7.7,-0.7,-0.13,-0.24
Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,1992.0,23,1228.0,53.0,44.0,13.6,14,72.0,1.0,9,25.0,0,1.26,14.0,20.0,-6.0,-0.44,-0.21,2021,15.2,16.6,-1.5,-0.11,0.05
Leon Bailey,jm JAM,FW,Leverkusen,de Bundesliga,1997.0,25,1835.0,73.0,75.5,20.4,21,83.0,14.0,4,24.0,0,1.56,37.0,25.0,12.0,0.59,0.44,2021,29.1,25.6,3.4,0.17,-0.27
Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,1994.0,8,638.0,80.0,23.6,7.1,7,90.0,7.0,1,8.0,12,2.13,10.0,11.0,-1.0,-0.14,-1.28,2021,10.4,10.4,0.0,0.0,-0.53
Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,1994.0,24,1527.0,64.0,58.5,17.0,18,79.0,7.0,6,17.0,2,1.83,37.0,24.0,13.0,0.77,-0.56,2021,30.5,21.6,8.8,0.52,-0.15
Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,2000.0,22,1397.0,64.0,50.1,15.5,15,83.0,10.0,7,22.0,9,2.18,37.0,7.0,30.0,1.93,0.96,2021,37.4,18.0,19.4,1.25,0.36
Ridle Baku,de GER,FWDF,Wolfsburg,de Bundesliga,1998.0,25,2085.0,83.0,85.8,23.2,24,86.0,14.0,1,19.0,0,2.08,43.0,21.0,22.0,0.95,0.43,2021,35.1,25.7,9.4,0.4,0.31
Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,1998.0,2,180.0,90.0,7.4,2.0,2,90.0,2.0,0,,0,0.0,2.0,7.0,-5.0,-2.5,-1.94,2021,2.3,5.5,-3.2,-1.59,-1.61
Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,2002.0,7,56.0,8.0,2.0,0.6,0,,0.0,7,8.0,10,1.43,2.0,2.0,0.0,0.0,0.23,2021,1.3,0.7,0.6,0.92,1.3
Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,1991.0,12,1080.0,90.0,40.0,12.0,12,90.0,12.0,0,,14,1.75,21.0,16.0,5.0,0.42,0.08,2021,16.1,17.0,-0.9,-0.08,-0.42
Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,1995.0,17,843.0,50.0,32.3,9.4,9,75.0,1.0,8,21.0,2,1.53,12.0,12.0,0.0,0.0,0.2,2021,11.6,13.4,-1.8,-0.19,0.31
George Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,1993.0,25,2157.0,86.0,79.9,24.0,25,86.0,23.0,0,,3,0.44,11.0,41.0,-30.0,-1.25,-0.42,2021,19.9,41.7,-21.8,-0.91,-0.69
Gareth Bale,wal WAL,FW,Tottenham,eng Premier League,1989.0,13,559.0,43.0,20.7,6.2,6,66.0,0.0,7,23.0,9,1.31,11.0,8.0,3.0,0.48,-0.19,2021,8.6,5.2,3.4,0.54,0.47
Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,1988.0,14,879.0,63.0,33.7,9.8,8,81.0,4.0,6,39.0,14,1.21,11.0,14.0,-3.0,-0.31,-0.78,2021,10.1,9.9,0.2,0.02,-0.32
Leonardo Balerdi,ar ARG,DFMF,Marseille,fr Ligue 1,1999.0,14,1093.0,78.0,39.2,12.1,13,84.0,11.0,1,4.0,15,1.57,13.0,15.0,-2.0,-0.16,-0.48,2021,9.0,14.9,-5.9,-0.49,-0.74
Marco Ballarini,it ITA,MF,Udinese,it Serie A,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,1997.0,18,606.0,34.0,21.7,6.7,6,78.0,4.0,12,12.0,8,2.0,13.0,14.0,-1.0,-0.15,-1.26,2021,10.2,7.7,2.5,0.37,-0.58
Botond Balogh,hu HUN,DF,Parma,it Serie A,2002.0,2,147.0,74.0,5.6,1.6,1,90.0,1.0,1,57.0,13,0.5,2.0,4.0,-2.0,-1.22,-0.27,2021,0.8,5.3,-4.5,-2.77,-2.47
Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,1990.0,14,1167.0,83.0,41.8,13.0,14,83.0,11.0,0,,15,1.43,15.0,19.0,-4.0,-0.31,0.02,2021,14.3,16.3,-2.1,-0.16,-0.04
Jonathan Bamba,fr FRA,MF,Lille,fr Ligue 1,1996.0,31,2526.0,81.0,90.5,28.1,29,85.0,19.0,2,28.0,0,2.13,45.0,17.0,28.0,1.0,-0.37,2021,36.9,18.5,18.4,0.66,0.03
Robson Bambu,br BRA,DF,Nice,fr Ligue 1,1997.0,15,1046.0,70.0,37.5,11.6,12,84.0,9.0,3,12.0,10,1.6,18.0,15.0,3.0,0.26,0.46,2021,12.0,16.6,-4.7,-0.4,-0.42
Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,1993.0,30,2498.0,83.0,92.5,27.8,30,83.0,21.0,0,,0,1.4,43.0,46.0,-3.0,-0.11,-1.0,2021,43.0,44.5,-1.5,-0.05,0.62
Abdoul Bane,it ITA,DF,Parma,it Serie A,2001.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Cheick Bangoura,gn GUI,FW,Brest,fr Ligue 1,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Mattia Bani,it ITA,DF,Bologna,it Serie A,1993.0,0,,,,,0,,0.0,0,,2,,,,,,,2021,,,,,
Mattia Bani,it ITA,DF,Genoa,it Serie A,1993.0,11,921.0,84.0,35.3,10.2,10,88.0,8.0,1,45.0,6,0.55,9.0,16.0,-7.0,-0.68,-0.52,2021,8.0,15.7,-7.7,-0.75,-0.45
Mattia Bani,it ITA,DF,Parma,it Serie A,1993.0,8,644.0,81.0,24.7,7.2,8,81.0,5.0,0,,0,0.75,11.0,14.0,-3.0,-0.42,0.73,2021,10.8,9.2,1.5,0.22,0.87
Simon Banza,fr FRA,FW,Lens,fr Ligue 1,1996.0,29,1245.0,43.0,44.6,13.8,11,78.0,1.0,18,22.0,2,1.48,22.0,17.0,5.0,0.36,0.42,2021,22.3,16.3,6.0,0.43,0.2
Jamal Baptiste,eng ENG,DF,West Ham,eng Premier League,2003.0,0,,,,,0,,0.0,0,,1,,,,,,,2021,,,,,
Antonín Barák,cz CZE,MFFW,Hellas Verona,it Serie A,1994.0,26,2105.0,81.0,80.7,23.4,24,85.0,18.0,2,27.0,0,1.5,31.0,31.0,0.0,0.0,-0.71,2021,27.4,33.2,-5.8,-0.25,-0.14
Federico Barba,it ITA,DF,Benevento,it Serie A,1993.0,23,1912.0,83.0,73.3,21.2,22,86.0,19.0,1,16.0,0,1.04,21.0,34.0,-13.0,-0.61,0.81,2021,21.6,31.6,-10.0,-0.47,0.64
Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,1996.0,4,250.0,63.0,9.0,2.8,3,81.0,2.0,1,8.0,1,1.0,2.0,4.0,-2.0,-0.72,-0.76,2021,6.5,2.3,4.2,1.5,1.8
Barcia,es ESP,DF,Granada,es La Liga,2000.0,1,90.0,90.0,3.4,1.0,1,90.0,1.0,0,,3,0.0,0.0,2.0,-2.0,-2.0,-1.54,2021,0.8,2.6,-1.8,-1.77,-1.44
Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,2000.0,12,324.0,27.0,11.6,3.6,3,79.0,2.0,9,10.0,17,1.92,3.0,2.0,1.0,0.28,-0.74,2021,7.5,2.5,5.1,1.41,0.33
Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,1995.0,18,1125.0,63.0,43.1,12.5,12,83.0,6.0,6,21.0,1,1.0,10.0,16.0,-6.0,-0.48,-0.66,2021,13.9,18.2,-4.3,-0.34,-0.13
Phil Bardsley,sco SCO,DF,Burnley,eng Premier League,1985.0,4,274.0,69.0,10.1,3.0,3,90.0,3.0,1,4.0,18,0.75,3.0,8.0,-5.0,-1.64,-1.23,2021,3.0,4.1,-1.1,-0.36,0.19
Nicolò Barella,it ITA,MF,Inter,it Serie A,1997.0,29,2326.0,80.0,89.1,25.8,26,86.0,17.0,3,31.0,0,2.45,54.0,25.0,29.0,1.12,-2.68,2021,50.1,27.8,22.4,0.86,-1.12
Kike Barja,es ESP,MFFW,Osasuna,es La Liga,1997.0,26,987.0,38.0,37.8,11.0,11,71.0,1.0,15,14.0,3,1.15,9.0,11.0,-2.0,-0.18,0.37,2021,10.5,11.7,-1.2,-0.11,0.37
Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,1993.0,18,1167.0,65.0,44.7,13.0,14,76.0,5.0,4,25.0,2,1.17,22.0,18.0,4.0,0.31,-0.13,2021,17.8,19.4,-1.6,-0.12,-0.42
Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,1993.0,2,42.0,21.0,1.6,0.5,0,,0.0,2,21.0,1,1.5,1.0,0.0,1.0,2.14,1.63,2021,0.3,0.9,-0.6,-1.25,-2.02
Aymen Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,1998.0,22,840.0,38.0,34.6,9.3,8,73.0,1.0,14,18.0,3,1.77,17.0,12.0,5.0,0.54,-0.2,2021,15.1,12.3,2.8,0.3,0.01
Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,1989.0,18,1293.0,72.0,47.9,14.4,15,81.0,5.0,3,25.0,1,1.17,11.0,17.0,-6.0,-0.42,0.22,2021,14.6,18.4,-3.8,-0.27,0.51
Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,1997.0,25,1945.0,78.0,72.0,21.6,22,84.0,15.0,3,31.0,1,1.84,36.0,25.0,11.0,0.51,-0.44,2021,28.1,26.4,1.7,0.08,-0.62
Marc Baró Ortiz,es ESP,DF,Cádiz,es La Liga,1999.0,1,90.0,90.0,3.4,1.0,1,90.0,1.0,0,,11,0.0,0.0,3.0,-3.0,-3.0,-2.43,2021,0.8,2.1,-1.3,-1.33,-0.87
Antonio Barragán,es ESP,DF,Elche,es La Liga,1987.0,21,1785.0,85.0,68.4,19.8,21,85.0,18.0,0,,2,0.9,19.0,29.0,-10.0,-0.5,0.26,2021,13.5,31.6,-18.1,-0.91,-0.03
Antonio Barreca,it ITA,DF,Fiorentina,it Serie A,1995.0,3,85.0,28.0,3.3,0.9,1,58.0,0.0,2,14.0,22,0.33,1.0,1.0,0.0,0.0,0.36,2021,1.3,0.9,0.4,0.4,0.63
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,2000.0,22,1737.0,79.0,71.5,19.3,20,84.0,11.0,2,24.0,4,1.14,19.0,30.0,-11.0,-0.57,0.47,2021,27.9,29.5,-1.6,-0.08,0.08
Ander Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,2001.0,24,963.0,40.0,36.9,10.7,10,71.0,1.0,14,18.0,3,1.38,14.0,11.0,3.0,0.28,-0.43,2021,15.3,8.6,6.7,0.62,-0.24
Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,1994.0,15,1053.0,70.0,43.3,11.7,12,84.0,9.0,3,14.0,6,0.67,10.0,25.0,-15.0,-1.28,-0.63,2021,11.0,19.6,-8.6,-0.73,0.36
Gerard Barri,es ESP,DF,Elche,es La Liga,2001.0,0,,,,,0,,0.0,0,,8,,,,,,,2021,,,,,
Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,1998.0,29,2252.0,78.0,86.3,25.0,26,84.0,13.0,3,25.0,0,1.17,35.0,38.0,-3.0,-0.12,0.63,2021,32.8,41.1,-8.3,-0.33,-0.14
Kyle Bartley,eng ENG,DF,West Brom,eng Premier League,1991.0,22,1870.0,85.0,69.3,20.8,20,90.0,20.0,2,35.0,3,0.77,21.0,36.0,-15.0,-0.72,1.34,2021,18.0,36.6,-18.5,-0.89,0.12
Paolo Bartolomei,it ITA,MF,Spezia,it Serie A,1989.0,6,320.0,53.0,12.3,3.6,3,84.0,2.0,3,23.0,4,0.67,5.0,10.0,-5.0,-1.41,-0.97,2021,2.5,11.2,-8.7,-2.44,-2.1
Marc Bartra,es ESP,DF,Betis,es La Liga,1991.0,13,1154.0,89.0,44.2,12.8,13,89.0,12.0,0,,3,1.23,15.0,22.0,-7.0,-0.55,-0.79,2021,14.1,19.5,-5.4,-0.42,-0.85
Daniele Baselli,it ITA,MF,Torino,it Serie A,1992.0,7,159.0,23.0,6.3,1.8,1,48.0,0.0,6,19.0,6,1.14,3.0,0.0,3.0,1.7,2.23,2021,3.3,1.6,1.7,0.95,1.23
Chris Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,1988.0,26,2126.0,82.0,78.7,23.6,26,82.0,16.0,0,,0,0.42,12.0,44.0,-32.0,-1.35,-0.88,2021,19.1,37.0,-18.0,-0.76,0.05
Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,1996.0,28,2088.0,75.0,74.8,23.2,26,78.0,17.0,2,25.0,0,1.29,25.0,27.0,-2.0,-0.09,0.55,2021,24.4,32.3,-8.0,-0.34,0.05
Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,1999.0,0,,,,,0,,0.0,0,,17,,,,,,,2021,,,,,
Alessandro Bastoni,it ITA,DF,Inter,it Serie A,1999.0,25,2213.0,89.0,84.8,24.6,25,89.0,22.0,0,,2,2.56,54.0,20.0,34.0,1.38,-0.2,2021,47.2,23.2,24.0,0.97,-0.08
Simone Bastoni,it ITA,DF,Spezia,it Serie A,1996.0,18,1202.0,67.0,46.1,13.4,15,75.0,6.0,3,28.0,5,1.0,21.0,25.0,-4.0,-0.3,0.47,2021,17.9,20.9,-3.1,-0.23,0.67
Bastos,ao ANG,DF,Lazio,it Serie A,1991.0,2,63.0,32.0,2.5,0.7,0,,0.0,2,32.0,0,0.5,0.0,2.0,-2.0,-2.86,-3.19,2021,1.4,0.8,0.7,0.94,0.75
Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,1993.0,17,709.0,42.0,26.3,7.9,7,79.0,2.0,10,15.0,12,1.0,10.0,14.0,-4.0,-0.51,0.03,2021,8.8,10.9,-2.0,-0.26,0.61
Rodrigo Battaglia,ar ARG,MF,Alavés,es La Liga,1991.0,24,1849.0,77.0,70.8,20.5,22,83.0,15.0,2,11.0,2,0.88,20.0,36.0,-16.0,-0.78,0.05,2021,24.2,35.1,-10.9,-0.53,-0.55
Thomas Battistella,it ITA,MF,Udinese,it Serie A,2001.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Cristian Battocchio,it ITA,MFFW,Brest,fr Ligue 1,1992.0,15,355.0,24.0,12.7,3.9,2,77.0,0.0,13,16.0,2,1.47,4.0,11.0,-7.0,-1.77,-1.63,2021,4.7,8.7,-4.0,-1.02,-0.89
Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,1988.0,16,1070.0,67.0,44.0,11.9,12,83.0,8.0,4,18.0,1,1.75,25.0,12.0,13.0,1.09,1.09,2021,15.6,11.7,3.9,0.33,0.16
Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,1999.0,26,1988.0,76.0,81.8,22.1,24,80.0,11.0,2,30.0,0,1.12,36.0,41.0,-5.0,-0.23,-0.02,2021,35.2,37.3,-2.1,-0.1,-0.07
Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,1995.0,14,237.0,17.0,9.1,2.6,0,,0.0,14,17.0,15,1.29,3.0,4.0,-1.0,-0.38,-1.02,2021,3.1,2.0,1.2,0.44,-0.36
Cyrille Bayala,bf BFA,FWMF,Lens,fr Ligue 1,1996.0,0,,,,,0,,0.0,0,,3,,,,,,,2021,,,,,
Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,1988.0,26,2222.0,85.0,79.6,24.7,25,89.0,24.0,1,5.0,2,1.35,31.0,31.0,0.0,0.0,1.11,2021,28.0,36.2,-8.2,-0.33,0.13
Noah Joel Sarenren Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,1996.0,5,36.0,7.0,1.5,0.4,0,,0.0,5,7.0,5,1.2,2.0,3.0,-1.0,-2.5,-2.09,2021,1.0,1.1,-0.1,-0.22,0.49
Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,1994.0,25,1623.0,65.0,66.8,18.0,17,83.0,8.0,8,26.0,2,1.16,32.0,33.0,-1.0,-0.06,0.5,2021,30.7,27.8,2.8,0.16,0.72
Rodrigo Becão,br BRA,DF,Udinese,it Serie A,1996.0,26,2147.0,83.0,82.3,23.9,24,87.0,21.0,2,27.0,2,1.15,25.0,32.0,-7.0,-0.29,-0.29,2021,29.1,26.0,3.1,0.13,0.15
Sheraldo Becker,nl NED,FWMF,Union Berlin,de Bundesliga,1995.0,16,1072.0,67.0,44.1,11.9,15,71.0,2.0,1,9.0,1,1.56,23.0,13.0,10.0,0.84,0.97,2021,16.9,11.3,5.7,0.47,0.24
Timo Becker,de GER,DF,Schalke 04,de Bundesliga,1997.0,14,1125.0,80.0,46.3,12.5,12,90.0,12.0,2,23.0,1,0.43,9.0,31.0,-22.0,-1.76,0.45,2021,8.7,22.6,-13.9,-1.11,0.34
