Player,Nation,Born
Dimitry Bertaud,fr FRA,1998
Marcus Bettinelli,eng ENG,1992
Zacharie Boucher,fr FRA,1992
Yassine Bounou,ma MAR,1991
Fabian Bredlow,de GER,1995
Ludovic Butelle,fr FRA,1983
David Button,eng ENG,1989
Marc-Aurèle Caillard,fr FRA,1994
Leandro Chichizola,ar ARG,1990
Joel Coleman,eng ENG,1995
Alessio Cragno,it ITA,1994
Abdoulaye Diallo,sn SEN,1992
Javier Díaz,es ESP,1997
Stole Dimitrievski,mk MKD,1993
Marko Dmitrović,rs SRB,1992
Martin Dúbravka,sk SVK,1989
Ederson,br BRA,1993
Neil Etheridge,ph PHI,1990
Fabricio,es ESP,1987
Aitor Fernández,es ESP,1991
Mark Flekken,nl NED,1993
Pierluigi Frattali,it ITA,1985
Alberto García,es ESP,1985
Paulo Gazzaniga,ar ARG,1992
Fabian Giefer,de GER,1990
Alfred Gomis,sn SEN,1993
Vicente Guaita,es ESP,1987
Guido Guerrieri,it ITA,1996
Angus Gunn,eng ENG,1996
Régis Gurtner,fr FRA,1986
Ben Hamer,eng ENG,1987
Salvador Ichazo,uy URU,1992
Jandrei,br BRA,1993
Aleksandar Jovanović,rs SRB,1992
Stefanos Kapino,gr GRE,1994
Gregor Kobel,ch SUI,1997
Tomáš Koubek,cz CZE,1992
Thomas Kraft,de GER,1988
Pau López,es ESP,1994
Andriy Lunin,ua UKR,1999
Jordi Masip,es ESP,1989
Alex McCarthy,eng ENG,1989
Edouard Mendy,sn SEN,1992
Alex Meret,it ITA,1997
Vanja Milinković-Savić,rs SRB,1997
Florian Müller,de GER,1997
Juan Musso,ar ARG,1994
Yvon Mvogo,ch SUI,1994
Will Norris,eng ENG,1993
Alexander Nübel,de GER,1996
Oier Olazábal,es ESP,1989
Alexandre Olliero,fr FRA,1996
Robin Olsen,se SWE,1990
Ramazan Özcan,at AUT,1984
Rui Patrício,pt POR,1988
Jiří Pavlenka,cz CZE,1992
Gianluca Pegolo,it ITA,1981
Pavao Pervan,at AUT,1987
Carlo Pinsoglio,it ITA,1990
Luca Plogmann,de GER,2000
Giacomo Poluzzi,it ITA,1988
Gaëtan Poussin,fr FRA,1999
Silvio Proto,be BEL,1983
Ivan Provedel,it ITA,1994
Ionuț Radu,ro ROU,1997
Michael Rensing,de GER,1984
Francesco Rossi,it ITA,1991
John Ruddy,eng ENG,1986
Frederik Rønnow,dk DEN,1992
Samuel Şahin-Radlinger,at AUT,1992
Brice Samba,cg CGO,1994
Roberto Santamaría,es ESP,1985
Matz Sels,be BEL,1992
Adrian Šemper,hr CRO,1998
Luigi Sepe,it ITA,1991
Unai Simón,es ESP,1997
Antonio Sivera,es ESP,1996
Juan Soriano,es ESP,1997
Julián Speroni,ar ARG,1979
Pietro Terracciano,it ITA,1990
Mark Travers,ie IRL,1999
Philipp Tschauner,de GER,1985
Tomáš Vaclík,cz CZE,1989
Koke Vegas,es ESP,1995
Axel Werner,ar ARG,1996
Robin Zentner,de GER,1994
Luca Zidane,fr FRA,1998
Nícolas Andrade,br BRA,1988
Mariano Barbosa,ar ARG,1984
Vid Belec,si SVN,1990
Quentin Beunardeau,fr FRA,1994
Landry Bonnefoi,fr FRA,1983
Jean-Christophe Bouet,fr FRA,1983
Karl Darlow,eng ENG,1990
Rob Elliot,ie IRL,1986
Raúl Fernández,es ESP,1988
Rafał Gikiewicz,pl POL,1987
Bingourou Kamara,sn SEN,1996
Hervé Koffi,bf BFA,1996
Maksym Koval,ua UKR,1992
Pedro López,es ESP,1995
Raïs M'Bolhi,dz ALG,1986
Gabriele Marchegiani,it ITA,1996
Boaz Myhill,wal WAL,1982
Alexandre Oukidja,dz ALG,1988
Julian Pollersbeck,de GER,1994
Nick Pope,eng ENG,1992
Andrés Prieto,es ESP,1993
Toño Ramírez,es ESP,1986
Rubén,es ESP,1984
Mamadou Samassa,ml MLI,1990
Antonio Santurro,it ITA,1992
Marco Silvestri,it ITA,1991
Tobias Sippel,de GER,1988
Francis Uzoho,ng NGA,1998
Erwin Zelazny,fr FRA,1991
