Player,Nation,Born,Season,Squad,Comp,passes_completed,passes_attempted,pass_comp_pct,tot_dist_traveled_by_comp_passes,progressive_distance,short_passes_comp,short_pass_att,short_pass_comp_pct,med_passes_comp,med_pass_att,med_pass_comp_pct,long_passes_comp,long_pass_att,long_pass_comp_pct,assists,xA,A_minus_xA,assisted_shots,comp_passes_leading_to_final_third,comp_passes_into_18_yd_box,comp_crosses_into_18_yd_box,prog_passes
Thiago Alcántara,es ESP,1991.0,2018.0,Bayern Munich,de Bundesliga,1190.0,1309.0,90.9,23716.0,5730.0,497.0,532.0,93.4,479.0,514.0,93.2,200.0,241.0,83.0,2.0,2.4,-0.4,29.0,145.0,18.0,0.0,117.0
David Alcibiade,fr FRA,1991.0,2018.0,Nantes,fr Ligue 1,69.0,94.0,73.4,1326.0,645.0,28.0,30.0,93.3,27.0,34.0,79.4,12.0,28.0,42.9,0.0,0.2,-0.2,2.0,5.0,2.0,1.0,9.0
Toby Alderweireld,be BEL,1989.0,2018.0,Tottenham,eng Premier League,782.0,923.0,84.7,19397.0,6422.0,169.0,183.0,92.3,402.0,432.0,93.1,207.0,298.0,69.5,0.0,0.3,-0.3,3.0,112.0,8.0,2.0,69.0
Steve Aldo One,cm CMR,1995.0,2018.0,La Coruña,es La Liga,18.0,22.0,81.8,385.0,193.0,5.0,6.0,83.3,9.0,11.0,81.8,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Alegría,es ESP,1992.0,2018.0,Levante,es La Liga,110.0,154.0,71.4,1338.0,171.0,77.0,100.0,77.0,26.0,39.0,66.7,1.0,6.0,16.7,1.0,0.2,0.8,3.0,6.0,2.0,0.0,4.0
Iván Alejo,es ESP,1995.0,2018.0,Eibar,es La Liga,188.0,354.0,53.1,3253.0,1085.0,94.0,152.0,61.8,71.0,119.0,59.7,19.0,63.0,30.2,3.0,1.5,1.5,19.0,13.0,26.0,16.0,21.0
Alexander,ar ARG,1988.0,2018.0,Leganés,es La Liga,220.0,326.0,67.5,3153.0,992.0,135.0,171.0,78.9,65.0,95.0,68.4,11.0,39.0,28.2,2.0,2.3,-0.3,13.0,11.0,11.0,7.0,19.0
Trent Alexander-Arnold,eng ENG,1998.0,2018.0,Liverpool,eng Premier League,917.0,1257.0,73.0,18108.0,6493.0,359.0,404.0,88.9,408.0,514.0,79.4,138.0,284.0,48.6,1.0,2.1,-1.1,25.0,66.0,29.0,8.0,103.0
Alexis,es ESP,1985.0,2018.0,Alavés,es La Liga,523.0,731.0,71.5,11153.0,5251.0,179.0,204.0,87.7,239.0,336.0,71.1,102.0,182.0,56.0,0.0,0.1,-0.1,3.0,28.0,4.0,0.0,33.0
Allan,br BRA,1991.0,2018.0,Napoli,it Serie A,1558.0,1821.0,85.6,24416.0,6223.0,893.0,990.0,90.2,522.0,602.0,86.7,123.0,178.0,69.1,5.0,4.3,0.7,32.0,182.0,51.0,2.0,170.0
