Player,Nation,Born,Season,Squad,Comp,yellow_cards,red_cards,2nd_yellow_cards,fouls_committed,fouls_drawn,offsides,pks_won,pks_conceded,own_goals,loose_balls_recovered,aerials_won,aerials_lost,aerials_won_pct
Giulian Biancone,fr FRA,2000.0,2021.0,Monaco,fr Ligue 1,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,5.0,3.0,62.5
Ermin Bičakčić,ba BIH,1990.0,2021.0,Hoffenheim,de Bundesliga,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,55.6
Pedro Bigas,es ESP,1990.0,2021.0,Eibar,es La Liga,1.0,0.0,0.0,21.0,6.0,0.0,0.0,2.0,0.0,218.0,60.0,25.0,70.6
El Bilal Touré,ml MLI,2001.0,2021.0,Reims,fr Ligue 1,3.0,0.0,0.0,34.0,11.0,6.0,0.0,0.0,0.0,40.0,58.0,80.0,42.0
Cristiano Biraghi,it ITA,1992.0,2021.0,Fiorentina,it Serie A,6.0,0.0,0.0,21.0,20.0,4.0,0.0,0.0,0.0,175.0,8.0,16.0,33.3
Davide Biraschi,it ITA,1994.0,2021.0,Genoa,it Serie A,1.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,51.0,7.0,6.0,53.8
Yves Bissouma,ml MLI,1996.0,2021.0,Brighton,eng Premier League,6.0,1.0,0.0,43.0,22.0,0.0,0.0,0.0,0.0,293.0,31.0,20.0,60.8
Leonardo Bittencourt,de GER,1993.0,2021.0,Werder Bremen,de Bundesliga,3.0,0.0,0.0,21.0,28.0,7.0,1.0,0.0,0.0,97.0,11.0,27.0,28.9
Alejandro Blanco,es ESP,1998.0,2021.0,Valencia,es La Liga,1.0,0.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,31.0,2.0,7.0,22.2
Ludovic Blas,fr FRA,1997.0,2021.0,Nantes,fr Ligue 1,4.0,0.0,0.0,35.0,33.0,4.0,1.0,0.0,0.0,171.0,9.0,34.0,20.9
Jérôme Boateng,de GER,1988.0,2021.0,Bayern Munich,de Bundesliga,5.0,0.0,0.0,17.0,7.0,1.0,0.0,0.0,0.0,198.0,35.0,14.0,71.4
Antonin Bobichon,fr FRA,1995.0,2021.0,Angers,fr Ligue 1,0.0,0.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,41.0,7.0,6.0,53.8
Yann Bodiger,fr FRA,1995.0,2021.0,Cádiz,es La Liga,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,29.0,10.0,15.0,40.0
Jean-Paul Boëtius,nl NED,1994.0,2021.0,Mainz 05,de Bundesliga,3.0,0.0,0.0,21.0,35.0,1.0,0.0,0.0,0.0,156.0,12.0,27.0,30.8
Sacha Boey,fr FRA,2000.0,2021.0,Dijon,fr Ligue 1,1.0,0.0,0.0,32.0,13.0,2.0,0.0,1.0,0.0,162.0,25.0,23.0,52.1
Sacha Boey,fr FRA,2000.0,2021.0,Rennes,fr Ligue 1,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,50.0
Jeremie Boga,ci CIV,1997.0,2021.0,Sassuolo,it Serie A,0.0,0.0,0.0,8.0,22.0,6.0,0.0,0.0,0.0,58.0,4.0,9.0,30.8
Melayro Bogarde,nl NED,2002.0,2021.0,Hoffenheim,de Bundesliga,1.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,42.0,5.0,3.0,62.5
Jayden Bogle,eng ENG,2000.0,2021.0,Sheffield Utd,eng Premier League,2.0,0.0,0.0,13.0,7.0,1.0,0.0,0.0,0.0,69.0,13.0,24.0,35.1
