Player,Nation,Born,Season,Squad,Comp,Goals,Shots,SoT,SoT_Pct,Sh_per_90,SoT_per_90,Goals_per_Shot,Goals_per_SoT,avg_dist_of_shots_from_goal,shots_from_fk,pk_made,pk_att,xG,npxG,npxG_per_Shot,G_minus_xG,npG_minus_xG
Ailton,br BRA,1995.0,2018.0,Stuttgart,de Bundesliga,0.0,1.0,0.0,0.0,0.83,0.0,0.0,,11.7,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Youssef Aït Bennasser,ma MAR,1996.0,2018.0,Caen,fr Ligue 1,0.0,24.0,3.0,12.5,1.05,0.13,0.0,0.0,29.9,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7
Arlind Ajeti,al ALB,1993.0,2018.0,Crotone,it Serie A,0.0,8.0,0.0,0.0,0.57,0.0,0.0,,19.8,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7
Manuel Akanji,ch SUI,1995.0,2018.0,Dortmund,de Bundesliga,0.0,5.0,2.0,40.0,0.5,0.2,0.0,0.0,20.7,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Nathan Aké,nl NED,1995.0,2018.0,Bournemouth,eng Premier League,2.0,21.0,8.0,38.1,0.56,0.21,0.1,0.25,9.7,0.0,0.0,0.0,2.4,2.4,0.11,-0.4,-0.4
Ager Aketxe,es ESP,1993.0,2018.0,Athletic Club,es La Liga,0.0,2.0,0.0,0.0,4.39,0.0,0.0,,24.2,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Chadrac Akolo,cd COD,1995.0,2018.0,Stuttgart,de Bundesliga,5.0,32.0,15.0,46.9,2.61,1.23,0.16,0.33,16.6,0.0,0.0,1.0,4.7,4.0,0.13,0.3,1.0
Kevin Akpoguma,ng NGA,1995.0,2018.0,Hoffenheim,de Bundesliga,0.0,5.0,2.0,40.0,0.27,0.11,0.0,0.0,20.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
David Alaba,at AUT,1992.0,2018.0,Bayern Munich,de Bundesliga,2.0,24.0,7.0,29.2,1.39,0.41,0.08,0.29,25.6,8.0,0.0,0.0,1.0,1.0,0.04,1.0,1.0
Lucas Alario,ar ARG,1992.0,2018.0,Leverkusen,de Bundesliga,9.0,58.0,21.0,36.2,3.37,1.22,0.14,0.38,12.1,1.0,1.0,2.0,10.9,9.4,0.16,-1.9,-1.4
David Alba,es ESP,1999.0,2018.0,Getafe,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Jordi Alba,es ESP,1989.0,2018.0,Barcelona,es La Liga,2.0,15.0,5.0,33.3,0.49,0.16,0.13,0.4,14.5,0.0,0.0,0.0,1.9,1.9,0.13,0.1,0.1
Raúl Albentosa,es ESP,1988.0,2018.0,La Coruña,es La Liga,1.0,14.0,3.0,21.4,0.72,0.15,0.07,0.33,7.9,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4
Luis Alberto,es ESP,1992.0,2018.0,Lazio,it Serie A,11.0,81.0,28.0,34.6,2.73,0.94,0.12,0.36,21.0,8.0,1.0,2.0,7.9,6.4,0.08,3.1,3.6
Raúl Albiol,es ESP,1985.0,2018.0,Napoli,it Serie A,3.0,16.0,7.0,43.8,0.53,0.23,0.19,0.43,10.8,0.0,0.0,0.0,1.8,1.8,0.11,1.2,1.2
Miiko Albornoz,cl CHI,1990.0,2018.0,Hannover 96,de Bundesliga,0.0,4.0,1.0,25.0,0.51,0.13,0.0,0.0,14.2,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Marc Albrighton,eng ENG,1989.0,2018.0,Leicester City,eng Premier League,2.0,21.0,6.0,28.6,0.74,0.21,0.1,0.33,19.7,1.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6
Paco Alcácer,es ESP,1993.0,2018.0,Barcelona,es La Liga,4.0,16.0,7.0,43.8,2.06,0.9,0.25,0.57,12.2,0.0,0.0,0.0,3.0,3.0,0.19,1.0,1.0
Pedro Alcalá,es ESP,1989.0,2018.0,Girona,es La Liga,1.0,6.0,2.0,33.3,0.78,0.26,0.17,0.5,19.1,0.0,0.0,0.0,0.8,0.8,0.13,0.2,0.2
Thiago Alcántara,es ESP,1991.0,2018.0,Bayern Munich,de Bundesliga,2.0,23.0,7.0,30.4,1.66,0.51,0.09,0.29,19.0,1.0,0.0,0.0,2.3,2.3,0.1,-0.3,-0.3
David Alcibiade,fr FRA,1991.0,2018.0,Nantes,fr Ligue 1,0.0,2.0,0.0,0.0,0.87,0.0,0.0,,22.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Toby Alderweireld,be BEL,1989.0,2018.0,Tottenham,eng Premier League,0.0,10.0,1.0,10.0,0.76,0.08,0.0,0.0,20.1,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Steve Aldo One,cm CMR,1995.0,2018.0,La Coruña,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Álex Alegría,es ESP,1992.0,2018.0,Levante,es La Liga,0.0,14.0,2.0,14.3,2.02,0.29,0.0,0.0,18.7,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
Iván Alejo,es ESP,1995.0,2018.0,Eibar,es La Liga,1.0,13.0,3.0,23.1,1.04,0.24,0.08,0.33,20.9,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Alexander,ar ARG,1988.0,2018.0,Leganés,es La Liga,2.0,19.0,5.0,26.3,1.62,0.43,0.05,0.2,16.2,1.0,1.0,1.0,2.7,2.0,0.1,-0.7,-1.0
Trent Alexander-Arnold,eng ENG,1998.0,2018.0,Liverpool,eng Premier League,1.0,12.0,6.0,50.0,0.69,0.34,0.08,0.17,21.5,1.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0
Alexis,es ESP,1985.0,2018.0,Alavés,es La Liga,1.0,14.0,3.0,21.4,0.58,0.12,0.07,0.33,13.2,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1
Allan,br BRA,1991.0,2018.0,Napoli,it Serie A,4.0,37.0,12.0,32.4,1.17,0.38,0.11,0.33,21.0,0.0,0.0,0.0,4.3,4.3,0.12,-0.3,-0.3
Joe Allen,wal WAL,1990.0,2018.0,Stoke City,eng Premier League,2.0,23.0,4.0,17.4,0.66,0.11,0.09,0.5,17.4,0.0,0.0,0.0,2.4,2.4,0.1,-0.4,-0.4
Dele Alli,eng ENG,1996.0,2018.0,Tottenham,eng Premier League,9.0,75.0,18.0,24.0,2.28,0.55,0.12,0.5,14.8,0.0,0.0,0.0,9.3,9.3,0.13,-0.3,-0.3
José Alonso Lara,es ESP,2000.0,2018.0,Sevilla,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Júnior Alonso,py PAR,1993.0,2018.0,Lille,fr Ligue 1,2.0,16.0,4.0,25.0,0.52,0.13,0.13,0.5,14.6,0.0,0.0,0.0,0.9,0.9,0.06,1.1,1.1
Marcos Alonso,es ESP,1990.0,2018.0,Chelsea,eng Premier League,7.0,65.0,23.0,35.4,2.05,0.73,0.11,0.3,16.8,9.0,0.0,0.0,4.1,4.1,0.06,2.9,2.9
Ricky Álvarez,ar ARG,1988.0,2018.0,Sampdoria,it Serie A,1.0,9.0,3.0,33.3,3.03,1.01,0.11,0.33,24.1,1.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6
Yeray Álvarez,es ESP,1995.0,2018.0,Athletic Club,es La Liga,0.0,1.0,0.0,0.0,0.13,0.0,0.0,,4.5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Dani Alves,br BRA,1983.0,2018.0,Paris S-G,fr Ligue 1,1.0,30.0,6.0,20.0,1.31,0.26,0.03,0.17,25.5,9.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4
Ibrahim Amadou,fr FRA,1993.0,2018.0,Lille,fr Ligue 1,0.0,19.0,3.0,15.8,0.71,0.11,0.0,0.0,18.6,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1
Eloi Amagat,es ESP,1985.0,2018.0,Girona,es La Liga,0.0,2.0,0.0,0.0,10.59,0.0,0.0,,9.2,0.0,0.0,0.0,0.3,0.3,0.13,-0.3,-0.3
Morgan Amalfitano,fr FRA,1985.0,2018.0,Rennes,fr Ligue 1,0.0,11.0,2.0,18.2,1.33,0.24,0.0,0.0,13.3,0.0,0.0,0.0,1.1,1.1,0.1,-1.1,-1.1
Romain Amalfitano,fr FRA,1989.0,2018.0,Dijon,fr Ligue 1,0.0,13.0,1.0,7.7,0.43,0.03,0.0,0.0,25.8,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4
Daniel Amartey,gh GHA,1994.0,2018.0,Leicester City,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Jordi Amat,es ESP,1992.0,2018.0,Betis,es La Liga,0.0,9.0,1.0,11.1,0.4,0.04,0.0,0.0,13.8,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7
Amath,sn SEN,1996.0,2018.0,Getafe,es La Liga,3.0,42.0,13.0,31.0,1.33,0.41,0.07,0.23,16.5,0.0,0.0,0.0,5.2,5.2,0.12,-2.2,-2.2
Jordan Amavi,fr FRA,1994.0,2018.0,Marseille,fr Ligue 1,0.0,20.0,5.0,25.0,0.82,0.21,0.0,0.0,26.0,0.0,0.0,0.0,0.5,0.5,0.02,-0.5,-0.5
Stephan Ambrosius,de GER,1998.0,2018.0,Hamburger SV,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Kelvin Amian,fr FRA,1998.0,2018.0,Toulouse,fr Ligue 1,1.0,16.0,6.0,37.5,0.46,0.17,0.06,0.17,19.2,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Nadiem Amiri,de GER,1996.0,2018.0,Hoffenheim,de Bundesliga,2.0,45.0,16.0,35.6,2.32,0.83,0.04,0.13,20.1,1.0,0.0,0.0,2.7,2.7,0.06,-0.7,-0.7
Ethan Ampadu,wal WAL,2000.0,2018.0,Chelsea,eng Premier League,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Watford,eng Premier League,0.0,1.0,0.0,0.0,0.45,0.0,0.0,,12.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Leganés,es La Liga,2.0,40.0,18.0,45.0,2.22,1.0,0.05,0.11,22.1,0.0,0.0,0.0,3.2,3.2,0.08,-1.2,-1.2
Joachim Andersen,dk DEN,1996.0,2018.0,Sampdoria,it Serie A,0.0,3.0,0.0,0.0,0.49,0.0,0.0,,14.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Felipe Anderson,br BRA,1993.0,2018.0,Lazio,it Serie A,4.0,25.0,11.0,44.0,1.94,0.85,0.16,0.36,18.8,1.0,0.0,0.0,2.1,2.1,0.08,1.9,1.9
Florin Andone,ro ROU,1993.0,2018.0,La Coruña,es La Liga,7.0,52.0,19.0,36.5,2.86,1.05,0.13,0.37,11.5,0.0,0.0,0.0,9.2,9.2,0.18,-2.2,-2.2
Benjamin André,fr FRA,1990.0,2018.0,Rennes,fr Ligue 1,3.0,32.0,9.0,28.1,0.96,0.27,0.09,0.33,13.0,0.0,0.0,0.0,3.7,3.7,0.12,-0.7,-0.7
Marco Andreolli,it ITA,1986.0,2018.0,Cagliari,it Serie A,0.0,4.0,1.0,25.0,0.2,0.05,0.0,0.0,10.1,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Yoann Andreu,fr FRA,1989.0,2018.0,Angers,fr Ligue 1,1.0,6.0,2.0,33.3,0.26,0.09,0.17,0.5,22.1,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8
Miguel Ángel Guerrero,es ESP,1990.0,2018.0,Leganés,es La Liga,4.0,33.0,14.0,42.4,2.06,0.87,0.12,0.29,12.6,1.0,0.0,1.0,5.0,4.2,0.13,-1.0,-0.2
Miguel Ángel Rubio,es ESP,1998.0,2018.0,Getafe,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
José Ángel,es ESP,1989.0,2018.0,Eibar,es La Liga,0.0,17.0,0.0,0.0,0.63,0.0,0.0,,26.7,5.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5
Gabriele Angella,it ITA,1989.0,2018.0,Udinese,it Serie A,0.0,4.0,1.0,25.0,0.4,0.1,0.0,0.0,8.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Cristian Ansaldi,ar ARG,1986.0,2018.0,Torino,it Serie A,1.0,18.0,6.0,33.3,0.87,0.29,0.06,0.17,19.7,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3
Luca Antei,it ITA,1992.0,2018.0,Benevento,it Serie A,0.0,1.0,1.0,100.0,0.15,0.15,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Mirco Antenucci,it ITA,1984.0,2018.0,SPAL,it Serie A,11.0,61.0,21.0,34.4,2.14,0.74,0.1,0.29,18.0,0.0,5.0,5.0,8.7,4.9,0.08,2.3,1.1
Waldemar Anton,de GER,1996.0,2018.0,Hannover 96,de Bundesliga,1.0,23.0,5.0,21.7,0.91,0.2,0.04,0.2,17.2,0.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8
Luca Antonelli,it ITA,1987.0,2018.0,Milan,it Serie A,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Michail Antonio,eng ENG,1990.0,2018.0,West Ham,eng Premier League,3.0,37.0,15.0,40.5,2.46,1.0,0.08,0.2,20.8,0.0,0.0,0.0,2.4,2.4,0.06,0.6,0.6
Mirko Antonucci,it ITA,1999.0,2018.0,Roma,it Serie A,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,2.0,0.0,0.0,0.0,0.5,0.5,0.5,-0.5,-0.5
Vitorino Antunes,pt POR,1987.0,2018.0,Getafe,es La Liga,0.0,30.0,3.0,10.0,0.96,0.1,0.0,0.0,30.5,10.0,0.0,1.0,1.7,0.9,0.03,-1.7,-0.9
Dennis Aogo,de GER,1987.0,2018.0,Stuttgart,de Bundesliga,0.0,16.0,1.0,6.3,0.74,0.05,0.0,0.0,19.9,2.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9
Houssem Aouar,fr FRA,1998.0,2018.0,Lyon,fr Ligue 1,6.0,52.0,18.0,34.6,1.93,0.67,0.12,0.33,16.5,0.0,0.0,0.0,5.6,5.6,0.11,0.4,0.4
Alberto Aquilani,it ITA,1984.0,2018.0,Las Palmas,es La Liga,0.0,13.0,4.0,30.8,0.9,0.28,0.0,0.0,20.9,1.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7
Mauro Arambarri,uy URU,1995.0,2018.0,Getafe,es La Liga,1.0,21.0,4.0,19.0,0.89,0.17,0.05,0.25,21.8,1.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5
Guilherme Arana,br BRA,1997.0,2018.0,Sevilla,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Charles Aránguiz,cl CHI,1989.0,2018.0,Leverkusen,de Bundesliga,1.0,34.0,5.0,14.7,1.33,0.2,0.03,0.2,22.4,7.0,0.0,0.0,2.9,2.9,0.09,-1.9,-1.9
Luiz Araújo,br BRA,1996.0,2018.0,Lille,fr Ligue 1,5.0,51.0,16.0,31.4,2.28,0.71,0.1,0.31,20.8,1.0,0.0,0.0,3.8,3.8,0.07,1.2,1.2
Sergio Araujo,ar ARG,1992.0,2018.0,Las Palmas,es La Liga,0.0,2.0,0.0,0.0,4.5,0.0,0.0,,19.8,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Anaitz Arbilla,es ESP,1987.0,2018.0,Eibar,es La Liga,2.0,17.0,4.0,23.5,0.63,0.15,0.12,0.5,22.5,7.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2
Scott Arfield,ca CAN,1988.0,2018.0,Burnley,eng Premier League,2.0,16.0,5.0,31.3,1.08,0.34,0.13,0.4,18.6,0.0,0.0,0.0,1.2,1.2,0.07,0.8,0.8
Samuel Armenteros,se SWE,1990.0,2018.0,Benevento,it Serie A,1.0,5.0,2.0,40.0,1.05,0.42,0.2,0.5,9.9,0.0,0.0,0.0,1.1,1.1,0.22,-0.1,-0.1
Yoël Armougom,fr FRA,1998.0,2018.0,Caen,fr Ligue 1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
José Arnaiz,es ESP,1995.0,2018.0,Barcelona,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Marko Arnautović,at AUT,1989.0,2018.0,West Ham,eng Premier League,11.0,70.0,33.0,47.1,2.72,1.28,0.16,0.33,13.7,0.0,0.0,0.0,10.0,10.0,0.14,1.0,1.0
Maximilian Arnold,de GER,1994.0,2018.0,Wolfsburg,de Bundesliga,2.0,33.0,11.0,33.3,1.21,0.4,0.06,0.18,27.1,10.0,0.0,1.0,2.2,1.4,0.04,-0.2,0.6
Jann-Fiete Arp,de GER,2000.0,2018.0,Hamburger SV,de Bundesliga,2.0,18.0,7.0,38.9,1.91,0.74,0.11,0.29,13.7,0.0,0.0,0.0,2.3,2.3,0.13,-0.3,-0.3
Alejandro Arribas,es ESP,1989.0,2018.0,La Coruña,es La Liga,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,10.5,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2
Sergio Arribas,es ESP,1995.0,2018.0,Leganés,es La Liga,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,
Harry Arter,ie IRL,1989.0,2018.0,Bournemouth,eng Premier League,1.0,11.0,1.0,9.1,1.03,0.09,0.09,1.0,25.5,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Aythami Artiles,es ESP,1986.0,2018.0,Las Palmas,es La Liga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Kwadwo Asamoah,gh GHA,1988.0,2018.0,Juventus,it Serie A,0.0,7.0,1.0,14.3,0.4,0.06,0.0,0.0,23.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Takuma Asano,jp JPN,1994.0,2018.0,Stuttgart,de Bundesliga,1.0,17.0,4.0,23.5,2.12,0.5,0.06,0.25,14.1,0.0,0.0,0.0,1.7,1.7,0.1,-0.7,-0.7
Santiago Ascacíbar,ar ARG,1997.0,2018.0,Stuttgart,de Bundesliga,0.0,11.0,2.0,18.2,0.42,0.08,0.0,0.0,24.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
Marco Asensio,es ESP,1996.0,2018.0,Real Madrid,es La Liga,6.0,56.0,22.0,39.3,2.73,1.07,0.11,0.27,17.9,3.0,0.0,0.0,4.8,4.8,0.09,1.2,1.2
Iago Aspas,es ESP,1987.0,2018.0,Celta Vigo,es La Liga,22.0,92.0,40.0,43.5,2.82,1.23,0.22,0.5,15.1,6.0,2.0,3.0,16.4,14.2,0.15,5.6,5.8
Benoît Assou-Ekotto,cm CMR,1984.0,2018.0,Metz,fr Ligue 1,0.0,2.0,0.0,0.0,0.17,0.0,0.0,,31.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Simon Asta,de GER,2001.0,2018.0,Augsburg,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Davide Astori,it ITA,1987.0,2018.0,Fiorentina,it Serie A,1.0,11.0,2.0,18.2,0.44,0.08,0.09,0.5,8.4,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2
Christian Atsu,gh GHA,1992.0,2018.0,Newcastle Utd,eng Premier League,2.0,35.0,13.0,37.1,1.77,0.66,0.06,0.15,17.0,0.0,0.0,0.0,3.3,3.3,0.09,-1.3,-1.3
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Arsenal,eng Premier League,10.0,28.0,17.0,60.7,2.38,1.45,0.32,0.53,13.1,1.0,1.0,2.0,8.3,6.8,0.25,1.7,2.2
Pierre-Emerick Aubameyang,ga GAB,1989.0,2018.0,Dortmund,de Bundesliga,13.0,54.0,23.0,42.6,3.43,1.46,0.19,0.43,11.7,0.0,3.0,4.0,15.1,12.1,0.23,-2.1,-2.1
Jean-Kévin Augustin,fr FRA,1997.0,2018.0,RB Leipzig,de Bundesliga,9.0,35.0,16.0,45.7,2.49,1.14,0.23,0.5,14.5,0.0,1.0,2.0,7.1,5.6,0.16,1.9,2.4
Ludwig Augustinsson,se SWE,1994.0,2018.0,Werder Bremen,de Bundesliga,1.0,24.0,6.0,25.0,0.85,0.21,0.04,0.17,17.6,1.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4
Yann Aurel Bisseck,de GER,2000.0,2018.0,Köln,de Bundesliga,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Serge Aurier,ci CIV,1992.0,2018.0,Tottenham,eng Premier League,2.0,17.0,6.0,35.3,1.07,0.38,0.12,0.33,21.7,0.0,0.0,0.0,0.6,0.6,0.04,1.4,1.4
Charlie Austin,eng ENG,1989.0,2018.0,Southampton,eng Premier League,7.0,48.0,24.0,50.0,4.17,2.08,0.13,0.25,14.8,0.0,1.0,1.0,7.9,7.2,0.15,-0.9,-1.2
