,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
853,Júnior Moraes\Junior-Moraes,ua UKR,FWMF,ua Dynamo Kyiv,30,1987,10,741,74,82.3,8.2,7,,5,3,,0,1.73,17,9,+8,+0.97,+3.24,Matches
854,Júnior Morais\Junior-Morais,br BRA,DF,ro FCSB,31,1986,7,630,90,87.5,7.0,7,,7,0,,1,1.43,9,11,-2,-0.29,-1.29,Matches
855,André Moreira\Andre-Moreira,pt POR,GK,pt Braga,21,1995,0,,,,,0,,0,0,,6,,,,,,,Matches
856,Jérémy Morel\Jeremy-Morel,mg MAD,DF,fr Lyon,33,1984,6,496,83,55.1,5.5,6,,5,0,,2,2.33,9,3,+6,+1.09,+0.20,Matches
857,Moreno\Moreno,pt POR,MF,pt Vitória,35,1981,2,45,23,8.3,0.5,0,,0,2,,2,1.50,1,1,0,0.00,+0.73,Matches
858,Juan Moreno Fernández\Juan-Moreno-Fernandez,es ESP,MF,es Atlético Madrid,20,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
859,Héctor Moreno\Hector-Moreno,mx MEX,DF,es Real Sociedad,29,1988,1,76,76,10.6,0.8,1,,0,0,,0,1.00,1,1,0,0.00,-1.26,Matches
860,Manu Morlanes\Manu-Morlanes,es ESP,MF,es Villarreal,18,1999,1,76,76,10.6,0.8,1,,0,0,,0,0.00,0,1,-1,-1.18,-1.46,Matches
861,Mykola Morozyuk\Mykola-Morozyuk,ua UKR,MFDF,ua Dynamo Kyiv,29,1988,10,707,71,78.6,7.9,8,,7,2,,0,1.67,12,10,+2,+0.25,-0.68,Matches
862,Ubong Moses Ekpai\Ubong-Moses-Ekpai,ng NGA,MF,cz Fastav Zlín,21,1995,6,394,66,73.0,4.4,5,,2,1,,0,0.33,1,8,-7,-1.60,-0.37,Matches
863,Mossoró\Mossoro,br BRA,MF,tr Başakşehir,34,1983,5,283,57,52.4,3.1,3,,1,2,,0,1.60,4,2,+2,+0.64,+1.69,Matches
864,Cosmin Moți\Cosmin-Moti,ro ROU,DF,bg Ludogorets,32,1984,8,720,90,100.0,8.0,8,,8,0,,0,1.33,7,9,-2,-0.25,,Matches
865,Mason Mount\Mason-Mount,eng ENG,MF,nl Vitesse,18,1999,6,366,61,67.8,4.1,4,,4,2,,0,0.83,3,4,-1,-0.25,+1.82,Matches
866,Stefan Mugoša\Stefan-Mugosa,me MNE,FW,md Sheriff Tiraspol,25,1992,4,242,61,44.8,2.7,3,,0,1,,2,0.75,1,1,0,0.00,0.00,Matches
867,Ronald Mukiibi\Ronald-Mukiibi,ug UGA,DF,se Östersund,25,1991,8,666,83,92.5,7.4,8,,4,0,,0,1.93,9,8,+1,+0.14,-1.53,Matches
868,Iker Muniain\Iker-Muniain,es ESP,MF,es Athletic Club,24,1992,2,180,90,20.0,2.0,2,,1,0,,0,1.83,0,1,-1,-0.50,-0.75,Matches
869,Alessandro Murgia\Alessandro-Murgia,it ITA,MF,it Lazio,20,1996,9,696,77,64.4,7.7,8,,6,1,,3,1.89,14,10,+4,+0.52,-0.65,Matches
870,Robert Murić\Robert-Muric,hr CRO,FW,pt Braga,21,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
871,Roman Murtazayev\Roman-Murtazayev,kz KAZ,MFFW,kz FC Astana,23,1993,7,193,28,26.8,2.1,2,,0,5,,1,1.57,5,1,+4,+1.87,+2.38,Matches
872,Ahmed Musa\Ahmed-Musa,ng NGA,FWMF,ru CSKA Moscow,24,1992,6,513,86,95.0,5.7,6,,3,0,,0,1.33,7,9,-2,-0.35,-0.35,Matches
873,Mateo Musacchio\Mateo-Musacchio,ar ARG,DF,it Milan,26,1990,5,376,75,41.8,4.2,4,,4,1,,3,2.43,8,3,+5,+1.20,+0.85,Matches
874,Visar Musliu\Visar-Musliu,mk MKD,DF,mk FK Vardar,22,1994,4,232,58,43.0,2.6,2,,2,2,,1,0.80,2,8,-6,-2.33,+0.89,Matches
875,Charly Musonda Jr.\Charly-Musonda-Jr,be BEL,MF,sco Celtic,20,1996,2,36,18,20.0,0.4,0,,0,2,,0,1.50,1,0,+1,+2.50,+4.37,Matches
876,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,eng Arsenal,25,1992,8,720,90,57.1,8.0,8,,8,0,,2,2.13,19,8,+11,+1.37,+0.21,Matches
877,Gjergji Muzaka\Gjergji-Muzaka,al ALB,MF,al Skënderbeu Korçë,32,1984,6,527,88,97.6,5.9,6,,4,0,,0,1.31,6,10,-4,-0.68,-0.68,Matches
878,Serikzhan Muzhikov\Serikzhan-Muzhikov,kz KAZ,MFFW,kz FC Astana,28,1989,6,411,69,57.1,4.6,5,,0,1,,1,1.67,8,6,+2,+0.44,+0.73,Matches
879,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,de RB Leipzig,23,1994,0,,,,,0,,0,0,,6,,,,,,,Matches
880,Enoch Mwepu\Enoch-Mwepu,zm ZAM,MF,at RB Salzburg,19,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
881,Taras Mykhalyk\Taras-Mykhalyk,ua UKR,DF,ru Loko Moscow,33,1983,2,170,85,18.9,1.9,2,,1,0,,3,2.00,2,1,+1,+0.53,+0.65,Matches
882,Vitaliy Mykolenko\Vitaliy-Mykolenko,ua UKR,DF,ua Dynamo Kyiv,18,1999,0,,,,,0,,0,0,,7,,,,,,,Matches
883,Clinton N'Jie\Clinton-NJie,cm CMR,MFFW,fr Marseille,23,1993,11,447,41,32.4,5.0,4,,1,7,,3,1.23,6,3,+3,+0.60,+0.51,Matches
884,Kirill Nababkin\Kirill-Nababkin,ru RUS,MFDF,ru CSKA Moscow,30,1986,4,334,84,61.9,3.7,3,,3,1,,1,1.75,6,5,+1,+0.27,+1.58,Matches
885,Ben Nabouhane\Ben-Nabouhane,km COM,MF,rs Red Star,28,1989,2,180,90,25.0,2.0,2,,2,0,,0,0.50,0,1,-1,-0.50,-0.67,Matches
886,Nani\Nani,pt POR,FW,it Lazio,30,1986,6,246,41,22.8,2.7,4,,0,2,,4,1.33,2,3,-1,-0.37,-1.44,Matches
887,Stefano Napoleoni\Stefano-Napoleoni,it ITA,MF,tr Başakşehir,31,1986,5,190,38,35.2,2.1,2,,0,3,,1,1.60,3,3,0,0.00,+0.26,Matches
888,Nikolas Nartey\Nikolas-Nartey,dk DEN,MF,de Köln,17,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
889,Jefferson Nascimento\Jefferson-Nascimento,br BRA,DF,pt Braga,29,1988,5,450,90,62.5,5.0,5,,5,0,,0,1.89,6,6,0,0.00,+0.33,Matches
890,Natanael\Natanael,br BRA,DFMF,bg Ludogorets,26,1990,7,625,89,86.8,6.9,7,,6,0,,0,1.44,7,6,+1,+0.14,+2.99,Matches
891,Bibras Natkho\Bibras-Natkho,il ISR,MF,ru CSKA Moscow,29,1988,6,452,75,83.7,5.0,5,,4,1,,0,1.33,5,9,-4,-0.80,-2.84,Matches
892,Raúl Navas\Raul-Navas,es ESP,DF,es Real Sociedad,29,1988,3,251,84,34.9,2.8,3,,2,0,,2,2.00,5,1,+4,+1.43,+0.47,Matches
893,Gal Navon\Gal-Navon,il ISR,GK,il Be'er Sheva,20,1996,0,,,,,0,,0,0,,2,,,,,,,Matches
894,Loum Ndiaye\Loum-Ndiaye,sn SEN,MF,pt Braga,20,1996,0,,,,,0,,0,0,,2,,,,,,,Matches
895,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,fr Lyon,20,1996,10,707,71,78.6,7.9,8,,6,2,,0,2.00,13,7,+6,+0.76,-1.10,Matches
896,Tomáš Necid\Tomas-Necid,cz CZE,FW,cz Slavia Prague,27,1989,6,484,81,89.6,5.4,5,,3,1,,0,1.33,6,6,0,0.00,0.00,Matches
897,Dragoș Nedelcu\Dragos-Nedelcu,ro ROU,MF,ro FCSB,20,1997,6,450,75,62.5,5.0,5,,4,1,,1,1.50,7,8,-1,-0.20,-0.20,Matches
898,Reiss Nelson\Reiss-Nelson,eng ENG,MF,eng Arsenal,17,1999,8,314,39,24.9,3.5,3,,2,5,,1,2.00,6,2,+4,+1.15,-0.19,Matches
899,Martin Nešpor\Martin-Nespor,cz CZE,FW,al Skënderbeu Korçë,27,1990,1,22,22,4.1,0.2,0,,0,1,,2,0.00,0,0,0,0.00,+0.69,Matches
900,Michael Ngadeu-Ngadjui\Michael-Ngadeu-Ngadjui,cm CMR,MFDF,cz Slavia Prague,26,1990,5,323,65,59.8,3.6,3,,3,2,,0,1.40,3,3,0,0.00,0.00,Matches
901,Moumi Ngamaleu\Moumi-Ngamaleu,cm CMR,MF,ch Young Boys,23,1994,6,395,66,73.1,4.4,4,,3,2,,0,1.00,6,6,0,0.00,+0.62,Matches
902,Saúl Ñíguez\Saul-Niguez,es ESP,MF,es Atlético Madrid,22,1994,9,735,82,90.7,8.2,8,,7,1,,0,2.44,16,4,+12,+1.47,-3.33,Matches
903,Boban Nikolov\Boban-Nikolov,mk MKD,MF,mk FK Vardar,23,1994,6,472,79,87.4,5.2,6,,3,0,,0,0.88,2,17,-15,-2.86,-0.21,Matches
904,Bakary Nimaga\Bakary-Nimaga,ml MLI,MFFW,al Skënderbeu Korçë,22,1994,3,133,44,24.6,1.5,1,,1,2,,1,1.60,1,4,-3,-2.03,-1.81,Matches
905,Florin Niță\Florin-Nita,ro ROU,GK,ro FCSB,30,1987,4,360,90,50.0,4.0,4,,4,0,,2,2.50,8,3,+5,+1.25,+2.75,Matches
906,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,eng Arsenal,18,1999,5,50,10,4.0,0.6,0,,0,5,,7,2.00,0,0,0,0.00,-1.34,Matches
907,Christian Noboa\Christian-Noboa,ec ECU,MF,ru Zenit,32,1985,5,336,67,37.3,3.7,4,,2,1,,1,2.17,8,4,+4,+1.07,-0.36,Matches
908,Peru Nolaskoain\Peru-Nolaskoain,es ESP,MF,es Athletic Club,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
909,Jeremy de Nooijer\Jeremy-de-Nooijer,cw CUW,MF,md Sheriff Tiraspol,25,1992,5,184,37,34.1,2.0,1,,1,4,,0,1.43,0,2,-2,-0.98,-1.48,Matches
910,Håvard Nordtveit\Havard-Nordtveit,no NOR,DFMF,de Hoffenheim,27,1990,5,386,77,71.5,4.3,5,,3,0,,0,0.40,4,7,-3,-0.70,-1.28,Matches
911,Brwa Nouri\Brwa-Nouri,iq IRQ,MF,se Östersund,30,1987,8,652,82,90.6,7.2,8,,3,0,,0,1.93,9,7,+2,+0.28,+0.28,Matches
912,Yevhen Novak\Yevhen-Novak,ua UKR,DF,mk FK Vardar,28,1989,4,360,90,66.7,4.0,4,,4,0,,0,1.17,2,12,-10,-2.50,+1.00,Matches
913,Ivan Novoseltsev\Ivan-Novoseltsev,ru RUS,DF,ru Zenit,25,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
914,Jean-Pierre Nsame\Jean-Pierre-Nsame,cm CMR,FW,ch Young Boys,24,1993,6,339,57,62.8,3.8,4,,2,2,,0,1.00,5,5,0,0.00,+0.45,Matches
915,Olivier Ntcham\Olivier-Ntcham,fr FRA,MF,sco Celtic,21,1996,2,180,90,100.0,2.0,2,,2,0,,0,1.50,1,3,-2,-1.00,,Matches
916,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,ch Young Boys,22,1995,4,360,90,66.7,4.0,4,,4,0,,2,0.50,4,6,-2,-0.50,-1.00,Matches
917,Unai Núñez\Unai-Nunez,es ESP,DF,es Athletic Club,20,1997,3,225,75,25.0,2.5,2,,1,1,,4,2.00,4,1,+3,+1.20,+1.47,Matches
918,Anthony Nwakaeme\Anthony-Nwakaeme,ng NGA,FW,il Be'er Sheva,28,1989,5,388,78,71.9,4.3,4,,4,1,,0,0.80,5,7,-2,-0.46,+1.31,Matches
919,Evgheni Oancea\Evgheni-Oancea,md MDA,MF,md Sheriff Tiraspol,21,1996,0,,,,,0,,0,0,,5,,,,,,,Matches
920,Jan Oblak\Jan-Oblak,si SVN,GK,es Atlético Madrid,24,1993,6,540,90,66.7,6.0,6,,6,0,,0,2.17,8,2,+6,+1.00,-2.33,Matches
921,Lucas Ocampos\Lucas-Ocampos,ar ARG,MFFW,fr Marseille,23,1994,13,964,74,69.9,10.7,11,,8,2,,1,1.82,13,9,+4,+0.37,+0.37,Matches
922,Philipp Ochs\Philipp-Ochs,de GER,MF,de Hoffenheim,20,1997,5,169,34,31.3,1.9,1,,0,4,,1,1.00,2,3,-1,-0.53,-0.29,Matches
923,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,es Real Sociedad,21,1995,6,540,90,75.0,6.0,6,,6,0,,1,1.17,10,10,0,0.00,-4.50,Matches
924,John Ogu\John-Ogu,ng NGA,MF,il Be'er Sheva,29,1988,4,256,64,47.4,2.8,4,,2,0,,2,0.75,3,4,-1,-0.35,+0.92,Matches
