Sergio Asenjo,es ESP,1989,2021,Villarreal,es La Liga,32,5,0,3,2,26.8,0.25,-2.2,164,368,44.6,814,159,32.2,34.5,215,49.3,43.3,351,39,11.1,15,13.4
Emil Audero,it ITA,1997,2021,Sampdoria,it Serie A,43,6,0,6,1,38.5,0.26,-3.5,203,487,41.7,756,144,46.4,39.2,209,65.1,47.3,301,26,8.6,13,12.7
Édgar Badía,es ESP,1992,2021,Elche,es La Liga,43,4,0,4,0,42.1,0.3,0.1,255,499,51.1,816,133,40.3,36.1,269,63.2,43.2,288,22,7.6,18,13.1
Stefan Bajic,fr FRA,2001,2021,Saint-Étienne,fr Ligue 1,4,0,0,0,0,1.8,0.44,-2.2,3,17,17.6,29,9,37.9,34.8,7,85.7,50.9,12,2,16.7,0,13.6
Oliver Baumann,de GER,1990,2021,Hoffenheim,de Bundesliga,46,5,0,3,2,43.4,0.34,-0.6,166,401,41.4,912,146,35.7,33.9,176,42.6,36.8,234,9,3.8,32,15.4
Walter Benítez,ar ARG,1993,2021,Nice,fr Ligue 1,42,6,0,9,0,38.5,0.24,-2.5,99,279,35.5,734,136,27,30.1,245,33.1,33.2,291,21,7.2,11,12
Paul Bernardoni,fr FRA,1997,2021,Angers,fr Ligue 1,44,4,0,3,1,35.6,0.31,-6.4,143,408,35,542,156,46.5,40.1,214,72.9,52.4,273,19,7,9,13
Dimitry Bertaud,fr FRA,1998,2021,Montpellier,fr Ligue 1,8,1,0,1,0,7.5,0.32,-0.5,67,113,59.3,136,21,57.4,43.1,47,74.5,54.9,45,5,11.1,1,11.9
Rubén Blanco,es ESP,1995,2021,Celta Vigo,es La Liga,27,1,1,2,0,22.8,0.37,-4.2,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6,12,14.9
Yassine Bounou,ma MAR,1991,2021,Sevilla,es La Liga,16,2,0,3,2,16.9,0.21,2.9,148,305,48.5,646,99,34.2,35.1,149,56.4,43.9,200,23,11.5,18,16.1
Claudio Bravo,cl CHI,1983,2021,Betis,es La Liga,17,2,0,2,1,16.6,0.4,1.6,73,179,40.8,284,45,51.4,41.5,53,62.3,49.5,67,4,6,3,12.3
Gianluigi Buffon,it ITA,1978,2021,Juventus,it Serie A,2,1,0,0,0,2.6,0.16,0.6,14,34,41.2,140,26,21.4,27.9,37,10.8,19.5,44,1,2.3,5,14.7
Roman Bürki,ch SUI,1990,2021,Dortmund,de Bundesliga,26,2,0,5,0,20.7,0.28,-5.3,72,162,44.4,442,86,29.4,31.7,87,36.8,35.7,94,7,7.4,5,13.8
David Button,eng ENG,1989,2021,West Brom,eng Premier League,2,0,0,1,0,1.7,0.24,-0.3,8,29,27.6,25,2,68,49.2,12,100,67,10,1,10,0,10
Marcin Bułka,pl POL,1999,2021,Paris S-G,fr Ligue 1,1,0,0,0,0,1.3,0.45,0.3,2,5,40,28,9,17.9,25.5,2,0,21.5,7,0,0,2,13.1
Willy Caballero,ar ARG,1981,2021,Chelsea,eng Premier League,3,0,0,1,0,1.5,0.49,-1.5,1,3,33.3,20,2,15,24.6,6,0,19.7,8,0,0,2,22
Marc-Aurèle Caillard,fr FRA,1994,2021,Metz,fr Ligue 1,10,3,1,1,0,9.2,0.33,-0.8,17,48,35.4,71,27,35.2,33.2,30,76.7,59.7,29,4,13.8,2,14.6
Cárdenas,es ESP,1997,2021,Levante,es La Liga,2,0,0,0,0,4.1,0.19,2.1,19,43,44.2,71,18,42.3,34.7,29,44.8,38.5,45,2,4.4,2,13.4
Kiko Casilla,es ESP,1986,2021,Leeds United,eng Premier League,1,0,0,0,0,1,0.52,0,5,6,83.3,23,10,13,22.9,10,30,34.1,8,2,25,0,14.7
Koen Casteels,be BEL,1992,2021,Wolfsburg,de Bundesliga,21,2,1,3,1,24.2,0.29,4.2,201,438,45.9,850,128,38.8,36.3,162,66.7,51.2,216,18,8.3,25,15.8
Sébastien Cibois,fr FRA,1998,2021,Brest,fr Ligue 1,4,1,0,0,0,5,0.45,1,14,37,37.8,68,13,41.2,38.4,22,40.9,40.2,30,3,10,2,14.2
Alberto Cifuentes,es ESP,1979,2021,Cádiz,es La Liga,3,0,0,0,0,1.8,0.29,-1.2,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,14.3
Jasper Cillessen,nl NED,1989,2021,Valencia,es La Liga,6,1,0,0,0,6.3,0.33,0.3,35,90,38.9,106,23,59.4,43.4,44,61.4,48.5,46,4,8.7,6,13.6
Andrea Consigli,it ITA,1987,2021,Sassuolo,it Serie A,46,4,0,4,1,46.3,0.32,1.3,144,314,45.9,817,117,32.3,31.2,173,28.9,27.2,256,22,8.6,19,16.1
Alex Cordaz,it ITA,1983,2021,Crotone,it Serie A,74,5,2,9,1,65.3,0.37,-7.7,191,443,43.1,918,127,39.4,34.2,249,32.5,29.8,251,13,5.2,29,15.3
Angelo da Costa Júnior,br BRA,1983,2021,Bologna,it Serie A,9,1,1,0,0,9.4,0.36,0.4,35,70,50,245,23,24.5,30.3,42,23.8,24.4,48,0,0,7,16
Benoît Costil,fr FRA,1987,2021,Bordeaux,fr Ligue 1,42,4,2,3,1,34.9,0.27,-2.1,251,543,46.2,842,121,46.9,39.1,222,66.7,48.8,257,16,6.2,14,13.8
Thibaut Courtois,be BEL,1992,2021,Real Madrid,es La Liga,23,6,0,3,1,23.9,0.22,1.9,103,277,37.2,822,177,24.3,32.2,185,41.6,40,222,18,8.1,18,14.9
Alessio Cragno,it ITA,1994,2021,Cagliari,it Serie A,50,5,1,7,0,51.6,0.3,1.6,170,411,41.4,603,113,45.9,36.9,234,57.3,41.6,273,28,10.3,15,13.1
Finn Dahmen,de GER,1998,2021,Mainz 05,de Bundesliga,5,1,0,1,0,5.5,0.43,0.5,0,5,0,18,8,27.8,32.3,5,0,16,16,1,6.3,0,8.4
Karl Darlow,eng ENG,1990,2021,Newcastle Utd,eng Premier League,43,3,1,4,2,37,0.28,-4,184,532,34.6,506,88,68.4,50.5,220,84.5,60.2,239,22,9.2,6,12.2
Yehvann Diouf,fr FRA,1999,2021,Reims,fr Ligue 1,1,1,0,0,0,1,0.03,0,5,16,31.3,40,13,27.5,32.2,12,41.7,39,11,0,0,1,15.3
Marko Dmitrović,rs SRB,1992,2021,Eibar,es La Liga,34,3,0,2,0,37.1,0.33,3.1,242,638,37.9,682,79,68.5,54.7,189,90.5,72.6,225,16,7.1,29,16.8
Jaume Doménech,es ESP,1990,2021,Valencia,es La Liga,34,3,2,4,2,31.5,0.28,1.5,236,457,51.6,534,85,55.6,41.9,212,75.5,54.8,270,19,7,11,13.3
Gianluigi Donnarumma,it ITA,1999,2021,Milan,it Serie A,31,2,2,5,1,31.4,0.29,1.4,132,328,40.2,785,108,33.9,32.4,154,40.3,34.5,246,21,8.5,14,14.3
Bartłomiej Drągowski,pl POL,1997,2021,Fiorentina,it Serie A,44,5,1,8,1,40.9,0.33,-2.1,171,424,40.3,645,137,49.5,40.5,210,50,41.4,269,16,5.9,14,14.4
Matthieu Dreyer,fr FRA,1989,2021,Lorient,fr Ligue 1,18,4,1,2,1,15.7,0.31,-1.3,60,159,37.7,198,34,49.5,40.3,89,68.5,46.8,94,7,7.4,4,12.9
Martin Dúbravka,sk SVK,1989,2021,Newcastle Utd,eng Premier League,7,0,0,0,1,4.5,0.26,0.5,34,69,49.3,103,13,42.7,39.8,37,67.6,53.9,45,3,6.7,2,13.8
Ederson,br BRA,1993,2021,Manchester City,eng Premier League,20,7,0,2,1,22.5,0.27,3.5,117,251,46.6,776,121,24.1,31.1,129,49.6,44.7,151,10,6.6,20,15.9
Łukasz Fabiański,pl POL,1985,2021,West Ham,eng Premier League,33,2,0,3,3,33.3,0.31,3.3,221,509,43.4,552,101,62,46.4,209,79.9,56.5,293,21,7.2,9,12.5
Ralf Fährmann,de GER,1988,2021,Schalke 04,de Bundesliga,35,2,0,5,2,27.2,0.3,-5.8,78,248,31.5,417,69,39.8,36.3,128,64.1,47.6,133,8,6,12,14.6
Wuilker Faríñez,ve VEN,1998,2021,Lens,fr Ligue 1,1,1,0,0,0,1,,0,1,2,50,1,0,100,103,1,100,63,2,0,0,0,8
Aitor Fernández,es ESP,1991,2021,Levante,es La Liga,35,3,1,6,0,32,0.31,-3,111,289,38.4,615,130,38.9,36.4,177,28.2,30.4,226,14,6.2,23,15
Álvaro Fernández,es ESP,1998,2021,Huesca,es La Liga,27,1,0,6,0,24.3,0.34,-2.7,92,250,36.8,474,78,40.5,37.7,132,43.9,40.7,151,10,6.6,9,14.8
Andrés Fernández,es ESP,1986,2021,Huesca,es La Liga,17,3,1,3,0,14.1,0.28,-2.9,72,227,31.7,372,58,46,38.5,102,54.9,44.5,135,11,8.1,3,11.6
Fraser Forster,eng ENG,1988,2021,Southampton,eng Premier League,5,1,0,1,0,2.2,0.22,-0.8,33,102,32.4,117,14,60.7,46,36,86.1,58.3,44,2,4.5,3,15.7
David de Gea,es ESP,1990,2021,Manchester Utd,eng Premier League,29,4,1,4,2,26.7,0.3,-0.3,80,192,41.7,372,71,34.9,33.2,164,37.8,34,184,9,4.9,9,14.1
Rafał Gikiewicz,pl POL,1987,2021,Augsburg,de Bundesliga,42,6,0,3,2,41.2,0.26,2.2,206,514,40.1,905,176,42.3,36.9,240,54.6,45.1,326,20,6.1,15,14
David Gil,es ESP,1994,2021,Cádiz,es La Liga,2,0,0,0,0,1.2,0.4,-0.8,5,29,17.2,28,3,75,51.4,9,88.9,64.3,5,0,0,0,9
Pierluigi Gollini,it ITA,1995,2021,Atalanta,it Serie A,18,1,0,3,1,17.9,0.32,0.9,95,206,46.1,373,54,41,37.2,80,66.3,50.8,97,3,3.1,15,14.9
