Player,Nation,Born,Season,Squad,Comp,Pos,Secondary_Pos,90s
Pietro Pellegri,it ITA,2001.0,2021.0,Monaco,fr Ligue 1,FW,MF,2.4
Lorenzo Pellegrini,it ITA,1996.0,2021.0,Roma,it Serie A,MF,FW,24.3
Luca Pellegrini,it ITA,1999.0,2021.0,Genoa,it Serie A,DF,MF,7.1
Facundo Pellistri,uy URU,2001.0,2021.0,Alavés,es La Liga,MF,,3.5
Andy Pelmard,fr FRA,2000.0,2021.0,Nice,fr Ligue 1,DF,,13.1
Lee Peltier,eng ENG,1986.0,2021.0,West Brom,eng Premier League,DF,,2.5
Federico Peluso,it ITA,1984.0,2021.0,Sassuolo,it Serie A,DF,,2.3
Timothee Pembele,fr FRA,2002.0,2021.0,Paris S-G,fr Ligue 1,DF,,4.2
Rubén Peña,es ESP,1991.0,2021.0,Villarreal,es La Liga,DF,FW,9.4
Pepe,es ESP,2000.0,2021.0,Granada,es La Liga,DF,,1.8
Nicolas Pépé,ci CIV,1995.0,2021.0,Arsenal,eng Premier League,FW,,12.7
Alberto Perea,es ESP,1990.0,2021.0,Cádiz,es La Liga,MF,,14.2
Mathias Pereira Lage,pt POR,1996.0,2021.0,Angers,fr Ligue 1,FW,MF,13.2
Andreas Pereira,br BRA,1996.0,2021.0,Lazio,it Serie A,MF,FW,4.5
Danilo Pereira,pt POR,1991.0,2021.0,Paris S-G,fr Ligue 1,MF,DF,10.0
Matheus Pereira,br BRA,1996.0,2021.0,West Brom,eng Premier League,MF,FW,21.8
Pedro Pereira,pt POR,1998.0,2021.0,Crotone,it Serie A,DF,,24.2
Ricardo Pereira,pt POR,1993.0,2021.0,Leicester City,eng Premier League,DF,FW,8.3
Gastón Pereiro,uy URU,1995.0,2021.0,Cagliari,it Serie A,MF,FW,2.5
Bruno Peres,br BRA,1990.0,2021.0,Roma,it Serie A,DF,,11.3
Roberto Pereyra,ar ARG,1991.0,2021.0,Udinese,it Serie A,MF,FW,23.6
Ayoze Pérez,es ESP,1993.0,2021.0,Leicester City,eng Premier League,FW,MF,11.7
Carles Pérez,es ESP,1998.0,2021.0,Roma,it Serie A,FW,MF,5.6
Iñigo Pérez,es ESP,1988.0,2021.0,Osasuna,es La Liga,MF,DF,14.1
Kike Pérez,es ESP,1997.0,2021.0,Valladolid,es La Liga,MF,,11.5
Lucas Pérez,es ESP,1988.0,2021.0,Alavés,es La Liga,FW,,14.1
Luis Pérez,es ESP,1995.0,2021.0,Valladolid,es La Liga,DF,,12.4
Manuel Perez,fr FRA,1991.0,2021.0,Lens,fr Ligue 1,MF,,1.4
Nehuén Pérez,ar ARG,2000.0,2021.0,Granada,es La Liga,DF,,5.3
Ivan Perišić,hr CRO,1989.0,2021.0,Inter,it Serie A,DF,FW,16.4
Romain Perraud,fr FRA,1997.0,2021.0,Brest,fr Ligue 1,DF,,26.9
Lucas Perrin,fr FRA,1998.0,2021.0,Marseille,fr Ligue 1,DF,FW,1.8
Matteo Pessina,it ITA,1997.0,2021.0,Atalanta,it Serie A,MF,,15.0
Andrea Petagna,it ITA,1995.0,2021.0,Napoli,it Serie A,FW,,10.3
Nils Petersen,de GER,1988.0,2021.0,Freiburg,de Bundesliga,FW,,11.5
Jacopo Petriccione,it ITA,1995.0,2021.0,Crotone,it Serie A,MF,,8.3
Jens Petter Hauge,no NOR,1999.0,2021.0,Milan,it Serie A,FW,MF,5.9
Germán Pezzella,ar ARG,1991.0,2021.0,Fiorentina,it Serie A,DF,,22.5
Giuseppe Pezzella,it ITA,1997.0,2021.0,Parma,it Serie A,DF,,15.8
Maximilian Philipp,de GER,1994.0,2021.0,Wolfsburg,de Bundesliga,MF,,7.1
Rayan Philippe,fr FRA,2000.0,2021.0,Dijon,fr Ligue 1,FW,,1.0
Romain Philippoteaux,fr FRA,1988.0,2021.0,Nîmes,fr Ligue 1,FW,,2.4
Romain Philippoteaux,fr FRA,1988.0,2021.0,Brest,fr Ligue 1,MF,FW,5.7
Kalvin Phillips,eng ENG,1995.0,2021.0,Leeds United,eng Premier League,MF,,21.5
Matt Phillips,sco SCO,1991.0,2021.0,West Brom,eng Premier League,MF,DF,13.4
Nathaniel Phillips,eng ENG,1997.0,2021.0,Liverpool,eng Premier League,DF,,10.2
Krzysztof Piątek,pl POL,1995.0,2021.0,Hertha BSC,de Bundesliga,FW,,15.4
Pablo Piatti,ar ARG,1989.0,2021.0,Elche,es La Liga,FW,MF,0.3
Cristiano Piccini,it ITA,1992.0,2021.0,Atalanta,it Serie A,DF,,0.7
Roberto Piccoli,it ITA,2001.0,2021.0,Spezia,it Serie A,FW,,6.0
Jérémy Pied,fr FRA,1989.0,2021.0,Lille,fr Ligue 1,DF,,3.4
Amos Pieper,de GER,1998.0,2021.0,Arminia,de Bundesliga,DF,,22.8
Ronaël Pierre-Gabriel,fr FRA,1998.0,2021.0,Brest,fr Ligue 1,DF,,19.8
Erik Pieters,nl NED,1988.0,2021.0,Burnley,eng Premier League,DF,MF,12.7
Tomás Pina Isla,es ESP,1987.0,2021.0,Alavés,es La Liga,MF,,19.6
Andrea Pinamonti,it ITA,1999.0,2021.0,Inter,it Serie A,FW,,0.6
Yeremi Pino,es ESP,2002.0,2021.0,Villarreal,es La Liga,FW,MF,4.8
Gerard Piqué,es ESP,1987.0,2021.0,Barcelona,es La Liga,DF,,10.3
Fabio Pisacane,it ITA,1986.0,2021.0,Cagliari,it Serie A,DF,,2.5
Łukasz Piszczek,pl POL,1985.0,2021.0,Dortmund,de Bundesliga,DF,,0.7
Marko Pjaca,hr CRO,1995.0,2021.0,Genoa,it Serie A,FW,MF,11.7
Miralem Pjanić,ba BIH,1990.0,2021.0,Barcelona,es La Liga,MF,,6.7
Óscar Plano,es ESP,1991.0,2021.0,Valladolid,es La Liga,MF,FW,19.4
Marvin Plattenhardt,de GER,1992.0,2021.0,Hertha BSC,de Bundesliga,DF,,8.9
Alassane Pléa,fr FRA,1993.0,2021.0,M'Gladbach,de Bundesliga,FW,,15.8
Dani Plomer,es ESP,1998.0,2021.0,Granada,es La Liga,FW,,0.5
Tommaso Pobega,it ITA,1999.0,2021.0,Spezia,it Serie A,MF,,9.7
Daniel Podence,pt POR,1995.0,2021.0,Wolves,eng Premier League,FW,MF,14.6
Paul Pogba,fr FRA,1993.0,2021.0,Manchester Utd,eng Premier League,MF,FW,15.0
Joel Pohjanpalo,fi FIN,1994.0,2021.0,Union Berlin,de Bundesliga,FW,,6.8
Joel Pohjanpalo,fi FIN,1994.0,2021.0,Leverkusen,de Bundesliga,MF,,0.1
Andrea Poli,it ITA,1989.0,2021.0,Bologna,it Serie A,MF,,3.3
Matteo Politano,it ITA,1993.0,2021.0,Napoli,it Serie A,FW,,15.2
Jorge Pombo,es ESP,1994.0,2021.0,Cádiz,es La Liga,FW,MF,4.7
Marin Pongračić,hr CRO,1997.0,2021.0,Wolfsburg,de Bundesliga,DF,,5.1
Pere Pons,es ESP,1993.0,2021.0,Alavés,es La Liga,MF,,8.0
Manolo Portanova,it ITA,2000.0,2021.0,Genoa,it Serie A,MF,FW,0.4
Manolo Portanova,it ITA,2000.0,2021.0,Juventus,it Serie A,FW,MF,0.8
Francisco Portillo,es ESP,1990.0,2021.0,Getafe,es La Liga,MF,FW,4.4
Portu,es ESP,1992.0,2021.0,Real Sociedad,es La Liga,FW,MF,18.0
Stefan Posch,at AUT,1997.0,2021.0,Hoffenheim,de Bundesliga,DF,,17.0
Sergio Postigo,es ESP,1988.0,2021.0,Levante,es La Liga,DF,,13.4
Yussuf Poulsen,dk DEN,1994.0,2021.0,RB Leipzig,de Bundesliga,FW,,13.4
Maxime Poundjé,fr FRA,1992.0,2021.0,Bordeaux,fr Ligue 1,DF,,3.3
Darío Poveda,es ESP,1997.0,2021.0,Getafe,es La Liga,FW,,0.1
Alejandro Pozo Pozo,es ESP,1999.0,2021.0,Eibar,es La Liga,DF,MF,20.6
Dennis Praet,be BEL,1994.0,2021.0,Leicester City,eng Premier League,MF,FW,7.3
Sanjin Prcić,ba BIH,1993.0,2021.0,Strasbourg,fr Ligue 1,MF,,3.5
Nicolas de Préville,fr FRA,1991.0,2021.0,Bordeaux,fr Ligue 1,FW,MF,14.7
Manuel Prietl,at AUT,1991.0,2021.0,Arminia,de Bundesliga,MF,,21.0
Grischa Prömel,de GER,1995.0,2021.0,Union Berlin,de Bundesliga,MF,,16.4
Davy Pröpper,nl NED,1991.0,2021.0,Brighton,eng Premier League,MF,,2.4
Antonio Puertas,es ESP,1992.0,2021.0,Granada,es La Liga,FW,MF,17.4
Riqui Puig,es ESP,1999.0,2021.0,Barcelona,es La Liga,MF,,2.2
Erick Pulgar,cl CHI,1994.0,2021.0,Fiorentina,it Serie A,MF,,14.7
Jorge Pulido,es ESP,1991.0,2021.0,Huesca,es La Liga,DF,,24.1
Christian Pulisic,us USA,1998.0,2021.0,Chelsea,eng Premier League,FW,,12.5
Ignacio Pussetto,ar ARG,1995.0,2021.0,Udinese,it Serie A,FW,,8.4
Fabio Quagliarella,it ITA,1983.0,2021.0,Sampdoria,it Serie A,FW,,20.5
Robin Quaison,se SWE,1993.0,2021.0,Mainz 05,de Bundesliga,FW,MF,13.6
Domingos Quina,pt POR,1999.0,2021.0,Granada,es La Liga,MF,,3.4
Quini,es ESP,1989.0,2021.0,Granada,es La Liga,DF,,5.7
Quique,es ESP,1990.0,2021.0,Eibar,es La Liga,FW,,1.0
Dani Raba,es ESP,1995.0,2021.0,Villarreal,es La Liga,MF,,0.3
Simone Rabbi,it ITA,2001.0,2021.0,Bologna,it Serie A,FW,,0.4
Adrien Rabiot,fr FRA,1995.0,2021.0,Juventus,it Serie A,MF,,17.5
Uroš Račić,rs SRB,1998.0,2021.0,Valencia,es La Liga,MF,,16.7
Nemanja Radoja,rs SRB,1993.0,2021.0,Levante,es La Liga,MF,,12.3
Nemanja Radonjić,rs SRB,1996.0,2021.0,Marseille,fr Ligue 1,FW,,4.4
Nemanja Radonjić,rs SRB,1996.0,2021.0,Hertha BSC,de Bundesliga,FW,MF,1.7
Aleksandar Radovanović,rs SRB,1993.0,2021.0,Lens,fr Ligue 1,DF,,1.0
Ivan Radovanović,rs SRB,1988.0,2021.0,Genoa,it Serie A,DF,MF,20.0
Ștefan Radu,ro ROU,1986.0,2021.0,Lazio,it Serie A,DF,,18.2
Rafinha,br BRA,1993.0,2021.0,Paris S-G,fr Ligue 1,MF,,12.0
Ivan Rakitić,hr CRO,1988.0,2021.0,Sevilla,es La Liga,MF,,18.5
Benito Raman,be BEL,1994.0,2021.0,Schalke 04,de Bundesliga,FW,MF,13.5
Gastón Ramírez,uy URU,1990.0,2021.0,Sampdoria,it Serie A,MF,FW,10.1
Sandro Ramírez,es ESP,1995.0,2021.0,Huesca,es La Liga,FW,MF,7.0
Sergio Ramos,es ESP,1986.0,2021.0,Real Madrid,es La Liga,DF,,14.2
Aaron Ramsey,wal WAL,1990.0,2021.0,Juventus,it Serie A,MF,,11.1
Jacob Ramsey,eng ENG,2001.0,2021.0,Aston Villa,eng Premier League,MF,,4.3
Kayne Ramsey,eng ENG,2000.0,2021.0,Southampton,eng Premier League,DF,,1.0
Andrea Ranocchia,it ITA,1988.0,2021.0,Inter,it Serie A,DF,,4.8
Marcus Rashford,eng ENG,1997.0,2021.0,Manchester Utd,eng Premier League,FW,,26.4
Milot Rashica,xk KVX,1996.0,2021.0,Werder Bremen,de Bundesliga,FW,MF,10.7
Giacomo Raspadori,it ITA,2000.0,2021.0,Sassuolo,it Serie A,FW,MF,7.6
Tim Ream,us USA,1987.0,2021.0,Fulham,eng Premier League,DF,,5.0
Ante Rebić,hr CRO,1993.0,2021.0,Milan,it Serie A,FW,,13.7
Arkadiusz Reca,pl POL,1995.0,2021.0,Crotone,it Serie A,DF,,20.8
Recio,es ESP,1991.0,2021.0,Eibar,es La Liga,MF,,4.2
Daishawn Redan,nl NED,2001.0,2021.0,Hertha BSC,de Bundesliga,MF,FW,0.8
Nathan Redmond,eng ENG,1994.0,2021.0,Southampton,eng Premier League,MF,FW,12.0
Harrison Reed,eng ENG,1995.0,2021.0,Fulham,eng Premier League,MF,,21.6
Vasco Regini,it ITA,1990.0,2021.0,Sampdoria,it Serie A,DF,,0.9
Sergio Reguilón,es ESP,1996.0,2021.0,Tottenham,eng Premier League,DF,,16.2
Bobby Reid,jm JAM,1993.0,2021.0,Fulham,eng Premier League,FW,DF,18.6
Jeff Reine-Adélaïde,fr FRA,1998.0,2021.0,Nice,fr Ligue 1,MF,FW,11.8
Jeff Reine-Adélaïde,fr FRA,1998.0,2021.0,Lyon,fr Ligue 1,FW,,0.3
Reinier,br BRA,2002.0,2021.0,Dortmund,de Bundesliga,MF,FW,1.9
Francisco Reis Ferreira,pt POR,1997.0,2021.0,Valencia,es La Liga,DF,,1.0
Rocco Reitz,de GER,2002.0,2021.0,M'Gladbach,de Bundesliga,MF,,0.7
Karim Rekik,nl NED,1994.0,2021.0,Sevilla,es La Liga,DF,,6.3
Panagiotis Retsos,gr GRE,1998.0,2021.0,Saint-Étienne,fr Ligue 1,DF,,3.0
Marco Reus,de GER,1989.0,2021.0,Dortmund,de Bundesliga,MF,FW,19.1
Elvis Rexhbeçaj,de GER,1997.0,2021.0,Köln,de Bundesliga,MF,FW,18.2
Oriol Rey,es ESP,1998.0,2021.0,Valladolid,es La Liga,MF,,0.2
Gio Reyna,us USA,2002.0,2021.0,Dortmund,de Bundesliga,FW,MF,16.6
Bryan Reynolds,us USA,2001.0,2021.0,Roma,it Serie A,DF,,0.3
Franck Ribéry,fr FRA,1983.0,2021.0,Fiorentina,it Serie A,FW,,17.7
Ricard,es ESP,2000.0,2021.0,Atlético Madrid,es La Liga,DF,,0.3
Federico Ricci,it ITA,1994.0,2021.0,Sassuolo,it Serie A,FW,,0.0
Giacomo Ricci,it ITA,1996.0,2021.0,Parma,it Serie A,DF,,0.7
Matteo Ricci,it ITA,1994.0,2021.0,Spezia,it Serie A,MF,,19.2
Declan Rice,eng ENG,1999.0,2021.0,West Ham,eng Premier League,MF,,29.0
Chris Richards,us USA,2000.0,2021.0,Hoffenheim,de Bundesliga,DF,,6.6
Chris Richards,us USA,2000.0,2021.0,Bayern Munich,de Bundesliga,DF,,1.0
Lewis Richardson,eng ENG,2003.0,2021.0,Burnley,eng Premier League,FW,,0.0
Richarlison,br BRA,1997.0,2021.0,Everton,eng Premier League,FW,,22.0
Marco Richter,de GER,1997.0,2021.0,Augsburg,de Bundesliga,FW,MF,10.9
Mikel Rico,es ESP,1984.0,2021.0,Huesca,es La Liga,MF,,19.1
Jaïro Riedewald,nl NED,1996.0,2021.0,Crystal Palace,eng Premier League,MF,,14.9
Emiliano Rigoni,ar ARG,1993.0,2021.0,Elche,es La Liga,MF,FW,11.3
Tomás Rincón,ve VEN,1988.0,2021.0,Torino,it Serie A,MF,,24.3
Luis Rioja,es ESP,1993.0,2021.0,Alavés,es La Liga,MF,DF,17.8
Renaud Ripart,fr FRA,1993.0,2021.0,Nîmes,fr Ligue 1,FW,MF,26.7
Andrea Rispoli,it ITA,1988.0,2021.0,Crotone,it Serie A,DF,,6.7
Mihailo Ristić,rs SRB,1995.0,2021.0,Montpellier,fr Ligue 1,DF,,19.8
Matt Ritchie,sco SCO,1989.0,2021.0,Newcastle Utd,eng Premier League,DF,MF,6.1
Maxence Rivera,fr FRA,2002.0,2021.0,Saint-Étienne,fr Ligue 1,MF,FW,2.4
Emmanuel Rivière,fr FRA,1990.0,2021.0,Crotone,it Serie A,FW,MF,6.7
Rober,es ESP,1995.0,2021.0,Levante,es La Liga,DF,,9.5
Sergi Roberto,es ESP,1992.0,2021.0,Barcelona,es La Liga,DF,,7.2
Tyler Roberts,wal WAL,1999.0,2021.0,Leeds United,eng Premier League,MF,FW,10.2
Andrew Robertson,sco SCO,1994.0,2021.0,Liverpool,eng Premier League,DF,,29.6
Antonee Robinson,us USA,1997.0,2021.0,Fulham,eng Premier League,DF,,20.0
Callum Robinson,ie IRL,1995.0,2021.0,West Brom,eng Premier League,FW,MF,13.8
Jack Robinson,eng ENG,1993.0,2021.0,Sheffield Utd,eng Premier League,DF,,6.7
Hal Robson-Kanu,wal WAL,1989.0,2021.0,West Brom,eng Premier League,FW,MF,3.1
Marc Roca,es ESP,1996.0,2021.0,Bayern Munich,de Bundesliga,MF,,1.6
Christopher Rocchia,fr FRA,1998.0,2021.0,Marseille,fr Ligue 1,DF,,0.2
Rubén Rochina,es ESP,1991.0,2021.0,Levante,es La Liga,MF,,14.0
Sebastian Rode,de GER,1990.0,2021.0,Eint Frankfurt,de Bundesliga,MF,,14.8
Joe Rodon,wal WAL,1997.0,2021.0,Tottenham,eng Premier League,DF,,5.1
Rodri,es ESP,1996.0,2021.0,Manchester City,eng Premier League,MF,,25.1
Rodrigo,es ESP,1991.0,2021.0,Leeds United,eng Premier League,MF,FW,12.1
Rodrigo,es ESP,2000.0,2021.0,Betis,es La Liga,FW,MF,4.2
Kévin Rodrigues,pt POR,1994.0,2021.0,Eibar,es La Liga,DF,MF,10.4
Óscar Rodríguez Arnaiz,es ESP,1998.0,2021.0,Sevilla,es La Liga,MF,FW,4.0
Ángel Rodríguez,es ESP,1987.0,2021.0,Getafe,es La Liga,FW,MF,12.4
Guido Rodríguez,ar ARG,1994.0,2021.0,Betis,es La Liga,MF,,21.8
James Rodríguez,co COL,1991.0,2021.0,Everton,eng Premier League,FW,MF,14.9
Jay Rodriguez,eng ENG,1989.0,2021.0,Burnley,eng Premier League,FW,MF,12.6
Miguel Rodríguez,es ESP,2003.0,2021.0,Celta Vigo,es La Liga,FW,MF,0.3
Ricardo Rodríguez,ch SUI,1992.0,2021.0,Torino,it Serie A,DF,,12.4
Víctor Rodríguez,es ESP,1989.0,2021.0,Elche,es La Liga,MF,,3.6
Rodrygo,br BRA,2001.0,2021.0,Real Madrid,es La Liga,FW,,6.4
Marko Rog,hr CRO,1995.0,2021.0,Cagliari,it Serie A,MF,,12.9
Rogério,br BRA,1998.0,2021.0,Sassuolo,it Serie A,DF,,16.6
Luis Rojas,cl CHI,2002.0,2021.0,Crotone,it Serie A,FW,MF,0.3
Alessio Romagnoli,it ITA,1995.0,2021.0,Milan,it Serie A,DF,,20.0
Cristian Romero,ar ARG,1998.0,2021.0,Atalanta,it Serie A,DF,,20.8
Oriol Romeu,es ESP,1991.0,2021.0,Southampton,eng Premier League,MF,,19.2
Cristiano Ronaldo,pt POR,1985.0,2021.0,Juventus,it Serie A,FW,,23.4
Facundo Roncaglia,ar ARG,1987.0,2021.0,Osasuna,es La Liga,DF,,12.5
Valentin Rongier,fr FRA,1994.0,2021.0,Marseille,fr Ligue 1,MF,,18.5
Marten de Roon,nl NED,1991.0,2021.0,Atalanta,it Serie A,MF,,24.6
Jérôme Roussillon,fr FRA,1993.0,2021.0,Wolfsburg,de Bundesliga,DF,,11.2
Nolan Roux,fr FRA,1988.0,2021.0,Nîmes,fr Ligue 1,FW,,7.2
Nicolò Rovella,it ITA,2001.0,2021.0,Genoa,it Serie A,MF,,9.2
Amir Rrahmani,xk KVX,1994.0,2021.0,Napoli,it Serie A,DF,,5.9
Waldo Rubio,es ESP,1995.0,2021.0,Valladolid,es La Liga,FW,,4.0
Antonio Rüdiger,de GER,1993.0,2021.0,Chelsea,eng Premier League,DF,,13.0
Sebastian Rudy,de GER,1990.0,2021.0,Hoffenheim,de Bundesliga,MF,DF,17.8
Sebastian Rudy,de GER,1990.0,2021.0,Schalke 04,de Bundesliga,DF,,2.0
Kevin Rüegg,ch SUI,1998.0,2021.0,Hellas Verona,it Serie A,MF,DF,1.3
Daniele Rugani,it ITA,1994.0,2021.0,Cagliari,it Serie A,DF,,8.3
Daniele Rugani,it ITA,1994.0,2021.0,Rennes,fr Ligue 1,DF,,1.0
Matteo Ruggeri,it ITA,2002.0,2021.0,Atalanta,it Serie A,DF,,2.3
Mário Rui,pt POR,1991.0,2021.0,Napoli,it Serie A,DF,,15.8
Aitor Ruibal,es ESP,1996.0,2021.0,Betis,es La Liga,FW,MF,12.3
Fabián Ruiz Peña,es ESP,1996.0,2021.0,Napoli,it Serie A,MF,,19.6
Isma Ruiz,es ESP,2001.0,2021.0,Granada,es La Liga,MF,,0.7
Kays Ruiz,ma MAR,2002.0,2021.0,Paris S-G,fr Ligue 1,FW,MF,2.1
Víctor Ruiz,es ESP,1989.0,2021.0,Betis,es La Liga,DF,,16.0
Georginio Rutter,fr FRA,2002.0,2021.0,Rennes,fr Ligue 1,FW,MF,0.5
Georginio Rutter,fr FRA,2002.0,2021.0,Hoffenheim,de Bundesliga,FW,MF,1.3
Julian Ryerson,no NOR,1997.0,2021.0,Union Berlin,de Bundesliga,DF,,8.5
João Victor Santos Sá,br BRA,1994.0,2021.0,Wolfsburg,de Bundesliga,FW,,4.2
Roli Pereira de Sa,fr FRA,1996.0,2021.0,Nantes,fr Ligue 1,MF,,0.1
Idriss Saadi,dz ALG,1992.0,2021.0,Strasbourg,fr Ligue 1,FW,MF,1.4
Youssouf Sabaly,sn SEN,1993.0,2021.0,Bordeaux,fr Ligue 1,DF,,24.4
Marcel Sabitzer,at AUT,1994.0,2021.0,RB Leipzig,de Bundesliga,MF,,17.6
Alexis Saelemaekers,be BEL,1999.0,2021.0,Milan,it Serie A,FW,,16.2
Modibo Sagnan,ml MLI,1999.0,2021.0,Real Sociedad,es La Liga,DF,,5.7
Allan Saint-Maximin,fr FRA,1997.0,2021.0,Newcastle Utd,eng Premier League,FW,MF,10.6
Borja Sainz,es ESP,2001.0,2021.0,Alavés,es La Liga,MF,FW,4.3
Romain Saïss,ma MAR,1990.0,2021.0,Wolves,eng Premier League,DF,,19.7
Bukayo Saka,eng ENG,2001.0,2021.0,Arsenal,eng Premier League,FW,DF,23.0
Hiroki Sakai,jp JPN,1990.0,2021.0,Marseille,fr Ligue 1,DF,,23.2
Moïse Sakava,cm CMR,2000.0,2021.0,Reims,fr Ligue 1,MF,,0.1
Mamadou Sakho,fr FRA,1990.0,2021.0,Crystal Palace,eng Premier League,DF,,3.1
Jacopo Sala,it ITA,1991.0,2021.0,Spezia,it Serie A,DF,,4.2
Mohamed Salah,eg EGY,1992.0,2021.0,Liverpool,eng Premier League,FW,,27.0
Eddy Salcedo,it ITA,2001.0,2021.0,Hellas Verona,it Serie A,FW,,4.9
William Saliba,fr FRA,2001.0,2021.0,Nice,fr Ligue 1,DF,,12.0
Mohammed Salisu,gh GHA,1999.0,2021.0,Southampton,eng Premier League,DF,,3.9
Roland Sallai,hu HUN,1997.0,2021.0,Freiburg,de Bundesliga,MF,FW,13.9
Salvi,es ESP,1991.0,2021.0,Cádiz,es La Liga,MF,FW,17.7
Lazar Samardzic,de GER,2002.0,2021.0,RB Leipzig,de Bundesliga,MF,FW,2.0
Diadie Samassékou,ml MLI,1996.0,2021.0,Hoffenheim,de Bundesliga,MF,,22.9
Mama Samba Baldé,gw GNB,1995.0,2021.0,Dijon,fr Ligue 1,FW,,19.7
Junior Sambia,fr FRA,1996.0,2021.0,Montpellier,fr Ligue 1,DF,MF,21.1
Frédéric Sammaritano,fr FRA,1986.0,2021.0,Dijon,fr Ligue 1,FW,MF,10.7
Fede San Emeterio,es ESP,1997.0,2021.0,Valladolid,es La Liga,MF,,13.2
Antonio Sanabria,py PAR,1996.0,2021.0,Torino,it Serie A,FW,,3.9
Antonio Sanabria,py PAR,1996.0,2021.0,Betis,es La Liga,FW,,10.4
Oihan Sancet,es ESP,2000.0,2021.0,Athletic Club,es La Liga,FW,MF,4.4
Renato Sanches,pt POR,1997.0,2021.0,Lille,fr Ligue 1,MF,,11.1
Juan Sánchez Miño,ar ARG,1990.0,2021.0,Elche,es La Liga,DF,MF,5.5
Alexis Sánchez,cl CHI,1988.0,2021.0,Inter,it Serie A,FW,,9.7
Davinson Sánchez,co COL,1996.0,2021.0,Tottenham,eng Premier League,DF,,14.5
Germán Sánchez,es ESP,1986.0,2021.0,Granada,es La Liga,DF,,20.9
Javi Sánchez,es ESP,1997.0,2021.0,Valladolid,es La Liga,DF,,6.4
Manuel Sánchez,es ESP,2000.0,2021.0,Osasuna,es La Liga,DF,,5.2
Manuel Sánchez,es ESP,2000.0,2021.0,Atlético Madrid,es La Liga,DF,,0.5
Jadon Sancho,eng ENG,2000.0,2021.0,Dortmund,de Bundesliga,FW,MF,19.7
Alex Sandro,br BRA,1991.0,2021.0,Juventus,it Serie A,DF,,11.1
Leroy Sané,de GER,1996.0,2021.0,Bayern Munich,de Bundesliga,FW,MF,16.3
Salif Sané,sn SEN,1990.0,2021.0,Schalke 04,de Bundesliga,DF,,8.5
Oier Sanjurjo,es ESP,1986.0,2021.0,Osasuna,es La Liga,MF,,19.7
Morgan Sanson,fr FRA,1994.0,2021.0,Aston Villa,eng Premier League,MF,,2.5
Morgan Sanson,fr FRA,1994.0,2021.0,Marseille,fr Ligue 1,MF,,9.2
Nicola Sansone,it ITA,1991.0,2021.0,Bologna,it Serie A,FW,MF,10.0
Baptiste Santamaria,fr FRA,1995.0,2021.0,Angers,fr Ligue 1,MF,,3.0
Baptiste Santamaria,fr FRA,1995.0,2021.0,Freiburg,de Bundesliga,MF,,20.7
Federico Santander,py PAR,1991.0,2021.0,Bologna,it Serie A,FW,,0.4
Davide Santon,it ITA,1991.0,2021.0,Roma,it Serie A,DF,,2.8
Samir Santos,br BRA,1994.0,2021.0,Udinese,it Serie A,DF,,20.9
Riccardo Saponara,it ITA,1991.0,2021.0,Fiorentina,it Serie A,FW,,0.6
Riccardo Saponara,it ITA,1991.0,2021.0,Spezia,it Serie A,FW,,2.2
Ivan Šaponjić,rs SRB,1997.0,2021.0,Cádiz,es La Liga,FW,,1.5
Pablo Sarabia,es ESP,1992.0,2021.0,Paris S-G,fr Ligue 1,FW,MF,11.4
Josh Sargent,us USA,2000.0,2021.0,Werder Bremen,de Bundesliga,FW,,22.0
Bouna Sarr,gn GUI,1992.0,2021.0,Marseille,fr Ligue 1,DF,,0.8
Bouna Sarr,gn GUI,1992.0,2021.0,Bayern Munich,de Bundesliga,DF,,3.7
Sidy Sarr,sn SEN,1996.0,2021.0,Nîmes,fr Ligue 1,MF,,3.7
Marco Sau,it ITA,1987.0,2021.0,Benevento,it Serie A,MF,FW,7.4
Téji Savanier,fr FRA,1991.0,2021.0,Montpellier,fr Ligue 1,MF,,20.2
Stefan Savić,me MNE,1991.0,2021.0,Atlético Madrid,es La Liga,DF,,25.0
Romaine Sawyers,kn SKN,1991.0,2021.0,West Brom,eng Premier League,MF,,16.5
Gianluca Scamacca,it ITA,1999.0,2021.0,Genoa,it Serie A,FW,,11.4
Dane Scarlett,eng ENG,2004.0,2021.0,Tottenham,eng Premier League,FW,,0.0
Fabian Schär,ch SUI,1991.0,2021.0,Newcastle Utd,eng Premier League,DF,,13.4
Aurélien Scheidler,fr FRA,1998.0,2021.0,Dijon,fr Ligue 1,FW,,3.8
Nicolás Schiappacasse,uy URU,1999.0,2021.0,Sassuolo,it Serie A,MF,,0.2
Pasquale Schiattarella,it ITA,1987.0,2021.0,Benevento,it Serie A,MF,,21.4
Patrik Schick,cz CZE,1996.0,2021.0,Leverkusen,de Bundesliga,FW,,15.3
Sven Schipplock,de GER,1988.0,2021.0,Arminia,de Bundesliga,FW,MF,7.6
Xaver Schlager,at AUT,1997.0,2021.0,Wolfsburg,de Bundesliga,MF,,22.6
Keven Schlotterbeck,de GER,1997.0,2021.0,Freiburg,de Bundesliga,DF,,15.1
Nico Schlotterbeck,de GER,1999.0,2021.0,Union Berlin,de Bundesliga,DF,,8.3
Jeffrey Schlupp,gh GHA,1992.0,2021.0,Crystal Palace,eng Premier League,MF,,11.4
Jonathan Schmid,fr FRA,1990.0,2021.0,Freiburg,de Bundesliga,DF,MF,21.0
