Player,Nation,Born,Season,Squad,Comp,shot_creating_actions,shot_creating_actions_per_90,live_pass_sca,dead_pass_sca,dribble_sca,shots_sca,fouls_drawn_sca,def_actions_sca,goal_creating_actions,gca_per_90,live_pass_gca,dead_pass_gca,dribble_gca,shots_gca,fouls_drawn_gca,def_actions_gca,og_gca
Marc Albrighton,eng ENG,1989.0,2018.0,Leicester City,eng Premier League,65.0,2.31,47.0,14.0,2.0,1.0,1.0,0.0,13.0,0.46,12.0,1.0,0.0,0.0,0.0,0.0,0.0
Paco Alcácer,es ESP,1993.0,2018.0,Barcelona,es La Liga,17.0,2.21,13.0,0.0,0.0,3.0,1.0,0.0,6.0,0.78,3.0,0.0,0.0,2.0,1.0,0.0,0.0
Pedro Alcalá,es ESP,1989.0,2018.0,Girona,es La Liga,4.0,0.52,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,1991.0,2018.0,Bayern Munich,de Bundesliga,54.0,3.91,47.0,2.0,1.0,0.0,2.0,2.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,0.0
David Alcibiade,fr FRA,1991.0,2018.0,Nantes,fr Ligue 1,2.0,0.87,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Toby Alderweireld,be BEL,1989.0,2018.0,Tottenham,eng Premier League,17.0,1.3,13.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Aldo One,cm CMR,1995.0,2018.0,La Coruña,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Alegría,es ESP,1992.0,2018.0,Levante,es La Liga,10.0,1.42,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Iván Alejo,es ESP,1995.0,2018.0,Eibar,es La Liga,29.0,2.36,23.0,0.0,2.0,0.0,4.0,0.0,3.0,0.24,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,ar ARG,1988.0,2018.0,Leganés,es La Liga,27.0,2.28,20.0,1.0,1.0,2.0,3.0,0.0,3.0,0.25,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,1998.0,2018.0,Liverpool,eng Premier League,39.0,2.23,29.0,7.0,1.0,2.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis,es ESP,1985.0,2018.0,Alavés,es La Liga,13.0,0.54,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan,br BRA,1991.0,2018.0,Napoli,it Serie A,97.0,3.05,74.0,1.0,6.0,3.0,7.0,6.0,15.0,0.47,12.0,0.0,0.0,0.0,1.0,2.0,0.0
Joe Allen,wal WAL,1990.0,2018.0,Stoke City,eng Premier League,70.0,2.01,54.0,5.0,1.0,1.0,3.0,6.0,11.0,0.32,6.0,1.0,0.0,0.0,2.0,2.0,0.0
Dele Alli,eng ENG,1996.0,2018.0,Tottenham,eng Premier League,129.0,3.92,94.0,1.0,7.0,7.0,17.0,3.0,20.0,0.61,14.0,0.0,0.0,4.0,2.0,0.0,0.0
José Alonso Lara,es ESP,2000.0,2018.0,Sevilla,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Júnior Alonso,py PAR,1993.0,2018.0,Lille,fr Ligue 1,21.0,0.68,19.0,2.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Alonso,es ESP,1990.0,2018.0,Chelsea,eng Premier League,75.0,2.36,60.0,3.0,3.0,6.0,2.0,1.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Álvarez,ar ARG,1988.0,2018.0,Sampdoria,it Serie A,13.0,4.55,7.0,3.0,0.0,2.0,0.0,1.0,1.0,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Yeray Álvarez,es ESP,1995.0,2018.0,Athletic Club,es La Liga,9.0,1.2,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Alves,br BRA,1983.0,2018.0,Paris S-G,fr Ligue 1,84.0,3.67,72.0,4.0,0.0,7.0,1.0,0.0,12.0,0.52,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Amadou,fr FRA,1993.0,2018.0,Lille,fr Ligue 1,22.0,0.82,19.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eloi Amagat,es ESP,1985.0,2018.0,Girona,es La Liga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Amalfitano,fr FRA,1985.0,2018.0,Rennes,fr Ligue 1,15.0,1.81,12.0,0.0,0.0,3.0,0.0,0.0,2.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Romain Amalfitano,fr FRA,1989.0,2018.0,Dijon,fr Ligue 1,57.0,1.9,44.0,3.0,1.0,1.0,4.0,4.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Daniel Amartey,gh GHA,1994.0,2018.0,Leicester City,eng Premier League,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Amat,es ESP,1992.0,2018.0,Betis,es La Liga,17.0,0.75,15.0,0.0,1.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,1996.0,2018.0,Getafe,es La Liga,55.0,1.72,34.0,0.0,9.0,3.0,8.0,1.0,4.0,0.12,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Jordan Amavi,fr FRA,1994.0,2018.0,Marseille,fr Ligue 1,46.0,1.89,32.0,1.0,5.0,5.0,2.0,1.0,9.0,0.37,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Stephan Ambrosius,de GER,1998.0,2018.0,Hamburger SV,de Bundesliga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,fr FRA,1998.0,2018.0,Toulouse,fr Ligue 1,27.0,0.77,20.0,5.0,2.0,0.0,0.0,0.0,3.0,0.09,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Nadiem Amiri,de GER,1996.0,2018.0,Hoffenheim,de Bundesliga,66.0,3.41,45.0,7.0,6.0,6.0,2.0,0.0,5.0,0.26,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,wal WAL,2000.0,2018.0,Chelsea,eng Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Watford,eng Premier League,4.0,1.82,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordin Amrabat,ma MAR,1987.0,2018.0,Leganés,es La Liga,52.0,2.89,34.0,1.0,9.0,3.0,5.0,0.0,8.0,0.44,5.0,1.0,2.0,0.0,0.0,0.0,0.0
Joachim Andersen,dk DEN,1996.0,2018.0,Sampdoria,it Serie A,4.0,0.66,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Anderson,br BRA,1993.0,2018.0,Lazio,it Serie A,69.0,5.4,47.0,10.0,10.0,2.0,0.0,0.0,13.0,1.02,11.0,1.0,1.0,0.0,0.0,0.0,0.0
Florin Andone,ro ROU,1993.0,2018.0,La Coruña,es La Liga,22.0,1.21,15.0,0.0,0.0,5.0,2.0,0.0,5.0,0.28,3.0,0.0,0.0,1.0,1.0,0.0,0.0
Benjamin André,fr FRA,1990.0,2018.0,Rennes,fr Ligue 1,67.0,2.0,61.0,0.0,2.0,2.0,1.0,1.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,0.0
