,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
27,Mohamed Aly Camara\Mohamed-Aly-Camara,gn GUI,DF,ch Young Boys,20,1997,4,347,87,64.3,3.9,4,87,3,0,,1,0.75,2,8,-6,-1.56,-0.62,3.8,9.5,-5.7,-1.47,-1.40,Matches
28,Alfons Amade\Alfons-Amade,de GER,DF,de Hoffenheim,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
29,Nadiem Amiri\Nadiem-Amiri,de GER,MF,de Hoffenheim,21,1996,1,28,28,5.2,0.3,0,,0,1,27,0,0.00,0,0,0,0.00,+0.53,0.3,0.6,-0.3,-0.94,-0.76,Matches
30,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MFDF,be Club Brugge,21,1996,2,180,90,33.3,2.0,2,90,2,0,,1,1.00,0,0,0,0.00,-0.25,0.8,1.5,-0.7,-0.37,-0.22,Matches
31,Angeliño\Angelino,es ESP,DF,nl PSV Eindhoven,21,1997,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,6,13,-7,-1.17,,7.4,12.6,-5.3,-0.88,,Matches
32,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,fr Lyon,20,1998,7,630,90,87.5,7.0,7,90,7,0,,1,1.29,12,11,+1,+0.14,+4.14,11.7,12.0,-0.3,-0.04,+4.55,Matches
33,Alphonse Areola\Alphonse-Areola,fr FRA,GK,fr Paris S-G,25,1993,3,270,90,37.5,3.0,3,90,3,0,,5,1.33,10,6,+4,+1.33,+0.53,7.2,4.3,+3.0,+0.99,+0.63,Matches
34,Santiago Arias\Santiago-Arias,co COL,DFMF,es Atlético Madrid,26,1992,4,346,87,48.1,3.8,4,87,3,0,,3,1.75,5,3,+2,+0.52,+0.52,3.6,3.0,+0.6,+0.16,+0.34,Matches
35,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,it Inter,29,1988,6,518,86,95.9,5.8,6,86,5,0,,0,1.33,5,7,-2,-0.35,-4.44,8.0,7.9,+0.1,+0.02,-2.94,Matches
36,Marco Asensio\Marco-Asensio,es ESP,FW,es Real Madrid,22,1996,7,306,44,42.5,3.4,2,93,2,5,24,1,1.71,3,8,-5,-1.47,-3.64,6.0,4.4,+1.6,+0.46,-0.03,Matches
37,Roger Assalé\Roger-Assale,ci CIV,FWMF,ch Young Boys,24,1993,5,381,76,70.6,4.2,4,90,4,1,20,1,0.67,2,8,-6,-1.42,-0.29,5.7,7.6,-2.0,-0.46,+1.72,Matches
38,Serge Aurier\Serge-Aurier,ci CIV,DF,eng Tottenham,25,1992,5,434,87,37.1,4.8,5,87,4,0,,2,2.40,6,3,+3,+0.62,+0.87,6.3,3.9,+2.5,+0.51,+0.21,Matches
39,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,MF,pt Porto,21,1997,1,9,9,1.0,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,-0.49,0.0,0.1,-0.1,-1.39,-1.27,Matches
40,Serdar Aziz\Serdar-Aziz,tr TUR,DF,tr Galatasaray,27,1990,4,360,90,66.7,4.0,4,90,4,0,,0,0.75,3,5,-2,-0.50,0.00,5.1,5.4,-0.3,-0.07,-0.09,Matches
41,Srđan Babić\Srdjan-Babic,rs SRB,DF,rs Red Star,22,1996,3,225,75,41.7,2.5,2,90,2,1,45,3,0.83,2,9,-7,-2.80,-1.37,1.1,8.4,-7.3,-2.91,-0.90,Matches
42,Loic Badiashile\Loic-Badiashile,fr FRA,GK,fr Monaco,20,1998,1,90,90,16.7,1.0,1,90,1,0,,4,1.00,1,1,0,0.00,+2.40,0.8,1.6,-0.7,-0.74,+0.30,Matches
43,Eric Bailly\Eric-Bailly,ci CIV,DF,eng Manchester Utd,24,1994,4,305,76,33.9,3.4,4,76,3,0,,4,1.00,3,5,-2,-0.59,-0.74,3.9,4.2,-0.3,-0.09,-0.05,Matches
44,Michalis Bakakis\Michalis-Bakakis,gr GRE,DFFW,gr AEK Athens,27,1991,6,519,87,96.1,5.8,6,87,5,0,,0,0.80,2,11,-9,-1.56,+7.01,4.1,11.8,-7.7,-1.34,+1.26,Matches
45,Anastasios Bakasetas\Anastasios-Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2,180,90,33.3,2.0,2,90,2,0,,0,1.40,2,5,-3,-1.50,+0.50,3.0,3.6,-0.6,-0.30,+1.63,Matches
46,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,nl Ajax,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
47,Keita Baldé\Keita-Balde,sn SEN,FWMF,it Inter,23,1995,4,76,19,14.1,0.8,0,,0,4,18,2,1.00,3,1,+2,+2.37,+2.95,2.6,0.5,+2.1,+2.49,+2.73,Matches
48,Gareth Bale\Gareth-Bale,wal WAL,FW,es Real Madrid,29,1989,7,486,69,67.5,5.4,5,76,1,2,53,0,2.14,13,3,+10,+1.85,+3.77,9.7,7.1,+2.5,+0.47,-0.02,Matches
49,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,de Dortmund,19,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
50,David von Ballmoos\David-von-Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4,360,90,66.7,4.0,4,90,4,0,,1,0.67,1,10,-9,-2.25,-2.75,3.7,9.4,-5.7,-1.43,-1.39,Matches
51,Dmitri Barinov\Dmitri-Barinov,ru RUS,MF,ru Loko Moscow,21,1996,4,284,71,52.6,3.2,3,90,3,1,13,2,0.75,1,5,-4,-1.27,+0.14,3.9,3.7,+0.2,+0.06,+0.76,Matches
52,Vasilios Barkas\Vasilios-Barkas,gr GRE,GK,gr AEK Athens,24,1994,6,540,90,100.0,6.0,6,90,6,0,,0,0.80,2,13,-11,-1.83,,4.1,12.4,-8.3,-1.39,,Matches
53,Antonio Barreca\Antonio-Barreca,it ITA,DF,fr Monaco,23,1995,1,90,90,16.7,1.0,1,90,1,0,,3,0.00,0,4,-4,-4.00,-2.40,1.2,1.7,-0.5,-0.51,+0.57,Matches
54,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,it Juventus,37,1981,3,108,36,12.0,1.2,1,92,1,2,8,2,2.00,3,2,+1,+0.83,+0.38,3.7,1.0,+2.7,+2.25,+1.59,Matches
55,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,es Valencia,24,1993,5,345,69,63.9,3.8,4,81,2,1,23,1,1.00,3,4,-1,-0.26,-0.72,3.2,7.8,-4.6,-1.20,-1.49,Matches
56,Oliver Baumann\Oliver-Baumann,de GER,GK,de Hoffenheim,28,1990,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,11,14,-3,-0.50,,10.9,12.2,-1.3,-0.21,,Matches
57,Ömer Bayram\Omer-Bayram,tr TUR,DF,tr Galatasaray,27,1991,2,54,27,10.0,0.6,0,,0,2,27,3,0.50,0,1,-1,-1.67,-1.30,0.2,1.2,-1.1,-1.78,-1.93,Matches
58,Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,pt Porto,21,1996,1,8,8,0.9,0.1,0,,0,1,7,0,3.00,0,0,0,0.00,-0.49,0.1,0.0,+0.1,+1.49,+1.63,Matches
59,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,ru CSKA Moscow,22,1996,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,8,9,-1,-0.17,,7.1,9.7,-2.6,-0.43,,Matches
60,Donny van de Beek\Donny-van-de-Beek,nl NED,MF,nl Ajax,21,1997,12,981,82,90.8,10.9,11,87,6,1,28,0,2.00,18,10,+8,+0.73,-0.18,18.4,13.8,+4.6,+0.42,-1.02,Matches
61,Aziz Behich\Aziz-Behich,au AUS,DFMF,nl PSV Eindhoven,27,1990,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
62,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,de Hoffenheim,26,1992,5,346,69,64.1,3.8,4,82,2,1,20,0,0.40,6,10,-4,-1.04,-1.50,5.2,8.6,-3.4,-0.88,-1.86,Matches
63,Younès Belhanda\Younes-Belhanda,ma MAR,MF,tr Galatasaray,28,1990,4,325,81,60.2,3.6,4,81,2,0,,0,1.00,2,3,-1,-0.28,+0.56,2.9,6.0,-3.1,-0.84,-2.02,Matches
64,Diego Benaglio\Diego-Benaglio,ch SUI,GK,fr Monaco,34,1983,5,404,81,74.8,4.5,5,81,4,0,,0,0.00,1,10,-9,-2.00,-0.02,3.5,6.2,-2.7,-0.60,+1.55,Matches
65,Medhi Benatia\Medhi-Benatia,ma MAR,DF,it Juventus,31,1987,1,90,90,10.0,1.0,1,90,1,0,,4,3.00,3,0,+3,+3.00,+2.78,3.5,0.2,+3.3,+3.31,+2.74,Matches
66,Loris Benito\Loris-Benito,ch SUI,DF,ch Young Boys,26,1992,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,4,12,-8,-1.33,,7.1,12.9,-5.8,-0.97,,Matches
67,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,de Schalke 04,23,1994,6,424,71,58.9,4.7,4,91,4,2,31,1,1.17,5,14,-9,-1.91,-2.82,5.2,10.0,-4.8,-1.02,-1.93,Matches
68,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MFFW,it Juventus,21,1997,7,551,79,61.2,6.1,6,90,6,1,10,1,1.00,5,7,-2,-0.33,-2.13,8.6,5.0,+3.7,+0.60,-0.62,Matches
69,Karim Benzema\Karim-Benzema,fr FRA,FW,es Real Madrid,30,1987,8,582,73,80.8,6.5,8,73,2,0,,0,1.88,12,8,+4,+0.62,-0.03,11.5,8.8,+2.7,+0.42,-0.29,Matches
70,Steve von Bergen\Steve-von-Bergen,ch SUI,DF,ch Young Boys,35,1983,5,405,81,75.0,4.5,5,81,4,0,,0,0.71,2,10,-8,-1.78,-1.78,5.5,9.2,-3.7,-0.82,+0.60,Matches
71,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,nl PSV Eindhoven,20,1997,5,400,80,74.1,4.4,5,80,1,0,,0,1.00,3,8,-5,-1.13,+0.16,5.3,9.5,-4.2,-0.94,-0.26,Matches
72,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,it Juventus,24,1994,8,552,69,61.3,6.1,6,88,4,2,11,0,1.63,11,6,+5,+0.82,+0.82,13.0,7.0,+6.0,+0.98,+0.34,Matches
73,Juan Bernat\Juan-Bernat,es ESP,DFMF,fr Paris S-G,25,1993,8,675,84,93.8,7.5,8,84,7,0,,0,1.75,18,11,+7,+0.93,-1.07,14.7,9.4,+5.3,+0.70,+1.68,Matches
74,Tommaso Berni\Tommaso-Berni,it ITA,GK,it Inter,35,1983,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
75,Leonardo Bertone\Leonardo-Bertone,ch SUI,MF,ch Young Boys,24,1994,3,107,36,19.8,1.2,1,92,1,2,8,3,1.75,0,3,-3,-2.52,-1.48,0.5,4.0,-3.5,-2.96,-2.48,Matches
76,Giulian Biancone\Giulian-Biancone,fr FRA,DF,fr Monaco,18,2000,2,167,84,30.9,1.9,2,84,1,0,,0,0.00,0,3,-3,-1.62,+0.55,1.5,3.1,-1.6,-0.85,+0.19,Matches
77,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,de Hoffenheim,28,1990,3,252,84,46.7,2.8,3,84,2,0,,1,0.67,6,8,-2,-0.71,-0.40,5.3,6.0,-0.7,-0.26,-0.08,Matches
78,Jaka Bijol\Jaka-Bijol,si SVN,MF,ru CSKA Moscow,19,1999,3,270,90,50.0,3.0,3,90,3,0,,2,1.33,4,4,0,0.00,+0.33,3.7,4.5,-0.8,-0.27,+0.31,Matches
79,Kristijan Bistrović\Kristijan-Bistrovic,hr CRO,MF,ru CSKA Moscow,20,1998,2,180,90,33.3,2.0,2,90,2,0,,0,1.50,4,2,+2,+1.00,+1.75,2.8,2.6,+0.2,+0.12,+0.82,Matches
80,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,de Hoffenheim,24,1993,3,141,47,26.1,1.6,2,67,0,1,8,1,0.33,3,4,-1,-0.64,-0.19,3.5,3.2,+0.3,+0.18,+0.53,Matches
81,Daley Blind\Daley-Blind,nl NED,DFMF,nl Ajax,28,1990,12,1080,90,100.0,12.0,12,90,12,0,,0,2.00,22,13,+9,+0.75,,21.9,15.7,+6.2,+0.52,,Matches
82,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,25,1993,3,189,63,35.0,2.1,2,86,1,1,18,0,0.33,0,6,-6,-2.86,-1.32,0.7,5.7,-5.1,-2.42,-0.05,Matches
83,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,29,1988,5,450,90,62.5,5.0,5,90,5,0,,2,2.20,13,5,+8,+1.60,+1.60,10.6,7.1,+3.5,+0.69,+0.92,Matches
84,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,FWMF,ua Shakhtar,25,1993,4,172,43,31.9,1.9,2,74,1,2,12,1,0.50,1,9,-8,-4.19,-4.19,1.4,5.9,-4.5,-2.35,-1.64,Matches
85,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,31,1987,10,900,90,100.0,10.0,10,90,10,0,,0,1.60,14,9,+5,+0.50,,18.0,9.6,+8.4,+0.84,,Matches
86,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,30,1987,6,540,90,100.0,6.0,6,90,6,0,,0,1.43,5,17,-12,-2.00,,2.7,17.0,-14.3,-2.39,,Matches
87,Ioannis-Foivos Botos\Ioannis-Foivos-Botos,gr GRE,MF,gr AEK Athens,17,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
88,Lucas Boyé\Lucas-Boye,ar ARG,FW,gr AEK Athens,22,1996,4,124,31,23.0,1.4,1,70,0,3,18,0,0.00,0,0,0,0.00,+2.38,0.5,1.8,-1.2,-0.91,+0.62,Matches
89,Yacine Brahimi\Yacine-Brahimi,dz ALG,FWMF,pt Porto,28,1990,9,620,69,66.7,6.9,7,77,1,2,40,1,1.78,12,6,+6,+0.87,+1.16,10.2,8.6,+1.6,+0.23,+1.08,Matches
90,Juan Brandáriz\Juan-Brandariz,es ESP,DF,es Barcelona,19,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
91,Joshua Brenet\Joshua-Brenet,nl NED,DFFW,de Hoffenheim,24,1994,2,135,68,25.0,1.5,2,68,1,0,,3,0.00,2,3,-1,-0.67,-0.22,1.6,3.8,-2.2,-1.44,-1.64,Matches
92,Rhian Brewster\Rhian-Brewster,eng ENG,FW,eng Liverpool,18,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
93,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,25,1992,6,534,89,98.9,5.9,6,89,5,0,,0,1.33,5,7,-2,-0.34,-15.34,8.4,7.9,+0.5,+0.09,-5.04,Matches
94,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,de Schalke 04,26,1991,2,180,90,25.0,2.0,2,90,2,0,,0,0.00,2,10,-8,-4.00,-4.33,2.1,6.1,-4.0,-2.02,-2.40,Matches
95,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,de Dortmund,19,1998,5,152,30,21.1,1.7,1,65,0,4,22,1,1.20,4,1,+3,+1.78,+1.62,3.9,1.0,+2.9,+1.74,+1.36,Matches
96,Pavel Bucha\Pavel-Bucha,cz CZE,MF,cz Viktoria Plzeň,20,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
97,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,fr Paris S-G,40,1978,5,450,90,62.5,5.0,5,90,5,0,,0,2.00,10,6,+4,+0.80,-0.53,7.8,6.0,+1.8,+0.36,-0.63,Matches
98,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,de Schalke 04,29,1989,6,233,39,32.4,2.6,2,86,1,4,15,0,1.33,3,9,-6,-2.32,-2.32,2.7,5.9,-3.2,-1.24,-1.50,Matches
99,Roman Bürki\Roman-Burki,ch SUI,GK,de Dortmund,27,1990,7,630,90,87.5,7.0,7,90,7,0,,1,1.43,8,6,+2,+0.29,-1.71,9.2,6.0,+3.2,+0.46,-1.70,Matches
100,Dženis Burnić\Dzenis-Burnic,de GER,MF,de Dortmund,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
101,Sergio Busquets\Sergio-Busquets,es ESP,MF,es Barcelona,30,1988,12,1033,86,95.6,11.5,11,90,9,1,45,0,2.25,25,10,+15,+1.31,-0.61,21.9,13.1,+8.8,+0.76,+1.03,Matches
102,Bohdan Butko\Bohdan-Butko,ua UKR,DF,ua Shakhtar,27,1991,3,136,45,25.2,1.5,1,91,1,2,23,3,1.67,2,3,-1,-0.66,+0.90,1.1,2.5,-1.4,-0.92,+0.42,Matches
103,Martín Cáceres\Martin-Caceres,uy URU,DF,it Juventus,31,1987,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
104,Jonathan Cafu\Jonathan-Cafu,br BRA,MF,rs Red Star,27,1991,0,,,,,0,,0,0,,2,1.00,,,,,,,,,,,Matches
105,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DFMF,de Schalke 04,30,1988,6,511,85,71.0,5.7,6,85,5,0,,1,1.33,6,6,0,0.00,+2.58,8.0,7.1,+0.9,+0.16,+1.34,Matches
106,José Callejón\Jose-Callejon,es ESP,MFFW,it Napoli,31,1987,6,514,86,95.2,5.7,6,86,3,0,,0,1.50,7,4,+3,+0.53,+3.99,9.9,5.6,+4.2,+0.74,+1.00,Matches
107,Emre Can\Emre-Can,de GER,MFDF,it Juventus,24,1994,6,338,56,37.6,3.8,2,92,2,4,39,0,1.50,8,5,+3,+0.80,+0.48,7.7,5.0,+2.8,+0.73,-0.18,Matches
108,João Cancelo\Joao-Cancelo,pt POR,DF,it Juventus,24,1994,7,480,69,53.3,5.3,5,90,4,2,16,2,1.86,8,2,+6,+1.13,+1.34,9.0,4.7,+4.3,+0.81,-0.08,Matches
109,Antonio Candreva\Antonio-Candreva,it ITA,FWMF,it Inter,31,1987,5,138,28,25.6,1.5,2,52,0,3,12,1,1.60,3,3,0,0.00,+0.22,2.8,2.4,+0.4,+0.28,+0.19,Matches
110,Mikel Carro\Mikel-Carro,es ESP,MF,es Atlético Madrid,19,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
111,Dani Carvajal\Dani-Carvajal,es ESP,DF,es Real Madrid,26,1992,6,419,70,58.2,4.7,5,81,4,1,16,0,1.50,8,6,+2,+0.43,-0.47,9.0,7.4,+1.6,+0.34,-0.33,Matches
112,Casemiro\Casemiro,br BRA,MF,es Real Madrid,26,1992,6,503,84,69.9,5.6,6,84,4,0,,0,2.00,13,7,+6,+1.07,+1.49,11.1,7.3,+3.8,+0.68,+0.66,Matches
113,Kiko Casilla\Kiko-Casilla,es ESP,GK,es Real Madrid,31,1986,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
114,Iker Casillas\Iker-Casillas,es ESP,GK,pt Porto,37,1981,10,930,93,100.0,10.3,10,93,10,0,,0,1.90,20,15,+5,+0.48,,15.9,17.2,-1.3,-0.13,,Matches
115,Nicolás Castillo\Nicolas-Castillo,cl CHI,FW,pt Benfica,25,1993,1,14,14,2.6,0.2,0,,0,1,13,4,2.33,1,0,+1,+6.43,+7.46,0.7,0.1,+0.6,+3.91,+4.34,Matches
116,Goran Čaušić\Goran-Causic,rs SRB,MF,rs Red Star,26,1992,5,313,63,58.0,3.5,3,91,3,2,21,0,0.80,2,11,-9,-2.59,-1.40,1.2,11.3,-10.1,-2.91,-1.24,Matches
117,Edinson Cavani\Edinson-Cavani,uy URU,FW,fr Paris S-G,31,1987,7,413,59,57.4,4.6,5,80,2,2,7,0,1.57,14,6,+8,+1.74,+1.74,10.7,5.3,+5.4,+1.17,+1.34,Matches
118,Dani Ceballos\Dani-Ceballos,es ESP,MF,es Real Madrid,21,1996,3,186,62,25.8,2.1,2,91,2,1,5,3,2.00,6,1,+5,+2.42,+2.42,3.2,1.7,+1.5,+0.73,+0.35,Matches
119,Muğdat Çelik\Mugdat-Celik,tr TUR,FW,tr Galatasaray,28,1990,3,41,14,7.6,0.5,0,,0,3,13,0,0.33,0,0,0,0.00,+0.54,0.0,1.1,-1.0,-2.20,-2.34,Matches
120,Aleš Čermák\Ales-Cermak,cz CZE,MF,cz Viktoria Plzeň,23,1994,5,348,70,64.4,3.9,4,81,2,1,26,0,1.40,5,9,-4,-1.03,+1.31,5.0,7.2,-2.2,-0.58,+0.60,Matches
121,Václav Černý\Vaclav-Cerny,cz CZE,FW,nl Ajax,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
122,Franco Cervi\Franco-Cervi,ar ARG,FW,pt Benfica,24,1994,6,310,52,57.4,3.4,3,91,3,3,12,0,1.50,3,9,-6,-1.74,-2.13,4.8,5.5,-0.7,-0.19,+0.30,Matches
123,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,fr Monaco,28,1989,5,313,63,58.0,3.5,4,75,2,1,13,0,0.20,2,10,-8,-2.30,-0.71,3.1,5.3,-2.2,-0.64,+0.83,Matches
124,Fyodor Chalov\Fyodor-Chalov,ru RUS,FW,ru CSKA Moscow,20,1998,6,505,84,93.5,5.6,6,84,2,0,,0,1.17,7,8,-1,-0.18,-0.18,6.1,8.3,-2.2,-0.40,+0.44,Matches
