,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
781,Taras Stepanenko\Taras-Stepanenko,ua UKR,MFDF,ua Shakhtar,31-246,1989,4,292,73,54.1,3.2,3,90,3,1,22,1,1.00,2,5,-3,-0.92,+0.53,2.3,6.0,-3.7,-1.14,-0.34,Matches
782,Raheem Sterling\Raheem-Sterling,eng ENG,FW,eng Manchester City,26-124,1994,8,560,70,69.1,6.2,6,82,3,2,33,1,2.75,14,1,+13,+2.09,+0.65,12.6,1.2,+11.4,+1.84,+1.37,Matches
783,Angelo Stiller\Angelo-Stiller,de GER,MFFW,de Bayern Munich,20-007,2001,2,21,11,2.6,0.2,0,,0,2,11,0,2.00,1,0,+1,+4.29,+2.57,0.9,0.2,+0.7,+3.19,+2.54,Matches
784,Lars Stindl\Lars-Stindl,de GER,MFFW,de M'Gladbach,32-228,1988,7,531,76,73.8,5.9,7,76,0,0,,1,1.00,12,8,+4,+0.68,+1.15,7.4,7.1,+0.3,+0.05,+1.16,Matches
785,John Stones\John-Stones,eng ENG,DF,eng Manchester City,26-318,1994,7,438,63,54.1,4.9,4,90,4,3,26,2,3.00,12,1,+11,+2.26,+0.81,9.5,2.8,+6.7,+1.38,-0.07,Matches
786,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,it Lazio,26-023,1995,1,90,90,12.5,1.0,1,90,1,0,,5,3.00,3,1,+2,+2.00,+2.29,1.4,1.9,-0.5,-0.52,-0.60,Matches
787,Kevin Strootman\Kevin-Strootman,nl NED,MF,fr Marseille,31-057,1990,3,31,10,5.7,0.3,0,,0,3,10,3,0.00,0,3,-3,-8.71,-7.30,0.0,1.2,-1.2,-3.62,-2.88,Matches
788,Luis Suárez\Luis-Suarez,uy URU,FW,es Atlético Madrid,34-077,1987,6,457,76,63.5,5.1,6,76,2,0,,0,1.17,4,9,-5,-0.98,-1.33,4.9,7.2,-2.3,-0.45,-0.92,Matches
789,Luka Sučić\Luka-Sucic,hr CRO,MFFW,at RB Salzburg,18-215,2002,3,43,14,8.0,0.5,0,,0,3,14,0,1.00,2,1,+1,+2.09,+3.54,2.1,1.0,+1.2,+2.43,+2.16,Matches
790,Heorhii Sudakov\Heorhii-Sudakov,ua UKR,FW,ua Shakhtar,18-222,2002,1,5,5,0.9,0.1,0,,0,1,5,5,3.00,0,0,0,0.00,+1.18,0.0,0.0,0.0,-0.38,+0.62,Matches
791,Niklas Süle\Niklas-Sule,de GER,DF,de Bayern Munich,25-220,1995,7,536,77,66.2,6.0,6,82,5,1,45,0,2.29,15,6,+9,+1.51,-0.79,12.3,6.6,+5.7,+0.96,+0.70,Matches
792,Magomed-Shapi Suleymanov\Magomed-Shapi-Suleymanov,ru RUS,FWMF,ru Krasnodar,21-116,1999,6,206,34,38.1,2.3,2,68,1,4,18,0,1.38,3,7,-4,-1.75,-1.48,2.5,4.8,-2.3,-0.99,-0.46,Matches
