Player,Nation,Pos,Secondary_Pos,Born
Luca Antei,it ITA,DF,,1992
Mirco Antenucci,it ITA,FW,,1984
Waldemar Anton,de GER,DF,MF,1996
Luca Antonelli,it ITA,DF,MF,1987
Michail Antonio,eng ENG,FW,MF,1990
Mirko Antonucci,it ITA,FW,,1999
Vitorino Antunes,pt POR,DF,,1987
Dennis Aogo,de GER,MF,DF,1987
Houssem Aouar,fr FRA,MF,FW,1998
Alberto Aquilani,it ITA,MF,,1984
Mauro Arambarri,uy URU,MF,,1995
Guilherme Arana,br BRA,DF,,1997
Charles Aránguiz,cl CHI,MF,,1989
Luiz Araújo,br BRA,FW,MF,1996
Sergio Araujo,ar ARG,FW,MF,1992
Anaitz Arbilla,es ESP,DF,,1987
Scott Arfield,ca CAN,FW,MF,1988
Samuel Armenteros,se SWE,FW,,1990
Yoël Armougom,fr FRA,MF,DF,1998
José Arnaiz,es ESP,MF,,1995
Marko Arnautović,at AUT,FW,MF,1989
Maximilian Arnold,de GER,MF,,1994
Jann-Fiete Arp,de GER,FW,,2000
Alejandro Arribas,es ESP,DF,,1989
Sergio Arribas,es ESP,FW,,1995
Harry Arter,ie IRL,MF,,1989
Aythami Artiles,es ESP,DF,,1986
Kwadwo Asamoah,gh GHA,DF,,1988
Takuma Asano,jp JPN,FW,MF,1994
Santiago Ascacíbar,ar ARG,MF,,1997
Marco Asensio,es ESP,FW,MF,1996
Iago Aspas,es ESP,FW,,1987
Benoît Assou-Ekotto,cm CMR,DF,,1984
Simon Asta,de GER,MF,,2001
Davide Astori,it ITA,DF,,1987
Christian Atsu,gh GHA,MF,FW,1992
Pierre-Emerick Aubameyang,ga GAB,FW,,1989
Pierre-Emerick Aubameyang,ga GAB,FW,,1989
Jean-Kévin Augustin,fr FRA,FW,,1997
Ludwig Augustinsson,se SWE,DF,MF,1994
Yann Aurel Bisseck,de GER,DF,FW,2000
Serge Aurier,ci CIV,DF,,1992
Charlie Austin,eng ENG,FW,,1989
Danilo Avelar,br BRA,DF,FW,1989
Felipe Avenatti,uy URU,FW,MF,1993
Durel Avounou,cg CGO,MF,DF,1997
Chidozie Awaziem,ng NGA,DF,,1997
André Ayew,gh GHA,FW,MF,1989
André Ayew,gh GHA,FW,MF,1989
Jordan Ayew,gh GHA,FW,MF,1991
Karim Azamoum,fr FRA,MF,,1990
César Azpilicueta,es ESP,DF,,1989
Ludovic Baal,gf GUF,DF,,1986
Khouma Babacar,sn SEN,FW,MF,1993
Khouma Babacar,sn SEN,FW,,1993
Carlos Bacca,co COL,FW,,1986
Milan Badelj,hr CRO,MF,,1989
Holger Badstuber,de GER,DF,MF,1989
Dylan Bahamboula,cg CGO,FW,MF,1995
Farès Bahlouli,fr FRA,MF,FW,1995
Stéphane Bahoken,cm CMR,FW,,1992
Daniel Baier,de GER,MF,,1984
Leon Bailey,jm JAM,FW,DF,1997
Eric Bailly,ci CIV,DF,,1994
Leighton Baines,eng ENG,DF,,1984
Riad Bajić,ba BIH,FW,MF,1994
Marvin Bakalorz,de GER,MF,,1989
Cédric Bakambu,cd COD,FW,,1991
Tiemoué Bakayoko,fr FRA,MF,,1994
Zakaria Bakkali,be BEL,FW,MF,1996
Ridle Baku,de GER,MF,,1998
Keita Baldé,sn SEN,FW,MF,1995
Sam Baldock,eng ENG,FW,MF,1989
Gareth Bale,wal WAL,FW,MF,1989
Mikel Balenziaga,es ESP,DF,,1988
Andrija Balić,hr CRO,MF,,1997
Iván Balliu,al ALB,DF,,1992
Fodé Ballo-Touré,sn SEN,DF,,1997
Florent Balmont,fr FRA,MF,,1980
Leon Balogun,ng NGA,DF,,1988
Mario Balotelli,it ITA,FW,,1990
Abdoulaye Bamba,ci CIV,DF,,1990
Jonathan Bamba,fr FRA,FW,MF,1996
Yacine Bammou,ma MAR,MF,FW,1991
Éver Banega,ar ARG,MF,,1988
Mattia Bani,it ITA,DF,,1993
Beni Baningime,cd COD,MF,,1998
Léo Baptistão,br BRA,FW,MF,1992
Sekou Baradji,fr FRA,MF,,1984
Antonín Barák,cz CZE,MF,,1994
Andrea Barberis,it ITA,MF,,1993
Enis Bardhi,mk MKD,MF,,1995
Phil Bardsley,sco SCO,DF,,1985
Nicolò Barella,it ITA,MF,,1997
Philipp Bargfrede,de GER,MF,,1989
Ross Barkley,eng ENG,MF,FW,1993
Aymen Barkok,ma MAR,MF,FW,1998
Ashley Barnes,eng ENG,FW,,1989
Harvey Barnes,eng ENG,MF,FW,1997
Antonio Barragán,es ESP,DF,MF,1987
Antonio Barreca,it ITA,DF,MF,1995
Édgar Barreto,py PAR,MF,,1984
Barri,es ESP,MF,FW,1995
Musa Barrow,gm GAM,FW,MF,1998
Gareth Barry,eng ENG,MF,,1981
Fin Bartels,de GER,FW,,1987
Kyle Bartley,eng ENG,DF,,1991
Marc Bartra,es ESP,DF,,1991
Marc Bartra,es ESP,DF,,1991
Andrea Barzagli,it ITA,DF,,1981
Daniele Baselli,it ITA,MF,,1992
Nicolas Basin,fr FRA,DF,,1998
Dušan Basta,rs SRB,DF,MF,1984
Gil Bastião Dias,pt POR,FW,MF,1996
Gil Bastião Dias,pt POR,FW,,1996
