Player,Nation,Pos,Secondary_Pos,Born
Rade Krunić,ba BIH,MF,,1993
Max Kruse,de GER,FW,,1988
Grzegorz Krychowiak,pl POL,MF,,1990
Lukas Kübler,de GER,DF,,1992
Juraj Kucka,sk SVK,MF,,1987
Sven Kums,be BEL,MF,,1988
Sinan Kurt,tr TUR,FW,MF,1996
Jasmin Kurtić,si SVN,MF,FW,1989
Layvin Kurzawa,fr FRA,DF,,1992
Zdravko Kuzmanović,rs SRB,MF,,1987
Han Kwang-song,kp PRK,FW,,1998
Enock Kwateng,fr FRA,DF,,1997
Gaëtan Laborde,fr FRA,FW,,1994
Alexandre Lacazette,fr FRA,FW,,1991
Léo Lacroix,ch SUI,DF,,1992
Víctor Laguardia,es ESP,DF,,1989
Philipp Lahm,de GER,DF,,1983
Adam Lallana,eng ENG,MF,FW,1988
Rickie Lambert,eng ENG,FW,,1982
Érik Lamela,ar ARG,MF,,1992
Ádám Lang,hu HUN,DF,,1993
Sebastian Langkamp,de GER,DF,,1988
Manuel Lanzini,ar ARG,MF,,1993
Gianluca Lapadula,pe PER,FW,,1990
Aymeric Laporte,fr FRA,DF,,1994
Danilo Larangeira,br BRA,DF,,1984
Seb Larsson,se SWE,MF,,1985
Miguel de las Cuevas,es ESP,MF,,1986
Paul Lasne,fr FRA,MF,,1989
Pierre-Michel Lasogga,de GER,FW,,1991
Toni Lato,es ESP,DF,,1997
Danny Latza,de GER,MF,,1989
Laure,es ESP,DF,,1985
Vincent Laurini,fr FRA,DF,,1989
Wesley Lautoa,nc NCL,MF,DF,1987
Diego Laxalt,uy URU,MF,,1993
Darko Lazović,rs SRB,MF,FW,1990
Mickaël Le Bihan,fr FRA,FW,,1990
Vincent Le Goff,fr FRA,DF,,1989
Maxime Le Marchand,fr FRA,DF,,1989
James Lea Siliki,fr FRA,FW,MF,1996
Grant Leadbitter,eng ENG,MF,,1986
Jordan Leborgne,fr FRA,DF,,1995
Mathew Leckie,au AUS,MF,FW,1991
Joe Ledley,wal WAL,MF,,1987
Pierre Lees-Melou,fr FRA,MF,FW,1993
Matthias Lehmann,de GER,MF,,1983
Robert Leipertz,de GER,FW,MF,1993
Moritz Leitner,de GER,MF,,1992
Moritz Leitner,de GER,MF,,1992
Lucas Leiva,br BRA,MF,DF,1987
Florian Lejeune,fr FRA,DF,,1991
Kevin Lejeune,fr FRA,MF,,1985
Jonathan Leko,eng ENG,FW,MF,1999
Iñigo Lekue,es ESP,MF,DF,1993
Thomas Lemar,fr FRA,MF,,1995
Mario Lemina,ga GAB,MF,,1993
Fabien Lemoine,fr FRA,MF,,1987
Álvaro Lemos,es ESP,DF,MF,1993
Mauricio Lemos,uy URU,DF,,1995
Clément Lenglet,fr FRA,DF,,1995
Clément Lenglet,fr FRA,DF,,1995
Ermir Lenjani,al ALB,DF,FW,1989
Aaron Lennon,eng ENG,MF,FW,1987
Jeremain Lens,nl NED,FW,MF,1987
Pedro León,es ESP,MF,,1986
Sergio León,es ESP,FW,,1989
Joleon Lescott,eng ENG,DF,,1982
Filip Lesniak,sk SVK,MF,,1996
Timo Letschert,nl NED,DF,,1993
Tobias Levels,de GER,DF,,1986
Dorian Lévêque,fr FRA,DF,,1989
Robert Lewandowski,pl POL,FW,,1988
Igor Lewczuk,pl POL,DF,,1985
Stefan Lex,de GER,MF,,1989
Aaron Leya Iseka,be BEL,MF,FW,1997
Dario Lezcano,py PAR,FW,,1990
Stephan Lichtsteiner,ch SUI,DF,MF,1984
Lillo,es ESP,DF,,1989
Lucas Lima,br BRA,DF,,1991
Karol Linetty,pl POL,MF,,1995
Jesse Lingard,eng ENG,MF,FW,1992
Pol Lirola,es ESP,DF,,1997
Marko Livaja,hr CRO,FW,,1993
Jake Livermore,eng ENG,MF,,1989
Jake Livermore,eng ENG,MF,DF,1989
Adem Ljajić,rs SRB,FW,MF,1991
Diego Llorente,es ESP,DF,MF,1993
Fernando Llorente,es ESP,FW,,1985
Marcos Llorente,es ESP,MF,,1995
Alexandre Llovet,fr FRA,FW,,1997
Giovani Lo Celso,ar ARG,MF,,1996
Simone Lo Faso,it ITA,MF,,1998
Manuel Locatelli,it ITA,MF,,1998
Francesco Lodi,it ITA,MF,,1984
Raoul Loé,cm CMR,MF,,1989
Ruben Loftus-Cheek,eng ENG,MF,,1996
David Lombán,es ESP,DF,,1987
Cristiano Lombardi,it ITA,FW,,1995
Kevin Long,ie IRL,DF,,1990
Shane Long,ie IRL,FW,,1987
Ademola Lookman,eng ENG,FW,,1997
Hélder Lopes,pt POR,DF,,1989
Rony Lopes,pt POR,MF,FW,1995
Adrián López,es ESP,FW,MF,1988
David López,es ESP,DF,MF,1989
Isma López,es ESP,DF,MF,1990
Javi López,es ESP,DF,,1986
Maxi López,ar ARG,FW,,1984
Maxime Lopez,fr FRA,MF,,1997
Unai López,es ESP,MF,,1995
Alberto Lora,es ESP,DF,,1987
Jordan Lotiès,fr FRA,DF,,1984
Jeff Louis,ht HAI,MF,FW,1992
Donald Love,sco SCO,DF,,1994
Dejan Lovren,hr CRO,DF,,1989
Matthew Lowton,eng ENG,DF,,1989
Luciano,br BRA,FW,,1993
José Luis Gayà,es ESP,DF,,1995
Filipe Luís,br BRA,DF,,1985
Luisinho,pt POR,DF,MF,1985
David Luiz,br BRA,DF,,1987
David Luiz,br BRA,DF,,1987
Jordan Lukaku,be BEL,MF,DF,1994
Romelu Lukaku,be BEL,FW,,1993
Dodi Lukebakio,be BEL,FW,MF,1997
Saša Lukić,rs SRB,MF,,1996
Senad Lulić,ba BIH,MF,FW,1986
Antonio Luna,es ESP,DF,,1991
Arnaud Lusamba,fr FRA,FW,MF,1997
Fabian Lustenberger,ch SUI,MF,DF,1988
Cheikh M'Bengue,sn SEN,DF,MF,1988
Massimo Maccarone,it ITA,FW,,1979
Zinédine Machach,fr FRA,MF,,1996
Darwin Machís,ve VEN,MF,FW,1993
Christian Maggio,it ITA,DF,,1982
Francesco Magnanelli,it ITA,MF,,1984
Harry Maguire,eng ENG,DF,,1993
Hicham Mahou,fr FRA,MF,,1999
Riyad Mahrez,dz ALG,MF,,1991
Raffaele Maiello,it ITA,MF,,1991
Arne Maier,de GER,MF,,1999
Domenico Maietta,it ITA,DF,,1982
Habib Maïga,ci CIV,DF,MF,1996
Ainsley Maitland-Niles,eng ENG,DF,FW,1997
Abdul Majeed Waris,gh GHA,FW,MF,1991
Jean-Victor Makengo,fr FRA,MF,,1998
Nikola Maksimović,rs SRB,DF,,1991
Steed Malbranque,fr FRA,MF,,1980
Malcom,br BRA,FW,MF,1997
Kévin Malcuit,ma MAR,DF,MF,1991
Aly Mallé,ml MLI,MF,FW,1998
Yunus Mallı,tr TUR,MF,,1992
Yunus Mallı,tr TUR,MF,FW,1992
Hugo Mallo,es ESP,DF,,1991
Shaun Maloney,sco SCO,MF,,1983
Emanuel Mammana,ar ARG,DF,,1996
Rey Manaj,al ALB,FW,,1997
Vincent Manceau,fr FRA,DF,,1989
Christophe Mandanne,fr FRA,FW,,1985
Aïssa Mandi,dz ALG,DF,,1991
Georges Mandjeck,cm CMR,MF,,1988
Rolando Mandragora,it ITA,MF,,1997
Mario Mandžukić,hr CRO,FW,MF,1986
Alexis Mané,sn SEN,MF,,1997
Sadio Mané,sn SEN,FW,,1992
Eliaquim Mangala,fr FRA,DF,,1991
Thomas Mangani,fr FRA,MF,,1987
Ousman Manneh,gm GAM,FW,,1997
Kostas Manolas,gr GRE,DF,,1991
Javier Manquillo,es ESP,DF,MF,1994
Martín Mantovani,ar ARG,DF,,1984
José Manuel Jurado,es ESP,MF,,1986
Faitout Maouassa,fr FRA,MF,FW,1998
Mohamed Mara,gn GUI,MF,FW,1996
Florian Marange,fr FRA,DF,,1986
Fernando Marçal,br BRA,DF,,1989
Vincent Marcel,fr FRA,FW,MF,1997
Marcelo,br BRA,DF,,1988
Giovanni Marchese,it ITA,DF,,1984
Vincent Marchetti,fr FRA,MF,,1997
Claudio Marchisio,it ITA,MF,,1986
Gian Marco Ferrari,it ITA,DF,,1992
Óscar de Marcos,es ESP,DF,,1989
José María Giménez,uy URU,DF,MF,1995
Mariano,do DOM,FW,,1993
Mariano,br BRA,DF,MF,1986
Adrian Mariappa,jm JAM,DF,,1986
Jordan Marié,fr FRA,MF,,1991
Guido Marilungo,it ITA,FW,,1989
Adrián Marín,es ESP,DF,,1997
João Mário,pt POR,MF,,1993
Lazar Marković,rs SRB,MF,,1994
Marlon,br BRA,DF,,1995
Dean Marney,eng ENG,MF,,1984
Dominic Maroh,si SVN,DF,,1987
Iván Márquez,es ESP,DF,,1994
Javi Márquez,es ESP,MF,,1986
Marquinhos,br BRA,DF,,1994
Bruno Martella,it ITA,DF,MF,1992
Anthony Martial,fr FRA,MF,FW,1995
Aarón Martín,es ESP,DF,,1997
Alberto Martín,es ESP,MF,,1989
Jonas Martin,fr FRA,MF,,1990
Marvin Martin,fr FRA,FW,MF,1988
Cuco Martina,cw CUW,DF,,1989
Álex Martínez,es ESP,DF,,1990
Carlos Martínez,es ESP,DF,,1986
Iñigo Martínez,es ESP,DF,,1991
Javi Martínez,es ESP,DF,,1988
Josef Martínez,ve VEN,FW,,1993
Pablo Martinez,fr FRA,DF,,1989
Bruno Martins Indi,nl NED,DF,,1992
Jonathan Martins Pereira,fr FRA,DF,,1986
Luís Martins,pt POR,DF,,1992
Joris Marveaux,mq MTQ,MF,,1982
Sylvain Marveaux,fr FRA,MF,FW,1986
Omar Mascarell,es ESP,MF,,1993
Javier Mascherano,ar ARG,DF,,1984
Andrea Masiello,it ITA,DF,,1986
Adam Masina,ma MAR,DF,,1994
Brandon Mason,eng ENG,DF,,1997
Ryan Mason,eng ENG,MF,,1991
Arthur Masuaku,cd COD,DF,MF,1993
Juan Mata,es ESP,MF,FW,1988
Jean-Philippe Mateta,fr FRA,FW,,1997
Jérémy Mathieu,fr FRA,DF,,1983
Boris Mathis,fr FRA,FW,,1997
Nemanja Matić,rs SRB,MF,,1988
Joël Matip,cm CMR,DF,,1991
Marvin Matip,cm CMR,DF,,1985
Ryder Matos,br BRA,FW,MF,1993
Alessandro Matri,it ITA,FW,,1984
Blaise Matuidi,fr FRA,MF,,1987
José Mauri,it ITA,MF,,1996
Mërgim Mavraj,al ALB,DF,,1986
Mërgim Mavraj,al ALB,DF,,1986
Rio Mavuba,fr FRA,MF,,1984
Alfie Mawson,eng ENG,DF,,1994
Philipp Max,de GER,MF,DF,1993
Eric Maxim Choupo-Moting,cm CMR,MF,FW,1989
Maxwell,br BRA,DF,,1981
Borja Mayoral,es ESP,FW,,1997
Youssef Maziz,fr FRA,MF,,1998
Luca Mazzitelli,it ITA,MF,,1995
Kylian Mbappé,fr FRA,FW,MF,1998
Ibrahima Mbaye,sn SEN,DF,,1994
Isaac Mbenza,be BEL,MF,,1996
Dieumerci Mbokani,cd COD,FW,,1985
James McArthur,sco SCO,MF,,1987
Gareth McAuley,nir NIR,DF,,1979
Oliver McBurnie,sco SCO,FW,,1996
James McCarthy,ie IRL,MF,,1990
James McClean,ie IRL,MF,FW,1989
Levan Mchedlidze,ge GEO,FW,,1990
Weston McKennie,us USA,MF,,1998
Paddy McNair,nir NIR,MF,,1995
Sam McQueen,eng ENG,DF,,1995
Scott McTominay,sco SCO,MF,,1996
Gary Medel,cl CHI,DF,MF,1987
Carl Medjani,dz ALG,DF,,1985
Álvaro Medrán,es ESP,MF,,1994
Ben Mee,eng ENG,DF,,1989
Jonas Meffert,de GER,MF,,1994
Riccardo Meggiorini,it ITA,FW,,1985
Admir Mehmedi,ch SUI,MF,FW,1991
Alexander Meier,de GER,FW,MF,1983
Federico Melchiorri,it ITA,FW,,1987
Filippo Melegoni,it ITA,MF,,1999
Óscar Melendo,es ESP,MF,,1997
Felipe Melo,br BRA,MF,,1983
Ledian Memushaj,al ALB,MF,,1986
Pedro Mendes,pt POR,DF,,1990
Ryan Mendes,cv CPV,MF,FW,1990
Tiago Mendes,pt POR,MF,,1981
Edgar Mendez,es ESP,MF,,1990
Alexandre Mendy,gw GNB,FW,,1994
Benjamin Mendy,fr FRA,DF,,1994
Nampalys Mendy,sn SEN,MF,,1992
Hamza Mendyl,ma MAR,DF,,1997
Jérémy Ménez,fr FRA,FW,,1987
Gabriel Mercado,ar ARG,DF,,1987
Jorge Meré,es ESP,DF,,1997
Fran Mérida,es ESP,MF,,1990
Mikel Merino,es ESP,DF,,1996
Sabin Merino,es ESP,FW,MF,1992
Dries Mertens,be BEL,FW,,1987
Per Mertesacker,de GER,DF,,1984
Roque Mesa,es ESP,MF,,1989
Djamel Mesbah,dz ALG,DF,,1984
Walid Mesloub,dz ALG,MF,,1985
Lionel Messi,ar ARG,FW,,1987
Thomas Meunier,be BEL,DF,,1991
Mexer,mz MOZ,DF,,1988
Max Meyer,de GER,MF,FW,1995
David Meyler,ie IRL,MF,DF,1989
Senna Miangue,be BEL,DF,,1997
Senna Miangue,be BEL,DF,,1997
Michel,br BRA,DF,,1990
Clément Michelin,fr FRA,MF,DF,1997
Giulio Migliaccio,it ITA,DF,MF,1981
Guido Milán,ar ARG,DF,,1987
Hrvoje Milić,hr CRO,MF,DF,1989
Hrvoje Miličević,hr CRO,DF,,1993
Arkadiusz Milik,pl POL,FW,,1994
Sergej Milinković-Savić,rs SRB,MF,,1995
Luka Milivojević,rs SRB,MF,,1991
James Milner,eng ENG,DF,,1986
Alexander Milošević,se SWE,DF,,1992
Santi Mina,es ESP,FW,MF,1995
Tyrone Mings,eng ENG,DF,,1993
Rafa Mir,es ESP,FW,,1997
Kevin Mirallas,be BEL,FW,MF,1987
Miranda,br BRA,DF,,1984
Simone Missiroli,it ITA,MF,,1986
Demetri Mitchell,eng ENG,DF,,1997
Alexandru Mitriță,ro ROU,MF,FW,1995
Maximilian Mittelstädt,de GER,DF,MF,1997
Henrikh Mkhitaryan,am ARM,FW,MF,1989
Filip Mladenović,rs SRB,DF,MF,1991
Jan Mlakar,si SVN,FW,,1998
Justin Möbius,de GER,MF,,1997
Anthony Modeste,fr FRA,FW,,1988
Luka Modrić,hr CRO,MF,,1985
Wilfried Moimbé,fr FRA,MF,,1988
Niklas Moisander,fi FIN,DF,,1985
Cristian Molinaro,it ITA,DF,,1983
Florent Mollet,fr FRA,MF,,1991
Momo,es ESP,MF,FW,1982
Cédric Mongongu,cd COD,DF,,1989
Kévin Monnet-Paquet,fr FRA,MF,FW,1988
Nacho Monreal,es ESP,DF,,1986
Jefferson Montero,ec ECU,MF,FW,1989
Riccardo Montolivo,it ITA,MF,,1985
Ángel Montoro,es ESP,MF,,1988
Martín Montoya,es ESP,DF,,1991
Walter Montoya,ar ARG,FW,,1993
Emre Mor,tr TUR,MF,FW,1997
Alfredo Morales,us USA,MF,,1990
Erik Morán,es ESP,MF,,1991
Álvaro Morata,es ESP,FW,,1992
Jan Morávek,cz CZE,MF,,1989
Steven Moreira,fr FRA,DF,,1994
Steven Moreira,fr FRA,DF,,1994
Jérémy Morel,mg MAD,DF,,1984
Alberto Moreno,es ESP,DF,,1992
Gerard Moreno,es ESP,FW,,1992
Marlos Moreno,co COL,MF,FW,1996
Emiliano Moretti,it ITA,DF,,1981
Wes Morgan,jm JAM,DF,,1984
Michel Morganella,ch SUI,MF,DF,1989
Archimede Morleo,it ITA,DF,,1983
Leonardo Morosini,it ITA,MF,,1995
James Morrison,sco SCO,MF,,1986
Victor Moses,ng NGA,MF,,1990
Pedro Mosquera,es ESP,MF,,1988
Mehdi Mostefa,dz ALG,MF,,1983
Thiago Motta,it ITA,MF,,1982
François Moubandje,ch SUI,DF,,1990
Benjamin Moukandjo,cm CMR,FW,MF,1988
Steve Mounié,bj BEN,FW,,1994
Anthony Mounier,fr FRA,FW,MF,1987
Anthony Mounier,fr FRA,FW,,1987
Lucas Moura,br BRA,FW,MF,1992
Lys Mousset,fr FRA,FW,,1996
João Moutinho,pt POR,MF,,1986
Ndombe Mubele,cd COD,MF,FW,1994
Nordi Mukiele,fr FRA,DF,,1997
Nicolai Müller,de GER,MF,,1987
Thomas Müller,de GER,MF,FW,1989
Maurice Multhaup,de GER,MF,,1996
Gianni Munari,it ITA,MF,,1983
Iker Muniain,es ESP,MF,,1992
Marc Muniesa,es ESP,DF,,1992
Ezequiel Muñoz,ar ARG,DF,,1990
Luis Muñoz,es ESP,DF,,1997
Sulley Muntari,gh GHA,MF,,1984
Vincent Muratori,fr FRA,DF,,1987
Alessandro Murgia,it ITA,MF,,1996
Robert Murić,hr CRO,FW,,1996
Luis Muriel,co COL,FW,,1991
Jeison Murillo,co COL,DF,,1992
Nicola Murru,it ITA,DF,,1994
Ahmed Musa,ng NGA,MF,FW,1992
Mateo Musacchio,ar ARG,DF,,1990
Yrondu Musavu-King,ga GAB,DF,,1992
Charly Musonda Jr.,be BEL,MF,,1996
Shkodran Mustafi,de GER,DF,,1992
Shkodran Mustafi,de GER,DF,,1992
Jordon Mutch,eng ENG,MF,,1991
Yoshinori Mutō,jp JPN,FW,,1992
Arnold Mvuemba,cd COD,MF,,1985
Mats Møller Dæhli,no NOR,MF,,1995
Alfred N'Diaye,sn SEN,MF,,1990
Alfred N'Diaye,sn SEN,MF,,1990
Mamadou N'Diaye,sn SEN,MF,,1995
Kévin N'Doram,fr FRA,MF,,1996
Cheikh N'Doye,sn SEN,MF,,1986
Serge N'Guessan,ci CIV,MF,,1994
Clinton N'Jie,cm CMR,FW,MF,1993
Georges-Kévin N'Koudou,fr FRA,MF,,1995
Nacho,es ESP,DF,,1990
Mickael Nade,fr FRA,DF,,1999
Yuto Nagatomo,jp JPN,DF,,1986
Ádám Nagy,hu HUN,MF,,1995
Matías Nahuel,es ESP,FW,MF,1996
Radja Nainggolan,be BEL,MF,,1988
Préjuce Nakoulma,bf BFA,FW,MF,1987
Naldo,br BRA,DF,,1982
Andrea Nalini,it ITA,MF,FW,1990
Lenny Nangis,fr FRA,MF,FW,1994
Nani,pt POR,MF,FW,1986
Nano,es ESP,FW,,1995
Luciano Narsingh,nl NED,FW,,1990
Samir Nasri,fr FRA,FW,MF,1987
Samir Nasri,fr FRA,MF,FW,1987
Matija Nastasić,rs SRB,DF,,1993
Kyle Naughton,eng ENG,DF,,1988
Fernando Navarro,es ESP,DF,,1982
Marc Navarro,es ESP,DF,,1995
Rafa Navarro,es ESP,DF,,1994
Jesús Navas,es ESP,MF,DF,1985
Raúl Navas,es ESP,DF,,1988
Dani Ndi,cm CMR,MF,,1995
Wilfred Ndidi,ng NGA,MF,,1996
Álvaro Negredo,es ESP,FW,,1985
Ilija Nestorovski,mk MKD,FW,,1990
Neymar,br BRA,FW,,1992
Axel Ngando,fr FRA,MF,FW,1993
Exaucé Ngassaki,cg CGO,FW,,1997
Julien Ngoy,be BEL,FW,,1997
Opa Nguette,sn SEN,MF,FW,1994
M'Baye Niang,sn SEN,MF,FW,1994
M'Baye Niang,sn SEN,FW,,1994
Oumar Niasse,sn SEN,FW,,1990
Florian Niederlechner,de GER,FW,,1990
Georg Niedermeier,de GER,DF,,1986
Håvard Nielsen,no NOR,FW,MF,1993
Peter Niemeyer,de GER,DF,MF,1983
Saúl Ñíguez,es ESP,MF,,1994
Casimir Ninga,td CHA,MF,FW,1993
Pavle Ninkov,rs SRB,DF,,1985
Nikola Ninković,rs SRB,FW,MF,1994
Nicolas Nkoulou,cm CMR,DF,,1990
Christopher Nkunku,fr FRA,MF,FW,1997
Mark Noble,eng ENG,MF,,1987
Nolito,es ESP,MF,FW,1986
Arnaud Nordin,fr FRA,MF,FW,1998
Håvard Nordtveit,no NOR,DF,MF,1990
Emilio Nsue,gq EQG,DF,MF,1989
Olivier Ntcham,fr FRA,MF,FW,1996
Paul-Georges Ntep,cm CMR,MF,,1992
Paul-Georges Ntep,cm CMR,MF,,1992
David Nugent,eng ENG,FW,,1985
Dickson Nwakaeme,ng NGA,FW,,1986
Simeon Nwankwo,ng NGA,FW,,1992
Allan Nyom,cm CMR,DF,,1988
Steven Nzonzi,fr FRA,MF,,1988
Aiden O'Neill,au AUS,MF,,1998
John O'Shea,ie IRL,DF,,1981
Mounir Obbadi,ma MAR,MF,,1983
Mounir Obbadi,ma MAR,MF,,1983
Joel Obi,ng NGA,MF,,1991
Pedro Obiang,gq EQG,MF,,1992
Victor Obinna,ng NGA,FW,,1987
Lucas Ocampos,ar ARG,FW,,1994
Lucas Ocampos,ar ARG,FW,,1994
Philipp Ochs,de GER,MF,DF,1997
Bastian Oczipka,de GER,DF,MF,1989
Álvaro Odriozola,es ESP,DF,,1995
Angelo Ogbonna,it ITA,DF,,1988
Marios Oikonomou,gr GRE,DF,,1992
Stefano Okaka,it ITA,FW,,1989
Shinji Okazaki,jp JPN,FW,MF,1986
Orji Okwonkwo,ng NGA,MF,,1998
Miguel Olavide,es ESP,MF,DF,1996
Sérgio Oliveira,pt POR,MF,,1992
Weligton Oliveira,br BRA,DF,,1979
Maximiliano Olivera,uy URU,MF,DF,1992
Denys Oliynyk,ua UKR,MF,,1987
Paweł Olkowski,pl POL,DF,MF,1990
Jonas Olsson,se SWE,DF,,1983
Martin Olsson,se SWE,DF,,1988
Prince Oniangué,cg CGO,MF,FW,1988
Karim Onisiwo,at AUT,MF,FW,1992
Josh Onomah,eng ENG,FW,MF,1997
Javier Ontiveros,es ESP,MF,,1997
Lucas Orbán,ar ARG,DF,,1989
Willi Orban,hu HUN,DF,,1992
Anderson Ordóñez,ec ECU,DF,,1994
Fabián Orellana,cl CHI,MF,FW,1986
Fabián Orellana,cl CHI,MF,FW,1986
Divock Origi,be BEL,FW,,1995
Yuya Osako,jp JPN,FW,MF,1990
Oscar,br BRA,MF,,1991
Victor Osimhen,ng NGA,FW,,1998
Matthias Ostrzolek,de GER,DF,MF,1990
Nicolás Otamendi,ar ARG,DF,,1988
Antonio Otegui,es ESP,MF,,1998
Adam Ounas,dz ALG,MF,FW,1996
Bryan Oviedo,cr CRC,DF,,1990
Bryan Oviedo,cr CRC,DF,MF,1990
Alex Oxlade-Chamberlain,eng ENG,MF,,1993
Mikel Oyarzabal,es ESP,FW,MF,1997
Salih Özcan,de GER,MF,,1998
Mesut Özil,de GER,MF,,1988
Levin Öztunalı,de GER,MF,,1996
Simone Padoin,it ITA,MF,,1984
Asdrúbal Padrón,es ESP,FW,MF,1991
Marko Pajač,hr CRO,MF,,1993
Vincent Pajot,fr FRA,MF,,1990
Rodrigo Palacio,ar ARG,FW,,1982
Federico Palacios Martínez,de GER,FW,,1995
Gabriel Paletta,it ITA,DF,,1986
Raffaele Palladino,it ITA,FW,MF,1984
Raffaele Palladino,it ITA,FW,MF,1984
Nicolas Pallois,fr FRA,DF,,1987
Emerson Palmieri,it ITA,DF,MF,1994
Julian Palmieri,fr FRA,DF,MF,1986
Angelo Palombo,it ITA,DF,,1981
Alberto Paloschi,it ITA,FW,,1990
Goran Pandev,mk MKD,FW,MF,1983
Aleksandar Pantić,rs SRB,DF,,1992
Kyriakos Papadopoulos,gr GRE,DF,MF,1992
Kyriakos Papadopoulos,gr GRE,DF,,1992
Sokratis Papastathopoulos,gr GRE,DF,,1988
Felipe Pardo,co COL,MF,,1990
Rubén Pardo,es ESP,MF,,1992
Rubén Pardo,es ESP,MF,,1992
Leandro Paredes,ar ARG,MF,,1994
Nicolás Pareja,ar ARG,DF,,1984
Daniel Parejo,es ESP,MF,,1989
Vittorio Parigini,it ITA,FW,MF,1996
Marco Parolo,it ITA,MF,,1985
Thomas Partey,gh GHA,MF,DF,1993
Mario Pašalić,hr CRO,MF,,1995
Manuel Pasqual,it ITA,DF,,1982
Bryan Passi,fr FRA,DF,,1997
Felix Passlack,de GER,DF,MF,1998
Javier Pastore,ar ARG,MF,FW,1989
Alexandre Pato,br BRA,FW,,1989
Patric,es ESP,DF,MF,1993
Gabriel Paulista,br BRA,DF,,1990
Daniel Pavlović,ba BIH,DF,,1988
Mateo Pavlović,ba BIH,DF,FW,1990
Leonardo Pavoletti,it ITA,FW,,1988
Leonardo Pavoletti,it ITA,FW,,1988
Dimitri Payet,fr FRA,MF,FW,1987
Dimitri Payet,fr FRA,FW,,1987
Benoît Pedretti,fr FRA,MF,,1980
Pedro,es ESP,FW,MF,1987
João Pedro,br BRA,MF,FW,1992
Peter Pekarík,sk SVK,DF,,1986
Pietro Pellegri,it ITA,FW,,2001
Lorenzo Pellegrini,it ITA,MF,,1996
Théo Pellenard,fr FRA,DF,,1994
Sergio Pellissier,it ITA,FW,,1979
Federico Peluso,it ITA,DF,,1984
Rubén Peña,es ESP,MF,FW,1991
Adalberto Peñaranda,ve VEN,FW,,1997
Adalberto Peñaranda,ve VEN,FW,,1997
Matthew Pennington,eng ENG,DF,,1994
Pepe,pt POR,DF,,1983
Nicolas Pépé,ci CIV,FW,,1995
Simone Pepe,it ITA,MF,FW,1983
Luis Perea,es ESP,MF,,1997
Andreas Pereira,br BRA,MF,,1996
Dion Pereira,eng ENG,MF,,1999
Matheus Pereira,br BRA,FW,MF,1996
Pedro Pereira,pt POR,FW,,1984
Ricardo Pereira,pt POR,MF,DF,1993
Bruno Peres,br BRA,MF,DF,1990
Roberto Pereyra,ar ARG,MF,FW,1991
Enzo Pérez,ar ARG,MF,,1986
Hernán Pérez,py PAR,MF,,1989
Joshua Pérez,us USA,FW,,1998
Lucas Pérez,es ESP,MF,FW,1988
Lucas Pérez,es ESP,FW,,1988
Rubén Pérez,es ESP,MF,,1989
Stipe Perica,hr CRO,FW,MF,1995
Ivan Perišić,hr CRO,MF,FW,1989
Diego Perotti,ar ARG,MF,FW,1988
Loïc Perrin,fr FRA,DF,,1985
Aleksandar Pešić,rs SRB,FW,,1992
Andrea Petagna,it ITA,FW,,1995
Nils Petersen,de GER,FW,,1988
Bruno Petković,hr CRO,FW,,1994
Petros,br BRA,MF,,1989
Thanos Petsos,gr GRE,MF,,1991
Stefano Pettinari,it ITA,FW,,1992
Mathieu Peybernes,fr FRA,DF,,1990
Mathieu Peybernes,fr FRA,DF,,1990
Germán Pezzella,ar ARG,DF,,1991
Giuseppe Pezzella,it ITA,DF,MF,1997
Maximilian Philipp,de GER,FW,MF,1994
Romain Philippoteaux,fr FRA,MF,,1988
Chris Philipps,lu LUX,MF,DF,1994
Matt Phillips,sco SCO,MF,,1991
Jessy Pi,fr FRA,MF,,1993
Pablo Piatti,ar ARG,MF,,1989
Cristiano Piccini,it ITA,DF,,1992
Jérémy Pied,fr FRA,DF,,1989
Steven Pienaar,za RSA,MF,FW,1982
Ronaël Pierre-Gabriel,fr FRA,DF,,1998
Erik Pieters,nl NED,DF,MF,1988
Andrea Pinamonti,it ITA,FW,,1999
Óscar Pinchi,es ESP,MF,,1996
Mauricio Pinilla,cl CHI,FW,,1984
Mauricio Pinilla,cl CHI,FW,,1984
Gerard Piqué,es ESP,DF,,1987
Fabio Pisacane,it ITA,DF,,1986
Łukasz Piszczek,pl POL,DF,MF,1985
Claudio Pizarro,pe PER,FW,,1978
Marko Pjaca,hr CRO,MF,,1995
Miralem Pjanić,ba BIH,MF,,1990
Carles Planas,es ESP,DF,,1991
Jaroslav Plašil,cz CZE,MF,,1982
Felix Platte,de GER,FW,MF,1996
Marvin Plattenhardt,de GER,DF,,1992
Alassane Pléa,fr FRA,FW,,1993
Morgan Poaty,cg CGO,DF,,1997
Florentin Pogba,gn GUI,DF,,1990
Paul Pogba,fr FRA,MF,,1993
Joel Pohjanpalo,fi FIN,FW,,1994
Lukáš Pokorný,cz CZE,DF,,1993
Eugen Polanski,pl POL,MF,,1986
Andrea Poli,it ITA,MF,DF,1989
Matteo Politano,it ITA,FW,,1993
Pierre-Yves Polomat,fr FRA,DF,MF,1993
Ezequiel Ponce,ar ARG,FW,,1997
Finn Porath,de GER,MF,,1997
Yussuf Poulsen,dk DEN,FW,,1994
Maxime Poundjé,fr FRA,DF,,1992
