Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Willy Caballero,ar ARG,GK,1981,9.0,eng Manchester City,34,5.0,4.0,393.0,4.4,11.0,2.52,23.0,12.0,52.2,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,Matches
Kiko Casilla,es ESP,GK,1986,10.0,es Real Madrid,29,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Iker Casillas,es ESP,GK,1981,11.0,pt Porto,35,8.0,8.0,720.0,8.0,6.0,0.75,21.0,15.0,76.2,3.0,2.0,3.0,3.0,37.5,1.0,1.0,0.0,0.0,0.0,Matches
Radosław Cierzniak,pl POL,GK,1983,12.0,pl Legia Warsaw,33,1.0,1.0,90.0,1.0,8.0,8.0,9.0,1.0,11.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Jasper Cillessen,nl NED,GK,1989,13.0,es Barcelona,27,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Morgan De Sanctis,it ITA,GK,1977,14.0,fr Monaco,39,1.0,1.0,90.0,1.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,Matches
Soslan Dzhanayev,ru RUS,GK,1987,15.0,ru Rostov,29,6.0,6.0,540.0,6.0,12.0,2.0,40.0,28.0,72.5,1.0,2.0,3.0,1.0,16.7,2.0,1.0,1.0,0.0,50.0,Matches
Ederson,br BRA,GK,1993,16.0,pt Benfica,22,7.0,7.0,630.0,7.0,10.0,1.43,34.0,24.0,73.5,3.0,2.0,2.0,3.0,42.9,3.0,1.0,2.0,0.0,66.7,Matches
Craig Gordon,sco SCO,GK,1982,17.0,sco Celtic,33,5.0,5.0,450.0,5.0,9.0,1.8,26.0,17.0,69.2,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Ben Hamer,eng ENG,GK,1987,18.0,eng Leicester City,28,1.0,1.0,90.0,1.0,5.0,5.0,8.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Bernd Leno,de GER,GK,1992,19.0,de Leverkusen,24,7.0,7.0,630.0,7.0,8.0,1.14,24.0,16.0,75.0,1.0,5.0,1.0,3.0,42.9,2.0,2.0,0.0,0.0,0.0,Matches
Dominik Livaković,hr CRO,GK,1995,20.0,hr Dinamo Zagreb,21,4.0,4.0,360.0,4.0,8.0,2.0,34.0,26.0,76.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Hugo Lloris,fr FRA,GK,1986,21.0,eng Tottenham,29,6.0,6.0,540.0,6.0,6.0,1.0,26.0,20.0,76.9,2.0,1.0,3.0,2.0,33.3,1.0,0.0,1.0,0.0,100.0,Matches
Anthony Lopes,pt POR,GK,1990,22.0,fr Lyon,25,6.0,6.0,540.0,6.0,3.0,0.5,20.0,17.0,90.0,2.0,2.0,2.0,3.0,50.0,2.0,1.0,0.0,1.0,0.0,Matches
Arkadiusz Malarz,pl POL,GK,1980,23.0,pl Legia Warsaw,36,5.0,5.0,450.0,5.0,16.0,3.2,46.0,30.0,65.2,1.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Keylor Navas,cr CRC,GK,1986,24.0,es Real Madrid,29,12.0,12.0,1110.0,12.3,17.0,1.38,50.0,33.0,74.0,8.0,3.0,1.0,1.0,8.3,5.0,4.0,0.0,1.0,0.0,Matches
Neto,br BRA,GK,1989,25.0,it Juventus,27,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Manuel Neuer,de GER,GK,1986,26.0,de Bayern Munich,30,9.0,9.0,840.0,9.3,11.0,1.18,48.0,37.0,77.1,6.0,0.0,3.0,2.0,22.2,2.0,0.0,1.0,1.0,100.0,Matches
Jan Oblak,si SVN,GK,1993,27.0,es Atlético Madrid,23,11.0,11.0,990.0,11.0,7.0,0.64,48.0,41.0,85.4,7.0,2.0,2.0,6.0,54.5,1.0,0.0,1.0,0.0,100.0,Matches
Robin Olsen,se SWE,GK,1990,28.0,dk FC Copenhagen,26,6.0,6.0,540.0,6.0,2.0,0.33,16.0,14.0,87.5,2.0,3.0,1.0,4.0,66.7,0.0,0.0,0.0,0.0,,Matches
David Ospina,co COL,GK,1988,29.0,eng Arsenal,27,8.0,8.0,720.0,8.0,16.0,2.0,40.0,24.0,62.5,4.0,2.0,2.0,1.0,12.5,1.0,1.0,0.0,0.0,0.0,Matches
Ramazan Özcan,at AUT,GK,1984,30.0,de Leverkusen,32,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Remko Pasveer,nl NED,GK,1983,31.0,nl PSV Eindhoven,32,1.0,1.0,90.0,1.0,7.0,7.0,12.0,5.0,50.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,Matches
Rui Patrício,pt POR,GK,1988,32.0,pt Sporting CP,28,6.0,6.0,540.0,6.0,8.0,1.33,19.0,11.0,57.9,1.0,0.0,5.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
Pepe Reina,es ESP,GK,1982,33.0,it Napoli,33,8.0,8.0,720.0,8.0,14.0,1.75,24.0,10.0,45.8,3.0,2.0,3.0,1.0,12.5,1.0,1.0,0.0,0.0,0.0,Matches
Sergio Rico,es ESP,GK,1993,34.0,es Sevilla,22,8.0,8.0,720.0,8.0,6.0,0.75,26.0,20.0,80.8,4.0,2.0,2.0,5.0,62.5,1.0,1.0,0.0,0.0,0.0,Matches
Artur Rudko,ua UKR,GK,1992,35.0,ua Dynamo Kyiv,24,5.0,5.0,450.0,5.0,4.0,0.8,19.0,15.0,89.5,1.0,2.0,2.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,Matches
Kasper Schmeichel,dk DEN,GK,1986,36.0,eng Leicester City,29,8.0,8.0,720.0,8.0,4.0,0.5,31.0,27.0,90.3,4.0,2.0,2.0,5.0,62.5,3.0,1.0,2.0,0.0,66.7,Matches
Adrian Šemper,hr CRO,GK,1998,37.0,hr Dinamo Zagreb,18,2.0,2.0,180.0,2.0,7.0,3.5,16.0,9.0,56.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Oleksandr Shovkovskiy,ua UKR,GK,1975,38.0,ua Dynamo Kyiv,41,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,,,,,,Matches
Yann Sommer,ch SUI,GK,1988,39.0,de M'Gladbach,27,6.0,6.0,540.0,6.0,12.0,2.0,38.0,26.0,73.7,1.0,2.0,3.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0,Matches
Vladislav Stoyanov,bg BUL,GK,1987,40.0,bg Ludogorets,29,5.0,5.0,450.0,5.0,12.0,2.4,36.0,24.0,66.7,0.0,3.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Danijel Subašić,hr CRO,GK,1984,41.0,fr Monaco,31,11.0,11.0,990.0,11.0,17.0,1.55,49.0,32.0,67.3,6.0,2.0,3.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0,Matches
Marc-André ter Stegen,de GER,GK,1992,42.0,es Barcelona,24,9.0,9.0,810.0,9.0,12.0,1.33,41.0,29.0,70.7,5.0,1.0,3.0,4.0,44.4,1.0,0.0,1.0,0.0,100.0,Matches
Kevin Trapp,de GER,GK,1990,43.0,fr Paris S-G,26,2.0,2.0,180.0,2.0,2.0,1.0,8.0,6.0,100.0,1.0,0.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,Matches
Sven Ulreich,de GER,GK,1988,44.0,de Bayern Munich,27,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Tomáš Vaclík,cz CZE,GK,1989,45.0,ch Basel,27,6.0,6.0,540.0,6.0,12.0,2.0,30.0,18.0,63.3,0.0,2.0,4.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches
Dorus de Vries,nl NED,GK,1980,46.0,sco Celtic,35,1.0,1.0,90.0,1.0,7.0,7.0,9.0,2.0,22.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Roman Weidenfeller,de GER,GK,1980,47.0,de Dortmund,35,2.0,2.0,180.0,2.0,6.0,3.0,15.0,9.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Tolga Zengin,tr TUR,GK,1983,48.0,tr Beşiktaş,32,1.0,1.0,90.0,1.0,1.0,1.0,6.0,5.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Ron-Robert Zieler,de GER,GK,1989,49.0,eng Leicester City,27,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Jeroen Zoet,nl NED,GK,1991,50.0,nl PSV Eindhoven,25,5.0,5.0,450.0,5.0,9.0,1.8,27.0,18.0,66.7,0.0,2.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Igor Akinfeev,ru RUS,GK,1986,1.0,ru CSKA Moscow,31,6.0,6.0,540.0,6.0,10.0,1.67,38.0,28.0,76.3,3.0,0.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches
Alisson,br BRA,GK,1992,2.0,it Roma,24,12.0,12.0,1080.0,12.0,19.0,1.58,62.0,43.0,69.4,6.0,2.0,4.0,5.0,41.7,0.0,0.0,0.0,0.0,,Matches
Alphonse Areola,fr FRA,GK,1993,3.0,fr Paris S-G,24,8.0,8.0,720.0,8.0,9.0,1.13,37.0,28.0,78.4,5.0,0.0,3.0,4.0,50.0,1.0,1.0,0.0,0.0,0.0,Matches
Diego Benaglio,ch SUI,GK,1983,4.0,fr Monaco,33,3.0,3.0,270.0,3.0,7.0,2.33,17.0,10.0,58.8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Frank Boeckx,be BEL,GK,1986,5.0,be Anderlecht,30,3.0,3.0,270.0,3.0,8.0,2.67,17.0,9.0,52.9,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,,Matches
Claudio Bravo,cl CHI,GK,1983,6.0,eng Manchester City,34,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Gianluigi Buffon,it ITA,GK,1978,7.0,it Juventus,39,9.0,9.0,810.0,9.0,11.0,1.22,35.0,24.0,68.6,4.0,3.0,2.0,2.0,22.2,0.0,0.0,0.0,0.0,,Matches
Roman Bürki,ch SUI,GK,1990,8.0,de Dortmund,26,6.0,6.0,540.0,6.0,13.0,2.17,36.0,23.0,63.9,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Kiko Casilla,es ESP,GK,1986,9.0,es Real Madrid,30,2.0,2.0,180.0,2.0,3.0,1.5,8.0,5.0,62.5,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,,Matches
Iker Casillas,es ESP,GK,1981,10.0,pt Porto,36,3.0,3.0,270.0,3.0,3.0,1.0,6.0,3.0,50.0,1.0,1.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,,Matches
Júlio César,br BRA,GK,1979,11.0,pt Benfica,37,1.0,1.0,90.0,1.0,5.0,5.0,8.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Jasper Cillessen,nl NED,GK,1989,12.0,es Barcelona,28,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Thibaut Courtois,be BEL,GK,1992,13.0,eng Chelsea,25,8.0,8.0,720.0,8.0,12.0,1.5,33.0,21.0,66.7,3.0,3.0,2.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0,Matches
Ederson,br BRA,GK,1993,14.0,eng Manchester City,23,9.0,9.0,810.0,9.0,10.0,1.11,31.0,21.0,74.2,6.0,0.0,3.0,4.0,44.4,3.0,2.0,1.0,0.0,33.3,Matches
Fabricio,es ESP,GK,1987,15.0,tr Beşiktaş,29,6.0,6.0,540.0,6.0,9.0,1.5,33.0,24.0,72.7,3.0,2.0,1.0,1.0,16.7,0.0,0.0,0.0,0.0,,Matches
David de Gea,es ESP,GK,1990,16.0,eng Manchester Utd,26,6.0,6.0,540.0,6.0,3.0,0.5,25.0,22.0,88.0,4.0,1.0,1.0,4.0,66.7,0.0,0.0,0.0,0.0,,Matches
Craig Gordon,sco SCO,GK,1982,17.0,sco Celtic,34,6.0,6.0,540.0,6.0,18.0,3.0,40.0,22.0,57.5,1.0,0.0,5.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,Matches
Raúl Gudiño,mx MEX,GK,1996,18.0,cy APOEL FC,21,1.0,0.0,45.0,0.5,1.0,2.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Matches
Péter Gulácsi,hu HUN,GK,1990,19.0,de RB Leipzig,27,6.0,6.0,540.0,6.0,11.0,1.83,26.0,15.0,61.5,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Jasmin Handanović,si SVN,GK,1978,20.0,si NK Maribor,39,6.0,6.0,540.0,6.0,16.0,2.67,45.0,29.0,66.7,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Matches
Brad Jones,au AUS,GK,1982,21.0,nl Feyenoord,35,5.0,5.0,450.0,5.0,13.0,2.6,25.0,12.0,48.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Stefanos Kapino,gr GRE,GK,1994,22.0,gr Olympiacos,23,1.0,1.0,90.0,1.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Loris Karius,de GER,GK,1993,23.0,eng Liverpool,24,13.0,13.0,1170.0,13.0,16.0,1.23,39.0,23.0,66.7,7.0,4.0,2.0,6.0,46.2,3.0,3.0,0.0,0.0,0.0,Matches
Hugo Lloris,fr FRA,GK,1986,24.0,eng Tottenham,30,7.0,7.0,630.0,7.0,8.0,1.14,26.0,18.0,76.9,4.0,2.0,1.0,1.0,14.3,3.0,2.0,0.0,1.0,0.0,Matches
Keylor Navas,cr CRC,GK,1986,25.0,es Real Madrid,30,11.0,11.0,990.0,11.0,13.0,1.18,41.0,28.0,68.3,8.0,2.0,1.0,2.0,18.2,0.0,0.0,0.0,0.0,,Matches
Manuel Neuer,de GER,GK,1986,26.0,de Bayern Munich,31,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Jan Oblak,si SVN,GK,1993,27.0,es Atlético Madrid,24,6.0,6.0,540.0,6.0,4.0,0.67,18.0,14.0,77.8,1.0,4.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0,,Matches
Rui Patrício,pt POR,GK,1988,28.0,pt Sporting CP,29,6.0,6.0,540.0,6.0,9.0,1.5,28.0,19.0,67.9,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Nauzet Pérez,es ESP,GK,1985,29.0,cy APOEL FC,32,3.0,3.0,270.0,3.0,10.0,3.33,19.0,9.0,47.4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Silvio Proto,be BEL,GK,1983,30.0,gr Olympiacos,34,5.0,5.0,450.0,5.0,10.0,2.0,24.0,14.0,58.3,0.0,1.0,4.0,1.0,20.0,0.0,0.0,0.0,0.0,,Matches
Andriy Pyatov,ua UKR,GK,1984,31.0,ua Shakhtar,33,8.0,8.0,720.0,8.0,11.0,1.37,45.0,34.0,80.0,5.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,33.3,Matches
Artyom Rebrov,ru RUS,GK,1984,32.0,ru Spartak Moscow,33,2.0,2.0,158.0,1.8,2.0,1.14,12.0,10.0,83.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Pepe Reina,es ESP,GK,1982,33.0,it Napoli,34,6.0,6.0,540.0,6.0,11.0,1.83,30.0,19.0,63.3,2.0,0.0,4.0,1.0,16.7,1.0,0.0,1.0,0.0,100.0,Matches
Sergio Rico,es ESP,GK,1993,34.0,es Sevilla,23,8.0,8.0,720.0,8.0,13.0,1.62,34.0,21.0,61.8,3.0,4.0,1.0,2.0,25.0,1.0,0.0,0.0,1.0,,Matches
Sergio Romero,ar ARG,GK,1987,35.0,eng Manchester Utd,30,2.0,2.0,180.0,2.0,2.0,1.0,7.0,5.0,71.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
