Player,Nation,Pos,Born,Rk,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
José Sá,pt POR,GK,1993,36.0,pt Porto,24,5.0,5.0,450.0,5.0,12.0,2.4,25.0,13.0,56.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Ibrahim Šehić,ba BIH,GK,1988,37.0,az Qarabağ FK,28,6.0,6.0,540.0,6.0,14.0,2.33,47.0,33.0,74.5,0.0,2.0,4.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0,Matches
Aleksandr Selikhov,ru RUS,GK,1994,38.0,ru Spartak Moscow,23,5.0,4.0,382.0,4.2,11.0,2.59,25.0,14.0,60.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Matz Sels,be BEL,GK,1992,39.0,be Anderlecht,25,3.0,3.0,270.0,3.0,9.0,3.0,14.0,5.0,42.9,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
David Soria,es ESP,GK,1993,40.0,es Sevilla,24,2.0,2.0,180.0,2.0,2.0,1.0,10.0,8.0,80.0,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,,Matches
Danijel Subašić,hr CRO,GK,1984,41.0,fr Monaco,32,3.0,3.0,270.0,3.0,7.0,2.33,11.0,4.0,54.5,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Mile Svilar,be BEL,GK,1999,42.0,pt Benfica,17,3.0,3.0,270.0,3.0,5.0,1.67,13.0,8.0,69.2,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Matches
Wojciech Szczęsny,pl POL,GK,1990,43.0,it Juventus,27,2.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,125.0,1.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,Matches
Marc-André ter Stegen,de GER,GK,1992,44.0,es Barcelona,25,9.0,9.0,810.0,9.0,6.0,0.67,22.0,16.0,77.3,5.0,3.0,1.0,5.0,55.6,1.0,1.0,0.0,0.0,0.0,Matches
Sven Ulreich,de GER,GK,1988,45.0,de Bayern Munich,28,11.0,11.0,990.0,11.0,12.0,1.09,41.0,29.0,70.7,7.0,2.0,2.0,3.0,27.3,0.0,0.0,0.0,0.0,,Matches
Tomáš Vaclík,cz CZE,GK,1989,46.0,ch Basel,28,8.0,8.0,720.0,8.0,10.0,1.25,27.0,17.0,63.0,5.0,0.0,3.0,4.0,50.0,0.0,0.0,0.0,0.0,,Matches
Bruno Varela,pt POR,GK,1994,47.0,pt Benfica,22,2.0,2.0,180.0,2.0,4.0,2.0,10.0,6.0,70.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Kenneth Vermeer,nl NED,GK,1986,48.0,nl Feyenoord,31,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Michel Vorm,nl NED,GK,1983,49.0,eng Tottenham,33,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Matches
Boy Waterman,nl NED,GK,1984,50.0,cy APOEL FC,33,3.0,3.0,225.0,2.5,6.0,2.4,11.0,5.0,54.5,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Igor Akinfeev,ru RUS,GK,1986,1.0,ru CSKA Moscow,32,5.0,5.0,449.0,5.0,6.0,1.2,25.0,19.0,76.0,2.0,1.0,2.0,2.0,40.0,1.0,0.0,1.0,0.0,100.0,Matches
Alisson,br BRA,GK,1992,2.0,eng Liverpool,25,13.0,13.0,1170.0,13.0,12.0,0.92,57.0,46.0,78.9,8.0,1.0,4.0,6.0,46.2,0.0,0.0,0.0,0.0,,Matches
Alphonse Areola,fr FRA,GK,1993,3.0,fr Paris S-G,25,3.0,3.0,270.0,3.0,6.0,2.0,15.0,10.0,66.7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Loic Badiashile,fr FRA,GK,1998,4.0,fr Monaco,20,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
David von Ballmoos,ch SUI,GK,1994,5.0,ch Young Boys,23,4.0,4.0,360.0,4.0,10.0,2.5,20.0,11.0,55.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
Vasilios Barkas,gr GRE,GK,1994,6.0,gr AEK Athens,24,6.0,6.0,540.0,6.0,13.0,2.17,38.0,27.0,71.1,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches
Oliver Baumann,de GER,GK,1990,7.0,de Hoffenheim,28,6.0,6.0,540.0,6.0,14.0,2.33,45.0,31.0,68.9,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches
Diego Benaglio,ch SUI,GK,1983,8.0,fr Monaco,34,5.0,5.0,405.0,4.5,10.0,2.22,17.0,8.0,47.1,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches
