Player,Nation,Pos,Squad,Comp,Born,goals_allowed,goals_allowed_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage,season
Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,1987,42,1.31,159,118,74.2,10.0,10.0,12.0,9,28.1,2.0,1.0,1.0,0.0,50.0,2018
Timo Horn,de GER,GK,Köln,de Bundesliga,1993,70,2.06,197,135,68.5,5.0,7.0,22.0,5,14.7,9.0,8.0,1.0,0.0,11.1,2018
Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,1989,45,1.32,133,91,67.7,14.0,7.0,13.0,7,20.6,3.0,2.0,0.0,1.0,0.0,2018
Gorka Iraizoz,es ESP,GK,Girona,es La Liga,1981,13,1.53,37,26,64.9,1.0,3.0,4.0,2,25.0,0.0,0.0,0.0,0.0,,2018
Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,1984,6,3.0,13,8,53.8,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,1984,44,1.42,130,92,70.0,10.0,10.0,11.0,7,22.6,6.0,5.0,0.0,1.0,0.0,2018
Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,1990,59,1.55,169,116,68.0,12.0,11.0,15.0,11,28.9,7.0,5.0,2.0,0.0,28.6,2018
Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,1996,32,1.7,90,60,66.7,4.0,6.0,9.0,2,10.5,2.0,2.0,0.0,0.0,0.0,2018
Loris Karius,de GER,GK,Liverpool,eng Premier League,1993,14,0.74,42,30,71.4,11.0,5.0,3.0,10,52.6,3.0,2.0,1.0,0.0,33.3,2018
Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,1985,24,1.67,52,31,59.6,4.0,3.0,7.0,4,28.6,3.0,3.0,0.0,0.0,0.0,2018
Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,1983,60,2.1,172,113,65.1,5.0,7.0,17.0,2,6.9,2.0,0.0,2.0,0.0,100.0,2018
Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,1996,11,2.75,19,10,47.4,0.0,1.0,3.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2018
Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,1992,36,1.06,130,98,73.8,16.0,8.0,10.0,10,29.4,3.0,2.0,1.0,0.0,33.3,2018
Maksym Koval,ua UKR,GKMF,La Coruña,es La Liga,1992,3,2.23,5,2,40.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,1988,2,0.67,12,11,91.7,0.0,3.0,0.0,1,33.3,1.0,1.0,0.0,0.0,0.0,2018
Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,1999,54,1.42,161,113,70.2,9.0,10.0,19.0,12,31.6,6.0,6.0,0.0,0.0,0.0,2018
Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,1989,1,1.0,3,2,66.7,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,1991,33,0.87,121,93,76.9,11.0,18.0,9.0,14,36.8,6.0,5.0,0.0,1.0,0.0,2018
Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,1992,40,1.21,104,68,66.3,15.0,10.0,8.0,10,30.3,5.0,5.0,0.0,0.0,0.0,2018
Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,1990,17,1.31,46,32,67.4,2.0,7.0,4.0,1,7.7,2.0,2.0,0.0,0.0,0.0,2018
Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,1991,27,2.45,61,36,59.0,1.0,2.0,8.0,1,9.1,2.0,2.0,0.0,0.0,0.0,2018
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,1986,35,0.97,120,86,72.5,22.0,7.0,7.0,15,41.7,3.0,2.0,1.0,0.0,33.3,2018
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,1990,37,1.09,135,106,76.3,21.0,8.0,5.0,14,41.2,8.0,5.0,2.0,1.0,28.6,2018
Diego López,es ESP,GK,Espanyol,es La Liga,1981,11,1.05,38,30,73.7,3.0,4.0,2.0,3,27.3,2.0,1.0,1.0,0.0,50.0,2018
Pau López,es ESP,GK,Espanyol,es La Liga,1994,31,1.13,128,100,78.1,9.0,9.0,11.0,9,33.3,5.0,3.0,1.0,1.0,25.0,2018
Pedro López,es ESP,GK,Betis,es La Liga,1995,8,1.75,18,10,55.6,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,1989,57,1.5,154,101,65.6,9.0,10.0,19.0,10,26.3,6.0,4.0,2.0,0.0,33.3,2018
Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,1987,4,2.0,6,3,50.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2018
Raïs M'Bolhi,dz ALG,GK,Rennes,fr Ligue 1,1986,3,3.0,5,4,80.0,0.0,0.0,1.0,0,0.0,2.0,2.0,0.0,0.0,0.0,2018
Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,1995,53,1.57,160,112,68.8,10.0,7.0,17.0,5,14.7,6.0,3.0,2.0,1.0,40.0,2018
Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,1985,37,1.24,118,85,72.0,18.0,8.0,4.0,11,35.5,6.0,4.0,1.0,1.0,20.0,2018
Gabriele Marchegiani,it ITA,GK,SPAL,it Serie A,1996,0,0.0,0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,2018
Emiliano Martínez,ar ARG,GK,Getafe,es La Liga,1992,7,1.4,19,13,68.4,2.0,1.0,2.0,2,40.0,1.0,1.0,0.0,0.0,0.0,2018
Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,1992,38,1.58,93,58,62.4,4.0,6.0,14.0,6,25.0,4.0,3.0,0.0,1.0,0.0,2018
Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,1989,26,1.44,64,39,60.9,3.0,8.0,7.0,4,22.2,1.0,1.0,0.0,0.0,0.0,2018
Alex Meret,it ITA,GK,SPAL,it Serie A,1997,16,1.24,56,45,76.8,2.0,7.0,4.0,4,30.8,6.0,3.0,2.0,1.0,40.0,2018
Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,1991,13,1.96,27,17,59.3,1.0,2.0,4.0,1,16.7,2.0,2.0,0.0,0.0,0.0,2018
Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,1988,24,1.26,57,35,61.4,10.0,7.0,2.0,7,36.8,3.0,2.0,1.0,0.0,33.3,2018
Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,1997,1,1.0,4,3,75.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Antonio Mirante,it ITA,GK,Bologna,it Serie A,1983,46,1.39,143,100,69.2,10.0,5.0,18.0,7,21.2,3.0,2.0,0.0,1.0,0.0,2018
Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,1986,6,1.77,27,22,81.5,1.0,0.0,2.0,1,33.3,1.0,1.0,0.0,0.0,0.0,2018
Florian Müller,de GER,GK,Mainz 05,de Bundesliga,1997,7,1.4,19,11,63.2,1.0,1.0,3.0,1,20.0,1.0,0.0,1.0,0.0,100.0,2018
Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,1994,1,1.0,4,3,75.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Boaz Myhill,wal WAL,GK,West Brom,eng Premier League,1982,1,1.0,3,2,66.7,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,1986,31,1.15,112,84,74.1,16.0,7.0,4.0,7,25.9,4.0,2.0,2.0,0.0,50.0,2018
Neto,br BRA,GK,Valencia,es La Liga,1989,33,1.0,150,120,80.0,18.0,7.0,8.0,10,30.3,5.0,3.0,2.0,0.0,40.0,2018
Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,1986,2,0.67,8,6,75.0,2.0,0.0,1.0,2,66.7,0.0,0.0,0.0,0.0,,2018
Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,1996,0,0.0,2,2,100.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,2018
Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,1993,22,0.59,126,106,83.3,22.0,10.0,5.0,22,59.5,4.0,1.0,3.0,0.0,75.0,2018
Oier Olazábal,es ESP,GK,Levante,es La Liga,1989,39,1.5,117,86,70.9,9.0,7.0,10.0,7,26.9,6.0,5.0,0.0,1.0,0.0,2018
David Ospina,co COL,GK,Arsenal,eng Premier League,1988,3,0.71,14,11,78.6,3.0,0.0,1.0,2,50.0,0.0,0.0,0.0,0.0,,2018
Alexandre Oukidja,dz ALG,GK,Strasbourg,fr Ligue 1,1988,29,1.79,70,45,64.3,3.0,5.0,8.0,2,12.5,5.0,4.0,1.0,0.0,20.0,2018
Ramazan Özcan,at AUT,GK,Leverkusen,de Bundesliga,1984,4,4.0,7,3,42.9,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0,100.0,2018
Fernando Pacheco,es ESP,GK,Alavés,es La Liga,1992,50,1.34,175,134,75.4,15.0,2.0,20.0,12,32.4,11.0,7.0,3.0,1.0,30.0,2018
Costel Pantilimon,ro ROU,GK,La Coruña,es La Liga,1987,9,1.5,23,16,65.2,3.0,0.0,3.0,1,16.7,1.0,1.0,0.0,0.0,0.0,2018
Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,1992,40,1.18,157,119,75.8,10.0,12.0,12.0,8,23.5,4.0,2.0,1.0,1.0,33.3,2018
Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,1981,1,0.87,5,5,80.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,1982,10,1.22,26,18,61.5,4.0,3.0,1.0,3,42.9,0.0,0.0,0.0,0.0,,2018
Mattia Perin,it ITA,GK,Genoa,it Serie A,1992,42,1.14,167,131,77.2,11.0,8.0,18.0,12,32.4,4.0,4.0,0.0,0.0,0.0,2018
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,1994,58,1.53,176,121,68.8,13.0,10.0,15.0,10,26.3,5.0,3.0,1.0,1.0,25.0,2018
Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,1990,1,3.21,2,1,50.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,2018
Julian Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,1994,15,1.5,47,31,68.1,4.0,1.0,5.0,1,10.0,0.0,0.0,0.0,0.0,,2018
Nick Pope,eng ENG,GK,Burnley,eng Premier League,1992,35,1.01,149,117,78.5,13.0,11.0,11.0,11,32.4,5.0,3.0,1.0,1.0,25.0,2018
Andrés Prieto,es ESP,GK,Málaga,es La Liga,1993,10,2.5,18,10,55.6,0.0,0.0,4.0,0,0.0,2.0,2.0,0.0,0.0,0.0,2018
Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,1995,3,1.5,8,5,62.5,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,1981,12,1.33,49,40,81.6,5.0,2.0,2.0,5,55.6,3.0,3.0,0.0,0.0,0.0,2018
Christian Puggioni,it ITA,GK,Benevento,it Serie A,1981,26,1.98,59,37,64.4,3.0,1.0,9.0,2,14.3,6.0,5.0,0.0,1.0,0.0,2018
Rafael,br BRA,GK,Cagliari,it Serie A,1982,11,1.25,39,28,74.4,4.0,2.0,3.0,1,12.5,1.0,1.0,0.0,0.0,0.0,2018
Toño Ramírez,es ESP,GK,Real Sociedad,es La Liga,1986,6,1.71,11,5,45.5,1.0,0.0,2.0,1,33.3,0.0,0.0,0.0,0.0,,2018
Pepe Reina,es ESP,GK,Napoli,it Serie A,1982,29,0.78,98,70,72.4,28.0,6.0,3.0,18,48.6,2.0,2.0,0.0,0.0,0.0,2018
Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,1990,73,1.92,198,139,68.7,13.0,9.0,16.0,5,13.2,15.0,11.0,3.0,1.0,21.4,2018
Sergio Rico,es ESP,GK,Sevilla,es La Liga,1993,39,1.63,90,54,60.0,10.0,4.0,10.0,9,39.1,5.0,3.0,1.0,1.0,25.0,2018
Asier Riesgo,es ESP,GK,Eibar,es La Liga,1983,1,1.0,4,3,75.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Roberto,es ESP,GK,Málaga,es La Liga,1986,51,1.5,144,97,67.4,5.0,5.0,24.0,6,17.6,5.0,4.0,1.0,0.0,20.0,2018
Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,1987,0,0.0,4,4,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2018
Francesco Rossi,it ITA,GK,Atalanta,it Serie A,1991,1,11.25,2,1,50.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,2018
Rubén,es ESP,GK,La Coruña,es La Liga,1984,58,2.1,137,83,59.1,3.0,10.0,15.0,4,14.8,3.0,2.0,1.0,0.0,33.3,2018
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,1986,44,1.27,150,112,74.0,14.0,10.0,11.0,12,34.3,6.0,5.0,1.0,0.0,16.7,2018
Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,1992,45,1.73,100,60,59.0,10.0,5.0,11.0,6,23.1,5.0,4.0,1.0,0.0,20.0,2018
Mathew Ryan,au AUS,GK,Brighton,eng Premier League,1992,54,1.42,170,120,68.8,9.0,13.0,16.0,10,26.3,3.0,1.0,2.0,0.0,66.7,2018
Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,1990,31,1.48,108,81,73.1,6.0,3.0,12.0,5,23.8,3.0,2.0,1.0,0.0,33.3,2018
Brice Samba,cg CGO,GK,Caen,fr Ligue 1,1994,4,1.14,18,15,83.3,1.0,1.0,1.0,2,66.7,1.0,1.0,0.0,0.0,0.0,2018
Antonio Santurro,it ITA,GK,Bologna,it Serie A,1992,1,1.0,5,4,80.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,1986,47,1.43,135,90,65.9,11.0,10.0,12.0,8,24.2,3.0,1.0,2.0,0.0,66.7,2018
Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,1992,53,1.64,142,97,65.5,7.0,11.0,14.0,9,27.3,5.0,4.0,0.0,1.0,0.0,2018
Simone Scuffet,it ITA,GK,Udinese,it Serie A,1996,11,1.83,26,16,57.7,1.0,0.0,5.0,1,16.7,1.0,0.0,1.0,0.0,100.0,2018
Luigi Sepe,it ITA,GK,Napoli,it Serie A,1991,0,0.0,1,1,100.0,0.0,1.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2018
Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,1991,7,3.5,25,18,72.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,1988,10,2.07,24,14,58.3,1.0,0.0,4.0,1,25.0,0.0,0.0,0.0,0.0,,2018
Salvatore Sirigu,it ITA,GK,Torino,it Serie A,1987,45,1.22,160,120,75.0,12.0,15.0,10.0,10,27.0,8.0,5.0,3.0,0.0,37.5,2018
Antonio Sivera,es ESP,GK,Alavés,es La Liga,1996,1,1.5,2,2,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Łukasz Skorupski,pl POL,GK,Roma,it Serie A,1991,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2018
Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,1988,42,1.44,145,106,73.8,12.0,8.0,9.0,6,20.0,4.0,4.0,0.0,0.0,0.0,2018
David Soria,es ESP,GK,Sevilla,es La Liga,1993,19,1.35,57,41,70.2,7.0,3.0,4.0,5,33.3,3.0,2.0,0.0,1.0,0.0,2018
Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,1979,59,1.55,180,126,69.4,10.0,10.0,18.0,7,18.4,8.0,4.0,3.0,1.0,42.9,2018
Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,1979,14,1.27,40,27,67.5,3.0,5.0,3.0,2,18.2,1.0,1.0,0.0,0.0,0.0,2018
Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,1992,38,1.07,134,95,73.1,16.0,9.0,11.0,14,37.8,3.0,2.0,1.0,0.0,33.3,2018
Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,1981,0,0.0,6,6,100.0,2.0,0.0,0.0,2,100.0,0.0,0.0,0.0,0.0,,2018
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,1995,49,1.29,153,112,73.9,21.0,9.0,8.0,11,28.9,11.0,9.0,1.0,1.0,10.0,2018
Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,1984,41,1.26,130,94,71.5,20.0,8.0,5.0,10,29.4,4.0,4.0,0.0,0.0,0.0,2018
Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,1995,4,1.41,16,13,81.3,2.0,0.0,1.0,1,50.0,1.0,1.0,0.0,0.0,0.0,2018
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,1990,9,0.53,34,24,73.5,13.0,3.0,1.0,11,64.7,0.0,0.0,0.0,0.0,,2018
Ciprian Tătărușanu,ro ROU,GK,Nantes,fr Ligue 1,1986,38,1.03,133,97,72.9,14.0,10.0,13.0,12,32.4,3.0,2.0,0.0,1.0,0.0,2018
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,1992,28,0.76,129,103,79.8,27.0,9.0,1.0,19,51.4,2.0,2.0,0.0,0.0,0.0,2018
Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,1990,4,1.0,16,14,87.5,3.0,0.0,1.0,1,25.0,2.0,2.0,0.0,0.0,0.0,2018
Philipp Tschauner,de GER,GK,Hannover 96,de Bundesliga,1985,45,1.45,152,107,71.7,9.0,9.0,13.0,5,16.1,3.0,2.0,0.0,1.0,0.0,2018
Przemysław Tytoń,pl POL,GK,La Coruña,es La Liga,1987,4,3.67,5,1,20.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,1988,26,0.9,79,57,68.4,23.0,3.0,3.0,12,41.4,5.0,1.0,4.0,0.0,80.0,2018
Francis Uzoho,ng NGA,GK,La Coruña,es La Liga,1998,2,1.0,9,8,88.9,0.0,1.0,1.0,1,50.0,1.0,1.0,0.0,0.0,0.0,2018
Koke Vegas,es ESP,GK,Levante,es La Liga,1995,4,4.0,8,4,50.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,1980,48,1.39,133,93,66.9,9.0,7.0,18.0,11,31.4,4.0,4.0,0.0,0.0,0.0,2018
Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,1985,43,1.59,129,89,68.2,11.0,4.0,12.0,6,22.2,6.0,2.0,4.0,0.0,66.7,2018
Michel Vorm,nl NED,GK,Tottenham,eng Premier League,1983,1,1.0,4,4,75.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,1980,4,3.96,7,2,42.9,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Axel Werner,ar ARG,GK,Atlético Madrid,es La Liga,1996,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2018
Yoel,es ESP,GK,Eibar,es La Liga,1988,1,1.0,5,5,80.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Erwin Zelazny,fr FRA,GK,Troyes,fr Ligue 1,1991,28,1.65,94,68,72.3,3.0,3.0,11.0,3,17.6,2.0,2.0,0.0,0.0,0.0,2018
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,1994,27,1.8,66,44,65.2,3.0,5.0,7.0,2,13.3,4.0,4.0,0.0,0.0,0.0,2018
Luca Zidane,fr FRA,GK,Real Madrid,es La Liga,1998,2,2.0,4,2,50.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2018
Ron-Robert Zieler,de GER,GK,Stuttgart,de Bundesliga,1989,36,1.06,146,113,78.1,15.0,6.0,13.0,12,35.3,6.0,4.0,2.0,0.0,33.3,2018
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,1987,2,2.0,7,5,71.4,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2019
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,1995,44,1.76,96,55,56.3,7.0,5.0,13.0,5,20.0,2.0,2.0,0.0,0.0,0.0,2019
Alisson,br BRA,GK,Liverpool,eng Premier League,1992,22,0.58,96,74,77.1,30.0,7.0,1.0,21,55.3,1.0,0.0,0.0,1.0,,2019
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,1991,17,1.31,74,58,78.4,2.0,2.0,9.0,1,7.7,1.0,1.0,0.0,0.0,0.0,2019
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,1986,22,1.69,57,38,64.9,3.0,5.0,5.0,2,15.4,2.0,2.0,0.0,0.0,0.0,2019
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,1984,11,1.0,33,22,66.7,3.0,2.0,6.0,2,18.2,0.0,0.0,0.0,0.0,,2019
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,1993,17,0.81,63,51,79.4,16.0,3.0,2.0,11,52.4,4.0,4.0,0.0,0.0,0.0,2019
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,1994,39,1.08,117,78,67.5,20.0,8.0,8.0,14,38.9,2.0,1.0,1.0,0.0,50.0,2019
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,1989,45,1.41,164,124,73.8,7.0,12.0,13.0,9,28.1,4.0,2.0,1.0,1.0,33.3,2019
Emil Audero,it ITA,GK,Sampdoria,it Serie A,1997,51,1.42,142,98,69.0,14.0,7.0,15.0,11,30.6,8.0,7.0,1.0,0.0,12.5,2019
Francesco Bardi,it ITA,GK,Frosinone,it Serie A,1992,5,1.67,11,6,54.5,0.0,1.0,2.0,1,33.3,0.0,0.0,0.0,0.0,,2019
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,1990,51,1.55,159,114,71.7,12.0,12.0,9.0,5,15.2,7.0,6.0,1.0,0.0,14.3,2019
Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,1987,47,1.96,101,58,55.4,8.0,3.0,13.0,5,20.8,2.0,2.0,0.0,0.0,0.0,2019
Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,1983,38,1.66,94,60,62.8,4.0,6.0,12.0,4,18.2,5.0,3.0,2.0,0.0,40.0,2019
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,1993,29,0.83,141,115,80.9,15.0,10.0,10.0,16,45.7,5.0,2.0,3.0,0.0,60.0,2019
Etrit Berisha,al ALB,GK,Atalanta,it Serie A,1989,26,1.44,64,43,60.9,9.0,3.0,6.0,5,27.8,2.0,1.0,0.0,1.0,0.0,2019
Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,1997,58,1.53,177,122,69.5,15.0,8.0,15.0,10,26.3,5.0,4.0,1.0,0.0,20.0,2019
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,1998,0,0.0,1,1,100.0,0.0,1.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2019
Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,1992,20,2.86,38,19,50.0,1.0,2.0,4.0,0,0.0,3.0,1.0,1.0,1.0,50.0,2019
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,1995,40,1.6,106,70,66.0,7.0,6.0,12.0,6,24.0,5.0,4.0,0.0,1.0,0.0,2019
Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,1980,18,1.5,52,36,71.2,4.0,3.0,5.0,4,33.3,3.0,3.0,0.0,0.0,0.0,2019
Zacharie Boucher,fr FRA,GK,Angers,fr Ligue 1,1992,1,0.5,4,3,75.0,1.0,1.0,0.0,1,50.0,0.0,0.0,0.0,0.0,,2019
Yassine Bounou,ma MAR,GK,Girona,es La Liga,1991,43,1.35,162,126,77.2,8.0,10.0,14.0,8,25.0,6.0,6.0,0.0,0.0,0.0,2019
Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,1995,28,2.24,60,32,55.0,2.0,3.0,7.0,2,16.7,3.0,1.0,1.0,1.0,50.0,2019
Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,1978,18,1.06,61,47,72.1,13.0,1.0,3.0,6,35.3,2.0,1.0,1.0,0.0,50.0,2019
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990,40,1.25,125,88,71.2,21.0,7.0,4.0,10,31.3,4.0,4.0,0.0,0.0,0.0,2019
Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,1983,48,1.33,156,112,71.2,9.0,15.0,12.0,12,33.3,5.0,3.0,2.0,0.0,40.0,2019
David Button,eng ENG,GK,Brighton,eng Premier League,1989,5,1.25,15,12,80.0,1.0,1.0,2.0,1,25.0,2.0,2.0,0.0,0.0,0.0,2019
Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,1981,0,0.0,3,3,100.0,1.0,1.0,0.0,2,100.0,0.0,0.0,0.0,0.0,,2019
Rafael Cabral,br BRA,GK,Sampdoria,it Serie A,1990,1,0.5,2,2,50.0,1.0,1.0,0.0,2,100.0,0.0,0.0,0.0,0.0,,2019
Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,1994,34,1.62,90,56,63.3,4.0,7.0,10.0,6,28.6,2.0,1.0,1.0,0.0,50.0,2019
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,1994,6,2.0,12,7,58.3,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2019
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,1992,39,1.53,121,86,71.1,11.0,6.0,9.0,8,30.8,5.0,4.0,1.0,0.0,20.0,2019
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,1982,9,1.38,36,27,75.0,5.0,0.0,2.0,2,28.6,0.0,0.0,0.0,0.0,,2019
Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,1990,1,1.0,1,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2019
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,1989,4,1.33,13,10,76.9,1.0,1.0,1.0,1,33.3,1.0,1.0,0.0,0.0,0.0,2019
Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,1995,1,1.0,3,1,66.7,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,2019
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,1987,57,1.6,144,94,63.2,9.0,15.0,12.0,12,33.3,8.0,4.0,3.0,1.0,42.9,2019
