Player,Nation,Pos,Squad,Comp,Born,goals_allowed,goals_allowed_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage,season
Rafael Cabral,br BRA,GK,Napoli,it Serie A,1990,0,0.0,1,1,100.0,0.0,1.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2017
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,1994,35,0.98,154,119,79.9,22.0,10.0,4.0,11,30.6,4.0,4.0,0.0,0.0,0.0,2017
Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,1981,22,0.92,71,49,73.2,10.0,9.0,5.0,9,37.5,3.0,3.0,0.0,0.0,0.0,2017
Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,1986,10,0.91,33,23,72.7,9.0,2.0,0.0,5,45.5,2.0,1.0,1.0,0.0,50.0,2017
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,1992,30,1.5,92,62,67.4,5.0,6.0,9.0,8,40.0,1.0,0.0,0.0,1.0,,2017
Joel Castro Pereira,pt POR,GK,Manchester Utd,eng Premier League,1996,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2017
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,1982,37,1.08,150,113,81.3,22.0,5.0,7.0,12,34.3,9.0,9.0,0.0,0.0,0.0,2017
Nereo Champagne,ar ARG,GK,Leganés,es La Liga,1985,4,1.0,16,12,75.0,0.0,3.0,1.0,1,25.0,0.0,0.0,0.0,0.0,,2017
Paul Charruau,fr FRA,GK,Bastia,fr Ligue 1,1993,1,2.14,2,1,50.0,0.0,0.0,1.0,0,,0.0,0.0,0.0,0.0,,2017
Sergei Chernik,by BLR,GK,Nancy,fr Ligue 1,1988,21,1.37,67,46,73.1,3.0,3.0,9.0,5,33.3,3.0,3.0,0.0,0.0,0.0,2017
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,1989,2,2.0,4,2,50.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,2017
Fabio Coltorti,ch SUI,GK,RB Leipzig,de Bundesliga,1980,0,0.0,2,2,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,,2017
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,1987,56,1.51,191,135,73.3,14.0,7.0,16.0,7,18.9,8.0,5.0,2.0,1.0,28.6,2017
